player_name,bucket,position_group,pl_rank,pl_rank_raw,model_rank,model_proj,blended_xfp,blend_confidence,headline_proj,headline_source,model_signal,model_rep_delta,model_recform,schedule_idx,arche_have,arche_overall,arche_label,arche_cell,arche_traj,arche_domains,arche_slope_3yr,arche_career_pct,arche_t1_fp,arche_age,arche_age_tier,arche_velo,arche_velo_tier,verdict,verdict_top,reason_tag,confidence,confidence_n_aligned,confidence_n_available,watch_list,rationale,override_tag,decline_tier,velo_severity,velo_yoy,velo_in,velo_2y,split_rate_vs_L,split_rate_vs_R,split_lift_vs_L_pct,split_lift_vs_R_pct,split_pa_vs_L,split_pa_vs_R,split_dominant,xstat_xwoba,xstat_woba,xstat_gap,xstat_regression,xstat_vs_L_xwoba,xstat_vs_L_woba,xstat_vs_L_reg,xstat_vs_L_pa,xstat_vs_R_xwoba,xstat_vs_R_woba,xstat_vs_R_reg,xstat_vs_R_pa,ha_rate_home,ha_rate_away,ha_lift_home_pct,ha_lift_away_pct,ha_dominant,tto_tier,tto_penalty,tto1_rate,tto3_rate,bb_window,bb_n,bb_mean,bb_std,bb_boom_pct,bb_bust_pct,bb_min,bb_max,bb_l3_mean,bb_trend,bb_last,traj_n,traj_cadence,traj_first_label,traj_last_label,traj_ovr_first,traj_ovr_last,traj_ovr_delta,traj_last_archetype,traj_dom_last,traj_dom_deltas,stuff_plus,stuff_proj_ros_fp,stuff_breakout_gap,floor_bust_prob,floor_tier,trend_tag,shadow_grade,shadow_verdict,category,resolved,within_bucket_rank
Jeff Hoffman,RP,SETUP,47.0,47,28.0,103.3,4.277002787495303,high,4.277002787495303,blended_xfp,hold,2.9,,,True,71.0,PURE_STUFF_RP,PLUS/AVG/AVG,STABLE,STUFF=71;CONTROL=55;BATTED_BALL=51,1.0,0.8,4.34,33.0,POST_PEAK,91.31175523349437,BALANCED,MIXED — see profile,MIXED,no_convergence,1.0,4.0,4.0,PL rank changes by >20 (currently 47); model rank changes by >20 (currently #28); archetype OVERALL changes by >10 (currently 71); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L15 app,15.0,3.6,5.6,20.0,7.0,-13.9,11.3,3.6,FLAT,6.3 0.2 4.3 3.3 5.3 4.3 4.3 2.3,6.0,weekly,04-25,06-20,68.0,67.0,-1.0,STUFF_GB_HYBRID,STUFF=74;CONTROL=58;BATTED_BALL=60,STUFF:-4;CONTROL:+1;BATTED_BALL:+5,,,,,,• FB velo +0.3 mph (+0.4σ) — stable,,,FA-RP,,5
Gabriel Moreno,H,C,76.0,76,52.0,2.0,1.9635392815547976,high,1.9635392815547976,blended_xfp,hold,0.0,0.0028,,True,60.0,PURE_HITTER,PLUS/AVG/AVG,TRENDING_UP,CONTACT=63;POWER=52;DISCIPLINE=42,3.0,0.5,0.532,26.0,PEAK,,,BUY — process upgrade,BUY,process_upgrade,1.0,4.0,4.0,archetype trajectory flips to TRENDING_DOWN; model rank slips past #80; PL rank drops more than 30 ranks; archetype OVERALL drops below 55,Archetype PURE_HITTER OVERALL 60 TRENDING_UP; ranked top-80 by at least one outcome lens. Process leads the outcomes.,,,,,,,0.315,0.278,9.0,-3.9,336.0,777.0,L,0.373,0.371,-0.002,ALIGNED,0.372,0.359,ALIGNED,49.0,0.373,0.375,ALIGNED,149.0,0.38,0.365,2.0,-2.0,HOME,,,,,L21 games,21.0,3.1,2.9,0.0,29.0,-2.0,8.0,2.7,FLAT,-1.0 4.0 4.0 5.0 2.0 5.0 1.0 2.0,6.0,weekly,05-02,06-21,51.0,55.0,4.0,AVERAGE_HITTER,CONTACT=57;POWER=54;DISCIPLINE=52,CONTACT:+3;POWER:+4;DISCIPLINE:+10,,,,,,• stable (phys +0.5σ) — bat speed +0.4mph,,,FA-H,,7
Kenley Jansen,RP,CLOSER,19.0,19,31.0,120.7,4.287213378949576,high,4.287213378949576,blended_xfp,hold,-0.3,,,True,44.0,WILD_LIGHT_USE,AVG/MINUS/MINUS,CAREER_LOW,STUFF=54;CONTROL=39;BATTED_BALL=30,-2.5,0.0,3.52,39.0,POST_PEAK,91.76996587030716,BALANCED,CAUTION,CAUTION,process_red_flag,0.5,2.0,4.0,career_pct drops below current floor; L21d xwOBACON drops more than 0.020 from season; archetype OVERALL drops below 45; PL rank deteriorates past #100 (currently 19),WARN Career-low season (0% career-percentile).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L15 app,15.0,3.7,5.0,40.0,20.0,-6.0,10.3,7.0,UP,5.3 4.3 5.3 -5.7 1.2 5.3 9.3 6.3,6.0,weekly,04-25,06-20,54.0,50.0,-4.0,GENERIC_MIDDLE,STUFF=56;CONTROL=45;BATTED_BALL=41,STUFF:-2;CONTROL:-8;BATTED_BALL:+3,,,,,,,,,FA-RP,,7
Bryson Stott,H,2B/SS,104.0,104,84.0,1.92,1.8587945965784376,high,1.8587945965784376,blended_xfp,hold,0.021,0.0066,,True,51.0,AVG_HACKER,AVG/AVG/MINUS,STABLE,CONTACT=56;POWER=48;DISCIPLINE=32,0.5,0.4,0.543,29.0,PEAK,,,MIXED — see profile,MIXED,no_convergence,1.0,4.0,4.0,PL rank changes by >20 (currently 104); model rank changes by >20 (currently #84); archetype OVERALL changes by >10 (currently 51); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,0.212,0.282,-20.3,6.3,529.0,1708.0,R,0.313,0.304,-0.009,ALIGNED,0.351,0.368,ALIGNED,52.0,0.304,0.288,ALIGNED,215.0,0.31,0.317,-1.0,1.2,AWAY,,,,,L21 games,21.0,2.4,2.4,0.0,38.0,-2.0,6.0,3.0,FLAT,6.0 1.0 4.0 5.0 3.0 4.0 4.0 1.0,6.0,weekly,04-25,06-21,50.0,52.0,2.0,AVERAGE_HITTER,CONTACT=54;POWER=51;DISCIPLINE=48,CONTACT:+0;POWER:+6;DISCIPLINE:+4,,,,,,• stable (phys +0.7σ) — bat speed +0.4mph,,,FA-H,,15
Jo Adell,H,OF,69.0,69,276.0,1.53,2.330474693450936,high,2.330474693450936,blended_xfp,hold,-0.064,-0.0116,,True,52.0,AVERAGE_HITTER,AVG/AVG/AVG,STABLE,CONTACT=52;POWER=51;DISCIPLINE=51,-0.5,0.4,0.509,27.0,PEAK,,,MIXED — see profile,MIXED,no_convergence,1.0,4.0,4.0,PL rank changes by >20 (currently 69); model rank changes by >20 (currently #276); archetype OVERALL changes by >10 (currently 52); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,0.264,0.149,48.5,-16.4,382.0,1129.0,L,0.319,0.302,-0.017,ALIGNED,0.372,0.351,UNDERPERFORMING,97.0,0.297,0.282,ALIGNED,231.0,0.322,0.317,0.9,-0.7,HOME,,,,,L21 games,21.0,2.4,3.9,5.0,52.0,-3.0,12.0,1.0,DOWN,6.0 4.0 1.0 -1.0 -1.0 1.0 5.0 -3.0,6.0,weekly,04-25,06-21,52.0,52.0,0.0,AVERAGE_HITTER,CONTACT=53;POWER=53;DISCIPLINE=40,CONTACT:-1;POWER:+0;DISCIPLINE:+0,,,,,,• stable (phys +0.3σ) — bat speed +0.3mph,,,FA-H,,123
Aaron Nola,SP,SP,,UR,94.0,9.909437154813263,10.494979579264681,high,10.494979579264681,blended_xfp,hold,-1.66,2.55,0.6192075218267297,True,49.0,AVERAGE_4_5,AVG/AVG/AVG,TRENDING_DOWN,STUFF=55;MOVEMENT=43;CONTROL=45,-3.0,0.0,10.41,33.0,POST_PEAK,86.2985347985348,FINESSE,CAUTION,CAUTION,process_red_flag,0.75,3.0,4.0,career_pct drops below current floor; L21d xwOBACON drops more than 0.020 from season; archetype OVERALL drops below 45; PL rank deteriorates past #100 (currently UR); velo drops further (already FINESSE tier),WARN FINESSE velo tier + declining = drop tier.,,RISING,LOW-VELO,-0.2029656201280403,-0.9300389178331585,-0.8901906911885789,0.347,0.282,9.2,-11.3,184.0,150.0,L,0.322,0.367,0.045,UNDERPERFORMING,0.347,0.395,UNDERPERFORMING,184.0,0.29,0.332,UNDERPERFORMING,147.0,0.31,0.332,-3.6,3.2,AWAY,STEEP_DECAY,-0.16,-0.095,-0.255,L8 starts,8.0,6.4,8.4,0.0,38.0,-6.9,17.8,4.4,DOWN,5.4 -6.9 5.5 17.8 16.5 -1.7 4.4 10.5,6.0,per_start,#3,#15,59.0,54.0,-5.0,AVERAGE_4_5,STUFF=51;MOVEMENT=57;CONTROL=54,STUFF:-10;MOVEMENT:+1;CONTROL:-6,107.5,13.09,55.0,23.0,MODERATE,• FB velo +0.5 mph (+0.7σ) — stable,52.0,AVG_PROCESS,FA-SP,,17
Chandler Simpson,H,OF,,—,259.0,1.56,1.5419056123479762,high,1.5419056123479762,blended_xfp,drop,-0.0576,0.0025,,True,41.0,NO_POWER_HACKER,AVG/MINUS/MINUS,TRENDING_DOWN,CONTACT=55;POWER=27;DISCIPLINE=34,-6.0,0.0,0.468,26.0,PEAK,,,MIXED — see profile,MIXED,no_convergence,0.75,3.0,4.0,PL rank changes by >20 (currently —); model rank changes by >20 (currently #259); archetype OVERALL changes by >10 (currently 41); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,,,,,,,,0.255,0.292,0.037,OVERPERFORMING,0.221,0.233,ALIGNED,93.0,0.272,0.321,OVERPERFORMING,188.0,0.233,0.276,-8.6,8.3,AWAY,,,,,L21 games,21.0,1.0,1.7,0.0,67.0,-2.0,4.0,2.0,UP,2.0 1.0 2.0 0.0 0.0 1.0 4.0 1.0,6.0,weekly,04-25,06-21,48.0,47.0,-1.0,GENERIC_NO_POWER,CONTACT=54;POWER=36;DISCIPLINE=46,CONTACT:-3;POWER:+1;DISCIPLINE:+0,,,,,,• stable (phys +0.3σ) — bat speed +0.6mph,,,FA-H,,115
Daniel Palencia,RP,CLOSER,,—,100.0,99.2,3.896426824517168,high,3.896426824517168,blended_xfp,drop,-58.2,,,True,59.0,GENERIC_MIDDLE,AVG/AVG/AVG,TRENDING_UP,STUFF=58;CONTROL=55;BATTED_BALL=44,4.0,0.5,3.84,25.0,PRE_PEAK,96.4514863258026,POWER,MIXED — see profile,MIXED,no_convergence,0.75,3.0,4.0,PL rank changes by >20 (currently —); model rank changes by >20 (currently #100); archetype OVERALL changes by >10 (currently 59); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L15 app,15.0,2.6,3.6,13.0,13.0,-5.0,9.3,1.5,DOWN,1.3 1.3 4.3 4.3 0.3 4.3 -5.0 5.3,6.0,weekly,04-25,06-20,62.0,54.0,-8.0,COMMAND_MIDDLE,STUFF=50;CONTROL=65;BATTED_BALL=48,STUFF:-19;CONTROL:+7;BATTED_BALL:+5,,,,,,• FB velo -0.1 mph (-0.2σ) — stable,,,FA-RP,,66
José Caballero,H,2B/SS,114.0,114,266.0,1.55,1.424963508170704,high,1.424963508170704,blended_xfp,drop,-0.0797,0.0076,,True,44.0,AVERAGE_HITTER,AVG/AVG/AVG,TRENDING_UP,CONTACT=46;POWER=45;DISCIPLINE=47,4.0,0.75,0.43,30.0,PEAK,,,BUY — archetype breakout,BUY,archetype_breakout,0.5,2.0,4.0,archetype trajectory flips to TRENDING_DOWN; model rank slips past #80; PL rank drops more than 30 ranks; archetype OVERALL drops below 55,Archetype TRENDING_UP to AVERAGE_HITTER (AVG/AVG/AVG); PL has caught it (#114); model lagging (#266). Buy before model catches up.,,,,,,,0.177,0.137,17.9,-8.8,373.0,760.0,L,0.288,0.333,0.045,OVERPERFORMING,0.301,0.321,OVERPERFORMING,75.0,0.281,0.339,OVERPERFORMING,150.0,0.325,0.252,12.9,-12.4,HOME,,,,,L21 games,21.0,2.2,2.9,0.0,38.0,-4.0,7.0,1.0,DOWN,5.0 -4.0 7.0 7.0 5.0 -1.0 2.0 2.0,6.0,weekly,04-25,06-21,49.0,49.0,0.0,AVERAGE_HITTER,CONTACT=51;POWER=47;DISCIPLINE=46,CONTACT:+1;POWER:-1;DISCIPLINE:+1,,,,,,• stable (phys -0.3σ) — bat speed -0.7mph,,,FA-H,,119
Ryan Weathers,SP,SP,49.0,49,86.0,10.03233186547157,11.041475490261226,low,11.041475490261226,blended_xfp,hold,-1.537,-3.948,0.3505708529214231,True,56.0,PURE_STUFF,PLUS/AVG/AVG,TRENDING_UP,STUFF=63;MOVEMENT=41;CONTROL=58,4.5,0.75,13.05,27.0,PEAK,89.53714285714285,BALANCED,MIXED — see profile,MIXED,no_convergence,1.0,4.0,4.0,PL rank changes by >20 (currently 49); model rank changes by >20 (currently #86); archetype OVERALL changes by >10 (currently 56); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,STABLE,LOW-VELO,-2.149963537303435,-0.06815600746635653,-1.0595100243059505,0.326,0.313,3.2,-0.9,69.0,258.0,L,0.32,0.308,-0.012,ALIGNED,0.326,0.333,ALIGNED,69.0,0.318,0.301,ALIGNED,255.0,0.324,0.312,1.3,-2.5,HOME,AVERAGE,-0.014,-0.295,-0.308,L8 starts,8.0,12.9,8.9,38.0,12.0,-2.7,22.9,8.7,DOWN,14.5 21.9 7.6 20.1 13.0 5.8 -2.7 22.9,6.0,per_start,#3,#14,60.0,58.0,-2.0,AVERAGE_4_5,STUFF=58;MOVEMENT=57;CONTROL=57,STUFF:+0;MOVEMENT:-10;CONTROL:+5,98.9,12.39,-24.0,19.0,SAFE,"🔻 FB velo -1.7 mph (-2.2σ) — velo decline/health watch, results diverging (tool moved, results hasn't)",65.0,PLUS_PROCESS,FA-SP,,14
