pitcher,n_qual_years,starts_pre,starts_playoff,fp_pre,fp_playoff,lift_std,career_rate_pre,career_rate_playoff,career_playoff_lift_pct,player_name
112526,3,66,26,517.8999999999999,252.7,58.39932890423847,7.846969696969695,9.71923076923077,23.85966996895751,
282332,5,103,34,928.8,352.5,38.10601989748783,9.01747572815534,10.367647058823529,14.972830217358258,
285079,3,73,20,680.9999999999999,211.99999999999997,30.734603139723756,9.328767123287669,10.599999999999998,13.62701908957416,
407793,3,71,21,891.6999999999999,265.9,23.848106403814786,12.559154929577463,12.661904761904761,0.8181269592058041,
425794,6,113,44,1082.5,382.29999999999995,207.56409190600476,9.579646017699115,8.688636363636363,-9.301070753726655,"Wainwright, Adam"
425844,8,184,54,2450.9,619.6,40.03106561457713,13.320108695652175,11.474074074074075,-13.859005686497634,"Greinke, Zack"
429719,4,27,29,222.59999999999997,101.59999999999997,89.36162848995039,8.244444444444444,3.503448275862068,-57.50534436285901,
429722,3,55,25,641.6999999999999,345.29999999999995,62.71536205322513,11.667272727272726,13.811999999999998,18.38242169237961,
430935,5,105,42,1244.1999999999998,463.4999999999999,25.403149131383433,11.849523809523808,11.035714285714283,-6.867866902427271,
433587,5,85,31,828.1999999999998,255.79999999999995,39.47999930603773,9.743529411764703,8.251612903225805,-15.311869503236702,
434378,9,183,73,2697.8999999999996,1314.7,54.20702631852561,14.742622950819671,18.00958904109589,22.160005727437934,"Verlander, Justin"
434538,3,65,21,614.6999999999999,236.7,80.66304904652685,9.456923076923076,11.27142857142857,19.18705988984174,
434622,3,62,20,399.29999999999995,201.89999999999998,303.270124240767,6.4403225806451605,10.094999999999999,56.74680691209617,
434628,3,70,23,841.0,121.99999999999997,34.37343310239982,12.014285714285714,5.304347826086955,-55.84966137620846,
434671,5,76,35,669.4999999999999,370.9,33.30426296272249,8.809210526315788,10.597142857142856,20.29616984956792,
446372,6,128,45,2062.8999999999996,626.0999999999999,20.58091421140938,16.116406249999997,13.91333333333333,-13.669752936804178,
448179,7,120,44,1208.8,570.3,59.47846441506964,10.073333333333332,12.961363636363636,28.670055953312083,"Hill, Rich"
448306,4,88,32,783.8999999999999,277.9,62.86740233537916,8.907954545454544,8.684375,-2.5098864651103368,
448802,3,58,19,655.0999999999999,150.89999999999998,45.65195314596776,11.294827586206894,7.9421052631578934,-29.683696342061072,
450203,9,195,68,2308.2999999999993,677.4999999999999,27.815927850772848,11.837435897435894,9.963235294117645,-15.832825787248565,"Morton, Charlie"
450306,3,57,24,478.49999999999994,185.89999999999998,457.5145787305792,8.394736842105262,7.745833333333333,-7.729885057471258,
451596,4,70,26,503.29999999999995,131.79999999999998,17.593771074223078,7.1899999999999995,5.069230769230769,-29.496095003744514,
452657,6,140,47,1492.4999999999998,549.9,63.15123241798114,10.660714285714285,11.7,9.74874371859297,
453178,4,86,29,848.3,271.19999999999993,60.85115141649239,9.863953488372092,9.351724137931033,-5.19294166426159,
453286,9,188,67,3510.8999999999996,1065.6,21.71501225831746,18.674999999999997,15.904477611940298,-14.835461247976975,"Scherzer, Max"
453329,3,31,18,246.59999999999997,189.29999999999995,106.14680019114644,7.954838709677419,10.516666666666664,32.20464990537981,
453562,5,115,34,1327.4,439.2,37.49994164986099,11.542608695652175,12.91764705882353,11.912717475117201,
456034,3,73,24,1026.3,390.79999999999995,9.053709238737378,14.05890410958904,16.28333333333333,15.822209230569353,
456068,3,59,17,487.0999999999999,147.2,72.55436916704333,8.255932203389829,8.658823529411764,4.880022220343703,
456501,5,89,34,1245.6000000000001,253.39999999999995,31.104745231982967,13.99550561797753,7.452941176470587,-46.74761041218031,
456701,3,51,18,268.99999999999994,187.89999999999998,1337.1926531365275,5.274509803921568,10.438888888888888,97.91201982651799,
457918,6,133,46,1333.1999999999998,573.0999999999999,58.226245050539575,10.024060150375938,12.458695652173912,24.287917922227017,
458681,7,154,53,1851.6000000000001,521.8,30.78950810864002,12.023376623376624,9.845283018867924,-18.115490121750902,"Lynn, Lance"
458708,3,48,16,401.99999999999994,120.09999999999998,139.27699160012554,8.374999999999998,7.506249999999999,-10.373134328358205,
461829,5,105,39,1163.7999999999997,361.99999999999994,22.065667506862745,11.08380952380952,9.282051282051281,-16.255766917392613,
462136,4,86,32,950.0999999999999,295.19999999999993,50.506602337773,11.04767441860465,9.224999999999998,-16.49826334070099,
467100,5,99,38,889.0999999999999,247.59999999999994,47.196699123918705,8.98080808080808,6.515789473684209,-27.447625925684765,
468504,4,86,27,691.4999999999999,293.7,173.12793556718145,8.040697674418603,10.877777777777778,35.28400417771355,
471911,6,115,43,1487.9,587.0,174.63065648232686,12.938260869565218,13.651162790697674,5.510028962311476,"Carrasco, Carlos"
474463,5,82,34,629.7,198.09999999999997,497.3418812249095,7.679268292682927,5.826470588235293,-24.12726882082039,
476451,3,70,19,686.5999999999999,125.09999999999997,34.07915607717211,9.808571428571428,6.584210526315788,-32.87289006086437,
477132,10,169,63,2874.4999999999995,897.5,36.43897320383052,17.008875739644967,14.246031746031745,-16.243542700317782,"Kershaw, Clayton"
488768,4,85,29,668.3999999999999,160.59999999999997,57.72449037068795,7.863529411764704,5.5379310344827575,-29.574485647660907,
