n_feats,features,r,power_bias_hi,team_context_bias,rmse,mae,n,score_T1
14,iso|k_pct|hr_per_pa|hard_hit_pct|contact_pct|whiff_pct|swstr_pct|bb_pct|z_contact_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa|team_run_env_lag1,0.54656,-0.0781,-0.0357,0.1105,0.0861,1127,1.6396800000000002
13,iso|k_pct|hr_per_pa|hard_hit_pct|contact_pct|whiff_pct|swstr_pct|bb_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa|team_run_env_lag1,0.54666,-0.0781,-0.0356,0.1105,0.0861,1127,1.63998
12,iso|k_pct|hr_per_pa|hard_hit_pct|whiff_pct|swstr_pct|bb_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa|team_run_env_lag1,0.54665,-0.0781,-0.0356,0.1105,0.0861,1127,1.6399499999999998
11,iso|k_pct|hr_per_pa|hard_hit_pct|whiff_pct|swstr_pct|bb_pct|in_play_pct|sprint_speed|sb_per_pa|team_run_env_lag1,0.54655,-0.0782,-0.0359,0.1105,0.0861,1127,1.63965
10,iso|k_pct|hard_hit_pct|whiff_pct|swstr_pct|bb_pct|in_play_pct|sprint_speed|sb_per_pa|team_run_env_lag1,0.54602,-0.0778,-0.036,0.1106,0.0861,1127,1.6380599999999998
9,iso|k_pct|hard_hit_pct|whiff_pct|swstr_pct|bb_pct|sprint_speed|sb_per_pa|team_run_env_lag1,0.54499,-0.0776,-0.0359,0.1107,0.0863,1127,1.63497
8,iso|k_pct|hard_hit_pct|swstr_pct|bb_pct|sprint_speed|sb_per_pa|team_run_env_lag1,0.54361,-0.0779,-0.0358,0.1109,0.0864,1127,1.63083
7,iso|k_pct|hard_hit_pct|bb_pct|sprint_speed|sb_per_pa|team_run_env_lag1,0.54362,-0.0782,-0.0359,0.1109,0.0864,1127,1.63086
6,iso|k_pct|hard_hit_pct|bb_pct|sprint_speed|sb_per_pa,0.54018,-0.0789,-0.0395,0.1112,0.0866,1127,1.62054
5,iso|k_pct|hard_hit_pct|bb_pct|sb_per_pa,0.5365,-0.0797,-0.0401,0.1116,0.0868,1127,1.6095
