owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
MINE,Shota Imanaga,ChC,,13.09,106.0,Stuff+·vol,0.177,,,130.0,44.0
MINE,Eury Perez,Mia,,13.22,106.0,Stuff+·vol,0.167,,,123.0,42.0
MINE,Jose Soriano,LAA,,13.4,107.0,Stuff+·vol,0.163,,,122.0,42.0
FA,Matthew Boyd,ChC,50.9,12.73,104.0,Stuff+·vol,0.162,,,115.0,39.0
FA,Aaron Nola,Phi,37.4,12.38,104.0,Stuff+·vol,0.164,,,113.0,39.0
MINE,Hunter Greene,Cin,,13.69,,rp3_dd·vol,0.147,,,112.0,38.0
FA,Cade Cavalli,Wsh,19.4,12.71,104.0,Stuff+·vol,0.155,,,110.0,38.0
FA,Ryan Weathers,NYY,34.9,13.1,106.0,Stuff+·vol,0.147,,,107.0,37.0
FA,J.T. Ginn,Oak,23.1,11.63,99.0,Stuff+·vol,0.162,,,105.0,36.0
MINE,Parker Messick,Cle,,12.35,101.0,Stuff+·vol,0.153,,,105.0,36.0
FA,Drew Rasmussen,TB,91.8,12.52,102.0,Stuff+·vol,0.147,,,103.0,35.0
FA,Shane Drohan,Mil,13.1,13.26,106.0,Stuff+·vol,0.138,,,102.0,35.0
MINE,Freddy Peralta,NYM,,11.31,98.0,Stuff+·vol,0.159,,,101.0,34.0
FA,Tanner Bibee,Cle,67.7,10.97,98.0,Stuff+·vol,0.164,,,100.0,34.0
FA,Landen Roupp,SF,28.9,11.83,99.0,Stuff+·vol,0.151,,,99.0,34.0
MINE,Logan Henderson,Mil,,13.72,108.0,Stuff+·vol,0.127,,,97.0,33.0
FA,Jack Flaherty,Det,43.4,12.04,102.0,Stuff+·vol,0.144,,,97.0,33.0
FA,Emmet Sheehan,LAD,54.9,13.5,108.0,Stuff+·vol,0.129,,,97.0,33.0
FA,Ronel Blanco,Hou,4.2,12.12,,talent_prior·flat↓,,,,94.0,32.0
FA,Noah Cameron,KC,12.7,10.9,97.0,Stuff+·vol,0.154,,,94.0,32.0
FA,Dustin May,StL,13.0,11.33,99.0,Stuff+·vol,0.147,,,93.0,32.0
FA,Brandon Pfaadt,Ari,4.5,10.65,94.0,Stuff+·vol,0.157,,,93.0,32.0
FA,Sean Manaea,NYM,2.6,11.79,96.0,Stuff+·vol,0.141,,,93.0,32.0
FA,Will Warren,NYY,48.1,11.12,98.0,Stuff+·vol,0.148,,,92.0,31.0
FA,Brady Singer,Cin,8.3,10.78,99.0,Stuff+·vol,0.153,,,92.0,32.0
FA,Jake Bennett,Bos,45.1,11.51,97.0,Stuff+·vol,0.141,,,91.0,31.0
FA,Dean Kremer,Bal,5.9,10.71,90.0,Stuff+·vol,0.151,,,90.0,31.0
FA,Michael Wacha,KC,60.4,10.6,96.0,Stuff+·vol,0.152,,,90.0,31.0
FA,Grant Holmes,Atl,13.8,11.21,99.0,Stuff+·vol,0.142,,,89.0,30.0
FA,Roki Sasaki,LAD,22.6,12.04,102.0,Stuff+·vol,0.132,,,89.0,30.0
FA,Trevor Rogers,Bal,47.1,10.52,97.0,Stuff+·vol,0.152,,,89.0,31.0
FA,Zebby Matthews,Min,6.9,10.61,96.0,Stuff+·vol,0.149,,,88.0,30.0
FA,Spencer Arrighetti,Hou,24.8,11.05,99.0,Stuff+·vol,0.142,,,88.0,30.0
FA,Andre Pallante,StL,18.5,10.14,92.0,Stuff+·vol,0.155,,,88.0,30.0
FA,Christian Scott,NYM,9.4,12.4,102.0,Stuff+·vol,0.126,,,87.0,30.0
FA,Andrew Abbott,Cin,43.8,10.06,95.0,Stuff+·vol,0.155,,,87.0,30.0
FA,Kyle Bradish,Bal,75.1,11.74,99.0,Stuff+·vol,0.129,,,84.0,29.0
FA,Matthew Liberatore,StL,4.0,10.75,97.0,Stuff+·vol,0.141,,,84.0,29.0
FA,Brandon Sproat,Mil,5.6,11.58,99.0,Stuff+·vol,0.13,,,84.0,29.0
FA,Walbert Urena,LAA,12.5,11.98,101.0,Stuff+·vol,0.126,,,84.0,29.0
FA,Kyle Freeland,Col,0.8,10.67,98.0,Stuff+·vol,0.14,,,83.0,28.0
FA,Brandon Young,Bal,15.9,10.55,96.0,Stuff+·vol,0.14,,,82.0,28.0
FA,Tatsuya Imai,Hou,17.6,12.64,106.0,Stuff+·vol,0.117,,,82.0,28.0
FA,Robert Gasser,Mil,5.8,10.69,99.0,Stuff+·vol,0.137,,,82.0,28.0
FA,Luis Castillo,Sea,49.3,11.02,97.0,Stuff+·vol,0.133,,,82.0,28.0
FA,Luis F. Castillo,FA,0.0,11.02,97.0,Stuff+·vol,0.133,,,82.0,28.0
FA,Walker Buehler,SD,4.7,10.16,94.0,Stuff+·vol,0.144,,,81.0,28.0
FA,Tyler Wells,Bal,5.2,10.43,,talent_prior·flat↓,,,,81.0,28.0
FA,Tyler Mahle,SF,1.3,10.5,96.0,Stuff+·vol,0.139,,,81.0,28.0
FA,Ryan Feltner,Col,1.6,10.34,96.0,Stuff+·vol,0.139,,,80.0,27.0
MINE,Tyler Glasnow,LAD,,15.25,114.0,Stuff+·vol,0.117,SIXTY_DAY_DL,2026-08-02,79.0,34.0
FA,Michael McGreevy,StL,22.9,9.24,89.0,Stuff+·vol,0.151,,,78.0,27.0
FA,Trevor McDonald,SF,3.3,10.92,96.0,Stuff+·vol,0.126,,,77.0,26.0
FA,Colin Rea,ChC,4.0,9.5,92.0,Stuff+·vol,0.145,,,77.0,26.0
FA,Clayton Kershaw,FA,0.1,9.95,,talent_prior·flat↓,,,,77.0,26.0
FA,Reynaldo Lopez,Atl,9.3,10.78,95.0,Stuff+·vol,0.127,,,77.0,26.0
FA,Bailey Ober,Min,17.4,9.32,92.0,Stuff+·vol,0.145,,,76.0,26.0
FA,Griffin Canning,SD,0.5,10.54,96.0,Stuff+·vol,0.13,,,76.0,26.0
FA,Kumar Rocker,Tex,3.8,11.02,96.0,Stuff+·vol,0.12,,,74.0,25.0
FA,Bubba Chandler,Pit,19.8,10.14,95.0,Stuff+·vol,0.129,,,73.0,25.0
FA,Julio Urias,FA,0.0,9.41,,talent_prior·flat↓,,,,73.0,25.0
FA,Jeffrey Springs,Oak,10.1,10.37,97.0,Stuff+·vol,0.126,,,73.0,25.0
FA,Mitch Keller,Pit,22.8,9.25,90.0,Stuff+·vol,0.14,,,72.0,25.0
FA,Slade Cecconi,Cle,3.6,9.6,92.0,Stuff+·vol,0.133,,,71.0,24.0
FA,Anthony Kay,ChW,4.3,9.78,92.0,Stuff+·vol,0.129,,,71.0,24.0
FA,Ryan Bergert,KC,0.0,9.09,,talent_prior·flat↓,,,,71.0,24.0
FA,Noah Schultz,ChW,4.1,9.81,95.0,Stuff+·vol,0.126,,,69.0,24.0
FA,Kyle Gibson,FA,0.0,8.71,,talent_prior·flat↓,,,,68.0,23.0
FA,J.P. France,Hou,0.0,8.82,,talent_prior·flat↓,,,,68.0,24.0
FA,Tanner Gordon,Col,0.1,10.97,96.0,Stuff+·vol,0.111,,,68.0,23.0
FA,Merrill Kelly,Ari,21.1,8.59,89.0,Stuff+·vol,0.142,,,68.0,23.0
FA,Martin Perez,Atl,6.3,10.47,95.0,Stuff+·vol,0.119,FIFTEEN_DAY_DL,2026-07-22,68.0,24.0
MINE,Max Fried,NYY,,11.38,97.0,Stuff+·vol,0.119,FIFTEEN_DAY_DL,2026-07-27,67.0,26.0
FA,Andrew Alvarez,Wsh,1.3,13.26,102.0,Stuff+·vol,0.09,,,67.0,23.0
FA,Cal Quantrill,Tex,0.3,9.36,90.0,Stuff+·vol,0.126,,,66.0,23.0
FA,Michael Lorenzen,Col,0.6,8.69,89.0,Stuff+·vol,0.137,,,66.0,23.0
FA,Gabriel Hughes,Col,0.5,9.47,,rp3_dd·vol,0.123,,,65.0,22.0
FA,Ben Lively,Cle,0.0,8.31,,talent_prior·flat↓,,,,65.0,22.0
FA,JP Sears,SD,1.2,8.5,,rp3_dd·vol,0.135,,,64.0,22.0
FA,David Peterson,ChC,2.9,10.28,94.0,Stuff+·vol,0.111,,,64.0,22.0
FA,Lance Lynn,FA,0.0,7.98,,talent_prior·flat↓,,,,62.0,21.0
FA,Clay Holmes,NYM,17.0,11.71,98.0,Stuff+·vol,0.109,SIXTY_DAY_DL,2026-07-28,62.0,24.0
FA,Jameson Taillon,ChC,4.3,11.07,99.0,Stuff+·vol,0.099,,,61.0,21.0
FA,Nestor Cortes,FA,0.1,10.15,,talent_prior·flat↓,,OUT,2026-08-03,61.0,27.0
FA,Tyler Anderson,LAA,0.1,7.8,,talent_prior·flat↓,,,,60.0,21.0
FA,Gavin Stone,LAD,0.1,10.36,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-05,60.0,27.0
FA,Andrew Heaney,FA,0.0,7.79,,talent_prior·flat↓,,,,60.0,21.0
FA,Keider Montero,Det,10.1,9.44,91.0,Stuff+·vol,0.114,,,60.0,20.0
FA,Rhett Lowder,Cin,2.3,9.54,92.0,Stuff+·vol,0.112,,,59.0,20.0
FA,Aaron Civale,ChC,2.0,9.04,94.0,Stuff+·vol,0.116,,,59.0,20.0
FA,German Marquez,SD,1.3,8.15,87.0,Stuff+·vol,0.13,,,59.0,20.0
FA,Zac Thornton,NYM,4.6,9.6,,rp3_dd·vol,0.107,,,58.0,20.0
FA,Charlie Morton,FA,0.1,7.53,,talent_prior·flat↓,,,,58.0,20.0
FA,Joey Estes,Oak,0.0,7.38,,talent_prior·flat↓,,,,57.0,20.0
FA,Janson Junk,Mia,2.7,9.07,90.0,Stuff+·vol,0.113,,,57.0,19.0
FA,Marcus Stroman,FA,0.1,7.34,,talent_prior·flat↓,,,,57.0,19.0
FA,Drew Anderson,Det,0.5,10.98,,rp3_dd·vol,0.09,,,55.0,19.0
FA,Cole Irvin,LAD,0.0,7.09,,talent_prior·flat↓,,,,55.0,19.0
FA,Wade Miley,FA,0.0,9.17,,talent_prior·flat↓,,OUT,2026-08-03,55.0,24.0
FA,Patrick Sandoval,Bos,1.7,8.84,,rp3_dd·vol,0.112,,,55.0,19.0
FA,Chad Patrick,Mil,4.8,10.79,,rp3_dd·vol,0.091,,,55.0,19.0
FA,Erick Fedde,ChW,3.1,7.77,,rp3_dd·vol,0.127,,,55.0,19.0
FA,Kyle Hendricks,FA,0.0,6.9,,talent_prior·flat↓,,,,54.0,18.0
FA,Logan Allen,Cle,0.8,6.92,,talent_prior·flat↓,,,,54.0,18.0
FA,Yu Darvish,SD,0.1,8.96,,talent_prior·flat↓,,OUT,2026-08-03,54.0,24.0
FA,Alex Cobb,FA,0.0,8.95,,talent_prior·flat↓,,OUT,2026-08-03,54.0,24.0
FA,Luis Ortiz,Cle,0.0,8.84,,talent_prior·flat↓,,OUT,2026-08-03,53.0,24.0
FA,Patrick Corbin,Tor,0.8,9.19,90.0,Stuff+·vol,0.103,,,53.0,18.0
FA,Randy Vasquez,SD,13.3,8.91,90.0,Stuff+·vol,0.107,,,53.0,18.0
FA,Lance McCullers Jr.,Mil,2.6,11.59,102.0,Stuff+·vol,0.08,,,52.0,18.0
FA,Alan Rangel,Phi,0.7,8.65,,rp3_dd·vol,0.107,,,52.0,18.0
FA,Javier Assad,ChC,4.0,7.72,81.0,Stuff+·vol,0.121,,,52.0,18.0
FA,Jake Irvin,Wsh,0.5,11.93,102.0,Stuff+·vol,0.103,SIXTY_DAY_DL,2026-08-05,51.0,23.0
FA,Justin Verlander,Det,1.6,8.68,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-04,51.0,23.0
FA,Colton Gordon,Hou,0.0,6.59,,talent_prior·flat↓,,,,51.0,18.0
FA,Michael Soroka,Ari,52.3,11.55,99.0,Stuff+·vol,0.102,FIFTEEN_DAY_DL,2026-08-04,50.0,22.0
FA,Johan Oviedo,Bos,0.2,8.52,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-04,50.0,23.0
FA,Connor Prielipp,Min,1.6,11.22,98.0,Stuff+·vol,0.089,FIFTEEN_DAY_DL,2026-07-26,50.0,19.0
FA,Jacob Lopez,Oak,0.6,8.37,90.0,Stuff+·vol,0.106,,,50.0,17.0
FA,Kai-Wei Teng,Hou,0.9,12.16,102.0,Stuff+·vol,0.073,,,50.0,17.0
FA,Eric Lauer,LAD,4.4,7.93,87.0,Stuff+·vol,0.114,,,50.0,17.0
FA,Yusei Kikuchi,LAA,7.2,11.33,100.0,Stuff+·vol,0.096,SIXTY_DAY_DL,2026-07-31,50.0,21.0
FA,Jonathan Cannon,ChW,0.0,6.36,,talent_prior·flat↓,,,,49.0,17.0
FA,Carlos Rodon,NYY,55.3,12.53,102.0,Stuff+·vol,0.105,FIFTEEN_DAY_DL,2026-08-11,48.0,25.0
FA,Ryan Gusto,Mia,0.1,9.93,94.0,Stuff+·vol,0.087,,,48.0,16.0
FA,Kenta Maeda,FA,0.0,6.14,,talent_prior·flat↓,,,,48.0,16.0
FA,Nick Pivetta,SD,54.8,12.32,,talent_prior·vol,0.104,SIXTY_DAY_DL,2026-08-10,47.0,24.0
FA,Carson Palmquist,Wsh,0.0,8.76,,rp3_dd·vol,0.094,,,46.0,16.0
FA,Grayson Rodriguez,LAA,2.3,8.41,90.0,Stuff+·vol,0.098,,,46.0,16.0
FA,Tomoyuki Sugano,Col,1.9,7.75,86.0,Stuff+·vol,0.104,,,45.0,15.0
FA,Josiah Gray,Wsh,0.1,8.03,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-07,44.0,21.0
FA,Zack Littell,Wsh,2.6,7.37,,rp3_dd·vol,0.107,,,44.0,15.0
FA,Tony Gonsolin,LAD,0.0,7.34,,talent_prior·flat↓,,OUT,2026-08-03,44.0,19.0
FA,Frankie Montas,FA,0.0,7.37,,talent_prior·flat↓,,OUT,2026-08-03,44.0,20.0
FA,Trey Gibson,Bal,0.1,9.86,96.0,Stuff+·vol,0.078,,,43.0,15.0
FA,Kris Bubic,KC,27.6,11.89,101.0,Stuff+·vol,0.097,SIXTY_DAY_DL,2026-08-10,43.0,22.0
FA,Hunter Dobbins,StL,0.2,8.54,,rp3_dd·vol,0.089,,,43.0,15.0
FA,Rich Hill,FA,0.0,5.63,,talent_prior·flat↓,,,,43.0,15.0
FA,Austin Gomber,Tex,0.0,5.58,,talent_prior·flat↓,,,,43.0,15.0
FA,Spencer Miles,Tor,1.3,9.26,,rp3_dd·vol,0.081,,,42.0,14.0
FA,Joe Boyle,TB,0.4,8.74,,rp3_dd·vol,0.086,,,42.0,14.0
FA,Kendry Rojas,Min,0.1,9.52,,rp3_dd·vol,0.079,,,42.0,14.0
FA,Carson Whisenhunt,SF,0.2,8.27,,rp3_dd·vol,0.091,,,42.0,14.0
FA,Adrian Houser,SF,0.4,8.56,87.0,Stuff+·vol,0.087,,,42.0,14.0
FA,Miles Mikolas,Wsh,0.5,6.7,,rp3_dd·vol,0.114,,,42.0,14.0
FA,Stephen Kolek,KC,5.5,9.27,90.0,Stuff+·vol,0.104,FIFTEEN_DAY_DL,2026-08-04,41.0,18.0
FA,Cooper Criswell,Sea,0.1,7.7,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-08,41.0,21.0
FA,Andrew Morris,Min,2.4,11.09,,rp3_dd·vol,0.066,,,41.0,14.0
FA,JR Ritchie,Atl,2.1,8.17,,rp3_dd·vol,0.09,,,41.0,14.0
FA,Mike Burrows,Hou,1.9,9.55,92.0,Stuff+·vol,0.107,FIFTEEN_DAY_DL,2026-08-07,40.0,19.0
FA,Andrew Painter,Phi,5.1,9.87,95.0,Stuff+·vol,0.073,,,40.0,14.0
FA,Jose Cabrera,Ari,0.2,7.6,,rp3_dd·vol,0.091,,,39.0,13.0
FA,Jean Cabrera,Phi,0,7.6,,rp3_dd·vol,0.091,,,39.0,13.0
FA,Jose Suarez,Oak,0.1,9.15,,rp3_dd·vol,0.074,,,38.0,13.0
FA,Kodai Senga,NYM,4.8,9.06,,rp3_dd·vol,0.073,,,37.0,13.0
FA,Edward Cabrera,ChC,21.9,11.21,98.0,Stuff+·vol,0.094,FIFTEEN_DAY_DL,2026-08-12,37.0,20.0
FA,Cade Povich,Bal,0.2,7.58,,rp3_dd·vol,0.088,,,37.0,13.0
FA,Carlos Carrasco,Atl,0.0,4.79,,talent_prior·flat↓,,,,37.0,13.0
FA,Sam Aldegheri,LAA,0.1,8.42,89.0,Stuff+·vol,0.077,,,36.0,12.0
FA,Brayan Bello,Bos,2.9,8.87,,rp3_dd·vol,0.07,,,35.0,12.0
FA,Chris Paddack,Tex,0.1,7.3,,rp3_dd·vol,0.081,,,33.0,11.0
FA,Luis Gil,NYY,1.0,7.63,,talent_prior·vol,0.078,,,33.0,11.0
FA,Shane Smith,ChW,1.8,8.83,,rp3_dd·vol,0.064,,,32.0,11.0
FA,Dakota Hudson,LAA,0.0,4.08,,talent_prior·flat↓,,,,32.0,11.0
FA,Elmer Rodriguez,NYY,0.6,9.33,90.0,Stuff+·vol,0.062,,,32.0,11.0
FA,Hurston Waldrep,Atl,1.2,7.92,,rp3_dd·vol,0.071,,,31.0,11.0
FA,Chris Bassitt,Bal,3.0,8.83,89.0,Stuff+·vol,0.082,SIXTY_DAY_DL,2026-08-04,31.0,14.0
FA,Cristian Javier,Hou,0.8,7.7,,rp3_dd·vol,0.07,,,30.0,10.0
FA,Lucas Giolito,SD,1.2,7.57,87.0,Stuff+·vol,0.079,FIFTEEN_DAY_DL,2026-07-28,29.0,11.0
FA,Matt Waldron,SD,0.1,7.96,,rp3_dd·vol,0.066,,,29.0,10.0
FA,Jason Alexander,Hou,0.0,7.26,,talent_prior·vol,0.068,,,28.0,9.0
FA,Coleman Crow,Mil,0.1,6.99,,rp3_dd·vol,0.07,,,27.0,9.0
FA,Spencer Strider,Atl,52.6,13.05,108.0,Stuff+·vol,0.086,SIXTY_DAY_DL,2026-08-25,26.0,16.0
FA,Ty Blach,ChC,0,3.29,,talent_prior·flat↓,,,,26.0,9.0
FA,Simeon Woods Richardson,Tor,0.3,6.04,,rp3_dd·vol,0.075,,,25.0,9.0
FA,Chase Petty,Cin,0.1,7.08,,rp3_dd·vol,0.063,,,25.0,9.0
FA,Sean Sullivan,Col,0.0,5.52,81.0,Stuff+·vol,0.078,,,24.0,8.0
FA,Mitch Bratt,Ari,0.3,6.1,,rp3_dd·vol,0.071,,,24.0,8.0
FA,Brandon Williamson,Cin,0.1,7.98,89.0,Stuff+·vol,0.065,SIXTY_DAY_DL,2026-08-01,23.0,10.0
FA,Jose Quintana,Col,0.2,7.29,86.0,Stuff+·vol,0.087,SIXTY_DAY_DL,2026-08-14,21.0,12.0
FA,Taijuan Walker,LAA,0.1,5.69,,rp3_dd·vol,0.062,,,20.0,7.0
FA,Luis Severino,Oak,3.1,11.21,98.0,Stuff+·vol,0.104,SIXTY_DAY_DL,2026-09-01,20.0,12.0
FA,Jesse Scholtens,TB,0.4,6.16,,talent_prior·vol,0.066,FIFTEEN_DAY_DL,2026-07-29,19.0,8.0
FA,Bailey Falter,KC,0.0,6.46,,rp3_dd·vol,0.053,,,19.0,7.0
FA,Antonio Senzatela,Col,4.2,2.33,,talent_prior·flat↓,,,,18.0,6.0
FA,Ryne Nelson,Ari,4.1,9.21,92.0,Stuff+·vol,0.105,SIXTY_DAY_DL,2026-09-01,17.0,10.0
FA,Braxton Garrett,Mia,0.5,7.62,,rp3_dd·vol,0.038,,,16.0,5.0
FA,Max Scherzer,Tor,2.0,6.11,81.0,Stuff+·vol,0.058,FIFTEEN_DAY_DL,2026-08-02,16.0,7.0
FA,George Klassen,LAA,0.1,7.4,,rp3_dd·vol,0.035,,,14.0,5.0
FA,Luis Morales,Oak,0.1,5.81,,rp3_dd·vol,0.036,,,12.0,4.0
FA,Spencer Schwellenbach,Atl,11.3,12.76,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,10.0,6.0
FA,Pablo Lopez,Min,3.0,11.46,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,9.0,5.0
FA,Corbin Burnes,Ari,4.8,12.06,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,9.0,6.0
FA,Justin Steele,ChC,3.0,11.35,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,9.0,5.0
FA,Joe Musgrove,SD,8.2,10.81,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,8.0,5.0
FA,Quinn Priester,Mil,1.1,9.47,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,7.0,4.0
FA,Kutter Crawford,Bos,0.1,9.62,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,7.0,4.0
FA,Tanner Houck,Bos,0.1,9.74,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,7.0,4.0
FA,Clarke Schmidt,NYY,0.5,9.64,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,7.0,4.0
FA,Reese Olson,Det,0.3,9.73,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,7.0,4.0
FA,DJ Herz,Wsh,0.1,9.6,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,7.0,4.0
FA,David Festa,Min,0.1,8.43,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,7.0,4.0
FA,Alec Marsh,KC,0.0,7.79,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,6.0,4.0
FA,Bowden Francis,Tor,0.0,8.2,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,6.0,4.0
FA,Tylor Megill,NYM,0.1,7.74,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,6.0,4.0
FA,Jordan Montgomery,Tex,0.3,7.79,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,6.0,4.0
FA,Trevor Williams,Wsh,0.0,6.61,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-14,5.0,3.0
FA,Jack Leiter,Tex,11.3,11.64,100.0,Stuff+·vol,0.093,FIFTEEN_DAY_DL,2026-09-15,5.0,3.0
