name,nk,position,proTeam,pct_owned,eligibleSlots,trend,flags,n_pos_flags,n_neg_flags,xfp_per_pa,ros_fp,signal,repl_delta,primary_pos
Jose Caballero,josecaballero,RF,NYY,41.82,"['2B', '3B', 'SS', '2B/SS', '1B/3B', 'IF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",stable,"['+k_pct', '+whiff_per_swing', '-hard_hit_pct', '-bat_speed_mean']",2,2,0.4286877567785817,151.8,drop,-0.0964,SS
Francisco Alvarez,franciscoalvarez,C,NYM,16.6,"['C', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '-ev_p90', '-hard_hit_pct', '-barrel_pct', '+bat_speed_mean']",1,4,0.4759085122256514,150.4,hold,-0.0535,C
Cedric Mullins,cedricmullins,CF,TB,1.82,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+bat_speed_mean']",2,0,0.4482753097727338,149.3,hold,-0.039,OF
Justin Crawford,justincrawford,CF,Phi,4.88,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+ev_p90', '+hard_hit_pct']",3,0,0.471023414391563,148.8,hold,-0.0162,OF
Isaac Collins,isaaccollins,LF,KC,1.18,"['LF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+ev_p90', '+hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",3,2,0.4659143438208721,145.8,hold,-0.0214,OF
Lawrence Butler,lawrencebutler,RF,Oak,13.86,"['CF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",1,4,0.4349606143401589,144.8,hold,-0.0523,OF
Jose Fernandez,josefernandez,SS,Ari,4.24,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', 'DH', '1B', '1B/3B']",stable,"['+k_pct', '-ev_p90']",1,1,0.5001601888522832,144.5,hold,-0.0655,1B
Jacob Young,jacobyoung,CF,Wsh,0.69,"['CF', 'OF', 'UTIL', 'BE', 'IL']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-bat_speed_mean']",0,6,0.4108825692492485,144.2,drop,-0.0764,OF
Ceddanne Rafaela,ceddannerafaela,CF,Bos,37.5,"['2B', '2B/SS', 'IF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '-barrel_pct']",1,3,0.4117728347660426,142.1,drop,-0.0755,OF
Ezequiel Tovar,ezequieltovar,SS,Col,4.73,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",2,3,0.3594378050121655,142.0,drop,-0.1657,SS
Jake Cronenworth,jakecronenworth,2B,SD,4.13,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",DECLINING,"['-ev_mean', '-ev_p90', '-bat_speed_mean']",0,3,0.4263315249269258,141.1,drop,-0.0863,2B
Nolan Gorman,nolangorman,3B,StL,4.68,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",4,1,0.3748236264065062,140.6,drop,-0.1332,3B
Gavin Sheets,gavinsheets,LF,SD,4.5,"['LF', 'OF', 'DH', 'UTIL', 'BE', 'IL', '1B', '1B/3B', 'IF']",stable,"['+k_pct', '+whiff_per_swing', '-ev_p90', '-hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",3,3,0.4956418541332793,140.3,hold,-0.0701,1B
Andrew Benintendi,andrewbenintendi,LF,ChW,2.25,"['LF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",5,2,0.4324052665872946,139.2,hold,-0.0549,OF
Nathan Church,nathanchurch,CF,StL,3.44,"['CF', 'RF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",6,1,0.4510130192532499,138.5,hold,-0.0363,OF
Yainer Diaz,yainerdiaz,C,Hou,48.47,"['C', 'DH', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct']",6,0,0.4421767273711086,138.4,drop,-0.0873,C
Colt Keith,coltkeith,DH,Det,8.46,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_p90', '-hard_hit_pct', '-bat_speed_mean']",3,2,0.4487125593253085,137.8,hold,-0.0593,3B
Nasim Nunez,nasimnunez,SS,Wsh,5.15,"['2B', 'SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '-ev_p90']",3,1,0.402429718168823,137.6,drop,-0.1103,2B
Connor Norby,connornorby,3B,Mia,1.34,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '1B']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_mean', '+ev_p90', '+barrel_pct']",2,3,0.392947405479632,136.7,drop,-0.1728,1B
Carson Kelly,carsonkelly,C,ChC,10.24,"['C', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct']",1,4,0.4778736204393332,135.2,hold,-0.0516,C
Luis Robert Jr.,luisrobertjr,CF,NYM,24.25,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",5,1,0.4655973155389948,134.6,hold,-0.0217,OF
Austin Martin,austinmartin,LF,Min,1.42,"['LF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+ev_mean', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",3,2,0.4743863168489308,132.8,hold,-0.0129,OF
Mike Yastrzemski,mikeyastrzemski,RF,Atl,1.38,"['RF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",slight_down,"['+ev_mean', '-ev_p90', '-hard_hit_pct', '-bat_speed_mean']",1,3,0.4122528378786203,132.7,drop,-0.075,OF
Trevor Larnach,trevorlarnach,DH,Min,2.38,"['RF', 'OF', 'DH', 'UTIL', 'BE', 'IL', 'LF']",stable,"['-k_pct', '+ev_mean', '+ev_p90', '-hard_hit_pct', '-barrel_pct', '+bat_speed_mean']",3,3,0.4769250207970269,132.1,hold,-0.0103,OF
Garrett Mitchell,garrettmitchell,CF,Mil,4.22,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",2,3,0.3884978892476585,131.7,drop,-0.0988,OF
Miguel Andujar,miguelandujar,3B,SD,2.23,"['3B', '1B/3B', 'IF', 'LF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-hard_hit_pct', '+barrel_pct']",3,2,0.5370386832562501,131.6,hold,0.029,3B
Victor Caratini,victorcaratini,C,Min,0.92,"['C', 'DH', 'UTIL', 'BE', 'IL', '1B', '1B/3B', 'IF']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_p90', '-hard_hit_pct', '-barrel_pct', '+bat_speed_mean']",1,5,0.441572756114822,131.6,drop,-0.0879,C
Tyler Stephenson,tylerstephenson,C,Cin,1.6,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['+whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",3,2,0.4725255879855322,130.9,hold,-0.0569,C
Matt Wallner,mattwallner,RF,Min,1.09,"['RF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",3,2,0.3733476999757512,128.8,drop,-0.1139,OF
Kyle Isbel,kyleisbel,CF,KC,3.57,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '-hard_hit_pct', '-bat_speed_mean']",2,4,0.4594663776019821,128.7,hold,-0.0278,OF
Matt Shaw,mattshaw,3B,ChC,2.83,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'RF', 'OF']",DECLINING,"['-k_pct', '-ev_mean', '-hard_hit_pct', '-bat_speed_mean']",0,4,0.5033805146013882,127.9,hold,0.0161,OF
David Hamilton,davidhamilton,2B,Mil,0.78,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', '3B', '1B/3B', 'SS']",stable,"['-k_pct', '-ev_mean', '+ev_p90', '+hard_hit_pct']",2,2,0.4343690652457079,126.8,drop,-0.0737,3B
Austin Wells,austinwells,C,NYY,9.98,"['C', 'UTIL', 'BE', 'IL']",stable,"['+k_pct', '+whiff_per_swing', '-barrel_pct', '-bat_speed_mean']",2,2,0.4623125103088197,125.7,hold,-0.0671,C
Gary Sanchez,garysanchez,C,Mil,4.04,"['C', 'UTIL', 'BE', 'IL', 'DH']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct']",2,4,0.4815825763799615,125.2,hold,-0.0479,C
Josh Smith,joshsmith,SS,Tex,2.2,"['1B', '3B', 'SS', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '2B']",IMPROVING,"['+whiff_per_swing', '+ev_mean', '+bat_speed_mean']",3,0,0.3790832736448544,122.1,drop,-0.1336,2B
Marcelo Mayer,marcelomayer,3B,Bos,2.89,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '2B', '2B/SS']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '+bat_speed_mean']",4,1,0.4256826404921777,121.7,drop,-0.087,2B
Dylan Beavers,dylanbeavers,LF,Bal,1.47,"['LF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",stable,"['-whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct']",2,2,0.4313829227440768,120.8,hold,-0.0559,OF
Ke'Bryan Hayes,kebryanhayes,3B,Cin,0.5,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",3,4,0.4534973658980208,120.6,hold,-0.0545,3B
Giancarlo Stanton,giancarlostanton,DH,NYY,26.7,"['RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",stable,"['-k_pct', '-whiff_per_swing', '+ev_mean', '+hard_hit_pct']",2,2,0.4407941827519389,119.9,hold,0.0,DH
Brady House,bradyhouse,3B,Wsh,2.0,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",DECLINING,"['-whiff_per_swing', '-hard_hit_pct', '-bat_speed_mean']",0,3,0.3161155129744504,119.5,drop,-0.1919,3B
Eugenio Suarez,eugeniosuarez,3B,Cin,61.42,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'DH']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",2,3,0.4047784114265041,119.4,drop,-0.1032,3B
Josh Lowe,joshlowe,RF,LAA,0.97,"['RF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+hard_hit_pct', '+bat_speed_mean']",5,0,0.4211204504490559,119.2,hold,-0.0662,OF
Nick Fortes,nickfortes,C,TB,2.55,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",4,2,0.4529948030209413,119.1,drop,-0.0765,C
Luke Raley,lukeraley,RF,Sea,8.48,"['1B', '1B/3B', 'IF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-barrel_pct']",1,4,0.416142028767416,117.8,hold,-0.0711,OF
Nathaniel Lowe,nathaniellowe,1B,Cin,3.5,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'DH']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",1,6,0.5657062772493434,115.4,hold,0.0,1B
Rhys Hoskins,rhyshoskins,1B,Cle,2.0,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['-whiff_per_swing', '+ev_p90', '+hard_hit_pct']",2,1,0.4105687181382715,115.0,drop,-0.1551,1B
Kody Clemens,kodyclemens,1B,Min,0.54,"['1B', '2B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '-barrel_pct', '+bat_speed_mean']",5,2,0.4324931328338245,115.0,drop,-0.1332,1B
Samuel Basallo,samuelbasallo,C,Bal,23.81,"['C', 'UTIL', 'BE', 'IL', 'DH']",stable,"['+k_pct', '-whiff_per_swing', '+hard_hit_pct', '-bat_speed_mean']",2,2,0.3888292983423537,114.7,drop,-0.1406,C
Mark Vientos,markvientos,3B,NYM,4.16,"['3B', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL', '1B']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_mean', '+ev_p90', '-hard_hit_pct', '+barrel_pct']",2,4,0.4247100774769906,114.2,drop,-0.141,1B
Kyle Manzardo,kylemanzardo,DH,Cle,3.26,"['1B', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",stable,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",3,3,0.3612443628158033,114.2,drop,-0.2045,1B
Edouard Julien,edouardjulien,1B,Col,0.87,"['1B', '2B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_p90', '-barrel_pct', '-bat_speed_mean']",3,2,0.380723689290253,113.5,drop,-0.132,2B
Brett Baty,brettbaty,3B,NYM,3.27,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'RF', 'OF', '1B']",slight_down,"['+k_pct', '-whiff_per_swing', '-ev_p90', '-hard_hit_pct']",1,3,0.3553510543077552,113.4,drop,-0.1319,OF
Curtis Mead,curtismead,1B,Wsh,0.7,"['1B', '3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90']",0,4,0.4646498858221436,112.4,drop,-0.1011,1B
Willi Castro,willicastro,RF,Col,6.11,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'LF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",6,0,0.3847549897850413,112.3,drop,-0.1279,2B
Javier Sanoja,javiersanoja,LF,Mia,4.24,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'LF', 'OF', 'UTIL', 'P', 'RP', 'BE', 'IL']",stable,"['-ev_mean', '+ev_p90', '-barrel_pct', '+bat_speed_mean']",2,2,0.5000191796063685,112.0,hold,-0.008,3B
Ben Williamson,benwilliamson,3B,TB,0.55,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '2B', '2B/SS']",slight_up,"['-k_pct', '+whiff_per_swing', '+bat_speed_mean']",2,1,0.3894983009643155,111.4,drop,-0.1232,2B
Dominic Canzone,dominiccanzone,RF,Sea,3.13,"['RF', 'OF', 'UTIL', 'BE', 'IL', 'DH']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_mean', '+ev_p90', '-hard_hit_pct', '-barrel_pct']",1,5,0.4712736615630863,111.2,hold,-0.016,OF
Royce Lewis,roycelewis,3B,Min,6.79,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",DECLINING,"['-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",0,6,0.4454885034240344,110.5,hold,-0.0625,3B
Dominic Smith,dominicsmith,1B,Atl,4.19,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'DH']",stable,"['-whiff_per_swing', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",2,2,0.5175706128599675,109.7,hold,-0.0481,1B
Alek Thomas,alekthomas,CF,Ari,0.53,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",2,3,0.4016574384437482,109.3,drop,-0.0856,OF
Daniel Schneemann,danielschneemann,2B,Cle,8.73,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",1,6,0.3966854685723777,108.7,drop,-0.0906,OF
Leody Taveras,leodytaveras,CF,Bal,1.66,"['CF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '-whiff_per_swing', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",3,2,0.4234233788690545,107.5,hold,-0.0638,OF
Owen Caissie,owencaissie,RF,Mia,3.23,"['RF', 'OF', 'UTIL', 'BE', 'IL']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-bat_speed_mean']",0,6,0.354322985730339,105.6,drop,-0.1329,OF
Joey Ortiz,joeyortiz,SS,Mil,0.88,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing']",2,0,0.4220188015944666,103.4,drop,-0.1031,SS
Jake Mangum,jakemangum,LF,Pit,0.45,"['LF', 'CF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_p90', '-hard_hit_pct']",0,4,0.4433218342052786,103.3,hold,-0.0439,OF
Javier Baez,javierbaez,SS,Det,3.63,"['3B', 'SS', '2B/SS', '1B/3B', 'IF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_p90', '-hard_hit_pct', '-bat_speed_mean']",2,3,0.4261840286317239,103.1,drop,-0.0989,SS
Matt Vierling,mattvierling,CF,Det,0.31,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+ev_mean', '+ev_p90', '-barrel_pct']",2,1,0.4449998537668088,102.3,hold,-0.0423,OF
Bo Naylor,bonaylor,C,Cle,1.14,"['C', 'UTIL', 'BE', 'IL']",slight_down,"['+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",1,3,0.4327093723767699,102.1,drop,-0.0967,C
Brenton Doyle,brentondoyle,CF,Col,6.87,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",1,4,0.3527477391831711,101.9,drop,-0.1345,OF
Oswald Peraza,oswaldperaza,3B,LAA,2.7,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '2B', '2B/SS']",IMPROVING,"['+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct']",5,0,0.3384652873282334,101.9,drop,-0.1742,2B
Coby Mayo,cobymayo,1B,Bal,1.15,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '3B']",slight_up,"['-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct']",3,1,0.3679320983456091,101.9,drop,-0.1401,3B
Amed Rosario,amedrosario,3B,NYY,1.15,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",2,4,0.5105663684978081,101.1,hold,0.0025,3B
Brice Matthews,bricematthews,2B,Hou,2.15,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', 'OF', 'LF', 'CF']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",4,2,0.4335620383176612,99.7,hold,-0.0537,OF
Jake McCarthy,jakemccarthy,LF,Col,2.8,"['LF', 'OF', 'UTIL', 'BE', 'IL', 'CF']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",2,5,0.460212627489121,98.9,hold,-0.0271,OF
Tyler Freeman,tylerfreeman,RF,Col,0.52,"['RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '-ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",4,1,0.480157517840891,98.0,hold,-0.0071,OF
Pedro Pages,pedropages,C,StL,0.6,"['C', 'UTIL', 'BE', 'IL']",stable,"['-k_pct', '+whiff_per_swing', '-ev_mean', '+barrel_pct']",2,2,0.4086673500554031,97.7,drop,-0.1208,C
Danny Jansen,dannyjansen,C,Tex,0.54,"['C', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-barrel_pct', '-bat_speed_mean']",1,5,0.4088338128720079,97.7,drop,-0.1206,C
Ryan McMahon,ryanmcmahon,3B,NYY,1.79,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+ev_mean', '+ev_p90', '+barrel_pct', '+bat_speed_mean']",4,0,0.3812213292601891,96.8,drop,-0.1268,3B
Jonny DeLuca,jonnydeluca,CF,TB,0.68,"['CF', 'OF', 'UTIL', 'BE', 'IL', 'RF']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",0,5,0.4519417904350016,95.8,hold,-0.0353,OF
Logan O'Hoppe,loganohoppe,C,LAA,2.28,"['C', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",1,4,0.3492529175195999,95.7,drop,-0.1802,C
Carlos Narvaez,carlosnarvaez,C,Bos,1.5,"['C', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+ev_p90', '-hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",1,4,0.439190007463949,95.7,drop,-0.0903,C
