name,nk,position,proTeam,pct_owned,eligibleSlots,trend,flags,n_pos_flags,n_neg_flags,xfp_per_pa,ros_fp,signal,repl_delta,primary_pos
Davis Schneider,davisschneider,LF,Tor,0.43,"['2B', '2B/SS', 'IF', 'LF', 'OF', 'UTIL', 'BE', 'IL']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",0,7,0.4162379385792291,79.9,hold,-0.071,OF
Miguel Rojas,miguelrojas,2B,LAD,1.01,"['2B', '3B', 'SS', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",4,2,0.4821277085593528,79.6,hold,-0.043,SS
Gabriel Moreno,gabrielmoreno,C,Ari,21.95,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",5,1,0.4961788797874704,78.9,hold,-0.0333,C
Christian Vazquez,christianvazquez,C,Hou,1.17,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",4,1,0.4400829448060598,77.9,drop,-0.0894,C
Miguel Amaya,miguelamaya,C,ChC,0.79,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-whiff_per_swing', '+ev_mean', '+ev_p90', '+barrel_pct', '+bat_speed_mean']",4,1,0.4183160161326691,76.6,drop,-0.1111,C
Jonathan India,jonathanindia,2B,KC,6.95,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'LF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct']",3,1,0.4474440228162994,76.5,hold,-0.0652,2B
Freddy Fermin,freddyfermin,C,SD,0.52,"['C', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",2,3,0.3975857993769723,76.3,drop,-0.1319,C
Jordan Beck,jordanbeck,LF,Col,0.89,"['LF', 'OF', 'UTIL', 'BE', 'IL', 'RF']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '-hard_hit_pct', '-bat_speed_mean']",2,4,0.3578069546476722,75.1,drop,-0.1295,OF
Joey Loperfido,joeyloperfido,LF,Hou,0.34,"['LF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",1,6,0.3719490425531201,72.5,drop,-0.1153,OF
Tyler O'Neill,tyleroneill,RF,Bal,0.77,"['RF', 'OF', 'UTIL', 'BE', 'IL']",stable,"['-k_pct', '-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '-barrel_pct']",3,3,0.454663302770854,72.3,hold,-0.0326,OF
Vaughn Grissom,vaughngrissom,2B,LAA,0.77,"['2B', 'SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",5,0,0.4237631691414297,71.2,drop,-0.0889,2B
Tristan Gray,tristangray,2B,Min,0.39,"['2B', 'SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', '3B', '1B/3B']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",6,1,0.3805596401182801,69.6,drop,-0.1275,3B
Kyle Stowers,kylestowers,LF,Mia,32.77,"['LF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",insufficient_data,[],0,0,0.4453329557724724,69.5,hold,-0.0419,OF
Harrison Bader,harrisonbader,CF,SF,1.69,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",insufficient_data,[],0,0,0.4290320352277569,65.6,hold,-0.0582,OF
Kyle Higashioka,kylehigashioka,C,Tex,0.48,"['C', 'DH', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '-barrel_pct']",2,4,0.4051570171692257,64.4,drop,-0.1243,C
Everson Pereira,eversonpereira,CF,ChW,0.3,"['CF', 'OF', 'UTIL', 'BE', 'IL', 'RF']",stable,"['+k_pct', '-whiff_per_swing', '-ev_mean', '+barrel_pct']",2,2,0.2979345703819536,62.6,drop,-0.1893,OF
Colton Cowser,coltoncowser,CF,Bal,1.49,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL', 'RF']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",0,5,0.2875038158596712,59.5,drop,-0.1998,OF
