game_pk,pitcher,pitches,swings,whiffs,actual_K,actual_BB,actual_PA,baseline_swstr_rate,matchup_xWhiff,n_swings,baseline_xK,matchup_xK,year
744795,687792,81,40,8,3,3,21,0.2,8.579,40.0,2.6666666666666665,2.859666666666667,2024
744796,571578,73,39,7,3,1,23,0.1794871794871795,9.704,39.0,2.3333333333333335,3.234666666666667,2024
744796,608379,83,48,7,2,1,22,0.14583333333333334,9.823812728937728,48.0,2.3333333333333335,3.2746042429792426,2024
744797,592866,77,33,6,5,2,18,0.18181818181818182,7.744,33.0,2.0,2.5813333333333333,2024
744798,605400,96,51,16,7,0,23,0.3137254901960784,12.801063644688645,51.0,5.333333333333333,4.267021214896215,2024
744798,663623,66,30,7,3,3,21,0.23333333333333334,6.055,30.0,2.3333333333333335,2.018333333333333,2024
744799,554430,97,52,17,11,2,23,0.3269230769230769,11.48831456043956,52.0,5.666666666666667,3.829438186813187,2024
744799,669022,91,50,21,9,1,21,0.42,12.194,50.0,7.0,4.064666666666667,2024
744800,665795,100,50,15,9,1,22,0.3,12.864438186813187,50.0,5.0,4.288146062271062,2024
744800,687792,87,43,9,5,1,20,0.20930232558139536,9.85081272893773,43.0,3.0,3.283604242979243,2024
744801,669022,93,46,9,5,2,22,0.1956521739130435,10.046625457875457,46.0,3.0,3.3488751526251526,2024
744801,670124,75,30,4,2,2,21,0.13333333333333333,7.03,30.0,1.3333333333333333,2.3433333333333333,2024
744802,666142,89,46,10,6,3,23,0.21739130434782608,9.489438186813187,46.0,3.3333333333333335,3.1631460622710623,2024
744802,680730,91,44,10,5,2,22,0.22727272727272727,10.139,44.0,3.3333333333333335,3.3796666666666666,2024
744803,571578,94,43,11,6,1,22,0.2558139534883721,9.83081272893773,43.0,3.6666666666666665,3.2769375763125765,2024
744803,678368,92,43,7,4,1,23,0.16279069767441862,9.73481272893773,43.0,2.3333333333333335,3.2449375763125765,2024
744804,608331,94,43,9,6,0,27,0.20930232558139536,10.280438186813187,43.0,3.0,3.4268127289377293,2024
744804,663623,84,41,10,5,1,21,0.24390243902439024,7.6579999999999995,41.0,3.3333333333333335,2.5526666666666666,2024
744805,670766,84,41,4,1,2,23,0.0975609756097561,9.305438186813188,41.0,1.3333333333333333,3.101812728937729,2024
744805,680730,76,44,13,5,0,25,0.29545454545454547,12.517689102564102,44.0,4.333333333333333,4.172563034188034,2024
744806,680730,89,54,14,8,1,27,0.25925925925925924,13.404250915750916,54.0,4.666666666666667,4.468083638583638,2024
744806,696136,69,40,3,0,0,18,0.075,7.850812728937729,40.0,1.0,2.6169375763125764,2024
744807,669022,79,40,8,3,3,23,0.2,9.387812728937728,40.0,2.6666666666666665,3.1292709096459093,2024
744808,665871,90,35,2,4,2,25,0.05714285714285714,7.091250915750916,35.0,0.6666666666666666,2.363750305250305,2024
744808,687792,87,42,9,5,2,19,0.21428571428571427,9.579,42.0,3.0,3.193,2024
744809,607074,100,56,15,8,2,25,0.26785714285714285,13.92981272893773,56.0,5.0,4.64327090964591,2024
744809,669022,102,47,13,6,1,26,0.2765957446808511,10.463,47.0,4.333333333333333,3.4876666666666662,2024
744810,663623,103,50,12,6,2,25,0.24,9.093,50.0,4.0,3.031,2024
744810,684007,96,50,14,8,1,23,0.28,10.694565476190476,50.0,4.666666666666667,3.564855158730159,2024
744811,543037,91,42,10,7,1,23,0.23809523809523808,9.816625457875459,42.0,3.3333333333333335,3.2722084859584863,2024
744811,571578,104,45,11,6,2,22,0.24444444444444444,10.39,45.0,3.6666666666666665,3.4633333333333334,2024
744812,680730,83,45,10,6,1,26,0.2222222222222222,11.934501831501832,45.0,3.3333333333333335,3.978167277167277,2024
744812,685299,83,41,8,2,1,20,0.1951219512195122,8.53,41.0,2.6666666666666665,2.8433333333333333,2024
744813,641482,91,45,7,5,2,25,0.15555555555555556,9.129625457875457,45.0,2.3333333333333335,3.043208485958486,2024
744813,680730,83,40,9,5,2,19,0.225,10.459999999999999,40.0,3.0,3.4866666666666664,2024
744814,596295,96,52,10,5,2,26,0.19230769230769232,13.169438186813187,52.0,3.3333333333333335,4.389812728937729,2024
744814,687792,93,48,12,7,2,25,0.25,13.526063644688644,48.0,4.0,4.5086878815628815,2024
744815,571578,95,50,12,8,1,22,0.24,12.594438186813187,50.0,4.0,4.1981460622710625,2024
744815,615698,84,43,7,3,2,18,0.16279069767441862,10.377250915750915,43.0,2.3333333333333335,3.4590836385836385,2024
744816,669022,86,40,7,2,6,22,0.175,7.454625457875458,40.0,2.3333333333333335,2.4848751526251527,2024
744816,686799,93,48,4,2,1,29,0.08333333333333333,8.463689102564103,48.0,1.3333333333333333,2.821229700854701,2024
744817,669022,98,54,12,6,2,27,0.2222222222222222,11.948,54.0,4.0,3.982666666666667,2024
744818,667755,88,36,8,7,1,23,0.2222222222222222,5.224812728937729,36.0,2.6666666666666665,1.7416042429792429,2024
744818,680730,98,50,9,5,0,28,0.18,12.637438186813187,50.0,3.0,4.2124793956043955,2024
744819,687792,74,31,5,4,4,16,0.16129032258064516,7.819625457875458,31.0,1.6666666666666667,2.6065418192918193,2024
744820,571578,95,46,12,2,3,22,0.2608695652173913,10.289438186813186,46.0,4.0,3.4298127289377285,2024
744820,656288,88,50,7,0,0,25,0.14,11.403501831501831,50.0,2.3333333333333335,3.801167277167277,2024
744821,571578,90,42,9,6,1,25,0.21428571428571427,9.83481272893773,42.0,3.0,3.2782709096459097,2024
744821,657277,95,46,9,4,3,24,0.1956521739130435,8.164250915750916,46.0,3.0,2.721416971916972,2024
744822,605483,93,46,15,8,1,23,0.32608695652173914,11.256438186813186,46.0,5.0,3.7521460622710623,2024
744822,663623,94,50,9,4,1,23,0.18,11.502,50.0,3.0,3.834,2024
744823,650644,80,36,4,3,1,20,0.1111111111111111,6.303876373626374,36.0,1.3333333333333333,2.1012921245421246,2024
744823,687792,77,36,8,6,1,20,0.2222222222222222,7.6530000000000005,36.0,2.6666666666666665,2.551,2024
744824,663362,90,34,8,4,2,22,0.23529411764705882,7.28412728937729,34.0,2.6666666666666665,2.42804242979243,2024
744824,680730,77,36,4,5,3,19,0.1111111111111111,7.405625457875458,36.0,1.3333333333333333,2.4685418192918194,2024
744825,593423,89,47,4,5,0,24,0.0851063829787234,8.196063644688644,47.0,1.3333333333333333,2.7320212148962146,2024
744825,663623,110,51,7,4,2,24,0.13725490196078433,10.345,51.0,2.3333333333333335,3.4483333333333337,2024
744826,668964,64,34,6,2,1,18,0.17647058823529413,7.216063644688645,34.0,2.0,2.4053545482295484,2024
744826,680730,87,37,8,3,3,22,0.21621621621621623,9.031438186813187,37.0,2.6666666666666665,3.0104793956043956,2024
744827,571578,109,50,7,7,3,27,0.14,10.250625457875458,50.0,2.3333333333333335,3.4168751526251526,2024
744827,656302,114,56,15,9,3,28,0.26785714285714285,12.674999999999999,56.0,5.0,4.225,2024
744828,681190,68,34,2,1,0,22,0.058823529411764705,7.040250915750915,34.0,0.6666666666666666,2.346750305250305,2024
744828,687792,79,39,8,4,2,21,0.20512820512820512,7.171,39.0,2.6666666666666665,2.3903333333333334,2024
744829,571578,104,53,16,6,0,22,0.3018867924528302,11.308250915750916,53.0,5.333333333333333,3.769416971916972,2024
744829,593423,84,44,10,3,3,22,0.22727272727272727,9.237,44.0,3.3333333333333335,3.079,2024
744830,666157,104,51,11,8,1,28,0.21568627450980393,10.577250915750916,51.0,3.6666666666666665,3.5257503052503054,2024
744830,669022,67,30,7,2,4,12,0.23333333333333334,7.100625457875458,30.0,2.3333333333333335,2.366875152625153,2024
744831,663623,100,46,12,7,0,26,0.2608695652173913,10.267,46.0,4.0,3.422333333333333,2024
