owner,name,team,own,per_start,stuff,src,inj,ret,xfp_ros,xfp_po,dec,st
FA,Aaron Nola,Phi,40.7,13.09,107.0,Stuff+,,,220.0,47.0,,ok
FA,Christian Scott,NYM,10.9,13.04,108.0,Stuff+,,,219.0,47.0,,ok
FA,Trevor McDonald,SF,7.5,13.03,101.0,Stuff+,,,219.0,47.0,,ok
FA,Jack Leiter,Tex,18.6,12.74,103.0,Stuff+,,,214.0,46.0,,ok
FA,Reynaldo Lopez,Atl,3.7,12.6,,talent_prior,,,212.0,45.0,,ok
FA,Ryan Weathers,NYY,39.4,12.39,99.0,Stuff+,,,209.0,45.0,,ok
FA,Dustin May,StL,12.5,12.14,103.0,Stuff+,,,204.0,44.0,,ok
FA,Landen Roupp,SF,30.3,12.12,99.0,Stuff+,,,204.0,44.0,,ok
FA,Connor Prielipp,Min,3.1,12.02,103.0,Stuff+,,,202.0,43.0,,ok
FA,Walbert Urena,LAA,12.4,11.93,99.0,Stuff+,,,201.0,43.0,,ok
FA,Matthew Boyd,ChC,41.7,12.42,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-17,201.0,45.0,,IL 06-17
FA,Kyle Bradish,Bal,62.0,11.86,100.0,Stuff+,,,200.0,43.0,,ok
FA,Bubba Chandler,Pit,25.3,11.8,105.0,Stuff+,,,199.0,42.0,,ok
FA,Ryne Nelson,Ari,9.9,11.55,106.0,Stuff+,,,194.0,42.0,,ok
FA,Sean Burke,ChW,13.1,11.47,98.0,Stuff+,,,193.0,41.0,,ok
FA,Luis Castillo,Sea,60.0,11.49,98.0,Stuff+,,,193.0,41.0,,ok
FA,Anthony Kay,ChW,4.8,11.46,104.0,Stuff+,,,193.0,41.0,,ok
FA,Logan Henderson,Mil,12.7,14.03,107.0,Stuff+,FIFTEEN_DAY_DL,2026-07-01,193.0,51.0,,IL 07-01
FA,J.T. Ginn,Oak,23.5,11.49,95.0,Stuff+,,,193.0,41.0,,ok
FA,Luis F. Castillo,FA,0.0,11.49,98.0,Stuff+,,,193.0,41.0,,ok
FA,Matthew Liberatore,StL,6.3,11.36,99.0,Stuff+,,,191.0,41.0,,ok
FA,Spencer Arrighetti,Hou,61.9,11.31,99.0,Stuff+,,,190.0,41.0,,ok
FA,Brandon Sproat,Mil,1.4,11.25,99.0,Stuff+,,,189.0,41.0,,ok
FA,Jeffrey Springs,Oak,16.4,11.02,98.0,Stuff+,,,186.0,40.0,,ok
FA,Robbie Ray,SF,51.4,11.03,98.0,Stuff+,,,186.0,40.0,,ok
FA,Randy Vasquez,SD,32.2,11.0,99.0,Stuff+,,,185.0,40.0,,ok
FA,Andrew Painter,Phi,8.0,10.97,100.0,Stuff+,,,185.0,40.0,,ok
FA,Zebby Matthews,Min,8.0,10.95,96.0,Stuff+,,,184.0,39.0,,ok
FA,Andre Pallante,StL,5.2,10.94,97.0,Stuff+,,,184.0,39.0,,ok
FA,Edward Cabrera,ChC,29.6,10.87,94.0,Stuff+,,,183.0,39.0,,ok
FA,Trevor Rogers,Bal,30.1,10.81,100.0,Stuff+,,,182.0,39.0,,ok
FA,Lance McCullers Jr.,Hou,2.6,11.05,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-15,182.0,40.0,,IL 06-15
FA,Walker Buehler,SD,7.1,10.63,96.0,Stuff+,,,179.0,38.0,,ok
FA,Colin Rea,ChC,5.7,10.55,94.0,Stuff+,,,177.0,38.0,,ok
FA,Brandon Young,Bal,8.2,10.48,96.0,Stuff+,,,176.0,38.0,,ok
FA,Stephen Kolek,KC,17.1,10.47,92.0,Stuff+,,,176.0,38.0,,ok
FA,Jake Irvin,Wsh,0.6,11.6,98.0,Stuff+,FIFTEEN_DAY_DL,2026-06-23,176.0,42.0,,IL 06-23
FA,Tyler Wells,Bal,0.4,10.42,,talent_prior,,,175.0,38.0,,ok
FA,Grant Holmes,Atl,12.1,10.27,90.0,Stuff+,,,173.0,37.0,,ok
FA,Kumar Rocker,Tex,3.8,10.25,92.0,Stuff+,,,172.0,37.0,,ok
FA,Shane Drohan,Mil,5.8,10.13,,rp3_dd,,,170.0,36.0,,ok
FA,Braxton Garrett,Mia,0.6,10.09,,talent_prior,,,170.0,36.0,,ok
FA,Mike Burrows,Hou,3.5,10.11,93.0,Stuff+,,,170.0,36.0,,ok
FA,Slade Cecconi,Cle,1.8,10.04,93.0,Stuff+,,,169.0,36.0,,ok
FA,Luis Gil,NYY,1.2,10.04,,talent_prior,,,169.0,36.0,,ok
FA,Mitch Keller,Pit,30.0,10.01,93.0,Stuff+,,,168.0,36.0,,ok
FA,Ryan Feltner,Col,0.6,9.97,92.0,Stuff+,,,168.0,36.0,,ok
FA,JR Ritchie,Atl,2.2,9.97,94.0,Stuff+,,,168.0,36.0,,ok
FA,Griffin Canning,SD,1.0,9.97,91.0,Stuff+,,,168.0,36.0,,ok
FA,Kodai Senga,NYM,6.4,10.81,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-21,167.0,39.0,,IL 06-21
FA,Clayton Kershaw,FA,0.1,9.94,,talent_prior,,,167.0,36.0,,ok
FA,Jack Flaherty,Det,34.8,11.54,100.0,Stuff+,FIFTEEN_DAY_DL,2026-06-28,165.0,42.0,,IL 06-28
FA,Andrew Abbott,Cin,45.0,9.83,95.0,Stuff+,,,165.0,35.0,,ok
FA,Janson Junk,Mia,1.4,10.88,101.0,Stuff+,FIFTEEN_DAY_DL,2026-06-23,165.0,39.0,,IL 06-23
FA,Keider Montero,Det,6.4,9.72,94.0,Stuff+,,,164.0,35.0,,ok
FA,Patrick Corbin,Tor,1.7,9.71,93.0,Stuff+,,,163.0,35.0,,ok
FA,Kyle Freeland,Col,0.8,9.67,92.0,Stuff+,,,163.0,35.0,,ok
FA,Tyler Mahle,SF,0.8,9.6,89.0,Stuff+,FIFTEEN_DAY_DL,2026-06-13,162.0,35.0,,IL 06-13
FA,Sean Manaea,NYM,2.9,9.56,,talent_prior,,,161.0,34.0,,ok
FA,Elmer Rodriguez,NYY,0.6,9.6,90.0,Stuff+,,,161.0,35.0,,ok
