pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-05-23,98.1,-1.05,5.63,"Jones, Jared",682239,683003,,foul,,,,,5,,R,R,R,TOL,IND,S,,,1,2,2026,-0.71,1.51,0.1651509161829581,2.340260384525457,,,,1,5,Bot,,,,,,,4.94410072317665,-142.70495103016788,-6.778380488785667,-10.841333032512212,34.77762964964465,-10.16828526965973,3.189288058,1.609547244,314.0,91.1,35.0,98.6,2495,6.7,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.77,,,,,,,,41,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,215,0.0,0.0,,,,0.0,91.1,-3,-3,0.161,0.161,24,29,25,29,2,1,6.0,3,,2,0.87,0.71,0.71,41.4,,,,,
SL,2026-05-23,86.9,-1.01,5.62,"Jones, Jared",682239,683003,,called_strike,,,,,8,,R,R,R,TOL,IND,S,,,1,1,2026,0.26,-0.14,0.1306830166897864,1.4994399385687127,,,,1,5,Bot,,,,,,,2.1591056883026667,-126.61825530921442,-3.19973160955892,2.3543102784056718,26.262136740184943,-33.19883514181525,3.189288058,1.609547244,,,,87.6,2511,6.7,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.83,,,,,,,,41,3,Slider,1,4,1,4,4,1,1,4,Standard,Standard,96,-0.003,-0.09,,,,0.09,,-3,-3,0.164,0.164,24,29,25,29,2,1,6.0,3,,2,3.15,-0.26,-0.26,50.5,,,,,
CU,2026-05-23,82.7,-0.94,5.75,"Jones, Jared",682239,683003,,swinging_strike,,,,,14,,R,R,R,TOL,IND,S,,,1,0,2026,0.61,-1.21,0.7652000884613982,1.362030730942502,,,,1,5,Bot,,,,,,,2.6514771995572946,-120.32197484701008,-0.8034591982853774,5.2847673155713055,25.505026293784773,-43.89612713464554,3.189288058,1.609547244,,,,82.9,2833,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.87,,,,,,,,41,2,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,30,-0.004,-0.075,,,,0.075,,-3,-3,0.168,0.168,24,29,25,29,2,1,6.0,3,,2,4.57,-0.61,-0.61,49.8,,,,,
CU,2026-05-23,84.0,-1.2,5.7,"Jones, Jared",682239,683003,,ball,,,,,11,,R,R,R,TOL,IND,B,,,0,0,2026,0.37,-0.96,-0.6067121822023167,3.696696289177681,,,,1,5,Bot,,,,,,,0.6234209079325977,-122.17930675365892,3.907602591141422,3.536233675183789,24.69327197916839,-42.761849962027306,3.189288058,1.609547244,,,,84.3,2799,6.5,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.96,,,,,,,,41,1,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,42,0.003,0.06,,,,-0.06,,-3,-3,0.165,0.165,24,29,25,29,2,1,6.0,3,,2,4.2,-0.37,-0.37,48.9,,,,,
SL,2026-05-23,88.6,-1.19,5.52,"Jones, Jared",661733,683003,field_out,hit_into_play,,,,,6,"Max Burt grounds out, third baseman Tyler Callihan to first baseman Rafael Flores Jr.",R,R,R,TOL,IND,X,5.0,ground_ball,3,1,2026,0.13,0.31,0.6570990703693941,2.2076903306160176,,,,0,5,Bot,92.0,167.89,,,,,4.201671506430682,-129.02251579890097,-2.50279347990327,0.6178562562246454,26.410096104043298,-28.38283047261704,3.257742782,1.644094488,50.0,84.0,1.0,89.5,2552,6.8,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.72,0.243,0.219,0.0,1.0,0.0,0.0,2.0,40,5,Slider,1,4,1,4,4,1,1,4,Standard,Standard,125,-0.045,-0.578,,,0.281,0.578,88.0,-3,-3,0.21,0.21,24,29,25,30,2,1,6.0,1,,1,2.58,-0.13,-0.13,40.6,,,,,
FF,2026-05-23,96.8,-1.18,5.6,"Jones, Jared",661733,683003,,ball,,,,,11,,R,R,R,TOL,IND,B,,,2,1,2026,-0.88,1.49,-1.1550405619232589,2.9467491621550645,,,,0,5,Bot,,,,,,,2.1379804611164905,-140.81345379056987,-4.767425788640514,-12.194487050785488,35.111207446649004,-11.535785882354928,3.257742782,1.644094488,,,,97.0,2507,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.86,,,,,,,,40,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,212,0.013,0.175,,,,-0.175,,-3,-3,0.197,0.197,24,29,25,30,2,1,6.0,1,,1,0.96,0.88,0.88,41.2,,,,,
FF,2026-05-23,96.8,-0.9,5.56,"Jones, Jared",661733,683003,,swinging_strike,,,,,3,,R,R,R,TOL,IND,S,,,2,0,2026,-0.76,1.59,0.6742085130410367,3.1796714763696983,,,,0,5,Bot,,,,,,,5.957848710720923,-140.78462713557332,-4.325796782682176,-11.47482817945153,33.0238155376927,-10.26069213032507,3.257742782,1.644094488,,,,97.3,2446,6.7,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.83,,,,,,,,40,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,213,-0.008,-0.105,,,,0.105,,-3,-3,0.205,0.205,24,29,25,30,2,1,6.0,1,,1,0.85,0.76,0.76,41.8,,,,,
CH,2026-05-23,92.0,-1.07,5.6,"Jones, Jared",661733,683003,,ball,,,,,14,,R,R,R,TOL,IND,B,,,1,0,2026,-1.27,0.23,1.1892662859096867,0.608169745496884,,,,0,5,Bot,,,,,,,8.525350492340694,-133.60723135079735,-7.030635487974112,-17.1377682996477,30.571544190558058,-28.023451360386293,3.257742782,1.644094488,,,,92.2,1577,6.7,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.82,,,,,,,,40,2,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,229,0.008,0.111,,,,-0.111,,-3,-3,0.197,0.197,24,29,25,30,2,1,6.0,1,,1,2.49,1.27,1.27,43.4,,,,,
FF,2026-05-23,95.7,-1.05,5.54,"Jones, Jared",661733,683003,,ball,,,,,12,,R,R,R,TOL,IND,B,,,0,0,2026,-0.84,1.16,1.1181305822310548,2.519257322270932,,,,0,5,Bot,,,,,,,7.673576803761604,-139.10786364680976,-4.8050359924353625,-12.746502438445887,33.27798811890587,-16.246370361521425,3.257742782,1.644094488,,,,96.4,2582,6.9,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.6,,,,,,,,40,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,213,0.005,0.062,,,,-0.062,,-3,-3,0.192,0.192,24,29,25,30,2,1,6.0,1,,1,1.35,0.84,0.84,41.7,,,,,
FF,2026-05-23,98.1,-1.12,5.58,"Jones, Jared",670276,683003,strikeout,called_strike,,,,,5,Cal Stevenson called out on strikes.,R,L,R,TOL,IND,S,2.0,,1,2,2026,-0.87,1.52,-0.1816489819152468,2.2525729515961905,,,,2,4,Bot,,,,,,,4.570073308082149,-142.64402488072054,-6.905091655875935,-12.92862735601145,33.12932190479505,-10.092591170659544,3.086605971,1.557726378,,,,98.7,2513,6.7,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.81,,0.0,0.0,1.0,0.0,0.0,,35,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Strategic,Standard,217,-0.008,-0.209,,,,0.209,,-3,-3,0.172,0.172,24,29,25,30,2,1,6.0,1,,2,0.86,0.87,-0.87,42.1,,,,,
