n_feats,features,r,power_bias_hi,team_context_bias,rmse,mae,n,score_T1
19,xwoba_per_pa|c_plus_swstr|avg_ev|iso|k_pct|hr_per_pa|hard_hit_pct|contact_pct|whiff_pct|swstr_pct|bb_pct|z_contact_pct|xwoba_on_contact|barrel_pct|zone_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa,0.53456,-0.0881,-0.0398,0.1118,0.0871,1127,1.6036800000000002
18,xwoba_per_pa|c_plus_swstr|avg_ev|iso|k_pct|hr_per_pa|hard_hit_pct|contact_pct|whiff_pct|swstr_pct|bb_pct|z_contact_pct|xwoba_on_contact|zone_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa,0.53885,-0.0803,-0.0405,0.1115,0.0871,1127,1.6165500000000002
17,xwoba_per_pa|c_plus_swstr|iso|k_pct|hr_per_pa|hard_hit_pct|contact_pct|whiff_pct|swstr_pct|bb_pct|z_contact_pct|xwoba_on_contact|zone_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa,0.54065,-0.0813,-0.0402,0.1112,0.0869,1127,1.62195
16,xwoba_per_pa|c_plus_swstr|iso|k_pct|hr_per_pa|hard_hit_pct|contact_pct|whiff_pct|swstr_pct|bb_pct|z_contact_pct|xwoba_on_contact|chase_pct|in_play_pct|sprint_speed|sb_per_pa,0.5416,-0.0813,-0.0404,0.1111,0.0868,1127,1.6248
15,xwoba_per_pa|iso|k_pct|hr_per_pa|hard_hit_pct|contact_pct|whiff_pct|swstr_pct|bb_pct|z_contact_pct|xwoba_on_contact|chase_pct|in_play_pct|sprint_speed|sb_per_pa,0.54279,-0.0813,-0.0404,0.1109,0.0867,1127,1.6283699999999999
14,xwoba_per_pa|iso|k_pct|hr_per_pa|hard_hit_pct|contact_pct|whiff_pct|swstr_pct|bb_pct|z_contact_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa,0.54291,-0.0812,-0.0404,0.1109,0.0867,1127,1.62873
13,iso|k_pct|hr_per_pa|hard_hit_pct|contact_pct|whiff_pct|swstr_pct|bb_pct|z_contact_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa,0.54332,-0.0786,-0.0392,0.1108,0.0864,1127,1.62996
12,iso|k_pct|hr_per_pa|hard_hit_pct|whiff_pct|swstr_pct|bb_pct|z_contact_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa,0.5433,-0.0786,-0.0392,0.1108,0.0864,1127,1.6299000000000001
11,iso|k_pct|hr_per_pa|hard_hit_pct|whiff_pct|swstr_pct|bb_pct|chase_pct|in_play_pct|sprint_speed|sb_per_pa,0.54328,-0.0786,-0.0392,0.1108,0.0864,1127,1.62984
10,iso|k_pct|hr_per_pa|hard_hit_pct|whiff_pct|swstr_pct|bb_pct|in_play_pct|sprint_speed|sb_per_pa,0.54334,-0.0786,-0.0393,0.1109,0.0864,1127,1.63002
9,iso|k_pct|hard_hit_pct|whiff_pct|swstr_pct|bb_pct|in_play_pct|sprint_speed|sb_per_pa,0.54281,-0.0781,-0.0394,0.111,0.0865,1127,1.62843
8,iso|k_pct|hard_hit_pct|whiff_pct|swstr_pct|bb_pct|sprint_speed|sb_per_pa,0.54181,-0.0779,-0.0393,0.1111,0.0866,1127,1.6254300000000002
7,iso|k_pct|hard_hit_pct|swstr_pct|bb_pct|sprint_speed|sb_per_pa,0.54048,-0.0782,-0.0392,0.1113,0.0867,1127,1.6214399999999998
6,iso|k_pct|hard_hit_pct|bb_pct|sprint_speed|sb_per_pa,0.54053,-0.0785,-0.0393,0.1112,0.0867,1127,1.6215899999999999
5,iso|k_pct|hard_hit_pct|bb_pct|sb_per_pa,0.53646,-0.0795,-0.04,0.1116,0.0868,1127,1.6093800000000003
4,iso|k_pct|hard_hit_pct|sb_per_pa,0.52926,-0.0808,-0.0421,0.1119,0.0873,1127,1.58778
3,iso|k_pct|sb_per_pa,0.51908,-0.0877,-0.0427,0.1127,0.088,1127,1.55724
