team_name,player_name,position,pos_group,batter,career_%ile,career_l150_median,current_l150,form_bucket,sust_bucket,fp_2026,fp_prior,n_material,form_gap,rh3_per_pa,rh3_per_game,rh3_signal,rh3_rank,replacement_delta,slump_bounce_pct,slump_n_comparable,slump_next_rate,slump_delta,n_l21d,l21d_xwoba,l21d_xwobacon,anchor_xwoba,shrunk_gap,anchor_in_ci,cal_hist,process_verdict,process_notes,whiff_pct_25,whiff_pct_26,whiff_pct_l21d,chase_pct_25,chase_pct_26,chase_pct_l21d,ev90_25,ev90_26,ev90_l21d,avg_bat_speed_25,avg_bat_speed_26,slump_source,pitch_mix_shift,pitch_mix_note,peak_type,peak_note,player_id,injury_class,injury_overlap,injury_note,should_modify_verdict,mc_p_bounce_median,mc_p_bounce_current,mc_expected_xwoba_30pa,mc_ci95_low,mc_ci95_high,bayes_posterior_mu,bayes_posterior_sigma,bayes_ci95_low,bayes_ci95_high,bayes_p_above_career,bayes_p_above_avg,bayes_games_to_200fp,hist_n_comps,hist_p_bounce_30pa,hist_p_bounce_60pa,hist_median_next_30pa,hist_p10_next_30pa,hist_p90_next_30pa,peak_p_still_peak_30pa,peak_p_still_peak_60pa,peak_expected_weeks_reversion,peak_trade_window,xwobacon_gap,peak_p_still_peak_30pa_ci_low,peak_p_still_peak_30pa_ci_high,peak_p_still_peak_60pa_ci_low,peak_p_still_peak_60pa_ci_high,cross_verdict,verdict_rationale
Boone's Bad Bullpen,Junior Caminero,3B,3B,691406,0.736,0.3479855495119035,0.372,ABOVE_MEDIAN,STABLE,2.47,2.42,3,-0.0001,0.6984761614256125,2.44,add,4,0.1728,92.8,111.0,0.405,0.1036,,,,,,False,{},STABLE,whiff% -0.3pt (improving); chase% -2.8pt (improving); z-contact% +4.2pt (improving); EV90 +2.0mph (power up); hard-hit% +1.5pt (up); bat speed +1.0mph,0.2194,0.1965,0.2164,0.3213,0.2885,0.2935,109.5,111.0,111.5,76.8,78.4,UNKNOWN,False,,,,4905921,NONE,NO_OVERLAP,,False,0.332,0.0,0.3487,0.3395,0.3596,0.3676,0.0271,0.3145,0.4206,0.7573,0.9605,82.1,,,,,,,,,,,,,,,,CONSENSUS_HOLD_TYPICAL,baseline performer
Boone's Bad Bullpen,Gunnar Henderson,SS,SS,683002,0.07,0.3496261741298067,0.304,SLUMPING,STABLE,1.63,1.98,0,-0.0035,0.5443453271444004,1.91,hold,70,0.0296,100.0,45.0,0.28,0.1295,21,0.316,0.349,0.325,-0.0011,True,{},DECLINING,whiff% -1.6pt (improving); chase% +6.0pt (worsening); z-contact% +4.2pt (improving); EV90 -2.0mph (power flagging); hard-hit% -4.8pt (down); bat speed -1.1mph,0.2172,0.209,0.201,0.2766,0.3215,0.3368,106.8,105.0,104.8,73.5,72.7,BABIP_DRIVEN,True,Fastball +9pt in L21d; Offspeed -13pt in L21d (pitchers adjusting),,,42507,NONE,NO_OVERLAP,,False,0.4886,1.0,0.3449,0.3334,0.3549,0.3223,0.0258,0.2717,0.3728,0.1889,0.5348,86.3,472,0.6779661016949152,0.7457627118644068,0.3150790000000001,0.23172147362318843,0.42019306476190477,,,,,0.024,,,,,HOLD_NOISE,L21d CI includes anchor — statistically indistinguishable from baseline
Boone's Bad Bullpen,William Contreras,C,C,661388,0.244,0.3346901239712264,0.321,BELOW_MEDIAN,STABLE,2.08,1.93,1,0.0073,0.5973857651845268,2.09,hold,29,0.0426,61.0,464.0,0.3105,0.0287,21,0.206,0.255,0.357,-0.0186,True,{},IMPROVING,whiff% -3.5pt (improving); chase% +6.9pt (worsening); z-contact% +6.4pt (improving); EV90 -1.5mph (power flagging); hard-hit% -19.2pt (down); bat speed -0.6mph,0.2113,0.1574,0.1761,0.2529,0.2927,0.3222,107.4,105.9,105.9,71.2,71.3,BABIP_DRIVEN,False,No significant mix shift,,,39895,NONE,NO_OVERLAP,,False,0.6896,1.0,0.3383,0.3304,0.3484,0.3435,0.0225,0.2994,0.3877,0.5918,0.8522,90.6,892,0.5302690582959642,0.5403587443946188,0.3118065627854386,0.233080002972973,0.41102295030303027,,,,,-0.102,,,,,CONSENSUS_HOLD_TYPICAL,"below median, no structural decline confirmed"
Boone's Bad Bullpen,Steven Kwan,LF,OF,680757,0.764,0.3144722012698412,0.335,ABOVE_MEDIAN,STABLE,1.48,1.96,1,0.0118,0.4583352405561506,1.6,hold,220,-0.0487,100.0,23.0,0.38,0.1283,,,,,,False,{},DECLINING,whiff% -1.4pt (improving); chase% -0.5pt (improving); z-contact% +2.6pt (improving); EV90 -2.1mph (power flagging); hard-hit% -4.4pt (down); bat speed -0.8mph,0.0749,0.0603,0.0609,0.227,0.2124,0.2222,98.0,94.8,95.9,61.5,60.7,UNKNOWN,False,,,,41996,NONE,NO_OVERLAP,,False,0.6348,0.0,0.3162,0.3086,0.326,0.3186,0.0229,0.2737,0.3635,0.5417,0.4751,90.6,,,,,,,,,,,,,,,,CONSENSUS_HOLD_TYPICAL,baseline performer
Boone's Bad Bullpen,Pete Crow-Armstrong,CF,OF,691718,0.953,0.3187076549052937,0.42,PEAK,STABLE,2.29,2.13,5,-0.0048,0.5495835370064939,1.92,hold,64,0.0426,98.7,76.0,0.2673,0.1962,,,,,,False,{},IMPROVING,whiff% -2.2pt (improving); chase% -10.2pt (improving); z-contact% -0.7pt (worsening); EV90 -1.0mph (power flagging); hard-hit% +3.1pt (up); bat speed +1.7mph,0.2465,0.2309,0.2241,0.4119,0.3576,0.3095,105.2,105.6,104.2,70.2,72.0,UNKNOWN,False,,PROCESS_DRIVEN,bat_speed +1.5mph — chase% -5.4pt — xwOBAcon +0.046 — all physical inputs improved,4717833,NONE,NO_OVERLAP,,False,0.7779,0.0,0.3261,0.3109,0.3441,0.3523,0.0318,0.2899,0.4147,0.7943,0.8448,94.0,247,0.1862348178137652,0.07692307692307693,0.29724155,0.22757894,0.39394794368328706,0.914,0.8,5.6,HOLD_SHORT,,0.913,0.915,0.798,0.802,CONSENSUS_HOLD_PEAK,at career peak
Boone's Bad Bullpen,Freddie Freeman,1B,1B,518692,0.554,0.3924607505561086,0.398,TYPICAL,STABLE,2.3,2.2,2,-0.0071,0.6315825449194588,2.21,hold,15,0.0672,86.0,430.0,0.4089,0.125,,,,,,False,{},IMPROVING,whiff% -2.6pt (improving); chase% -1.8pt (improving); z-contact% +2.0pt (improving); EV90 -1.6mph (power flagging); hard-hit% -9.2pt (down); bat speed +0.3mph,0.2516,0.1872,0.2252,0.2841,0.2713,0.2661,104.3,104.4,102.7,68.3,69.0,UNKNOWN,False,,,,30193,NONE,NO_OVERLAP,,False,0.5503,0.0381,0.3867,0.3713,0.4003,0.3947,0.0285,0.3389,0.4505,0.6107,0.9956,76.9,,,,,,,,,,,,,,,,CONSENSUS_HOLD_TYPICAL,baseline performer
Boone's Bad Bullpen,Tyler Soderstrom,LF,OF,691016,0.736,0.3357576866666667,0.353,ABOVE_MEDIAN,STABLE,2.09,2.03,3,-0.0045,0.5573429563468578,1.95,hold,55,0.0504,98.4,125.0,0.3251,0.1457,,,,,,False,{},IMPROVING,whiff% -3.0pt (improving); chase% -4.7pt (improving); z-contact% +3.4pt (improving); EV90 -1.7mph (power flagging); hard-hit% -8.6pt (down); bat speed +1.9mph,0.2042,0.187,0.1746,0.2878,0.2596,0.2408,107.2,106.2,105.5,72.1,72.6,UNKNOWN,False,,,,4686066,DTD,UNKNOWN,"DTD (Pinched Nerve, Left) — slump window unknown",False,0.6127,0.0,0.3368,0.3288,0.3441,0.3402,0.0206,0.2998,0.3807,0.5672,0.8363,103.3,,,,,,,,,,,,,,,,CONSENSUS_HOLD_TYPICAL,baseline performer
Boone's Bad Bullpen,Bryan Reynolds,RF,OF,668804,0.633,0.3532327859591305,0.363,ABOVE_MEDIAN,NOISE,2.27,1.45,3,-0.0218,0.5310894650550574,1.86,hold,94,0.0241,79.7,389.0,0.2562,0.0733,,,,,,False,{},MIXED,whiff% +0.6pt (worsening); chase% -0.7pt (improving); z-contact% +1.1pt (improving); EV90 -0.6mph (power flagging); hard-hit% -1.4pt (down); bat speed +0.8mph,0.255,0.2507,0.2614,0.2585,0.2329,0.2516,106.3,106.6,105.7,69.9,70.6,UNKNOWN,False,,,,38980,NONE,NO_OVERLAP,,False,0.4968,0.1185,0.3526,0.3437,0.362,0.3512,0.024,0.3041,0.3983,0.4774,0.903,107.4,,,,,,,,,,,,,,,,CONSENSUS_HOLD_TYPICAL,baseline performer
Boone's Bad Bullpen,Zach Neto,SS,SS,687263,0.079,0.3280639583573747,0.288,SLUMPING,STABLE,1.72,1.93,1,-0.0071,0.4816455636031499,1.69,hold,177,-0.0331,97.6,42.0,0.2843,0.1918,21,0.29,0.361,0.283,0.0009,True,{},DECLINING,whiff% +3.3pt (worsening); chase% +7.2pt (worsening); z-contact% +0.5pt (improving); EV90 -0.9mph (power flagging); hard-hit% -6.9pt (down); bat speed -1.1mph,0.2667,0.2946,0.3,0.2997,0.3607,0.3722,105.7,104.1,104.8,68.9,68.5,HOLDING,True,Fastball -8pt in L21d; Offspeed +8pt in L21d (pitchers adjusting),,,4666100,NONE,NO_OVERLAP,,False,0.3307,1.0,0.3254,0.3164,0.333,0.3264,0.0208,0.2857,0.3672,0.5187,0.6216,98.8,472,0.6991525423728814,0.7478813559322034,0.31417430651629075,0.2327016366666666,0.4099970666666667,,,,,0.078,,,,,HOLD_NOISE,L21d CI includes anchor — statistically indistinguishable from baseline
Boone's Bad Bullpen,Ryan O'Hearn,1B,1B,656811,0.367,0.3308895688066629,0.317,BELOW_MEDIAN,STABLE,2.31,1.9,0,0.0039,0.5345966098108889,1.87,hold,88,0.0276,58.6,544.0,0.2624,0.0205,21,0.44,0.476,0.284,0.0192,True,{},STABLE,whiff% -2.0pt (improving); chase% +4.5pt (worsening); z-contact% +5.9pt (improving); EV90 +1.6mph (power up); hard-hit% +4.5pt (up); bat speed -0.8mph,0.1931,0.1874,0.1734,0.2691,0.3248,0.3141,103.1,103.7,104.7,69.9,69.0,HOLDING,True,Breaking -5pt in L21d (pitchers adjusting),,,35183,NONE,NO_OVERLAP,,False,0.5242,1.0,0.3342,0.3228,0.3443,0.3422,0.0264,0.2904,0.3939,0.62,0.7996,93.3,518,0.43822393822393824,0.41505791505791506,0.3134697285714285,0.23458078,0.40207193094017085,,,,,0.192,,,,,CONSENSUS_HOLD_TYPICAL,"below median, no structural decline confirmed"
