player_name,bucket,pl_rank,pl_rank_raw,model_rank,model_proj,blended_xfp,blend_confidence,headline_proj,headline_source,model_signal,model_rep_delta,model_recform,schedule_idx,arche_have,arche_overall,arche_label,arche_cell,arche_traj,arche_domains,arche_slope_3yr,arche_career_pct,arche_t1_fp,arche_age,arche_age_tier,arche_velo,arche_velo_tier,verdict,verdict_top,reason_tag,confidence,confidence_n_aligned,confidence_n_available,watch_list,rationale,override_tag,decline_tier,velo_severity,velo_yoy,velo_in,velo_2y,split_rate_vs_L,split_rate_vs_R,split_lift_vs_L_pct,split_lift_vs_R_pct,split_pa_vs_L,split_pa_vs_R,split_dominant,xstat_xwoba,xstat_woba,xstat_gap,xstat_regression,xstat_vs_L_xwoba,xstat_vs_L_woba,xstat_vs_L_reg,xstat_vs_L_pa,xstat_vs_R_xwoba,xstat_vs_R_woba,xstat_vs_R_reg,xstat_vs_R_pa,ha_rate_home,ha_rate_away,ha_lift_home_pct,ha_lift_away_pct,ha_dominant,tto_tier,tto_penalty,tto1_rate,tto3_rate,bb_window,bb_n,bb_mean,bb_std,bb_boom_pct,bb_bust_pct,bb_min,bb_max,bb_l3_mean,bb_trend,bb_last,traj_n,traj_cadence,traj_first_label,traj_last_label,traj_ovr_first,traj_ovr_last,traj_ovr_delta,traj_last_archetype,traj_dom_last,traj_dom_deltas,stuff_plus,stuff_proj_ros_fp,stuff_breakout_gap,floor_bust_prob,floor_tier,trend_tag,shadow_grade,shadow_verdict,category,resolved,within_bucket_rank,group
Camilo Doval,RP,,—,103.0,86.3,3.891507513271649,high,3.891507513271649,blended_xfp,drop,-61.3,,,True,62.0,COMMAND_MIDDLE,AVG/PLUS/AVG,TRENDING_UP,STUFF=57;CONTROL=61;BATTED_BALL=55,4.5,0.5,3.52,29.0,PEAK,96.10281385281384,POWER,MIXED — see profile,MIXED,no_convergence,0.75,3.0,4.0,PL rank changes by >20 (currently —); model rank changes by >20 (currently #103); archetype OVERALL changes by >10 (currently 62); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L15 app,15.0,2.1,2.7,0.0,20.0,-4.7,5.3,2.7,FLAT,-4.7 5.3 -0.9 2.3 3.3 5.3 2.5 0.3,6.0,weekly,04-25,06-20,58.0,56.0,-2.0,COMMAND_MIDDLE,STUFF=49;CONTROL=68;BATTED_BALL=55,STUFF:-6;CONTROL:+4;BATTED_BALL:+1,,,,,,"🔺 FB velo +1.9 mph (+2.5σ) — stuff-up watch, results diverging (tool moved, results hasn't)",,,FA-RP,,69,RP
Gary Sánchez,H,,UR,,,1.880973896403738,high,1.880973896403738,blended_xfp,—,,,,True,59.0,BALANCED_EYE,AVG/AVG/PLUS,TRENDING_UP,CONTACT=55;POWER=58;DISCIPLINE=61,6.0,0.5,0.469,34.0,POST_PEAK,,,MIXED — see profile,MIXED,no_convergence,0.5,2.0,4.0,PL rank changes by >20 (currently UR); model rank changes by >20 (currently #None); archetype OVERALL changes by >10 (currently 59); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L21 games,21.0,1.7,3.1,5.0,67.0,-1.0,11.0,1.3,FLAT,11.0 8.0 1.0 2.0 0.0 3.0 0.0 1.0,6.0,weekly,04-25,06-13,60.0,56.0,-4.0,POWER_EYE,CONTACT=52;POWER=60;DISCIPLINE=66,CONTACT:-1;POWER:-9;DISCIPLINE:+0,,,,,,,,,FA-H,,124,C
Didier Fuentes,RP,,—,53.0,93.5,3.063425617480044,low,3.063425617480044,blended_xfp,hold,-23.1,,,True,54.0,GENERIC_MIDDLE,AVG/AVG/AVG,CAREER_LOW,STUFF=51;CONTROL=54;BATTED_BALL=55,,0.0,3.22,21.0,PRE_PEAK,93.73325688073392,POWER,CAUTION,CAUTION,process_red_flag,0.5,2.0,4.0,career_pct drops below current floor; L21d xwOBACON drops more than 0.020 from season; archetype OVERALL drops below 45; PL rank deteriorates past #100 (currently —),WARN Career-low season (0% career-percentile).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L15 app,15.0,4.2,3.1,20.0,0.0,1.2,11.9,4.0,FLAT,4.4 1.3 4.4 5.3 8.3 2.3 8.3 1.4,6.0,weekly,05-09,06-20,50.0,51.0,1.0,GENERIC_MIDDLE,STUFF=46;CONTROL=58;BATTED_BALL=57,STUFF:+0;CONTROL:-1;BATTED_BALL:+12,,,,,,• FB velo +1.1 mph (+1.4σ) — stable,,,FA-SP,,3,RP
Carmen Mlodzinski,SP,,—,282.0,5.61,12.3385030824427,high,12.3385030824427,blended_xfp,il,-5.959,0.0,,True,50.0,AVERAGE_4_5,AVG/AVG/AVG,TRENDING_DOWN,STUFF=52;MOVEMENT=47;CONTROL=50,-5.0,0.0,10.91,27.0,PEAK,89.36963696369637,BALANCED,MIXED — see profile,MIXED,no_convergence,0.75,3.0,4.0,PL rank changes by >20 (currently —); model rank changes by >20 (currently #282); archetype OVERALL changes by >10 (currently 50); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,DECLINE-RISK,,-1.9165247302638733,,-2.195106707238864,0.361,0.296,8.1,-11.4,173.0,123.0,L,0.336,0.338,0.002,ALIGNED,0.365,0.385,UNDERPERFORMING,173.0,0.296,0.272,OVERPERFORMING,123.0,0.359,0.318,6.8,-5.4,HOME,UNKNOWN,,-0.155,,L8 starts,8.0,7.7,3.7,0.0,25.0,2.1,12.5,10.3,UP,8.4 10.6 2.3 2.1 7.7 9.8 12.5 8.5,6.0,per_start,#3,#15,52.0,50.0,-2.0,PURE_MOVEMENT,STUFF=43;MOVEMENT=60;CONTROL=48,STUFF:-1;MOVEMENT:-8;CONTROL:+7,92.1,10.34,-43.0,30.0,MODERATE,"🔻 FB velo -1.3 mph (-1.7σ) — velo decline/health watch, results not yet",46.0,BELOW_AVG,FA-RP,,21,SP
Jake Mangum,H,,UR,147.0,1.62,1.2676179395106435,high,1.2676179395106435,blended_xfp,hold,-0.0101,-0.0058,,True,41.0,NO_POWER_HACKER,AVG/MINUS/MINUS,TRENDING_DOWN,CONTACT=53;POWER=32;DISCIPLINE=34,-3.0,0.0,0.427,30.0,PEAK,,,MIXED — see profile,MIXED,no_convergence,0.75,3.0,4.0,PL rank changes by >20 (currently UR); model rank changes by >20 (currently #147); archetype OVERALL changes by >10 (currently 41); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,,,,,,,,0.298,0.355,0.057,OVERPERFORMING,0.248,0.277,OVERPERFORMING,42.0,0.314,0.38,OVERPERFORMING,129.0,0.333,0.264,11.6,-11.5,HOME,,,,,L21 games,21.0,2.5,2.8,5.0,43.0,-1.0,12.0,2.7,FLAT,2.0 2.0 3.0 2.0 1.0 1.0 1.0 6.0,6.0,weekly,04-25,06-20,48.0,48.0,0.0,NO_POWER_HACKER,CONTACT=55;POWER=39;DISCIPLINE=38,CONTACT:+1;POWER:-1;DISCIPLINE:-2,,,,,,• stable (phys -0.4σ) — bat speed -1.4mph,,,FA-H,,57,OF
Logan O'Hoppe,H,,—,238.0,1.34,1.9403088619514777,high,1.9403088619514777,blended_xfp,drop,-0.0968,0.0098,,True,43.0,AVERAGE_HITTER,AVG/AVG/AVG,TRENDING_DOWN,CONTACT=43;POWER=46;DISCIPLINE=52,-5.5,0.0,0.438,26.0,PEAK,,,MIXED — see profile,MIXED,no_convergence,0.75,3.0,4.0,PL rank changes by >20 (currently —); model rank changes by >20 (currently #238); archetype OVERALL changes by >10 (currently 43); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,0.194,0.149,22.7,-5.8,242.0,946.0,L,0.292,0.307,0.015,ALIGNED,0.288,0.33,OVERPERFORMING,52.0,0.294,0.298,ALIGNED,128.0,0.294,0.291,0.5,-0.5,HOME,,,,,L21 games,21.0,2.2,3.5,5.0,48.0,-2.0,12.0,3.3,UP,7.0 3.0 0.0 2.0 4.0 -2.0 12.0 0.0,6.0,weekly,04-25,06-20,48.0,51.0,3.0,AVERAGE_HITTER,CONTACT=51;POWER=52;DISCIPLINE=48,CONTACT:+3;POWER:+4;DISCIPLINE:-5,,,,,,• stable (phys -0.3σ) — bat speed -0.3mph,,,FA-H,,110,C
Eduard Bazardo,RP,,—,60.0,67.2,2.822751165591706,high,2.822751165591706,blended_xfp,drop,-32.9,,,True,44.0,LIGHT_USE_MIDDLE,AVG/AVG/MINUS,TRENDING_DOWN,STUFF=41;CONTROL=59;BATTED_BALL=39,-6.0,0.333,3.18,31.0,POST_PEAK,90.7654478976234,BALANCED,MIXED — see profile,MIXED,no_convergence,0.75,3.0,4.0,PL rank changes by >20 (currently —); model rank changes by >20 (currently #60); archetype OVERALL changes by >10 (currently 44); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L15 app,15.0,3.4,2.9,40.0,7.0,-1.7,7.4,6.3,UP,1.3 1.2 6.3 -1.7 2.2 6.3 6.3 6.3,6.0,weekly,04-25,06-20,44.0,49.0,5.0,GENERIC_MIDDLE,STUFF=48;CONTROL=54;BATTED_BALL=43,STUFF:+5;CONTROL:+8;BATTED_BALL:-2,,,,,,• FB velo -0.4 mph (-0.6σ) — stable,,,FA-RP,,29,RP
Owen Caissie,H,,—,231.0,1.37,1.68779399296406,low,1.68779399296406,blended_xfp,hold,-0.083,0.0146,,True,41.0,BACKUP_BAT,MINUS/AVG/AVG,CAREER_LOW,CONTACT=34;POWER=58;DISCIPLINE=47,,0.0,0.373,24.0,PRE_PEAK,,,CAUTION,CAUTION,process_red_flag,0.75,3.0,4.0,career_pct drops below current floor; L21d xwOBACON drops more than 0.020 from season; archetype OVERALL drops below 45; PL rank deteriorates past #100 (currently —),WARN Career-low season (0% career-percentile).,,,,,,,,,,,,,,0.291,0.306,0.015,ALIGNED,,,,,0.306,0.313,ALIGNED,178.0,0.317,0.26,8.9,-10.6,HOME,,,,,L21 games,21.0,1.7,4.1,5.0,57.0,-3.0,11.0,5.0,UP,0.0 3.0 -2.0 -2.0 5.0 11.0 5.0 -1.0,6.0,weekly,04-25,06-20,53.0,53.0,0.0,AVERAGE_HITTER,CONTACT=50;POWER=58;DISCIPLINE=50,CONTACT:-1;POWER:+2;DISCIPLINE:+0,,,,,,,,,FA-H,,106,OF
Moisés Ballesteros,H,,UR,,,1.8547263151781084,low,1.8547263151781084,blended_xfp,—,,,,True,50.0,AVERAGE_HITTER,AVG/AVG/AVG,CAREER_LOW,CONTACT=50;POWER=52;DISCIPLINE=43,,0.0,0.478,23.0,PRE_PEAK,,,CAUTION,CAUTION,process_red_flag,0.5,2.0,4.0,career_pct drops below current floor; L21d xwOBACON drops more than 0.020 from season; archetype OVERALL drops below 45; PL rank deteriorates past #100 (currently UR),WARN Career-low season (0% career-percentile).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L21 games,21.0,0.5,1.5,0.0,71.0,-2.0,3.0,0.7,FLAT,3.0 1.0 0.0 2.0 -1.0 0.0 2.0 0.0,6.0,weekly,04-25,06-13,61.0,52.0,-9.0,AVERAGE_HITTER,CONTACT=51;POWER=55;DISCIPLINE=48,CONTACT:-8;POWER:-13;DISCIPLINE:-2,,,,,,,,,FA-H,,124,DH
Victor Caratini,H,,UR,,,1.8150191227220311,high,1.8150191227220311,blended_xfp,—,,,,True,54.0,BALANCED_EYE,AVG/AVG/PLUS,STABLE,CONTACT=55;POWER=47;DISCIPLINE=63,0.0,0.5,0.427,33.0,POST_PEAK,,,MIXED — see profile,MIXED,no_convergence,0.5,2.0,4.0,PL rank changes by >20 (currently UR); model rank changes by >20 (currently #None); archetype OVERALL changes by >10 (currently 54); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L21 games,21.0,2.8,3.6,5.0,43.0,-2.0,10.0,7.3,UP,-1.0 2.0 1.0 0.0 8.0 5.0 8.0 9.0,6.0,weekly,04-25,06-13,50.0,50.0,0.0,AVERAGE_HITTER,CONTACT=52;POWER=47;DISCIPLINE=54,CONTACT:-2;POWER:+3;DISCIPLINE:+0,,,,,,,,,FA-H,,124,C
