feature,level,target,n,cor,recommendation,min_milb_bf
bb_pct,BOTH,mlb_fp_per_g,488,0.094,DROP,120
er_per_9,BOTH,mlb_fp_per_g,488,0.086,DROP,120
era,BOTH,mlb_fp_per_g,488,0.086,DROP,120
gamesPitched,BOTH,mlb_fp_per_g,488,-0.124,KEEP,120
gamesStarted,BOTH,mlb_fp_per_g,488,0.125,KEEP,120
h_per_9,BOTH,mlb_fp_per_g,488,-0.007,DROP,120
hr_per_9,BOTH,mlb_fp_per_g,488,0.131,KEEP,120
inningsPitched,BOTH,mlb_fp_per_g,488,0.058,DROP,120
ip_per_g,BOTH,mlb_fp_per_g,488,0.144,KEEP,120
k_minus_bb_pct,BOTH,mlb_fp_per_g,488,0.028,DROP,120
k_pct,BOTH,mlb_fp_per_g,488,0.077,DROP,120
whip,BOTH,mlb_fp_per_g,488,0.054,DROP,120
battersFaced,AA,mlb_fp_per_start,220,-0.15,KEEP,50
bb_pct,AA,mlb_fp_per_start,220,-0.029,DROP,50
er_per_9,AA,mlb_fp_per_start,220,-0.148,KEEP,50
era,AA,mlb_fp_per_start,220,-0.148,KEEP,50
gamesPitched,AA,mlb_fp_per_start,220,-0.171,KEEP,50
gamesStarted,AA,mlb_fp_per_start,220,-0.11,KEEP,50
h_per_9,AA,mlb_fp_per_start,220,-0.142,KEEP,50
hr_per_9,AA,mlb_fp_per_start,220,-0.022,DROP,50
inningsPitched,AA,mlb_fp_per_start,220,-0.145,KEEP,50
ip_per_g,AA,mlb_fp_per_start,220,0.034,DROP,50
k_minus_bb_pct,AA,mlb_fp_per_start,220,0.155,KEEP,50
k_pct,AA,mlb_fp_per_start,220,0.149,KEEP,50
whip,AA,mlb_fp_per_start,220,-0.139,KEEP,50
battersFaced,AA,mlb_fp_per_start,183,-0.184,KEEP,120
bb_pct,AA,mlb_fp_per_start,183,-0.05,DROP,120
er_per_9,AA,mlb_fp_per_start,183,-0.152,KEEP,120
era,AA,mlb_fp_per_start,183,-0.152,KEEP,120
gamesPitched,AA,mlb_fp_per_start,183,-0.192,KEEP,120
gamesStarted,AA,mlb_fp_per_start,183,-0.135,KEEP,120
h_per_9,AA,mlb_fp_per_start,183,-0.159,KEEP,120
hr_per_9,AA,mlb_fp_per_start,183,-0.08,DROP,120
inningsPitched,AA,mlb_fp_per_start,183,-0.18,KEEP,120
ip_per_g,AA,mlb_fp_per_start,183,0.017,DROP,120
k_minus_bb_pct,AA,mlb_fp_per_start,183,0.234,KEEP,120
k_pct,AA,mlb_fp_per_start,183,0.208,KEEP,120
whip,AA,mlb_fp_per_start,183,-0.169,KEEP,120
battersFaced,AAA,mlb_fp_per_start,515,-0.124,KEEP,50
bb_pct,AAA,mlb_fp_per_start,515,0.015,DROP,50
er_per_9,AAA,mlb_fp_per_start,515,-0.099,DROP,50
