owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
FA,Kyle Hendricks,FA,0.0,6.9,,talent_prior·flat↓,,,,62.0,19.0
FA,Patrick Sandoval,Bos,1.8,6.91,,talent_prior·flat↓,,,,62.0,19.0
FA,Rhett Lowder,Cin,2.4,8.53,85.0,Stuff+·vol,0.113,,,62.0,18.0
FA,Logan Allen,Cle,0.2,6.92,,talent_prior·flat↓,,,,62.0,19.0
FA,Drew Anderson,Det,0.6,10.92,,rp3_dd·vol,0.088,,,62.0,18.0
FA,Erick Fedde,ChW,2.1,7.65,,rp3_dd·vol,0.125,,,61.0,18.0
FA,Luis Severino,Oak,3.2,12.58,107.0,Stuff+·vol,0.101,SIXTY_DAY_DL,2026-07-29,61.0,24.0
FA,Randy Vasquez,SD,14.1,10.14,98.0,Stuff+·vol,0.105,FIFTEEN_DAY_DL,2026-07-18,61.0,20.0
FA,Carlos Rodon,NYY,55.1,13.34,108.0,Stuff+·vol,0.127,FIFTEEN_DAY_DL,2026-08-11,61.0,32.0
FA,Michael Soroka,Ari,51.4,10.89,94.0,Stuff+·vol,0.099,FIFTEEN_DAY_DL,2026-07-20,60.0,21.0
FA,Gavin Stone,LAD,0.2,10.36,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-05,60.0,27.0
FA,Chad Patrick,Mil,4.8,10.49,,rp3_dd·vol,0.089,,,60.0,18.0
FA,Colton Gordon,Hou,0.0,6.59,,talent_prior·flat↓,,,,59.0,18.0
FA,Carson Palmquist,Wsh,0.0,8.84,,rp3_dd·vol,0.105,,,59.0,18.0
FA,Eric Lauer,LAD,5.3,8.04,88.0,Stuff+·vol,0.113,,,58.0,17.0
FA,Connor Prielipp,Min,1.9,11.78,102.0,Stuff+·vol,0.098,FIFTEEN_DAY_DL,2026-07-26,58.0,22.0
FA,Trey Gibson,Bal,0.1,10.01,97.0,Stuff+·vol,0.089,,,57.0,17.0
FA,Jonathan Cannon,ChW,0.0,6.36,,talent_prior·flat↓,,,,57.0,17.0
FA,Jose Cabrera,Ari,0.3,7.79,,rp3_dd·vol,0.114,,,56.0,17.0
FA,Jean Cabrera,Phi,0,7.79,,rp3_dd·vol,0.114,,,56.0,17.0
FA,Kenta Maeda,FA,0.0,6.13,,talent_prior·flat↓,,,,55.0,16.0
FA,Jameson Taillon,ChC,3.4,10.04,93.0,Stuff+·vol,0.097,FIFTEEN_DAY_DL,2026-07-19,55.0,18.0
FA,JR Ritchie,Atl,1.9,10.25,94.0,Stuff+·vol,0.085,,,55.0,17.0
FA,Edward Cabrera,ChC,22.1,10.51,94.0,Stuff+·vol,0.104,FIFTEEN_DAY_DL,2026-07-27,54.0,21.0
FA,Sam Aldegheri,LAA,0.2,8.47,89.0,Stuff+·vol,0.1,,,54.0,16.0
FA,Frankie Montas,FA,0.0,7.37,,talent_prior·flat↓,,OUT,2026-07-25,53.0,20.0
FA,Kendry Rojas,Min,0.1,9.37,,rp3_dd·vol,0.089,,,53.0,16.0
FA,Tony Gonsolin,LAD,0.0,7.34,,talent_prior·flat↓,,OUT,2026-07-25,53.0,19.0
FA,German Marquez,SD,0.4,8.02,87.0,Stuff+·vol,0.103,,,53.0,16.0
FA,Clay Holmes,NYM,15.3,12.24,101.0,Stuff+·vol,0.106,SIXTY_DAY_DL,2026-08-07,52.0,25.0
FA,Jake Irvin,Wsh,0.5,11.52,99.0,Stuff+·vol,0.1,FIFTEEN_DAY_DL,2026-08-01,52.0,22.0
FA,Zack Littell,Wsh,2.8,7.68,,rp3_dd·vol,0.106,,,52.0,16.0
FA,Kodai Senga,NYM,5.0,9.48,,rp3_dd·vol,0.084,,,51.0,15.0
FA,Grayson Rodriguez,LAA,2.7,10.97,104.0,Stuff+·vol,0.073,,,51.0,15.0
FA,Justin Verlander,Det,1.7,8.68,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-04,51.0,23.0
FA,Rich Hill,FA,0.0,5.63,,talent_prior·flat↓,,,,50.0,15.0
FA,Austin Gomber,Tex,0.0,5.57,,talent_prior·flat↓,,,,50.0,15.0
FA,Johan Oviedo,Bos,0.2,8.52,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-04,50.0,23.0
FA,Josiah Gray,Wsh,0.1,8.03,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-01,50.0,21.0
FA,Jacob Lopez,Oak,0.3,8.81,94.0,Stuff+·vol,0.089,,,50.0,15.0
FA,Andrew Painter,Phi,5.2,10.74,100.0,Stuff+·vol,0.072,,,49.0,15.0
FA,Kris Bubic,KC,28.3,10.77,94.0,Stuff+·vol,0.094,SIXTY_DAY_DL,2026-07-28,49.0,19.0
FA,Miles Mikolas,Wsh,0.8,6.86,,rp3_dd·vol,0.112,,,49.0,15.0
FA,Adrian Houser,SF,0.5,8.83,89.0,Stuff+·vol,0.086,,,49.0,15.0
FA,Alan Rangel,Phi,0.2,8.34,,rp3_dd·vol,0.092,,,49.0,15.0
FA,Hunter Dobbins,StL,0.3,8.55,,rp3_dd·vol,0.087,,,48.0,14.0
FA,Carson Whisenhunt,SF,0.2,8.28,,rp3_dd·vol,0.089,,,47.0,14.0
FA,Joe Boyle,TB,0.4,8.73,,rp3_dd·vol,0.085,,,47.0,14.0
FA,Jack Leiter,Tex,11.4,11.93,102.0,Stuff+·vol,0.09,FIFTEEN_DAY_DL,2026-08-03,47.0,21.0
FA,Yusei Kikuchi,LAA,7.3,10.98,98.0,Stuff+·vol,0.092,SIXTY_DAY_DL,2026-07-31,47.0,19.0
FA,Nick Pivetta,SD,55.3,12.33,,talent_prior·vol,0.101,SIXTY_DAY_DL,2026-08-10,46.0,24.0
FA,Lance McCullers Jr.,Hou,2.4,10.9,97.0,Stuff+·vol,0.077,FIFTEEN_DAY_DL,2026-07-22,45.0,16.0
FA,Andrew Morris,Min,1.4,10.73,,rp3_dd·vol,0.064,,,44.0,13.0
FA,Elmer Rodriguez,NYY,0.6,9.45,91.0,Stuff+·vol,0.072,,,44.0,13.0
FA,Tomoyuki Sugano,Col,1.8,6.99,81.0,Stuff+·vol,0.112,FIFTEEN_DAY_DL,2026-07-20,44.0,15.0
FA,Carlos Carrasco,Atl,0.0,4.79,,talent_prior·flat↓,,,,43.0,13.0
FA,Cooper Criswell,Sea,0.1,7.69,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-08,42.0,21.0
FA,Jose Suarez,Oak,0.1,9.13,,rp3_dd·vol,0.072,,,42.0,12.0
FA,Cade Povich,Bal,0.2,7.57,,rp3_dd·vol,0.086,,,41.0,12.0
FA,Spencer Miles,Tor,1.3,9.69,,rp3_dd·vol,0.066,,,41.0,12.0
FA,Chris Paddack,Tex,0.1,7.31,,rp3_dd·vol,0.079,,,37.0,11.0
FA,Luis Gil,NYY,1.1,7.64,,talent_prior·vol,0.075,,,37.0,11.0
FA,Chris Bassitt,Bal,3.0,9.88,96.0,Stuff+·vol,0.08,FIFTEEN_DAY_DL,2026-07-31,36.0,15.0
FA,Hurston Waldrep,Atl,2.0,8.05,,rp3_dd·vol,0.069,,,36.0,11.0
FA,Brayan Bello,Bos,2.8,8.2,,rp3_dd·vol,0.069,,,36.0,11.0
FA,Dakota Hudson,LAA,0.0,4.08,,talent_prior·flat↓,,,,36.0,11.0
FA,Sean Sullivan,Col,0.0,5.51,81.0,Stuff+·vol,0.088,,,31.0,9.0
FA,Jason Alexander,Hou,0.0,7.27,,talent_prior·vol,0.065,,,30.0,9.0
FA,Ty Blach,ChC,0,3.29,,talent_prior·flat↓,,,,30.0,9.0
FA,Lucas Giolito,SD,1.2,7.56,87.0,Stuff+·vol,0.077,FIFTEEN_DAY_DL,2026-07-24,30.0,11.0
FA,Simeon Woods Richardson,Tor,0.3,5.86,,rp3_dd·vol,0.073,,,28.0,8.0
FA,Chase Petty,Cin,0.1,7.03,,rp3_dd·vol,0.061,,,28.0,8.0
