pitcher,year,gs,fp_per_start,prior_fp_per_start,delta_velo_all,delta_ext_all,delta_ivb_all,delta_velo_fb,delta_ivb_fb,delta_ext_fb
282332,2019,22,7.699999999999999,9.86896551724138,-0.8403501232669015,0.07084745598417985,0.17599044883372983,-0.8058253310943542,0.1258747574873258,0.062811326496786
425794,2019,31,9.687096774193549,8.004347826086954,1.2089290304225528,-0.025345651969097105,0.2866110797060485,0.5571965754574393,-0.048998153432936675,-0.06822114039505234
425844,2019,33,15.693939393939392,15.218181818181815,-0.043031269366991864,0.004327513257013749,-1.2532392062678683,0.36750686910586694,-0.7112551052967451,0.014200524711054818
429719,2019,13,-1.1076923076923082,10.388235294117646,0.12796291684530559,-0.029990751207481736,-0.06852214571986437,0.5538902503894576,0.1251402028952473,-0.051749805273756166
430935,2019,27,10.407407407407405,12.548387096774192,-0.2342129304075513,-0.04806241970644631,0.9885768395473473,-0.4290992220340115,0.8940814982119338,-0.07496470920384102
433587,2019,15,4.826666666666665,7.706896551724136,-0.35878222682340777,-0.1568787698575802,-0.7211499928070861,0.25221137858201814,-0.3182475246041605,-0.12010650568479697
434378,2019,34,20.94411764705882,19.632352941176467,-1.143108220455204,0.0423361772412143,-0.9551053224211312,-0.4372352350030866,0.4681307977736573,0.009404955163883955
434671,2019,30,10.98333333333333,13.820833333333333,0.23689542605362135,-0.0705268622116293,1.0573899935011823,-0.4883901292596988,0.2655793184488857,-0.08585697498740963
448179,2019,12,13.1,13.508695652173913,-0.5200178699352023,-0.0840002303718741,-2.1765212075030345,1.0371893659993106,0.8118794219479177,-0.018751568066637248
450203,2019,33,15.578787878787876,13.973333333333333,-2.7330093438251453,-0.07193677577524671,-1.2759564002283632,-2.1180268358115057,-0.7018418488407558,-0.05697198647238011
450306,2019,28,9.417857142857144,7.536842105263157,-2.388933691059435,-0.026482100733597136,-0.5203734349482865,-2.1790979822783783,-0.28326811907890814,-0.04068618624945941
452657,2019,31,8.69032258064516,11.05625,-0.799573855343084,-0.0005874640490031169,-0.8454521639137038,-0.8395488253415664,-1.3509039707124746,-0.015851275355641015
453281,2019,11,2.781818181818181,11.044444444444444,-0.07766424167333241,-0.12890393928865862,-0.12336839946253875,-0.0031140805046163678,0.1243784841908191,-0.07476973015400112
453286,2019,27,19.08148148148148,20.72121212121212,0.21207867897038568,-0.008639369372734684,0.08206833040684547,0.7269483042872906,0.4114810496437684,0.001685221209811516
