config,cell,signals,cv_base_r,cv_full_r,cv_lift,ho_base_r,ho_full_r,ho_lift,sign_consistent,per_year,n,PASS
holdout_A,F_sd,fps_pct_to_sd,0.5562,0.5568,0.0006,0.5474,0.5478,0.0004,5/5,2018:+0.542 2019:+0.613 2021:+0.572 2022:+0.555 2023:+0.486,3244,False
holdout_A,P_sd,putaway_pct_to_sd,0.5537,0.5545,0.0008,0.5486,0.5503,0.0017,5/5,2018:+0.539 2019:+0.614 2021:+0.565 2022:+0.560 2023:+0.479,3198,False
holdout_A,FP_sd,fps_pct_to_sd+putaway_pct_to_sd,0.5539,0.5549,0.0011,0.5485,0.5506,0.0021,5/5,2018:+0.540 2019:+0.613 2021:+0.566 2022:+0.559 2023:+0.480,3196,False
holdout_B,F_sd,fps_pct_to_sd,0.555,0.5554,0.0003,0.5353,0.5353,-0.0,6/6,2018:+0.550 2019:+0.613 2021:+0.573 2022:+0.555 2023:+0.488 2024:+0.528,3889,False
holdout_B,P_sd,putaway_pct_to_sd,0.5536,0.5544,0.0008,0.5398,0.5411,0.0014,6/6,2018:+0.546 2019:+0.614 2021:+0.568 2022:+0.560 2023:+0.481 2024:+0.535,3839,False
holdout_B,FP_sd,fps_pct_to_sd+putaway_pct_to_sd,0.5538,0.5547,0.0009,0.5396,0.5414,0.0017,6/6,2018:+0.547 2019:+0.614 2021:+0.569 2022:+0.559 2023:+0.482 2024:+0.534,3837,False
