mlb_id,player_name_fg,season,ip,g,gs,so,h,er,bb,hbp,k_pct,bb_pct,swstr_pct,siera,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command
650911,Cristopher Sanchez,,158.2,24.0,24.0,160.0,135.0,42.0,27.0,2.0,0.25641026,0.04326923,0.14116576,2.911316146129691,117.13033429525305,101.4631958296553,118.09378612549935,59.52570307832423,62.59729115664845
694973,Paul Skenes,,133.0,23.0,23.0,163.0,96.0,25.0,27.0,5.0,0.31467181,0.05212355,0.14481779,2.8669813674334463,110.44040811058322,113.71422488013117,122.79132689889904,56.83924910553715,60.49018625177473
669373,Tarik Skubal,,141.1,22.0,22.0,170.0,97.0,32.0,27.0,3.0,0.31657356,0.05027933,0.15643275,2.8300268788140324,121.55960397656838,100.70680228715966,120.64816831549255,63.64895093567251,61.97160580896686
676979,Garrett Crochet,,149.1,23.0,23.0,190.0,126.0,47.0,25.0,3.0,0.32258065,0.04244482,0.13787008,2.6158916897521953,119.2511579584444,103.05680000961199,119.27429430756841,62.80361467079099,60.12996148475475
808967,Yoshinobu Yamamoto,,122.2,21.0,21.0,142.0,79.0,36.0,43.0,2.0,0.29278351,0.08865979,0.12264631,3.419541025985206,101.17986587976982,109.61342291016373,112.28703890458618,49.932977501272276,64.5899002340967
657277,Logan Webb,,151.2,25.0,25.0,159.0,160.0,58.0,32.0,6.0,0.25078864,0.05047319,0.10450227,3.2298612910085853,105.04663468318196,105.01035329287996,110.20389849405367,54.10694156959935,62.32351219330857
624133,Ranger Suarez,,146.2,24.0,24.0,140.0,144.0,49.0,35.0,6.0,0.23026316,0.05756579,0.09479718,3.751717044603735,96.75128433829714,111.19289976857551,106.75394940468,38.04216614197532,63.436602958553785
666200,Jesus Luzardo,,129.2,23.0,23.0,159.0,118.0,68.0,42.0,2.0,0.29499072,0.07792208,0.13420317,3.330893614285162,105.49178250461416,108.94806826014656,112.00145716791843,59.01044395153774,59.13402884436159
669432,Trevor Rogers,,109.2,18.0,18.0,103.0,70.0,22.0,29.0,2.0,0.24349882,0.06855792,0.12538414,3.755791853016206,96.80771219541208,103.77342625453535,100.25391359517815,47.14805041794714,60.93335201598034
592332,Kevin Gausman,,142.0,23.0,23.0,143.0,113.0,51.0,38.0,3.0,0.24912892,0.06620209,0.12944394,3.7412293028150687,101.55736789265401,100.43987147112023,100.9903986676396,53.02397456700091,60.03494516408388
