mlb_id,player_name_fg,team,season,ip,g,gs,so,h,er,bb,hbp,k_pct,bb_pct,swstr_pct,siera,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command
669145,Bruce Zimmermann,STL,,5.0,1.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0952381,0.04761905,0.04166667,5.33959287561251,81.26535211267606,109.65154929577464,97.48056338028171,44.50524,50.21642
701519,Travis Adams,MIN,,35.1,27.0,0.0,42.0,35.0,23.0,17.0,0.0,0.26923077,0.10897436,0.12116317,3.605537100101958,92.69124405230383,90.829669745799,84.26948096599146,49.439075024232636,49.74008075928918
664074,Cody Ponce,TOR,,2.1,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.3,0.1,0.31914894,3.4872762822437284,94.78340425531914,83.85361702127659,80.3336170212766,55.71855,36.73714
694753,Khristian Curtis,PIT,,5.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,0.23529412,0.11764706,0.11764706,3.9337987012892235,91.41176470588233,106.71882352941175,104.44205882352942,53.61131,49.42723
681982,Grant Anderson,MIL,,48.2,44.0,0.0,41.0,36.0,20.0,18.0,1.0,0.21465969,0.09424084,0.11126187,4.119843494268231,102.83045943553405,103.92253395029516,107.23178628999526,53.93077815468115,55.52162271370419
669711,Greg Weissert,BOS,,45.1,48.0,0.0,44.0,42.0,20.0,14.0,2.0,0.23036649,0.07329843,0.0947226,3.538877125664312,104.15786728705504,106.45471307622572,106.27147749334694,49.84981285520975,59.25213534506092
664141,JT Brubaker,SFG,,56.2,37.0,1.0,37.0,44.0,21.0,23.0,1.0,0.16086957,0.1,0.08496732,4.755481376448582,90.31030310433049,105.93863071699678,98.19828290827161,46.419921928104586,55.018676220043574
666277,George Soriano,STL,,52.2,54.0,0.0,53.0,42.0,21.0,22.0,2.0,0.23766816,0.09865471,0.13620885,3.786185062479418,100.04108386973206,94.82624251104968,97.42586343891551,57.996914869466515,50.70203741203178
691951,Sam Aldegheri,LAA,,33.2,9.0,6.0,22.0,31.0,19.0,17.0,1.0,0.14569536,0.11258278,0.08688525,5.5482438749783185,89.42605245901639,96.7295294117647,87.02450916104146,44.5504926885246,49.83368396721311
678868,Eddy Yean,WSN,,10.0,7.0,1.0,6.0,5.0,2.0,2.0,1.0,0.15384615,0.05128205,0.05714286,4.105006420319283,86.86497354497354,109.26169312169311,100.01867195767196,50.43236692857142,49.93117342857142
656986,Bennett Sousa,HOU,,12.0,15.0,0.0,13.0,9.0,4.0,7.0,0.0,0.25490196,0.1372549,0.15151515,4.376410772427899,106.74987499629727,84.92380609615215,91.16382386919044,50.057782020202026,49.004850909090905
702566,Owen Murphy,ATL,,6.2,3.0,1.0,6.0,6.0,3.0,2.0,1.0,0.20689655,0.06896552,0.09482759,4.343329084148856,95.94465517241379,106.89620689655172,96.77137931034483,45.81116887931034,62.926731034482756
806188,Cade Gibson,MIA,,31.0,27.0,0.0,26.0,33.0,19.0,14.0,5.0,0.18309859,0.09859155,0.08141593,4.153147664624829,105.56643053097346,97.0524187315634,101.18404395280234,58.574878955752226,53.21375892035398
621139,Brooks Kriske,ATH,,2.2,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.18181818,0.09090909,0.10526316,4.70022851183168,98.14368421052632,100.08368421052633,96.48368421052632,49.94561684210526,51.03153105263158
670245,Ryan Watson,- - -,,57.1,37.0,0.0,44.0,56.0,28.0,19.0,3.0,0.17741935,0.0766129,0.10594595,4.255488394608681,91.4918492847007,111.29508792773939,104.65930217017646,50.16957954594595,55.36609008648648
572143,Burch Smith,DET,,17.0,13.0,1.0,20.0,18.0,6.0,7.0,0.0,0.2739726,0.09589041,0.09407666,3.1744133857948946,97.15876685350706,88.1041539160733,88.73794576579306,49.334662996515675,47.874748188153305
687531,William Kempner,MIA,,12.1,9.0,0.0,14.0,8.0,4.0,4.0,2.0,0.28,0.08,0.14070352,3.162038682243729,115.95577889447236,83.65336683417085,96.54894472361809,57.02781798994976,46.48229170854272
571927,Steven Matz,TBR,,62.2,22.0,10.0,48.0,57.0,38.0,20.0,2.0,0.18113208,0.0754717,0.09090909,4.468397334664686,99.03484240362809,104.25727606177608,102.11622142550715,50.40144992344497,57.09550577990431
665152,Dean Kremer,- - -,,48.0,9.0,9.0,47.0,42.0,28.0,14.0,0.0,0.24226804,0.07216495,0.11612903,3.8295647934688195,90.59228132741562,95.50124735071935,89.25513947002086,45.71351996129033,48.9687976516129
692230,Carlos Rodriguez,MIL,,9.1,4.0,0.0,8.0,10.0,4.0,4.0,0.0,0.19047619,0.0952381,0.13186813,4.726905808847729,86.31393273393273,83.20583416583416,74.05672993672994,48.63946439560439,44.9684478021978
680723,Drew Rom,- - -,,6.2,6.0,0.0,12.0,6.0,2.0,4.0,0.0,0.4,0.13333333,0.13492063,2.611536277804329,88.35504424778762,80.03663716814161,71.72318584070796,43.09621571428572,39.457244761904754
700842,Eduardo Rivera,BOS,,10.0,4.0,3.0,10.0,8.0,7.0,6.0,0.0,0.22727273,0.13636364,0.10952381,4.549396199594691,100.4795238095238,96.06990476190477,98.4692380952381,53.827101,49.29567438095238
676702,Hunter Stratton,- - -,,3.1,3.0,0.0,3.0,6.0,2.0,0.0,0.0,0.2,0.0,0.07142857,2.2493362837593955,105.63714285714286,98.73964285714285,98.32821428571428,52.39093607142858,57.47881375000001
656288,Griffin Canning,SDP,,71.0,20.0,11.0,71.0,78.0,52.0,33.0,3.0,0.22468354,0.10443038,0.10350318,4.239683472050741,90.77833115840427,96.2036157877954,90.09220933240658,51.6482458598726,48.693040636942676
675540,Xzavion Curry,NYM,,16.0,7.0,0.0,10.0,14.0,5.0,7.0,0.0,0.14925373,0.10447761,0.0746888,5.654618439131729,85.3911203319502,93.089377593361,85.60290456431535,38.77467190871369,49.33724373443984
675911,Spencer Strider,ATL,,39.0,8.0,8.0,46.0,33.0,23.0,20.0,1.0,0.27878788,0.12121212,0.12156295,4.1400364531711755,96.75360802614676,94.1085474560562,90.18386380266347,49.04988791606368,48.694516309696084
683352,Mitch Bratt,ARI,,33.2,7.0,7.0,25.0,28.0,14.0,19.0,1.0,0.17482517,0.13286713,0.06851852,5.583312573605126,91.1358109709221,97.90173809272574,89.83360373234446,44.50794262962963,49.23985029629629
687606,Paxton Schultz,WSN,,32.1,27.0,1.0,32.0,43.0,23.0,12.0,1.0,0.20915033,0.07843137,0.08032787,4.021386653964484,91.3971662788648,103.84595168897918,95.45723436592539,41.0896671147541,48.47358181967213
800600,Jackson Kent,WSN,,4.0,1.0,1.0,6.0,3.0,3.0,5.0,0.0,0.31578947,0.26315789,0.05128205,5.823024251951814,,,,46.3961,42.69664
676051,Codi Heuer,CLE,,9.2,8.0,0.0,6.0,12.0,5.0,5.0,1.0,0.13043478,0.10869565,0.1005291,5.242050920015809,97.57619047619046,84.46349206349207,82.37291005291006,52.26623513227513,46.85150375661375
592866,Trevor Williams,WSN,,11.1,6.0,0.0,14.0,11.0,3.0,2.0,1.0,0.29787234,0.04255319,0.11267606,2.2684240334149806,92.00374095238097,93.29794285714286,81.21918476190476,48.312811830985915,60.636438450704226
663765,Jake Woodford,- - -,,26.1,18.0,0.0,23.0,40.0,21.0,7.0,0.0,0.18253968,0.05555556,0.07439825,3.855754257797096,98.31838141656519,103.47738791970666,100.5594318473618,50.18391853391685,56.558521684901535
688642,Zach Agnos,COL,,68.2,30.0,2.0,43.0,76.0,44.0,25.0,5.0,0.14098361,0.08196721,0.10026619,4.854965250781986,90.36760489195805,99.17900468244216,90.3702999561123,45.19681472049689,49.561757613132215
674073,Jack Weisenburger,NYM,,3.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.27272727,0.0,0.09090909,2.5259557927502247,108.05379310344826,110.22344827586207,107.92758620689655,52.25995954545454,62.25596681818181
657571,Caleb Ferguson,- - -,,27.2,30.0,1.0,25.0,29.0,12.0,17.0,0.0,0.1984127,0.13492063,0.07645875,4.614706220573878,104.53481690140845,95.04470020120725,97.10864386317908,50.25655704225352,58.44245961770623
679775,Kyle Backhus,PHI,,20.0,21.0,1.0,20.0,25.0,11.0,6.0,2.0,0.21276596,0.06382979,0.07627119,3.5918039184455464,109.74095238095238,95.54274011299434,99.33879741727199,54.230530593220344,57.63718663841808
685801,Hunter Bigge,TBR,,19.1,18.0,0.0,14.0,14.0,15.0,14.0,0.0,0.16470588,0.16470588,0.10031348,5.6796118515134495,99.27658755038067,77.90572324227495,80.96197716077027,57.69687219435737,45.14566244514107
695001,Alimber Santa,HOU,,15.1,10.0,0.0,9.0,8.0,2.0,6.0,0.0,0.15254237,0.10169492,0.07949791,4.68621723382191,103.7184601974037,100.24849023709902,102.79381557772771,49.98355041841003,49.61680071129707
688158,David Morgan,SDP,,22.0,18.0,0.0,26.0,26.0,11.0,13.0,3.0,0.24761905,0.12380952,0.15037594,3.7645931497354583,102.25634995488528,98.0159076389409,99.15267727421814,51.591368170426065,46.06565899749373
592826,Vince Velasquez,CHC,,3.1,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09090909,0.0,0.06976744,5.485823565562455,90.69581395348835,101.36790697674418,89.91627906976744,45.12562930232558,55.784055813953486
621389,Ty Blach,CHC,,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.22222222,0.0,0.1,1.4752567805627903,110.27,130.10066666666665,142.0786666666667,,
694335,Matt Svanson,STL,,43.1,41.0,1.0,41.0,55.0,35.0,21.0,2.0,0.19806763,0.10144928,0.0748731,4.323690634005222,95.80220530174843,100.3292160180485,95.99185279187817,51.730964606598995,52.81501901015228
680755,Braydon Fisher,TOR,,60.0,57.0,7.0,56.0,42.0,24.0,33.0,3.0,0.22857143,0.13469388,0.10515464,4.413147568379319,100.72376043691705,95.55407973490426,94.65723520373095,45.06169190721648,50.44456102061855
685112,Zach McCambley,CIN,,7.2,7.0,0.0,7.0,9.0,4.0,6.0,1.0,0.17948718,0.15384615,0.12658228,5.201716920366649,98.14468354430382,82.13417721518988,76.8918987341772,52.45298474683544,38.749060886075945
682982,Daniel Espino,CLE,,6.0,6.0,0.0,12.0,5.0,3.0,4.0,0.0,0.44444444,0.14814815,0.18333333,2.417992031388796,110.39133333333334,93.57683333333333,103.70333333333333,57.49370725000001,49.287886666666665
686228,Juan Burgos,ARI,,2.2,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.07894737,5.9560962822437284,113.49072368421052,93.33381578947369,102.83592105263159,58.44544105263159,56.37854157894736
