mlb_id,player_name_fg,team,season,ip,g,gs,tbf,so,h,er,r,bb,hbp,hr,era,fip,xfip,siera,k_pct,bb_pct,swstr_pct,csw_pct,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
650911,Cristopher Sanchez,PHI,,136.1,20.0,20.0,527.0,138.0,111.0,33.0,34.0,18.0,2.0,5.0,2.1784841431367985,2.0275568380261255,2.5346325459637065,2.7565686789557846,0.26185958,0.0341556,0.14565217,,118.78980114803028,104.31872057500816,122.02141683438845,60.88587041847826,65.66573486413043,-1.0868750543478258
694973,Paul Skenes,PIT,,104.1,19.0,19.0,413.0,131.0,82.0,22.0,24.0,23.0,4.0,6.0,1.8977636014038135,2.147915858890662,2.90757155609509,2.8868822955080446,0.31719128,0.05569007,0.13994169,,109.09926666919085,112.46382342374179,120.33952987601967,55.80258775510204,58.35553019825073,-0.6394483206997087
666200,Jesus Luzardo,PHI,,111.0,19.0,19.0,444.0,133.0,86.0,44.0,46.0,33.0,2.0,10.0,3.5675676288702274,2.8558570341285625,3.1569774660435437,3.249091109362468,0.29954955,0.07432432,0.14015573,,106.59786276690876,110.54220931754237,114.22425058343696,59.662443776418236,60.05654020022246,-0.7176279477196887
676979,Garrett Crochet,BOS,,123.1,19.0,19.0,487.0,154.0,104.0,41.0,41.0,20.0,3.0,17.0,2.9918918996034876,2.989190371884666,2.397355026199286,2.628241910361546,0.31622177,0.04106776,0.13692722,,119.57841932244594,102.91083624015646,119.70029452063848,62.803737671159034,58.46829980053908,-0.7694549919137466
669373,Tarik Skubal,DET,,112.0,18.0,18.0,434.0,136.0,80.0,28.0,35.0,26.0,2.0,12.0,2.250000057475909,2.8494220251939737,2.819352311610307,2.9491491925597697,0.31336406,0.05990783,0.15833333,,120.43381275600818,100.05961161200231,119.36415915939087,63.59893952380951,60.64255136904761,-0.8152022857142857
808967,Yoshinobu Yamamoto,LAD,,106.0,18.0,18.0,417.0,124.0,68.0,30.0,32.0,36.0,2.0,8.0,2.5471699044198606,2.852117439937914,3.092741056683102,3.343741835692988,0.29736211,0.08633094,0.12986236,,101.52281207808696,111.84004287890822,115.02377085738135,50.599312501496115,67.54266697785758,-0.7110694434470377
669432,Trevor Rogers,BAL,,103.1,17.0,17.0,401.0,98.0,68.0,22.0,23.0,29.0,1.0,6.0,1.9161290735211018,2.864168570436127,3.631175781556949,3.785515673521398,0.24438903,0.0723192,0.12727273,,96.70660242982822,103.32047046501886,99.52015416841223,46.91730949350649,60.52810161038961,-0.35681444155844155
657277,Logan Webb,SFG,,125.2,21.0,21.0,525.0,133.0,132.0,51.0,55.0,29.0,5.0,10.0,3.652519967815692,2.864579283553773,3.0078708584982174,3.3131242087846338,0.25333333,0.0552381,0.10192024,,105.3978090304279,104.28379280459875,109.49194208301763,53.44646705071395,62.541773776464794,-0.49217848350566223
624133,Ranger Suarez,PHI,,121.0,20.0,20.0,500.0,118.0,121.0,45.0,45.0,28.0,5.0,13.0,3.3471075435388595,3.3995991364617097,3.5956108314785924,3.697514000929581,0.236,0.056,0.09673971,,97.0352550724768,110.10433115617116,105.779842280335,38.170164521646186,62.60274669160877,-0.325414687332977
608331,Max Fried,NYY,,114.1,19.0,19.0,482.0,112.0,106.0,46.0,52.0,33.0,6.0,9.0,3.62099129391541,3.222599876030831,3.4668287031553775,3.6720082232775315,0.23236515,0.06846473,0.12034079,,108.93766309335938,101.77299122931953,111.92060216527386,59.46109246538872,44.404924345047924,-0.10696604366347177
