mlb_id,player_name_fg,team,ip,g,gs,tbf,so,h,er,r,bb,hbp,hr,era,fip,xfip,siera,k_pct,bb_pct,swstr_pct,csw_pct,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
519242,Chris Sale,ATL,177.2,29.0,29.0,702.0,225.0,141.0,47.0,48.0,39.0,8.0,9.0,2.380863073479444,2.0858043406821043,2.644250139049429,2.8042561124843077,0.32051282,0.05555556,0.14123492,,104.23543953211268,110.82887772311399,109.7780293474648,47.752427881476216,63.76467185237759,-0.4902360220014194
669373,Tarik Skubal,DET,192.0,31.0,31.0,753.0,228.0,142.0,51.0,54.0,35.0,9.0,15.0,2.390625035623089,2.4946047682780774,2.825612260001823,2.8893415627543417,0.30278884,0.04648074,0.14609484,,112.14808677172786,99.88377089475907,111.8251868268147,58.99699554393305,60.66566003835423,-0.5455598396094838
554430,Zack Wheeler,PHI,200.0,32.0,32.0,787.0,224.0,139.0,57.0,62.0,52.0,8.0,20.0,2.5650000244617464,3.1264797779083255,3.3006879756360243,3.3169765272525167,0.28462516,0.0660737,0.12914541,,110.05775920514654,104.19418660907148,113.33523117531945,59.39141726721939,59.674338523596944,-0.7410182334183675
666142,Cole Ragans,KCR,186.1,32.0,32.0,762.0,223.0,146.0,65.0,71.0,67.0,6.0,15.0,3.1395349533510197,2.994744532978286,3.4575364764655627,3.49507206837662,0.29265092,0.08792651,0.14400257,,109.89607501467817,99.33633373035723,109.71255080678213,61.90188634701733,53.50400305644646,-0.38418475625400905
656302,Dylan Cease,SDP,189.1,33.0,33.0,762.0,224.0,137.0,73.0,80.0,65.0,2.0,18.0,3.4700705507129888,3.097817803922567,3.435136422152055,3.4581658432755016,0.29396325,0.08530184,0.14742785,,109.76879217794719,103.51689751594363,113.0437096576219,67.22065060225847,52.65506568695106,-0.4827123337515684
607625,Seth Lugo,KCR,206.2,33.0,33.0,836.0,181.0,177.0,69.0,75.0,48.0,9.0,16.0,3.004838774385364,3.2487378445773176,3.829895070722029,3.9382725697859913,0.21650718,0.05741627,0.09479434,,96.74616355471775,99.69586862681044,96.75323326387692,42.00712714010284,53.597510716580985,0.14141850899742928
650911,Cristopher Sanchez,PHI,181.2,31.0,31.0,754.0,153.0,182.0,67.0,76.0,44.0,0.0,11.0,3.319266136361439,2.99583757227453,3.1907934959543156,3.5787205265631727,0.20291777,0.05835544,0.11258041,,106.6373661992979,103.20154849504992,110.75625982507712,58.58040625446747,57.682951504646184,-0.6119903466761973
676979,Garrett Crochet,CHW,146.0,32.0,32.0,595.0,209.0,123.0,58.0,61.0,33.0,5.0,18.0,3.5753425124618126,2.6870277172316976,2.3788157322307772,2.5324797444409644,0.3512605,0.05546218,0.16200418,,115.6770801481084,102.79725242222402,115.833678836661,69.67515871773168,64.08551771900126,-1.081637397376217
657277,Logan Webb,SFG,204.2,33.0,33.0,841.0,172.0,202.0,79.0,83.0,50.0,2.0,11.0,3.473941411244413,2.9466100687173644,3.282185855644765,3.615133872903991,0.20451843,0.05945303,0.08525921,,108.93167532175687,104.24957523861437,112.36155189578291,58.495243863210476,63.42486529044348,-0.6212649437851342
694973,Paul Skenes,PIT,133.0,23.0,23.0,514.0,170.0,94.0,29.0,31.0,32.0,6.0,10.0,1.9624060291089942,2.444675261835912,2.5358691736541434,2.7140478644684807,0.3307393,0.06225681,0.13117066,,108.33431994074468,109.72162950765447,114.6841061296882,52.23511516690173,55.63280289609779,-0.30260910672308416
669923,George Kirby,SEA,191.0,33.0,33.0,778.0,179.0,181.0,75.0,82.0,23.0,7.0,22.0,3.5340314841950797,3.26072061786833,3.5761652578062004,3.5619932917794506,0.23007712,0.02956298,0.11350623,,104.14530858459786,109.90179179970987,112.03330655685997,53.41501295048839,61.974108006062636,-0.5392763354664871
669302,Logan Gilbert,SEA,208.2,33.0,33.0,803.0,220.0,148.0,75.0,83.0,37.0,4.0,26.0,3.234824409279861,3.267118759911835,3.11101187540656,3.1920187641405735,0.2739726,0.04607721,0.14858646,,96.24977689602935,112.5791322742486,110.86015457462649,57.111849740302425,53.84860857988166,-0.43477137409598954
650633,Michael King,SDP,173.2,31.0,30.0,726.0,201.0,144.0,57.0,71.0,63.0,7.0,17.0,2.9539348165821204,3.3334663468685113,3.4974666602456024,3.6303294372102055,0.2768595,0.08677686,0.11986183,,95.66058186954092,103.84616619059314,100.10472391413998,50.64337875089222,54.26165228765167,-0.17403172733761602
607192,Tyler Glasnow,LAD,134.0,22.0,22.0,522.0,168.0,92.0,52.0,53.0,35.0,0.0,15.0,3.4925373134328357,2.8978230618718848,2.6838001117555064,2.9002358520346823,0.32183908,0.06704981,0.13767396,,107.55240021844433,100.33884771383774,111.72819976778452,67.70315613320079,54.64670186878727,-0.4133530119284293
656557,Tanner Houck,BOS,178.2,30.0,30.0,743.0,154.0,156.0,62.0,75.0,48.0,16.0,11.0,3.123134406153625,3.317599185039164,3.5750677592383737,3.7294767854416313,0.20726783,0.06460296,0.09831871,,103.97887374997326,105.07742487738189,107.33764180089429,48.8861675365497,55.83197686038013,-0.37010831140350886
669203,Corbin Burnes,BAL,194.1,32.0,32.0,784.0,181.0,165.0,63.0,76.0,48.0,2.0,22.0,2.9176672861493027,3.5472688068172173,3.5460831572743206,3.7493782019071165,0.23086735,0.06122449,0.12912913,,113.19463188100903,103.77377304555515,119.23667232422676,61.61649681681682,45.24149931598265,-0.43144309642976325
543243,Sonny Gray,STL,166.1,28.0,28.0,671.0,203.0,142.0,71.0,79.0,39.0,3.0,21.0,3.841683440154606,3.1243956091488214,2.819376980361164,3.0314760373947522,0.30253353,0.05812221,0.13395012,,97.31025046210566,105.5521529068149,107.13828639481065,57.9481038294449,53.871544613837486,-0.6132050965406275
668881,Hunter Greene,CIN,150.1,26.0,26.0,611.0,169.0,96.0,46.0,47.0,57.0,19.0,12.0,2.7538803243083136,3.4724664809907186,4.194870960272018,3.805568766871329,0.27659574,0.09328969,0.13031604,,113.13250292507996,96.29640917830542,108.4529776932429,54.34327482637534,48.68266167381976,-0.2702868318376902
664285,Framber Valdez,HOU,176.1,28.0,28.0,703.0,169.0,140.0,57.0,60.0,55.0,6.0,13.0,2.909262859575229,3.2458748660754737,3.0849114301950835,3.415269757561335,0.24039829,0.07823613,0.11439539,,107.32085780305228,100.65468603951172,110.46278770645318,54.90953501194269,47.070698248407645,-0.18592154856687898
579328,Yusei Kikuchi,- - -,175.2,32.0,32.0,736.0,206.0,167.0,79.0,85.0,44.0,2.0,25.0,4.047438476657994,3.456802369442478,3.1990503021500785,3.2963147190224387,0.2798913,0.05978261,0.12816131,,103.9104451070263,106.30995625518977,110.2706995463267,63.11864784688995,58.3072820608339,-0.6057195420369104
625643,Reynaldo Lopez,ATL,135.2,26.0,25.0,543.0,148.0,108.0,30.0,32.0,42.0,2.0,10.0,1.9901720134886478,2.915865524739373,3.4399229119173214,3.5796460909343573,0.27255985,0.07734807,0.12234294,,97.96621621119287,102.59338813786685,98.47678085591969,40.727127132735,57.70509504015117,0.012634685876239957
624133,Ranger Suarez,PHI,150.2,27.0,27.0,626.0,145.0,140.0,58.0,63.0,41.0,5.0,14.0,3.464601828391182,3.3655948258984836,3.2615301649676556,3.6139441593967514,0.23162939,0.06549521,0.09426752,,97.43604112774756,110.94602615728884,107.86280661570727,41.85568303618711,57.23254039717565,-0.0899801632833186
607200,Erick Fedde,- - -,177.1,31.0,31.0,726.0,154.0,154.0,65.0,66.0,52.0,5.0,20.0,3.2988722573282834,3.8600888170101006,4.116248774427888,4.190528109073478,0.21212121,0.07162534,0.08739206,,90.52217851256624,109.26772080464784,102.43915262834494,43.81598576511226,56.5797313298791,0.054725861830742635
607259,Nick Martinez,CIN,142.1,42.0,16.0,570.0,116.0,128.0,49.0,56.0,18.0,5.0,13.0,3.0983607677547154,3.2086343465585667,3.890930480090563,3.799622315200025,0.20350877,0.03157895,0.10865475,,95.07159745145542,113.07266111860376,106.18446330664206,40.62193031514581,64.20260968485421,-0.4003078786453434
