mlb_id,player_name,stuff_plus_inhouse,stuff_source,plv,arch_stuff_2080
624133,"Suarez, Ranger",98.4,arch,,50.0
641816,"Mahle, Tyler",98.0,arch,5.175,49.0
622663,"Severino, Luis",98.0,arch,,49.0
680694,"Bradish, Kyle",98.0,arch,,49.0
669160,"May, Dustin",98.0,arch,,49.0
688107,"Gasser, Robert",98.0,arch,,49.0
663436,"Martin, Davis",98.0,arch,,49.0
543243,"Gray, Sonny",98.0,arch,,49.0
676440,"Bibee, Tanner",98.0,arch,,49.0
687562,"Bennett, Jake",98.0,arch,,49.0
663623,"Irvin, Jake",98.0,arch,,49.0
677958,"Rocker, Kumar",98.0,arch,,49.0
687473,"Gusto, Ryan",98.0,arch,,49.0
694738,"Roupp, Landen",98.0,arch,,49.0
682052,"Lopez, Jacob",98.0,arch,,49.0
669276,Dylan Lee,97.9,plv,5.134,
622088,Tejay Antone,97.7,plv,5.125,
622554,Seranthony Domínguez,97.7,plv,5.122,
641401,Connor Brogdon,97.5,plv,5.118,
666974,Yennier Cano,97.3,plv,5.117,
679358,Eric Orze,97.3,plv,5.117,
664875,Justin Lawrence,97.3,plv,5.117,
820862,José Fermin,97.1,plv,5.114,
665795,"Cabrera, Edward",96.9,arch,5.102,48.0
701542,"Warren, Will",96.9,arch,5.284,48.0
656288,"Canning, Griffin",96.9,arch,,48.0
685299,"Gordon, Tanner",96.9,arch,,48.0
663903,"Singer, Brady",96.9,arch,,48.0
622491,"Castillo, Luis",96.9,arch,,48.0
676106,"Hancock, Emerson",96.9,arch,,48.0
647336,"Soroka, Michael",96.9,arch,,48.0
642547,"Peralta, Freddy",96.9,arch,5.345,48.0
686930,Mason Barnett,96.6,plv,5.096,
680570,"Rodriguez, Grayson",96.3,arch,,47.0
691725,"Painter, Andrew",96.3,arch,,47.0
678394,"Bello, Brayan",96.3,arch,,47.0
607536,"Freeland, Kyle",96.3,arch,,47.0
669923,"Kirby, George",96.3,arch,,47.0
671936,Adam Macko,96.3,plv,5.093,
681517,"Leahy, Kyle",96.3,arch,5.085,47.0
571510,"Boyd, Matthew",96.3,arch,,47.0
690928,"Dobbins, Hunter",96.3,arch,,47.0
690978,Dax Fulton,96.2,plv,5.092,
605130,Scott Barlow,95.8,plv,5.079,
696147,Sam Bachman,95.7,plv,5.077,
694346,"Gibson, Trey",95.6,arch,,46.0
805673,"Matthews, Zebby",95.6,arch,,46.0
669358,"Baz, Shane",95.6,arch,,46.0
