mlb_id,player_name_fg,team,season,ip,g,gs,era,fip,xfip,siera,k_pct,bb_pct,swstr_pct,csw_pct,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
656557,Tanner Houck,BOS,,85.0,13.0,13.0,1.9058823957080258,2.237067992728474,2.8917557007837504,3.077831072373402,0.25,0.04464286,0.10547504,,106.57327738961479,108.47208276052139,111.63727573037049,50.973210676328506,62.78755321256039,-0.7802781320450886
666142,Cole Ragans,KCR,,73.0,13.0,13.0,3.2054795358077675,2.289767426615876,3.143254616270159,3.3578703344982324,0.29372937,0.07920792,0.14061208,,112.3319782789076,97.55733486999627,110.62706591490914,62.94418501240695,55.41340859387925,-0.4374558312655086
669373,Tarik Skubal,DET,,73.0,12.0,12.0,1.9726027654961724,2.276068807753328,2.7526791538516058,2.8665240071455838,0.30496454,0.04609929,0.14312096,,113.4369466232525,101.9598880735233,114.54961824690999,59.808580941828254,62.33108801477377,-0.6515789289012004
607192,Tyler Glasnow,LAD,,80.0,13.0,13.0,2.925,2.728979778289795,2.619686398189515,2.8699475278267434,0.33548387,0.07419355,0.13824503,,109.02460889244293,99.88386182981316,111.78736916888295,68.84288518211922,55.500692980132456,-0.46544737582781454
624133,Ranger Suarez,PHI,,74.0,12.0,12.0,1.7027027027027026,2.6799932918033087,2.7415120308060907,2.983350780177143,0.28519856,0.05776173,0.10630292,,100.25766712965209,112.1669588899875,110.34492271095674,42.637981646284096,60.968081825023525,-0.24201694261523987
554430,Zack Wheeler,PHI,,80.2,13.0,13.0,2.2314049762647405,2.955735974975903,3.357098957323539,3.473982703392671,0.28526646,0.0815047,0.13194444,,110.14166070784013,105.96025276177004,114.35070373274584,58.60193564814816,62.22123658179011,-0.8404968055555555
650911,Cristopher Sanchez,PHI,,66.1,12.0,12.0,2.7135678912132666,2.5333139370066995,3.135127429212892,3.5139850688949923,0.20996441,0.0747331,0.09990575,,105.63952973309131,103.07821543931988,109.63035472408944,59.669889057492924,54.36344645617342,-0.6028560791705937
676979,Garrett Crochet,CHW,,69.2,13.0,13.0,3.4880383093440437,2.9081065701902364,2.617702806748596,2.6616802167173845,0.33695652,0.05434783,0.14285714,,111.13497284428192,107.0037351251339,117.13055342325913,70.23268155127082,64.05062331288343,-1.0387821735319895
656302,Dylan Cease,SDP,,77.0,13.0,13.0,3.5064936367812827,2.997648603185511,3.4142818207435006,3.2606803038643637,0.30491803,0.07213115,0.14806202,,110.01420381075297,102.65126101027488,112.505635758136,66.5484739379845,52.87439037984496,-0.4459547984496125
519242,Chris Sale,ATL,,67.2,11.0,11.0,3.0591133292354464,2.516233466761488,2.592496457756897,2.726351413898863,0.30483271,0.03717472,0.14825581,,108.15692076728851,106.33653857082875,108.6489421060554,47.772444602713186,65.2827204360465,-0.5450650872093022
656427,Jack Flaherty,DET,,72.2,12.0,12.0,3.2201835989360146,2.7261127904011095,2.198008695637333,2.445618045193167,0.33451957,0.03558719,0.14651368,,100.83881261099658,108.26570089797785,109.43521992774726,47.009903397683395,58.65017824324326,-0.12068382239382239
808967,Yoshinobu Yamamoto,LAD,,65.0,12.0,12.0,3.3230769718328177,2.7203259255900187,2.869502659484392,3.0988912536577797,0.28358209,0.05223881,0.1192053,,97.10873566791983,108.49610248783601,106.20888753257907,49.142986035950806,62.2893806717124,-0.33836205298013244
579328,Yusei Kikuchi,TOR,,72.1,13.0,13.0,3.4838710289857757,3.083530468075848,3.4350232937813314,3.638820825654899,0.23666667,0.05,0.11972438,,103.6619371469304,108.35584086185445,112.0126656258147,62.233041111111106,64.22401174849269,-0.8187440740740741
669203,Corbin Burnes,BAL,,79.2,13.0,13.0,2.2594142710197773,3.191584381301126,3.4158262926533935,3.663339510479034,0.24203822,0.06687898,0.12398703,,113.6113349022712,104.78061080571666,120.12329782862247,60.699904440842786,48.59364320907617,-0.5523662560777958
661563,Luis Gil,NYY,,69.1,12.0,12.0,1.8173077506338369,2.978979772272018,3.690103303030946,3.761520451535732,0.31481481,0.12592593,0.11915269,,105.12526567528775,93.52457686975671,102.81428269901129,67.86914263018535,47.25484569285083,-0.13643965578111208
676710,Kutter Crawford,BOS,,74.1,13.0,13.0,3.5112108674433244,3.4355380823084407,4.3185981794756785,4.156929071341873,0.22829582,0.07717042,0.11447811,,101.09299839696061,100.28273695481704,100.39382031373395,44.46354238215488,51.93622537878788,-0.045330917508417515
694297,Brandon Pfaadt,ARI,,73.0,12.0,12.0,4.315068549522877,3.1253838873419584,3.7429285058201014,3.6783928522231126,0.23745819,0.04682274,0.11284404,,101.18712773408005,107.60813235763472,106.22238464055056,57.044288100917434,63.77519406422019,-0.8347160366972476
