mlb_id,player_name_fg,team,season,ip,g,gs,tbf,so,h,er,r,bb,hbp,hr,era,fip,xfip,siera,k_pct,bb_pct,swstr_pct,csw_pct,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
668678,Zac Gallen,ARI,,78.2,13.0,13.0,315.0,88.0,68.0,24.0,29.0,17.0,1.0,3.0,2.745762833916095,2.199955566834867,3.1964129144816003,3.4661601973666465,0.27936508,0.05396825,0.11856092,,99.83958664730886,104.20201379610398,105.54348622438533,49.578925679012336,61.13897565255732,-0.26324336860670194
592332,Kevin Gausman,TOR,,82.0,13.0,13.0,329.0,113.0,70.0,24.0,29.0,18.0,0.0,7.0,2.63414640273458,2.2672354584716032,2.568877206664826,2.82360912251764,0.34346505,0.05471125,0.13501144,,104.07269485472577,104.89009901019949,110.44335226707427,57.76596556826849,60.616455835240274,-0.6222066514111365
543135,Nathan Eovaldi,TEX,,80.1,12.0,12.0,305.0,77.0,61.0,20.0,21.0,14.0,2.0,3.0,2.240663935881554,2.4210154500300476,3.335055953318894,3.5075516221083496,0.25245902,0.04590164,0.1205857,,104.2218177951594,103.39963114746014,107.75161754009314,49.53107478036176,62.52837309216194,-0.3464625409130061
543243,Sonny Gray,MIN,,67.0,12.0,12.0,279.0,71.0,59.0,17.0,17.0,24.0,0.0,1.0,2.2835821220566213,2.4042940787308784,3.54281640409037,3.9796671974158433,0.25448029,0.08602151,0.11111111,,99.2103333510666,97.66210982375081,99.09066539122392,53.86449671183379,50.555495934959346,-0.11848710930442637
664285,Framber Valdez,HOU,,79.0,12.0,12.0,312.0,84.0,65.0,19.0,24.0,16.0,3.0,6.0,2.1645569620253164,2.8373188405097287,2.7080457001547273,3.05869174806535,0.26923077,0.05128205,0.11092003,,106.71375269559324,102.05338584971224,109.46125741218059,54.91265456400742,51.488283858998145,-0.16259531539888686
554430,Zack Wheeler,PHI,,68.2,12.0,12.0,294.0,79.0,67.0,33.0,36.0,16.0,5.0,5.0,4.325242818564878,2.818147145500618,3.629234708523157,3.5990910928922855,0.26870748,0.05442177,0.1307244,,116.52749658944565,104.2526188988721,120.18180942208019,61.450454346378024,62.69021462114905,-1.0517699833472105
657746,Joe Ryan,MIN,,71.2,12.0,12.0,283.0,80.0,54.0,22.0,24.0,14.0,1.0,6.0,2.7627907221842096,2.7387612851495162,3.611341280133677,3.4506462313748965,0.28268551,0.04946996,0.13321332,,105.35408995590387,107.18307614004681,108.00310009455467,45.94723685868586,69.36654592259227,-0.6754288208820882
675911,Spencer Strider,ATL,,69.2,12.0,12.0,278.0,113.0,44.0,23.0,26.0,26.0,3.0,7.0,2.971291893144926,2.566045137898247,2.873622929249837,2.72413178402107,0.40647482,0.09352518,0.19849875,,121.85890915697075,101.54923690534191,118.70516057110297,64.13957178482069,64.1380248790659,-1.0764929858215178
622491,Luis Castillo,SEA,,70.2,12.0,12.0,281.0,82.0,53.0,20.0,22.0,16.0,2.0,6.0,2.547169834237457,2.8022101667437447,3.312794195241558,3.3681666111052246,0.29181495,0.0569395,0.15377856,,108.56044687758923,97.87310540249587,106.14177758114764,57.75256596045198,51.612759566855,-0.14183224105461392
657006,Justin Steele,CHC,,68.0,12.0,12.0,271.0,58.0,56.0,20.0,23.0,16.0,4.0,2.0,2.6470588606534124,2.8138638827215017,4.036234719875201,4.138064931927013,0.21402214,0.05904059,0.11752988,,106.82820107899138,103.69979805199078,108.81490641652562,56.3633578187251,59.36361680278884,-0.7296800099601595
669302,Logan Gilbert,SEA,,71.0,12.0,12.0,280.0,79.0,55.0,30.0,32.0,13.0,0.0,8.0,3.802817003567575,3.043772748187761,3.3254823549987096,3.37492859628289,0.28214286,0.04642857,0.11297852,,99.21999213069067,108.77313845740316,107.9694306510483,49.89291586367881,53.18271824463118,-0.07320577964519139
656605,Mitch Keller,PIT,,80.0,13.0,13.0,332.0,94.0,72.0,32.0,36.0,21.0,4.0,8.0,3.6000000429153447,3.142540358155966,3.26855624744017,3.4607214545384637,0.28313253,0.06325301,0.09761905,,109.81216263278597,101.3711769973476,107.60525943313073,51.4523802157032,61.10372642795514,-0.6169057118205349
593958,Eduardo Rodriguez,DET,,67.2,11.0,11.0,263.0,67.0,50.0,16.0,18.0,16.0,0.0,6.0,2.128078867721531,3.1368137557347633,3.572299440940826,3.7901734086402894,0.25475285,0.0608365,0.10828625,,97.55175940677394,104.44768311331757,101.34211628954297,41.02121832648871,66.51876118069815,-0.10306519507186859
666200,Jesus Luzardo,MIA,,73.2,13.0,13.0,305.0,86.0,72.0,31.0,32.0,20.0,2.0,9.0,3.7873304474888605,3.4043616316202874,3.7013962210394005,3.602723106908308,0.28196721,0.06557377,0.13402889,,105.65683500440552,103.90624428101897,108.82741022113252,62.32093667532468,54.442225575757575,-0.31166979220779223
686613,Hunter Brown,HOU,,68.1,12.0,12.0,281.0,79.0,60.0,28.0,32.0,23.0,4.0,6.0,3.687805049608047,3.2696745065193245,3.1202221373026213,3.4894865847151815,0.28113879,0.08185053,0.11101474,,101.2795299878753,102.86484909567052,106.91345205098678,49.176746053772774,58.39935889852559,-0.10980464874241111
477132,Clayton Kershaw,LAD,,69.1,12.0,12.0,280.0,84.0,59.0,25.0,28.0,17.0,2.0,10.0,3.245192367208781,3.5290788260613675,3.0610175696366517,3.2801820100554746,0.3,0.06071429,0.15168029,,114.16891357439658,97.67898293602215,111.01217051253361,47.87236183469573,58.183596830154414,-0.14208744777475024
657277,Logan Webb,SFG,,79.0,12.0,12.0,309.0,82.0,67.0,25.0,28.0,15.0,2.0,9.0,2.8481013345863566,3.3056732721119393,2.8920142678393335,3.12816819365412,0.26537217,0.04854369,0.10230179,,111.73524468013974,100.26409071183065,110.94277753346734,56.32044679000926,62.274318926919506,-0.30288330249768736
669923,George Kirby,SEA,,71.0,11.0,11.0,280.0,58.0,66.0,24.0,24.0,6.0,2.0,7.0,3.0422536028540597,3.24095585207645,3.8221972805925,3.926220587808324,0.20714286,0.02142857,0.08562992,,100.56706312286612,116.00134931233549,113.46463473452636,43.692409793307085,75.47638306102361,-0.8856385039370078
573186,Marcus Stroman,CHC,,79.0,13.0,13.0,309.0,68.0,52.0,21.0,22.0,27.0,2.0,5.0,2.392405092171839,3.457572007511618,3.6184268504110952,3.9975737501504702,0.22006472,0.08737864,0.09940527,,99.50113095793695,102.26348649053327,102.67733555119317,43.816270395948436,50.300082790055264,-0.07456900552486188
543037,Gerrit Cole,NYY,,79.2,13.0,13.0,324.0,84.0,62.0,25.0,27.0,28.0,3.0,8.0,2.824267838774722,3.619057103161368,4.015394062833382,4.064043510322671,0.25925926,0.08641975,0.10745098,,109.24259355929414,106.27132773189003,113.44491004764168,55.495003779661026,59.920432745762724,-0.6117829067796609
645261,Sandy Alcantara,MIA,,76.1,12.0,12.0,319.0,67.0,68.0,43.0,45.0,25.0,3.0,6.0,5.069869206768736,3.621852601847263,4.267810074872626,4.450012395714563,0.21003135,0.07836991,0.13146363,,108.1556430617358,105.80448434118291,114.40175000013274,55.98136224137931,61.8193992816092,-0.7586975670498084
