mlb_id,player_name_fg,team,ip,g,gs,tbf,so,h,er,r,bb,hbp,hr,era,fip,xfip,siera,k_pct,bb_pct,swstr_pct,csw_pct,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
669373,Tarik Skubal,DET,90.1,14.0,14.0,339.0,111.0,64.0,20.0,20.0,9.0,3.0,6.0,1.9926199752847729,1.9395643330359236,2.4926753775977506,2.4966463091445945,0.32743363,0.02654867,0.17205998,,127.16840776210532,104.82931431446718,129.9049791742225,65.83951048145224,68.8827036937648,-1.3222229597474349
694973,Paul Skenes,PIT,96.0,15.0,15.0,365.0,97.0,60.0,19.0,22.0,22.0,2.0,5.0,1.7812500353902585,2.5413863064100344,3.2133248868721442,3.357178655658297,0.26575342,0.06027397,0.13432836,,110.89288729734643,111.58891255997426,122.17695127921779,55.640842408412475,57.17754156716418,-0.6006930936227951
676979,Garrett Crochet,BOS,96.1,15.0,15.0,382.0,117.0,71.0,24.0,27.0,28.0,0.0,9.0,2.242214584665734,2.7925757566606335,2.922396892283034,3.128579369141632,0.30628272,0.07329843,0.13533333,,114.36080014468023,97.36234067551099,109.19253632910707,61.94853139333335,56.15455813333334,-0.5834423133333333
657277,Logan Webb,SFG,94.1,15.0,15.0,380.0,105.0,86.0,27.0,31.0,20.0,1.0,6.0,2.575971740129463,2.4036875524910135,2.4920699022075183,2.902789126819145,0.27631579,0.05263158,0.11594203,,106.6106827931389,107.94337283097045,113.45831955279465,57.61472084195998,64.17489658385094,-0.6629675707384403
669022,MacKenzie Gore,WSN,87.1,15.0,15.0,354.0,119.0,77.0,28.0,28.0,23.0,3.0,10.0,2.8854962252186813,2.7916248628236104,2.874237066507896,2.823021877940936,0.33615819,0.06497175,0.14911081,,102.03382069619914,104.74260117419061,107.5920735092943,59.702837489740084,53.82763620383036,-0.31643673050615595
686613,Hunter Brown,HOU,86.0,14.0,14.0,325.0,105.0,54.0,18.0,19.0,26.0,2.0,7.0,1.8837209511215847,2.7281595695076795,2.835288122575248,3.0397732251897702,0.32307692,0.08,0.12014925,,107.81254652703855,101.0120995199377,109.7821457446813,52.807066089552244,51.10901617910448,-0.11498676865671646
554430,Zack Wheeler,PHI,88.0,14.0,14.0,338.0,110.0,59.0,27.0,28.0,19.0,2.0,10.0,2.7613636962145827,2.8283181297385,2.7000673001312334,2.801737077004333,0.32544379,0.05621302,0.13669065,,110.6038561151079,110.44666187050359,121.93218705035973,59.85377810071942,62.99261571223021,-1.0082003669064747
663460,Kris Bubic,KCR,79.2,13.0,13.0,317.0,82.0,59.0,17.0,19.0,26.0,2.0,3.0,1.9205021303668108,2.6204919564745044,3.563028075214046,3.7412445630596176,0.25867508,0.08201893,0.1425,,98.40842027846706,100.97061736381897,101.89692647800229,60.4112476,54.96290216666666,-0.17469350833333333
666200,Jesus Luzardo,PHI,78.2,14.0,14.0,337.0,93.0,86.0,37.0,40.0,24.0,1.0,6.0,4.23305093298627,2.715644784307247,3.233194717296269,3.4494057184480247,0.27596439,0.07121662,0.12917933,,105.38326179428314,106.97467060363057,111.38653038519124,58.56871965045593,60.132921975683885,-0.5921194756838906
608331,Max Fried,NYY,95.0,15.0,15.0,373.0,90.0,70.0,20.0,25.0,20.0,4.0,7.0,1.8947368991672184,2.95618894439655,3.231685667686945,3.413819654161273,0.24128686,0.0536193,0.10496851,,109.56023411450363,106.44537324868706,117.2055428713091,59.725156151154664,48.88375752974108,-0.43308965710286923
664285,Framber Valdez,HOU,90.0,14.0,14.0,359.0,96.0,70.0,31.0,31.0,28.0,4.0,6.0,3.1,2.935136318206787,2.9935132404168447,3.2849967198961747,0.26740947,0.07799443,0.12288786,,106.1854306410631,105.14036330602997,115.1893247369138,57.66215562211981,56.980350099846376,-0.5821268202764978
519242,Chris Sale,ATL,80.2,14.0,14.0,338.0,107.0,73.0,25.0,27.0,25.0,7.0,7.0,2.789256286282383,2.8004255638529014,3.201324070502912,3.095568885256665,0.31656805,0.0739645,0.13649635,,116.68363707154748,99.01516483966576,109.46675778429915,48.43298164233577,57.44736454744526,-0.2705084160583942
543135,Nathan Eovaldi,TEX,69.1,12.0,12.0,266.0,73.0,46.0,12.0,14.0,10.0,4.0,4.0,1.5576923362602149,2.385136304451869,2.7914407979993543,2.9542011580403704,0.27443609,0.03759398,0.13320826,,102.7736641410497,102.67327893234554,106.46551128910697,46.437183058161345,56.337978564727955,-0.16053960600375236
607074,Carlos Rodon,NYY,89.2,15.0,15.0,356.0,107.0,57.0,30.0,33.0,32.0,2.0,10.0,3.0111524697334344,3.335879816189016,3.4335363792380447,3.4347640504210406,0.3005618,0.08988764,0.1322314,,107.80890031901349,98.68848172520008,104.70025914884789,56.92504800964188,48.35115842975206,-0.029742410468319585
