batter,pa_to,prior_fp_per_pa,xfp_rh3_per_pa,replacement_xfp_per_pa,replacement_delta,signal,ros_full_fp_per_pa,ros_pa
444482,64,0.475080978162098,0.4424626944311011,0.4218491575062864,0.020613536924814713,hold,0.5403,198.0
453568,247,0.5643672957794523,0.5074530060046489,0.4218491575062864,0.08560384849836256,add,0.4784,254.0
455117,125,0.2693879261078932,0.23123929386443348,0.4218491575062864,-0.1906098636418529,drop,0.6143,23.0
456781,134,0.42651474609917,0.41862033040188734,0.4218491575062864,-0.0032288271043990346,drop,0.465,175.0
457705,290,0.5164476528125522,0.47455791994053337,0.4218491575062864,0.05270876243424699,hold,0.4376,226.0
457759,260,0.6210431520346162,0.5386159401321473,0.4218491575062864,0.11676678262586093,add,0.4911,279.0
467793,287,0.5352216289145388,0.5254581142457467,0.4218491575062864,0.10360895673946036,add,0.5169,309.0
500743,150,0.459911508109349,0.4894125436316634,0.4218491575062864,0.06756338612537705,add,0.5547,187.0
502054,194,0.4944381730361861,0.4499577434087012,0.4218491575062864,0.02810858590241483,hold,0.3315,285.0
502110,219,0.5700655849632214,0.5453426112659542,0.4218491575062864,0.1234934537596678,add,0.3206,272.0
502671,336,0.6422837677088027,0.520044419174089,0.4218491575062864,0.09819526166780257,add,0.4627,320.0
514888,352,0.7238747585564393,0.6131868096549298,0.4218491575062864,0.1913376521486434,add,0.5413,331.0
516782,266,0.5779182937732066,0.5209061002102412,0.4218491575062864,0.09905694270395482,add,0.3637,99.0
518595,176,0.5016654860376406,0.46763270621692116,0.4218491575062864,0.04578354871063478,hold,0.4206,160.0
518692,351,0.75523879744865,0.6608210909579655,0.4218491575062864,0.2389719334516791,add,0.6118,278.0
518735,112,0.41767829707869086,0.4097464485870358,0.4218491575062864,-0.012102708919250582,drop,0.6151,131.0
518792,109,0.4947352387087697,0.49903924338169514,0.4218491575062864,0.07719008587540876,add,0.4685,142.0
518934,85,0.48362214409925136,0.4503687691970487,0.4218491575062864,0.028519611690762336,hold,0.4072,143.0
519203,291,0.5558368465633582,0.5043175700940241,0.4218491575062864,0.08246841258773774,add,0.3947,85.0
519317,283,0.49695415829699585,0.5362443881561385,0.4218491575062864,0.11439523064985213,add,0.4659,178.0
521692,319,0.5215298315333612,0.556128174204321,0.4218491575062864,0.13427901669803466,add,0.5179,334.0
527038,223,0.5946942142459368,0.524271589421812,0.4218491575062864,0.10242243191552558,add,0.286,20.0
542194,88,0.40179465847007634,0.37110054907076406,0.4218491575062864,-0.05074860843552231,drop,0.5602,59.0
542303,331,0.5617260633855119,0.6262575198707208,0.4218491575062864,0.20440836236443438,add,0.603,349.0
542932,60,0.4741292780009645,0.4173522397542142,0.4218491575062864,-0.0044969177520721715,drop,0.5734,14.0
543063,58,0.4888042102034382,0.3794871540239009,0.4218491575062864,-0.0423620034823855,drop,0.0216,22.0
543257,147,0.4501126794664625,0.42157612665228533,0.4218491575062864,-0.000273030854001044,drop,0.2633,98.0
543309,96,0.40343510555801754,0.44312475033690474,0.4218491575062864,0.02127559283061836,hold,0.5149,167.0
543510,120,0.344960060124991,0.3961813313972745,0.4218491575062864,-0.02566782610901186,drop,0.4858,114.0
543685,83,0.5101026738657836,0.48724827962771566,0.4218491575062864,0.06539912212142929,hold,0.36,155.0
543760,355,0.6561811622179181,0.6039774942523876,0.4218491575062864,0.18212833674610118,add,0.533,363.0
543807,304,0.5988757886257835,0.5145639102063956,0.4218491575062864,0.0927147527001092,add,0.5053,310.0
543877,160,0.4184219243424643,0.4147002304314236,0.4218491575062864,-0.007148927074862754,drop,0.4036,155.0
545121,160,0.5089163834281683,0.47182700735262173,0.4218491575062864,0.049977849846335354,hold,0.3806,146.0
545341,132,0.4992535576790748,0.5198808719129567,0.4218491575062864,0.09803171440667036,add,0.7504,147.0
547180,331,0.6944317925437395,0.6690246760681167,0.4218491575062864,0.2471755185618303,add,0.5659,300.0
553869,217,0.4711453960849817,0.45183325517394046,0.4218491575062864,0.029984097667654086,hold,0.2917,135.0
553993,303,0.43131891883246115,0.3688350868220691,0.4218491575062864,-0.05301407068421726,drop,0.6564,338.0
570482,185,0.47366568385967045,0.46069633556517686,0.4218491575062864,0.038847178058890486,hold,0.4477,268.0
571448,310,0.6617077506024368,0.5262598029714597,0.4218491575062864,0.10441064546517331,add,0.5482,325.0
571466,90,0.2702435005906555,0.33834553089933106,0.4218491575062864,-0.08350362660695532,drop,0.3646,6.0
571657,135,0.49752838619014494,0.41693735073450616,0.4218491575062864,-0.004911806771780214,drop,0.4631,107.0
571745,269,0.49937783119687457,0.4313973667181135,0.4218491575062864,0.009548209211827141,hold,0.2802,156.0
571771,180,0.4834507813659031,0.47335481123444373,0.4218491575062864,0.05150565372815735,hold,0.4877,212.0
571912,104,0.3797681428413051,0.3358638937784003,0.4218491575062864,-0.08598526372788606,drop,-0.0361,50.0
571970,157,0.6032733221750203,0.5174529110412529,0.4218491575062864,0.09560375353496653,add,0.729,126.0
572138,197,0.385864662615993,0.3548418043544779,0.4218491575062864,-0.0670073531518085,drop,0.4374,209.0
572191,175,0.3958149199633834,0.27616137784571504,0.4218491575062864,-0.14568777966057134,drop,0.226,127.0
572233,343,0.589584689378199,0.5873183776849401,0.4218491575062864,0.16546922017865373,add,0.5921,210.0
572761,93,0.471245239621406,0.37586697865401325,0.4218491575062864,-0.045982178852273126,drop,0.2848,64.0
573262,216,0.4961722834253062,0.4545389369030376,0.4218491575062864,0.03268977939675122,hold,0.5055,259.0
575929,140,0.5480756506656679,0.4875280549843542,0.4218491575062864,0.06567889747806782,hold,0.5099,218.0
592178,101,0.5299889633937145,0.3963753367903368,0.4218491575062864,-0.025473820715949558,drop,0.2474,54.0
592192,304,0.5522616205652026,0.4922079822994302,0.4218491575062864,0.07035882479314381,add,0.3792,159.0
592206,336,0.5362297353621751,0.48644716896590684,0.4218491575062864,0.06459801145962046,hold,0.574,326.0
592273,121,0.5664277233631541,0.441803455645493,0.4218491575062864,0.019954298139206628,hold,0.1736,240.0
592450,352,0.7643596654672515,0.8180780354390851,0.4218491575062864,0.3962288779327987,add,0.9006,352.0
592518,307,0.6554354495260858,0.5209201836062262,0.4218491575062864,0.09907102609993979,add,0.6867,327.0
592626,229,0.5560152426670171,0.5563270115831522,0.4218491575062864,0.13447785407686585,add,0.6715,220.0
592663,224,0.555978699437865,0.5061829803003813,0.4218491575062864,0.08433382279409496,add,0.5138,190.0
592669,204,0.5307507223796025,0.5056588385009922,0.4218491575062864,0.08380968099470587,add,0.4719,220.0
592696,233,0.493483316424264,0.44044783218147543,0.4218491575062864,0.018598674675189053,hold,0.2359,88.0
592885,237,0.5490362672910155,0.542611959735806,0.4218491575062864,0.12076280222951963,add,0.7602,78.0
593160,144,0.5322122983541129,0.463708122954568,0.4218491575062864,0.041858965448281604,hold,0.3845,192.0
593428,190,0.5861314867603453,0.49728766602691044,0.4218491575062864,0.07543850852062406,add,0.5148,263.0
593871,189,0.5723477431505669,0.40537255568382025,0.4218491575062864,-0.01647660182246613,drop,0.3662,280.0
593934,76,0.3907460963445168,0.39994103791985647,0.4218491575062864,-0.02190811958642991,drop,0.1053,19.0
594807,194,0.49739674911100573,0.45716569945217705,0.4218491575062864,0.03531654194589068,hold,0.2597,136.0
595281,158,0.467507993582096,0.3263742830586745,0.4218491575062864,-0.09547487444761188,drop,0.2679,123.0
595777,328,0.48380973383137826,0.5632255251025013,0.4218491575062864,0.14137636759621497,add,0.6172,335.0
595879,196,0.4247125007764885,0.39919239886875146,0.4218491575062864,-0.022656758637534913,drop,0.3651,93.0
595909,148,0.3106774231752816,0.32039158319663963,0.4218491575062864,-0.10145757430964675,drop,0.3942,199.0
595978,66,0.24416860044873384,0.24727769288870957,0.4218491575062864,-0.1745714646175768,drop,0.1224,80.0
596019,353,0.628871021066608,0.6265033457691557,0.4218491575062864,0.2046541882628693,add,0.688,332.0
596103,91,0.47053341453709674,0.38444918787749605,0.4218491575062864,-0.03739996962879033,drop,0.2642,121.0
596117,91,0.44916365605224295,0.3575791674579921,0.4218491575062864,-0.06426999004829426,drop,0.3217,96.0
