game_pk,game_date,pitcher,actual,player_name,data_quality_tag,xfp_rp3_per_start,xfp_rp3_sigma,xfp_rp3_sigma_raw,xfp_rp3_p25,xfp_rp3_p75,snap_date,tier,gap_days,gap_bucket,err,p10,p90,p25_rc,p75_rc
823698,2026-06-04,607625,3.5,"Lugo, Seth",data_driven_full,8.534895655826901,8.774999,3.6410782303351534,2.616159,14.453632,2026-06-03,T2_mid,1,1-2d,-5.034895655826901,-2.7111430625730986,19.780934374226902,3.5742806242227116,15.411753624222712
825076,2026-06-04,680736,17.8,"Wrobleski, Justin",data_driven_full,7.954416698413519,8.774999,3.6410782303351534,2.03568,13.873154,2026-06-03,T3_low,1,1-2d,9.845583301586482,-3.2916220199864803,19.20045541681352,2.9938016242227117,14.83127562422271
825076,2026-06-04,669194,15.1,"Nelson, Ryne",data_driven_full,10.232440768969502,8.774999,3.6410782303351534,4.313704,16.151178,2026-06-03,T1_high,1,1-2d,4.867559231030498,-1.0135979494304976,21.4784794873695,5.271825624222712,17.109299624222714
824185,2026-06-04,678906,0.5,Kai-Wei Teng,data_driven_thin,8.881367922974565,8.774999,3.6410782303351534,2.962631,14.800105,2026-06-03,T2_mid,1,1-2d,-8.381367922974565,-2.3646707954254342,20.127406641374563,3.9207526242227115,15.758226624222711
824672,2026-06-04,669372,21.8,"Ginn, J.T.",data_driven_full,9.214747780687604,8.774999,3.6410782303351534,3.296011,15.133485,2026-06-03,T2_mid,1,1-2d,12.585252219312396,-2.031290937712395,20.460786499087604,4.254132624222711,16.091606624222713
824672,2026-06-04,684007,5.8,"Imanaga, Shota",data_driven_full,12.43893769555956,8.774999,3.6410782303351534,6.520201,18.357675,2026-06-03,T1_high,1,1-2d,-6.63893769555956,1.19289897715956,23.68497641395956,7.478322624222711,19.315796624222713
823698,2026-06-04,702193,-1.4,Andrew Morris,data_driven_thin,8.344443604554245,8.774999,3.6410782303351534,2.425707,14.26318,2026-06-03,T3_low,1,1-2d,-9.744443604554245,-2.9015951138457545,19.590482322954244,3.3838286242227116,15.221301624222711
824919,2026-06-04,689254,3.4,Mason Fluharty,data_driven_thin,8.790458357663486,8.774999,3.6410782303351534,2.871722,14.709195,2026-06-03,T2_mid,1,1-2d,-5.390458357663485,-2.455580360736514,20.036497076063483,3.8298436242227116,15.66731662422271
823779,2026-06-04,605288,7.3,"Houser, Adrian",data_driven_full,7.350207727185888,8.774999,3.6410782303351534,1.431471,13.268945,2026-06-03,T3_low,1,1-2d,-0.05020772718588784,-3.895830991214112,18.596246445585887,2.3895926242227112,14.227066624222712
823779,2026-06-04,689441,-13.3,Coleman Crow,data_driven_thin,8.395308169474648,8.774999,3.6410782303351534,2.476571,14.314045,2026-06-03,T2_mid,1,1-2d,-21.69530816947465,-2.850730548925352,19.641346887874647,3.4346926242227114,15.272166624222711
823542,2026-06-04,677944,16.8,"Cecconi, Slade",data_driven_full,8.384496238458722,8.774999,3.6410782303351534,2.465759,14.303233,2026-06-03,T2_mid,1,1-2d,8.415503761541279,-2.861542479941278,19.63053495685872,3.4238806242227113,15.261354624222712
823542,2026-06-04,607074,19.8,"Rodón, Carlos",data_driven_thin,11.218748249452506,8.774999,3.6410782303351534,5.300011,17.137485,2026-06-03,T1_high,1,1-2d,8.581251750547494,-0.027290468947493096,22.464786967852504,6.258132624222711,18.095606624222714
824753,2026-06-04,669432,13.7,"Rogers, Trevor",data_driven_full,9.176384506160495,8.774999,3.6410782303351534,3.257648,15.095121,2026-06-03,T2_mid,1,1-2d,4.523615493839504,-2.069654212239504,20.422423224560497,4.215769624222712,16.05324262422271
824753,2026-06-04,678394,-6.5,"Bello, Brayan",data_driven_thin,7.704227808399581,8.774999,3.6410782303351534,1.785491,13.622965,2026-06-03,T3_low,1,1-2d,-14.204227808399581,-3.541810910000418,18.95026652679958,2.7436126242227115,14.581086624222712
823457,2026-06-04,608337,7.2,"Giolito, Lucas",data_driven_thin,7.56758525464001,8.774999,3.6410782303351534,1.648848,13.486322,2026-06-03,T3_low,1,1-2d,-0.3675852546400096,-3.6784534637599897,18.81362397304001,2.6069696242227116,14.44444362422271
823457,2026-06-04,554430,22.1,"Wheeler, Zack",data_driven_thin,13.41204105512472,8.774999,3.6410782303351534,7.493304,19.330778,2026-06-03,T1_high,1,1-2d,8.687958944875282,2.16600233672472,24.65807977352472,8.451425624222711,20.28889962422271
824919,2026-06-04,519242,5.7,"Sale, Chris",data_driven_full,14.329807943723235,8.774999,3.6410782303351534,8.411071,20.248545,2026-06-03,T1_high,1,1-2d,-8.629807943723236,3.083769225323236,25.575846662123233,9.36919262422271,21.206666624222713
823049,2026-06-05,681517,1.2,"Leahy, Kyle",data_driven_full,7.763936223047668,8.774999,3.6410782303351534,1.845199,13.682673,2026-06-03,T3_low,2,1-2d,-6.563936223047667,-3.482102495352332,19.009974941447666,2.8033206242227116,14.64079462422271
823049,2026-06-05,663903,10.2,"Singer, Brady",data_driven_full,7.553426144213602,8.774999,3.6410782303351534,1.634689,13.472163,2026-06-03,T3_low,2,1-2d,2.6465738557863974,-3.6926125741863975,18.7994648626136,2.592810624222712,14.430284624222711
822892,2026-06-05,677958,10.5,"Rocker, Kumar",data_driven_full,7.272264490587569,8.774999,3.6410782303351534,1.353528,13.191001,2026-06-03,T3_low,2,1-2d,3.2277355094124314,-3.973774227812431,18.518303208987568,2.311649624222712,14.149122624222711
822892,2026-06-05,800048,10.7,"Messick, Parker",data_driven_full,10.80532183243457,8.774999,3.6410782303351534,4.886585,16.724059,2026-06-03,T1_high,2,1-2d,-0.10532183243457105,-0.44071688596542913,22.05136055083457,5.844706624222711,17.682180624222713
823699,2026-06-05,805673,12.1,"Matthews, Zebby",data_driven_thin,9.928417059205332,8.191507962824565,3.3989659596782427,4.403244938280163,15.4535891801305,2026-06-04,T2_mid,1,1-2d,2.171582940794668,-0.5698195459506312,20.426653664361297,5.361366562502875,16.411710804353213
823699,2026-06-05,608379,4.7,"Wacha, Michael",data_driven_full,10.653919751780789,8.10159321225471,3.3616569345455223,5.189395130114986,16.11844437344659,2026-06-04,T1_high,1,1-2d,-5.953919751780789,0.2709178909551522,21.036921612606427,6.147516754337698,17.076565997669302
