pitcher,player_name,pitch_type,pitch_group,pitches,plv,plv_raw,avg_velo,swing_rate,whiff_rate,e_xwoba_in_play,plv_pctile
547973,"Chapman, Aroldis",SI,Fastball,317,6.214982245357499,-0.011539222661514324,99.42460567823349,0.554416815753665,0.4221973349422638,0.3359205116314238,100.0
678692,"Henriquez, Ronny",FF,Fastball,343,6.151156087027821,-0.013854553999040509,96.66209912536446,0.5124888294837239,0.40075129127731757,0.3545481770685689,100.0
623352,"Hader, Josh",SI,Fastball,478,6.149221547688311,-0.013924730548493911,95.39121338912125,0.5206577857183659,0.35954519830483067,0.33549454129177453,99.9
669093,"Estrada, Jeremiah",FF,Fastball,722,6.109006637810788,-0.015383549996694088,97.84681440443227,0.5590039200696919,0.40539691001615796,0.3297456555504306,99.9
664849,"Young, Danny",ST,Breaking,84,5.997889215272252,-0.019414399687188284,82.44523809523811,0.30553324720421304,0.6035151543278238,0.27575492670498947,99.9
684007,"Imanaga, Shota",CU,Breaking,34,5.9748135275983,-0.020251483795094477,71.64117647058823,0.2108904865789757,0.340226967591556,0.3113607394473369,99.8
678495,"Rodríguez, Randy",FF,Fastball,459,5.957063364792288,-0.020895381364155013,97.38801742919385,0.4626657952697858,0.36946477702131353,0.34773188079569084,99.8
676879,"Ashby, Aaron",CU,Breaking,299,5.9210633579407235,-0.02220130273238246,82.36454849498325,0.390639767987642,0.47626256773978204,0.32072880672365744,99.8
642547,"Peralta, Freddy",FF,Fastball,1770,5.91454842529373,-0.022437635736188476,94.75932203389826,0.4789914310118471,0.3754315571138254,0.3542872237005118,99.7
694819,"Misiorowski, Jacob",FF,Fastball,719,5.911778720451947,-0.022538108404193492,99.45299026425585,0.5393655879271632,0.40815018952021354,0.3532773962323092,99.7
640462,"Puk, A.J.",FF,Fastball,112,5.896081231024765,-0.02310754404221974,96.38571428571426,0.5675622119699765,0.3023664064956971,0.3736070683638642,99.7
695243,"Miller, Mason",FF,Fastball,532,5.890239935962734,-0.02331944044743653,101.21973684210523,0.5175623473671646,0.3921499200056263,0.3445794579074185,99.6
657044,"Thompson, Ryan",FF,Fastball,50,5.8856099576920204,-0.023487395625419995,91.14400000000002,0.4555593952854258,0.43074195140001903,0.31881213339786674,99.6
641154,"López, Pablo",CU,Breaking,130,5.8742975397377934,-0.023897760223228447,82.60615384615387,0.37589207781877365,0.5143980269409538,0.30393328624995647,99.6
592779,"Stewart, Brock",ST,Breaking,87,5.867624351881721,-0.02413983402758549,84.73333333333333,0.3798705142476997,0.6554035562632347,0.2646085697095472,99.5
663947,"Holton, Tyler",CU,Breaking,43,5.865936494466363,-0.02420106204552245,80.30697674418603,0.37877022024066587,0.6349538318669337,0.29738542288845765,99.5
695445,"Lee, Chase",ST,Breaking,209,5.848510468503409,-0.024833201360443702,79.86507177033494,0.3760036970992273,0.4008505852389122,0.2939090270990306,99.5
677865,"Bruihl, Justin",ST,Breaking,97,5.8472607372535474,-0.02487853609469707,78.380412371134,0.44079421953882414,0.3214416490573058,0.3000903317497359,99.4
593833,"Suero, Wander",FC,Fastball,108,5.8411851096641065,-0.025098933049818636,92.07222222222225,0.4731830463898317,0.37160808733620426,0.33381275951586453,99.4
661527,"Martinez, Seth",ST,Breaking,49,5.838593063166582,-0.02519296105716083,77.55714285714288,0.40384784061264445,0.3563435471087495,0.3070578059712435,99.4
656730,"Megill, Trevor",KC,Breaking,332,5.831340908729432,-0.025456037213901786,87.48975903614463,0.49122645645451607,0.5278229701546264,0.3057893562072802,99.3
672282,"Detmers, Reid",CU,Breaking,229,5.829673361395961,-0.025516528471703357,73.58995633187767,0.2926257926003983,0.254282030400818,0.32925082403611183,99.3
691441,"Mena, Cristian",CU,Breaking,33,5.82681696982834,-0.025620145751543172,88.18484848484853,0.49338785284003295,0.5554740206473606,0.3011960303008292,99.3
690997,"McLean, Nolan",CU,Breaking,117,5.826780567573581,-0.025621466264690206,79.97094017094021,0.4262090770558378,0.43713284582185624,0.28641310389948105,99.2
673540,"Senga, Kodai",FO,Offspeed,542,5.8238550913690075,-0.02572758963026476,82.50996309963094,0.5190370716566752,0.6020486675186121,0.29458327268944595,99.2
647315,"Pop, Zach",SL,Breaking,26,5.8141143527201296,-0.02608094063923366,85.48076923076921,0.3562906958406348,0.607219719081932,0.28212919901524713,99.2
606996,"Hart, Kyle",ST,Breaking,244,5.806529937869558,-0.026356069737394617,81.25778688524596,0.4383795572161755,0.37539017927032514,0.3168282934185259,99.1
664141,"Brubaker, JT",CU,Breaking,49,5.8041285715520345,-0.026443180709343303,81.57551020408165,0.43263437120650916,0.4625194919057142,0.3094765698118601,99.1
694361,"Klein, Will",CU,Breaking,85,5.802839119973456,-0.026489956321823098,85.72588235294118,0.3480242854735777,0.4692742957286921,0.29200542085082604,99.1
670950,"Richards, Trevor",CH,Offspeed,36,5.798745869755119,-0.02663844137483077,79.61388888888888,0.4510876491780978,0.5635138026927772,0.2969995326254622,99.0
676684,"Vest, Will",SL,Breaking,304,5.7937835056914375,-0.026818454042450656,88.6513157894737,0.4878616646066066,0.5686636512994347,0.2856873888169901,99.0
680694,"Bradish, Kyle",CU,Breaking,63,5.791799825331692,-0.02689041321124202,83.98888888888888,0.41315864190569956,0.5021898390898705,0.31154363407958,99.0
801139,"Tolle, Payton",FF,Fastball,202,5.79141622933376,-0.026904328381106624,96.68316831683173,0.5237000924980103,0.309641873828374,0.3681311059529006,98.9
690997,"McLean, Nolan",ST,Breaking,190,5.789037505970385,-0.026990617966609846,85.33,0.39336891841433225,0.3752845874904213,0.32730379657077163,98.9
676617,"O'Brien, Riley",ST,Breaking,161,5.784905383039924,-0.0271405131500547,83.36770186335407,0.3899270350962071,0.5958737133954057,0.28262130379885225,98.9
656876,"Rasmussen, Drew",CH,Offspeed,28,5.7846418004122855,-0.027150074764505133,89.35000000000001,0.20980665103116358,0.721089822719423,0.24514941626459438,98.8
