date,pl_name,pl_rank,pl_tier,opp,fetched,src,key,mlbam_id,fp,so,ipf,er,_d,snapshot_date,our_rank,our_proj,data_quality_tag,source,asof_lag_days
2026-05-10,Jameson Taillon,13,Questionable,@ TEX,2026-05-09,streamers_2026-05-09.json,jameson taillon,592791,12.599890000000002,4,5.3333,1,2026-05-10,2026-05-10,84.0,10.378032730621449,,git,0.0
2026-05-11,Roki Sasaki,11,Do Not Start,,2026-05-11,streamers_2026-05-11.json,roki sasaki,808963,7.5,5,5.0,3,2026-05-11,2026-05-10,157.0,8.976128908980932,,git,1.0
2026-05-11,Brandon Young,10,Do Not Start,,2026-05-11,streamers_2026-05-11.json,brandon young,687064,12.599890000000002,5,5.3333,2,2026-05-11,2026-05-10,265.0,6.513273605165154,,git,1.0
2026-05-11,Peter Lambert,7,Questionable,,2026-05-11,streamers_2026-05-11.json,peter lambert,663567,16.099999999999998,6,7.0,3,2026-05-11,2026-05-10,73.0,10.583507456805616,,git,1.0
2026-05-11,Joey Cantillo,8,Questionable,,2026-05-11,streamers_2026-05-11.json,joey cantillo,676282,17.799999999999997,4,6.0,0,2026-05-11,2026-05-10,99.0,10.049207933909678,,git,1.0
2026-05-11,Michael Soroka,5,Probably Start,@ TEX,2026-05-11,streamers_2026-05-11.json,michael soroka,647336,21.89989,5,6.3333,0,2026-05-11,2026-05-10,117.0,9.759245891076151,,git,1.0
2026-05-11,George Kirby,4,Auto-Start,@ HOU,2026-05-11,streamers_2026-05-11.json,george kirby,669923,12.5,7,5.0,1,2026-05-11,2026-05-10,37.0,12.05581215516079,,git,1.0
2026-05-11,Drew Rasmussen,3,Auto-Start,@ TOR,2026-05-11,streamers_2026-05-11.json,drew rasmussen,656876,14.799999999999997,6,6.0,3,2026-05-11,2026-05-10,35.0,12.079660328780092,,git,1.0
2026-05-11,Kevin Gausman,2,Auto-Start,,2026-05-11,streamers_2026-05-11.json,kevin gausman,592332,-1.599890000000002,5,4.6667,6,2026-05-11,2026-05-10,18.0,13.060496869987167,,git,1.0
2026-05-11,Ryan Weathers,6,Probably Start,@ BAL,2026-05-11,streamers_2026-05-11.json,ryan weathers,677960,21.89989,9,6.3333,2,2026-05-11,2026-05-10,71.0,10.646684139359364,,git,1.0
2026-05-12,Patrick Corbin,18,Do Not Start,,2026-05-11,streamers_2026-05-11.json,patrick corbin,571578,-0.7001099999999987,1,4.3333,3,2026-05-12,2026-05-10,196.0,8.130032444595408,,git,2.0
2026-05-12,Tatsuya Imai,30,Do Not Start,,2026-05-11,streamers_2026-05-11.json,tatsuya imai,837227,-5.800000000000001,3,4.0,6,2026-05-12,2026-05-10,147.0,9.184520036740931,,git,2.0
2026-05-12,Colin Rea,19,Do Not Start,@ ATL,2026-05-11,streamers_2026-05-11.json,colin rea,607067,-2.7001099999999987,1,4.3333,5,2026-05-12,2026-05-10,97.0,10.051631908367757,,git,2.0
2026-05-12,Bailey Ober,20,Do Not Start,,2026-05-11,streamers_2026-05-11.json,bailey ober,641927,34.7,7,9.0,0,2026-05-12,2026-05-10,127.0,9.618362717078467,,git,2.0
2026-05-12,Jeffrey Springs,22,Do Not Start,,2026-05-11,streamers_2026-05-11.json,jeffrey springs,605488,3.5,5,5.0,4,2026-05-12,2026-05-10,100.0,10.046809528818304,,git,2.0
2026-05-12,Brady Singer,23,Do Not Start,,2026-05-11,streamers_2026-05-11.json,brady singer,663903,1.100109999999999,2,3.6667,3,2026-05-12,2026-05-10,195.0,8.154137716254453,,git,2.0
2026-05-12,Erick Fedde,25,Do Not Start,,2026-05-11,streamers_2026-05-11.json,erick fedde,607200,7.5,2,5.0,2,2026-05-12,2026-05-10,184.0,8.393510616754082,,git,2.0
2026-05-12,Andre Pallante,26,Do Not Start,@ ATH,2026-05-11,streamers_2026-05-11.json,andre pallante,669467,7.5,4,5.0,3,2026-05-12,2026-05-10,162.0,8.927232251682543,,git,2.0
2026-05-12,Adrian Houser,27,Do Not Start,@ LAD,2026-05-11,streamers_2026-05-11.json,adrian houser,605288,11.700109999999999,4,5.6667,2,2026-05-12,2026-05-10,229.0,7.562103750150496,,git,2.0
2026-05-12,Michael Lorenzen,28,Do Not Start,@ PIT,2026-05-11,streamers_2026-05-11.json,michael lorenzen,547179,10.5,5,5.0,2,2026-05-12,2026-05-10,186.0,8.383775374753347,,git,2.0
2026-05-12,Miles Mikolas,29,Do Not Start,@ CIN,2026-05-11,streamers_2026-05-11.json,miles mikolas,571945,5.999889999999999,2,3.3333,1,2026-05-12,2026-05-10,228.0,7.562274435725941,,git,2.0
2026-05-12,Trevor Rogers,17,Do Not Start,,2026-05-11,streamers_2026-05-11.json,trevor rogers,669432,-4.800000000000001,3,4.0,6,2026-05-12,2026-05-10,74.0,10.554697234953638,,git,2.0
2026-05-12,Grant Holmes,24,Do Not Start,,2026-05-11,streamers_2026-05-11.json,grant holmes,656550,9.2,5,4.0,2,2026-05-12,2026-05-10,112.0,9.867888398744096,,git,2.0
2026-05-12,Brandon Sproat,15,Do Not Start,,2026-05-11,streamers_2026-05-11.json,brandon sproat,687075,9.599890000000002,6,5.3333,3,2026-05-12,2026-05-10,167.0,8.78591737184697,,git,2.0
2026-05-12,Stephen Kolek,11,Questionable,@ CHW,2026-05-11,streamers_2026-05-11.json,stephen kolek,663568,3.400109999999998,6,4.6667,5,2026-05-12,2026-05-10,108.0,9.9,,git,2.0
2026-05-12,Slade Cecconi,13,Questionable,,2026-05-11,streamers_2026-05-11.json,slade cecconi,677944,14.2,7,4.0,0,2026-05-12,2026-05-10,199.0,8.0923071138975,,git,2.0
2026-05-12,Walbert Ureña,14,Questionable,@ CLE,2026-05-11,streamers_2026-05-11.json,walbert urena,700712,12.5,4,5.0,2,2026-05-12,2026-05-10,132.0,9.562420928320224,,git,2.0
2026-05-12,Paul Skenes,1,Auto-Start,,2026-05-11,streamers_2026-05-11.json,paul skenes,694973,33.4,10,8.0,0,2026-05-12,2026-05-10,3.0,14.79892908697296,,git,2.0
2026-05-12,Yoshinobu Yamamoto,2,Auto-Start,,2026-05-11,streamers_2026-05-11.json,yoshinobu yamamoto,808967,12.89989,8,6.3333,5,2026-05-12,2026-05-10,19.0,13.03013808966166,,git,2.0
2026-05-12,Zack Wheeler,4,Auto-Start,@ BOS,2026-05-11,streamers_2026-05-11.json,zack wheeler,554430,19.19989,4,7.3333,1,2026-05-12,2026-05-10,9.0,13.851569850009716,,git,2.0
2026-05-12,Freddy Peralta,5,Auto-Start,,2026-05-11,streamers_2026-05-11.json,freddy peralta,642547,14.799999999999997,7,6.0,2,2026-05-12,2026-05-10,22.0,12.795391633404792,,git,2.0
2026-05-12,Bryan Woo,3,Auto-Start,@ HOU,2026-05-11,streamers_2026-05-11.json,bryan woo,693433,18.799999999999997,9,6.0,2,2026-05-12,2026-05-10,32.0,12.161653946710196,,git,2.0
2026-05-12,Will Warren,7,Probably Start,@ BAL,2026-05-11,streamers_2026-05-11.json,will warren,701542,15.700109999999999,6,5.6667,2,2026-05-12,2026-05-10,55.0,11.258743514279248,,git,2.0
2026-05-12,Eury Pérez,8,Probably Start,@ MIN,2026-05-11,streamers_2026-05-11.json,eury perez,691587,14.799999999999997,8,6.0,3,2026-05-12,2026-05-10,46.0,11.495160939811903,,git,2.0
2026-05-12,MacKenzie Gore,9,Probably Start,,2026-05-11,streamers_2026-05-11.json,mackenzie gore,669022,25.4,5,8.0,1,2026-05-12,2026-05-10,60.0,11.157094440581089,,git,2.0
2026-05-12,Zac Gallen,10,Questionable,@ TEX,2026-05-11,streamers_2026-05-11.json,zac gallen,668678,2.400109999999998,4,4.6667,4,2026-05-12,2026-05-10,156.0,8.980051649935128,,git,2.0
2026-05-12,Jack Flaherty,12,Questionable,@ NYM,2026-05-11,streamers_2026-05-11.json,jack flaherty,656427,-0.899890000000001,2,3.6667,3,2026-05-12,2026-05-10,145.0,9.216333377286444,,git,2.0
2026-05-12,Shane McClanahan,6,Probably Start,@ TOR,2026-05-11,streamers_2026-05-11.json,shane mcclanahan,663556,21.5,7,5.0,0,2026-05-12,2026-05-10,52.0,11.315806695985843,,git,2.0
2026-05-13,Simeon Woods Richardson,30,Do Not Start,,2026-05-13,streamers_2026-05-13.json,simeon woods richardson,680573,-12.100000000000001,1,3.0,6,2026-05-13,2026-05-10,249.0,6.9121071282184605,,git,3.0
2026-05-13,Seth Lugo,18,Probably Start,@ CHW,2026-05-13,streamers_2026-05-13.json,seth lugo,607625,0.5,4,5.0,5,2026-05-13,2026-05-10,77.0,10.52134006313227,,git,3.0
2026-05-13,J.T. Ginn,19,Questionable,,2026-05-13,streamers_2026-05-13.json,jt ginn,669372,12.799999999999997,3,6.0,0,2026-05-13,2026-05-10,155.0,9.020673501108211,,git,3.0
2026-05-13,Kyle Bradish,20,Questionable,,2026-05-13,streamers_2026-05-13.json,kyle bradish,680694,22.799999999999997,7,6.0,0,2026-05-13,2026-05-10,101.0,10.02348779176526,,git,3.0
2026-05-13,Bryce Miller,21,Do Not Start,@ HOU,2026-05-13,streamers_2026-05-13.json,bryce miller,682243,7.599890000000002,3,5.3333,2,2026-05-13,2026-05-10,114.0,9.84,,git,3.0
2026-05-13,Jose Quintana,22,Do Not Start,@ PIT,2026-05-13,streamers_2026-05-13.json,jose quintana,500779,3.1999999999999993,2,4.0,2,2026-05-13,2026-05-10,234.0,7.465496545785003,,git,3.0
2026-05-13,Andrew Painter,29,Do Not Start,@ BOS,2026-05-13,streamers_2026-05-13.json,andrew painter,691725,13.5,4,5.0,1,2026-05-13,2026-05-10,153.0,9.08951932386285,,git,3.0
