mlbam_id,player_name,team,proj_ros_g_per_teamgame,naive_pace,proj_ros_g,team_games_remaining_implied,volume_percentile,g_to,team_games_to,g_per_teamgame_to,g_last21,ip_per_g_to,gf_pct_to,sv_per_g_to,hld_per_g_to,fp_skill_per_g_to,prior1_g_per_g,career_stage,is_on_il_at_split,days_since_il_return_imp,il_stints_to,split_day
656848,Michael Petersen,MIA,0.3484,0.3981,20.6,59.0,91.3,41,103.0,0.3981,7.0,1.0244,0.0244,0.0244,0.3659,2.8683,0.0,0.0,0.0,173.0,0.0,119
676617,Riley O'Brien,STL,0.3481,0.4158,21.2,61.0,91.0,42,101.0,0.4158,7.0,0.9762,0.7619,0.6429,0.0476,1.8167,0.2593,1.0,0.0,173.0,0.0,119
542888,Shawn Armstrong,CLE,0.3477,0.3592,20.5,59.0,90.7,37,103.0,0.3592,8.0,0.8559,0.1081,0.027,0.2162,1.7703,0.4383,9.0,0.0,66.0,1.0,119
670329,Rico Garcia,BAL,0.3455,0.4466,20.4,59.0,90.4,46,103.0,0.4466,7.0,0.9203,0.1739,0.1087,0.2174,2.5587,0.179,1.0,0.0,173.0,0.0,119
656546,Jeff Hoffman,TOR,0.3449,0.451,20.7,60.0,90.1,46,102.0,0.451,6.0,0.9203,0.1739,0.1087,0.2174,2.1239,0.4383,4.0,0.0,173.0,0.0,119
642528,Jonathan Loáisiga,AZ,0.3434,0.4216,20.6,60.0,89.9,43,102.0,0.4216,8.0,0.9302,0.093,0.0233,0.1628,2.2326,0.1852,5.0,0.0,173.0,0.0,119
686973,Louis Varland,TOR,0.3429,0.451,20.6,60.0,89.6,46,102.0,0.451,5.0,1.058,0.5217,0.413,0.087,3.2957,0.4568,1.0,0.0,173.0,0.0,119
666171,Ryan Zeferjahn,LAA,0.3427,0.3981,20.2,59.0,89.3,41,103.0,0.3981,7.0,1.1382,0.1707,0.0732,0.0976,3.122,0.3827,1.0,0.0,173.0,0.0,119
661395,Jhoan Duran,PHI,0.3424,0.3495,20.2,59.0,89.0,36,103.0,0.3495,5.0,0.9352,0.8611,0.6944,0.0,3.3083,0.4444,4.0,0.0,79.0,1.0,119
656730,Trevor Megill,MIL,0.3421,0.3922,20.5,60.0,88.7,40,102.0,0.3922,6.0,0.9833,0.475,0.375,0.125,2.945,0.3086,5.0,0.0,173.0,0.0,119
681870,Erik Sabrowski,CLE,0.3409,0.3592,20.1,59.0,88.4,37,103.0,0.3592,7.0,0.7838,0.0,0.0,0.4054,2.127,0.2037,1.0,0.0,34.0,1.0,119
670280,David Bednar,NYY,0.3407,0.3824,20.4,60.0,88.1,39,102.0,0.3824,6.0,1.094,0.8205,0.5641,0.0,2.7385,0.3951,5.0,0.0,173.0,0.0,119
687911,Bryan King,HOU,0.3402,0.4038,19.7,58.0,87.8,42,104.0,0.4038,7.0,1.0635,0.1429,0.1429,0.2857,1.5333,0.4198,2.0,0.0,173.0,0.0,119
689266,Dylan Dodd,ATL,0.3394,0.2475,20.7,61.0,87.5,25,101.0,0.2475,8.0,1.1733,0.12,0.04,0.28,3.792,0.1728,1.0,0.0,65.0,1.0,119
660825,Eduard Bazardo,SEA,0.3392,0.4563,20.0,59.0,87.2,47,103.0,0.4563,6.0,0.9291,0.0,0.0,0.3191,2.0021,0.4506,2.0,0.0,173.0,0.0,119
687330,Kevin Kelly,TB,0.3391,0.4257,20.7,61.0,87.0,43,101.0,0.4257,6.0,1.0698,0.1628,0.0698,0.4419,2.6465,0.2531,3.0,0.0,173.0,0.0,119
623352,Josh Hader,HOU,0.3382,0.1923,19.6,58.0,86.7,20,104.0,0.1923,7.0,0.9167,0.7,0.6,0.0,3.275,0.2963,9.0,0.0,173.0,0.0,119
657097,Jacob Webb,CHC,0.338,0.4314,20.3,60.0,86.4,44,102.0,0.4314,7.0,0.9545,0.2045,0.0909,0.1136,2.0364,0.3395,7.0,0.0,173.0,0.0,119
669711,Greg Weissert,BOS,0.3362,0.4059,20.5,61.0,86.1,41,101.0,0.4059,7.0,0.935,0.0732,0.0,0.1707,1.5244,0.4444,2.0,0.0,173.0,0.0,119
641329,Bryan Baker,TB,0.3357,0.396,20.5,61.0,85.8,40,101.0,0.396,5.0,0.9583,0.725,0.575,0.05,3.0375,0.4506,4.0,0.0,173.0,0.0,119
592155,Cam Booser,TB,0.3357,0.1881,20.5,61.0,85.5,19,101.0,0.1881,8.0,1.0702,0.0,0.0,0.2105,3.7421,0.2407,2.0,0.0,173.0,0.0,119
623149,Paul Sewald,AZ,0.3353,0.3922,20.1,60.0,85.2,40,102.0,0.3922,7.0,0.9083,0.675,0.575,0.0,2.1225,0.1358,9.0,0.0,173.0,0.0,119
689147,Orion Kerkering,PHI,0.3339,0.4078,19.7,59.0,84.9,42,103.0,0.4078,6.0,0.9365,0.0952,0.0238,0.2619,2.1619,0.4259,2.0,0.0,173.0,0.0,119
666277,George Soriano,STL,0.3321,0.4455,20.3,61.0,84.6,45,101.0,0.4455,7.0,0.9778,0.0667,0.0444,0.2667,2.1822,0.1481,3.0,0.0,173.0,0.0,119
681982,Grant Anderson,MIL,0.3321,0.3922,19.9,60.0,84.3,40,102.0,0.3922,7.0,1.0667,0.1,0.025,0.175,2.22,0.4074,3.0,0.0,173.0,0.0,119
664199,Taylor Clarke,AZ,0.3295,0.4412,19.8,60.0,84.1,45,102.0,0.4412,7.0,0.9704,0.0667,0.0,0.2222,1.8911,0.3148,5.0,0.0,173.0,0.0,119
676263,Jack Dreyer,LAD,0.3292,0.3883,19.4,59.0,83.8,40,103.0,0.3883,7.0,0.9917,0.125,0.0,0.1,2.2725,0.4136,1.0,0.0,53.0,1.0,119
676534,Calvin Faucher,MIA,0.3291,0.4175,19.4,59.0,83.5,43,103.0,0.4175,7.0,0.9767,0.0698,0.0233,0.2093,1.2698,0.4012,4.0,0.0,173.0,0.0,119
642121,Cole Sulser,TB,0.329,0.3663,20.1,61.0,83.2,37,101.0,0.3663,8.0,1.0901,0.1081,0.0541,0.2162,1.9216,0.0,5.0,0.0,54.0,1.0,119
642701,Dennis Santana,PIT,0.3278,0.4272,19.3,59.0,82.9,44,103.0,0.4272,7.0,0.9394,0.2045,0.0455,0.1136,1.1455,0.4321,5.0,0.0,173.0,0.0,119
641755,Tyler Kinley,ATL,0.3263,0.396,19.9,61.0,82.6,40,101.0,0.396,6.0,0.8667,0.1,0.0,0.25,1.76,0.4506,7.0,0.0,29.0,1.0,119
680742,Jonathan Bowlan,PHI,0.3243,0.3495,19.1,59.0,82.3,36,103.0,0.3495,8.0,0.9074,0.0556,0.0,0.1389,2.05,0.2099,1.0,0.0,86.0,1.0,119
664076,Garrett Cleavinger,TB,0.3237,0.3267,19.7,61.0,82.0,33,101.0,0.3267,6.0,0.8586,0.0909,0.0606,0.3333,2.0152,0.4136,5.0,0.0,82.0,1.0,119
663687,Hogan Harris,ATH,0.3233,0.4706,19.4,60.0,81.7,48,102.0,0.4706,6.0,0.9306,0.2083,0.1458,0.1875,1.8625,0.2963,1.0,0.0,173.0,0.0,119
622554,Seranthony Domínguez,CWS,0.3227,0.3762,19.7,61.0,81.4,38,101.0,0.3762,6.0,0.8772,0.3158,0.2895,0.0789,1.8421,0.4136,8.0,0.0,173.0,0.0,119
548384,Brooks Raley,NYM,0.3222,0.3981,19.0,59.0,81.2,41,103.0,0.3981,7.0,0.8862,0.0244,0.0,0.2439,2.1683,0.1852,6.0,0.0,173.0,0.0,119
596133,Luke Weaver,NYM,0.3211,0.3786,18.9,59.0,80.9,39,103.0,0.3786,5.0,1.0427,0.0513,0.0513,0.3077,3.0821,0.3951,4.0,0.0,173.0,0.0,119
594580,Sam Moll,CIN,0.3199,0.4653,19.5,61.0,80.6,47,101.0,0.4653,7.0,0.8652,0.0638,0.0213,0.1064,1.5574,0.142,4.0,0.0,173.0,0.0,119
669020,Ryan Rolison,CHC,0.3193,0.3235,19.2,60.0,80.3,33,102.0,0.3235,8.0,1.0404,0.1212,0.0303,0.1212,2.2818,0.1914,1.0,0.0,173.0,0.0,119
663738,Daniel Lynch IV,KC,0.3181,0.4078,18.8,59.0,80.0,42,103.0,0.4078,6.0,1.0079,0.0476,0.0238,0.2143,2.4452,0.3519,1.0,0.0,173.0,0.0,119
621381,Matt Strahm,KC,0.3177,0.3592,18.7,59.0,79.7,37,103.0,0.3592,7.0,0.8829,0.0,0.0,0.2162,1.0757,0.4074,9.0,0.0,53.0,1.0,119
642100,Gabe Speier,SEA,0.3177,0.3107,18.7,59.0,79.4,32,103.0,0.3107,6.0,0.8229,0.0938,0.0312,0.3438,1.7469,0.4691,3.0,0.0,58.0,1.0,119
657044,Ryan Thompson,AZ,0.3174,0.402,19.0,60.0,79.1,41,102.0,0.402,7.0,0.8862,0.0,0.0,0.0976,1.4122,0.2963,6.0,0.0,173.0,0.0,119
642397,Gregory Soto,PIT,0.3169,0.4078,18.7,59.0,78.8,42,103.0,0.4078,5.0,0.9841,0.4524,0.3095,0.1429,2.2,0.4321,6.0,0.0,173.0,0.0,119
662253,Andrés Muñoz,SEA,0.3138,0.3786,18.5,59.0,78.6,39,103.0,0.3786,5.0,0.9316,0.6154,0.4359,0.0,2.5103,0.3951,7.0,0.0,173.0,0.0,119
683618,Edgardo Henriquez,LAD,0.3124,0.3786,18.4,59.0,78.3,39,103.0,0.3786,7.0,1.0427,0.0769,0.0256,0.1538,2.5179,0.1358,1.0,0.0,173.0,0.0,119
552640,Andrew Kittredge,BAL,0.3109,0.3107,18.3,59.0,78.0,32,103.0,0.3107,7.0,0.8646,0.2812,0.0938,0.1562,1.4469,0.3333,8.0,0.0,173.0,0.0,119
672782,Yoendrys Gómez,MIN,0.3069,0.3981,18.1,59.0,77.7,41,103.0,0.3981,6.0,1.1057,0.3902,0.2927,0.122,2.1122,0.0,0.0,0.0,173.0,0.0,119
642207,Devin Williams,NYM,0.3055,0.3592,18.0,59.0,77.4,37,103.0,0.3592,6.0,0.9009,0.5676,0.3784,0.0,1.4595,0.4136,6.0,0.0,173.0,0.0,119
664126,Pete Fairbanks,MIA,0.3044,0.3107,18.0,59.0,77.1,32,103.0,0.3107,6.0,0.9062,0.6562,0.5,0.0312,1.5531,0.3765,7.0,0.0,71.0,1.0,119
663855,Jordan Hicks,CWS,0.302,0.3069,18.4,61.0,76.8,31,101.0,0.3069,7.0,0.871,0.0968,0.0,0.129,1.9065,0.0,8.0,0.0,32.0,1.0,119
445276,Kenley Jansen,DET,0.3017,0.2941,18.1,60.0,76.5,30,102.0,0.2941,6.0,0.8889,0.5333,0.3667,0.0,1.8333,0.3827,9.0,0.0,41.0,1.0,119
