batter,total_pa,annual_rate,n_parks,hot1_park,hot1_lift,hot1_pa,hot2_park,hot2_lift,hot3_park,hot3_lift,cold1_park,cold1_lift,cold1_pa,cold2_park,cold2_lift,cold3_park,cold3_lift,player_name,team,rank
518626,1887,0.2915,17,KC,118.8,69,ATH,63.7,ATL,60.5,TB,-106.2,55,STL,-91.8,PHI,-69.9,,,
518692,4519,0.4023,19,MIA,56.8,195,CIN,55.1,STL,42.4,NYM,-47.1,174,TOR,-46.0,SF,-23.2,Freddie Freeman,LAD,9.0
518735,2260,0.2845,19,HOU,104.3,43,AZ,75.7,KC,48.3,CHC,-91.3,81,COL,-42.4,CLE,-38.9,,,
518792,1987,0.2798,13,COL,83.0,82,MIL,27.9,STL,16.4,NYM,-44.5,58,CIN,-36.4,SF,-34.5,,,
518934,3132,0.2985,20,MIN,48.9,54,HOU,36.3,ATL,34.0,DET,-79.4,65,ATH,-72.1,LAD,-61.6,,,
519058,1759,0.2814,15,PIT,96.4,114,KC,38.5,AZ,30.5,CLE,-62.2,47,LAD,-61.7,ATL,-46.7,,,
519203,2966,0.3503,23,CHC,35.7,814,STL,20.8,PIT,20.2,MIN,-100.0,41,SF,-89.4,ATL,-67.1,,,
519317,2726,0.2461,16,MIN,63.9,57,TEX,53.3,KC,49.2,DET,-148.5,67,MIA,-63.1,HOU,-61.0,Giancarlo Stanton,NYY,229.0
520471,1141,0.1911,11,WSH,150.3,46,MIA,121.8,BOS,84.2,AZ,-146.5,45,CIN,-83.1,COL,-58.1,,,
521692,3227,0.2681,16,BAL,86.5,72,TOR,32.1,SEA,31.7,TB,-95.7,86,HOU,-73.8,BOS,-54.5,Salvador Perez,KC,138.0
527038,2607,0.3414,15,CIN,116.1,61,COL,33.0,ATL,31.2,MIL,-87.0,45,LAD,-36.5,SD,-30.5,,,
541645,1463,0.2242,13,STL,118.1,45,PIT,74.5,TB,57.4,MIN,-199.1,45,NYY,-170.0,MIA,-55.5,,,
542303,3492,0.2964,18,MIA,68.7,130,CIN,60.1,SD,50.5,SF,-116.3,62,TEX,-75.3,NYM,-73.5,Marcell Ozuna,PIT,170.0
542340,1538,0.197,14,COL,184.7,41,TOR,45.0,NYM,40.0,MIA,-89.6,49,MIL,-71.4,AZ,-71.3,,,
542364,803,0.2466,7,WSH,158.1,44,PIT,58.7,STL,26.3,ATL,-30.9,88,NYM,-24.8,MIA,-16.9,,,
542583,1877,0.2637,18,PIT,82.6,81,ATL,58.9,COL,58.7,CHC,-70.8,65,TB,-59.2,STL,-57.9,,,
542932,1293,0.2181,11,NYY,59.1,49,PIT,39.5,TB,26.1,ATL,-46.4,77,PHI,-41.4,WSH,-37.2,,,
543063,2344,0.2368,15,CHC,174.5,40,COL,82.1,WSH,49.6,NYM,-113.0,65,STL,-58.2,PHI,-48.3,,,
543068,2224,0.3031,20,BAL,102.0,49,KC,98.0,TEX,52.3,MIL,-124.7,40,CWS,-79.8,SF,-64.2,,,
543228,1608,0.2295,16,PHI,107.0,40,SD,62.3,ATH,58.0,NYM,-108.2,53,MIN,-70.9,PIT,-68.9,,,
543257,2530,0.2411,18,TOR,81.8,73,BAL,53.6,STL,41.2,LAA,-66.8,75,TB,-47.2,PIT,-44.2,,,
543281,1201,0.2723,12,PHI,40.1,76,WSH,39.1,KC,38.7,NYM,-72.5,40,MIN,-48.8,ATH,-24.8,,,
543305,1522,0.2306,10,TOR,110.8,72,MIN,87.9,BOS,57.7,TB,-69.6,114,LAA,-63.9,TEX,-50.7,,,
543309,989,0.2022,8,LAA,48.4,40,SD,43.9,BAL,40.3,CWS,-87.6,40,TOR,-42.3,BOS,-17.6,Kyle Higashioka,TEX,256.0
543333,2231,0.2403,15,CIN,156.7,60,WSH,98.7,NYM,41.7,ATL,-85.1,56,MIL,-74.0,AZ,-56.8,,,
543510,1748,0.1579,15,AZ,121.7,100,LAA,75.2,PIT,74.2,NYY,-111.7,54,CLE,-100.0,MIA,-84.9,James McCann,AZ,308.0
543685,1678,0.3939,12,NYM,69.2,75,PHI,54.4,STL,32.7,TEX,-62.7,68,ATH,-54.2,LAA,-37.0,,,
543760,4601,0.3371,19,CLE,31.4,79,LAA,28.8,HOU,20.6,CWS,-82.7,103,SF,-69.7,BOS,-34.3,Marcus Semien,NYM,175.0
543807,3649,0.3384,16,LAA,46.7,137,DET,30.5,STL,25.8,ATH,-49.9,112,TB,-41.6,NYY,-24.4,George Springer,TOR,73.0
543877,2341,0.2208,15,TEX,44.6,72,NYY,39.7,DET,26.1,SEA,-50.6,55,TB,-46.3,KC,-40.2,Christian Vázquez,HOU,254.0
543939,1929,0.3007,14,ATL,121.7,48,CIN,63.1,COL,59.1,SD,-115.5,43,SEA,-91.0,PHI,-42.2,,,
544369,1227,0.3032,10,MIA,31.9,45,BAL,30.4,NYY,27.3,TB,-120.2,49,ATL,-64.1,WSH,-53.8,,,
544725,1245,0.1775,6,CLE,47.3,65,DET,36.7,MIN,7.0,LAA,-78.3,52,KC,-16.4,CWS,-1.7,,,
545121,937,0.2956,9,PHI,71.5,73,SF,36.6,SD,10.1,ATL,-69.2,55,CHC,-32.3,COL,-23.1,Ildemaro Vargas,AZ,28.0
545341,3095,0.2656,25,BAL,53.4,108,NYY,49.1,DET,43.4,SD,-91.6,45,ATL,-69.1,CLE,-59.9,,,
545361,2662,0.4053,15,TOR,80.9,75,SEA,44.6,TB,26.7,MIN,-55.1,55,DET,-51.5,HOU,-42.2,Mike Trout,LAA,15.0
546318,1111,0.2322,7,WSH,97.2,107,ATL,49.8,PHI,-1.0,MIA,-80.6,89,LAD,-70.0,STL,-51.1,,,
546991,813,0.214,6,CHC,19.7,406,MIL,5.5,CIN,1.4,NYM,-109.3,50,PIT,-30.8,STL,-28.1,,,
547180,3826,0.3675,16,CIN,30.8,52,LAD,26.1,COL,18.9,NYM,-60.3,192,TOR,-52.0,MIL,-46.2,Bryce Harper,PHI,27.0
