pitcher_id,pitcher_name,week_start,starts,games,on_ligers
693686,Spencer Miles,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'LAA', 'opp': 'LAA', 'is_home': True}, {'date': '2026-05-10', 'team': 'TOR', 'opp': 'LAA', 'is_home': True}]",False
667755,José Soriano,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'LAA', 'opp': 'TOR', 'is_home': False}, {'date': '2026-05-10', 'team': 'TOR', 'opp': 'TOR', 'is_home': False}]",False
676282,Joey Cantillo,2026-05-11,2,"[{'date': '2026-05-11', 'team': 'LAA', 'opp': 'LAA', 'is_home': True}, {'date': '2026-05-11', 'team': 'CLE', 'opp': 'LAA', 'is_home': True}]",False
677944,Slade Cecconi,2026-05-11,2,"[{'date': '2026-05-12', 'team': 'LAA', 'opp': 'LAA', 'is_home': True}, {'date': '2026-05-12', 'team': 'CLE', 'opp': 'LAA', 'is_home': True}]",False
700712,Walbert Ureña,2026-05-11,2,"[{'date': '2026-05-12', 'team': 'LAA', 'opp': 'CLE', 'is_home': False}, {'date': '2026-05-12', 'team': 'CLE', 'opp': 'CLE', 'is_home': False}]",False
800048,Parker Messick,2026-05-11,2,"[{'date': '2026-05-13', 'team': 'LAA', 'opp': 'LAA', 'is_home': True}, {'date': '2026-05-13', 'team': 'CLE', 'opp': 'LAA', 'is_home': True}]",True
672282,Reid Detmers,2026-05-11,2,"[{'date': '2026-05-13', 'team': 'LAA', 'opp': 'CLE', 'is_home': False}, {'date': '2026-05-13', 'team': 'CLE', 'opp': 'CLE', 'is_home': False}]",False
593958,Eduardo Rodriguez,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'AZ', 'opp': 'NYM', 'is_home': True}, {'date': '2026-05-10', 'team': 'NYM', 'opp': 'NYM', 'is_home': True}]",False
623211,Huascar Brazobán,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'AZ', 'opp': 'AZ', 'is_home': False}, {'date': '2026-05-10', 'team': 'NYM', 'opp': 'AZ', 'is_home': False}]",False
543135,Nathan Eovaldi,2026-05-11,2,"[{'date': '2026-05-11', 'team': 'AZ', 'opp': 'AZ', 'is_home': True}, {'date': '2026-05-11', 'team': 'TEX', 'opp': 'AZ', 'is_home': True}]",False
647336,Michael Soroka,2026-05-11,2,"[{'date': '2026-05-11', 'team': 'AZ', 'opp': 'TEX', 'is_home': False}, {'date': '2026-05-11', 'team': 'TEX', 'opp': 'TEX', 'is_home': False}]",False
669022,MacKenzie Gore,2026-05-11,2,"[{'date': '2026-05-12', 'team': 'AZ', 'opp': 'AZ', 'is_home': True}, {'date': '2026-05-12', 'team': 'TEX', 'opp': 'AZ', 'is_home': True}]",False
668678,Zac Gallen,2026-05-11,2,"[{'date': '2026-05-12', 'team': 'AZ', 'opp': 'TEX', 'is_home': False}, {'date': '2026-05-12', 'team': 'TEX', 'opp': 'TEX', 'is_home': False}]",False
677958,Kumar Rocker,2026-05-11,2,"[{'date': '2026-05-13', 'team': 'AZ', 'opp': 'AZ', 'is_home': True}, {'date': '2026-05-13', 'team': 'TEX', 'opp': 'AZ', 'is_home': True}]",False
669194,Ryne Nelson,2026-05-11,2,"[{'date': '2026-05-13', 'team': 'AZ', 'opp': 'TEX', 'is_home': False}, {'date': '2026-05-13', 'team': 'TEX', 'opp': 'TEX', 'is_home': False}]",False
669211,Keegan Akin,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'BAL', 'opp': 'ATH', 'is_home': True}, {'date': '2026-05-10', 'team': 'ATH', 'opp': 'ATH', 'is_home': True}]",False
622663,Luis Severino,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'BAL', 'opp': 'BAL', 'is_home': False}, {'date': '2026-05-10', 'team': 'ATH', 'opp': 'BAL', 'is_home': False}]",False
687064,Brandon Young,2026-05-11,2,"[{'date': '2026-05-11', 'team': 'BAL', 'opp': 'NYY', 'is_home': True}, {'date': '2026-05-11', 'team': 'NYY', 'opp': 'NYY', 'is_home': True}]",False
677960,Ryan Weathers,2026-05-11,2,"[{'date': '2026-05-11', 'team': 'BAL', 'opp': 'BAL', 'is_home': False}, {'date': '2026-05-11', 'team': 'NYY', 'opp': 'BAL', 'is_home': False}]",False
701542,Will Warren,2026-05-11,2,"[{'date': '2026-05-12', 'team': 'BAL', 'opp': 'BAL', 'is_home': False}, {'date': '2026-05-12', 'team': 'NYY', 'opp': 'BAL', 'is_home': False}]",True
608331,Max Fried,2026-05-11,2,"[{'date': '2026-05-13', 'team': 'BAL', 'opp': 'BAL', 'is_home': False}, {'date': '2026-05-13', 'team': 'NYY', 'opp': 'BAL', 'is_home': False}]",True
801139,Payton Tolle,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'BOS', 'opp': 'TB', 'is_home': True}, {'date': '2026-05-10', 'team': 'TB', 'opp': 'TB', 'is_home': True}]",False
607259,Nick Martinez,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'BOS', 'opp': 'BOS', 'is_home': False}, {'date': '2026-05-10', 'team': 'TB', 'opp': 'BOS', 'is_home': False}]",False
554430,Zack Wheeler,2026-05-11,2,"[{'date': '2026-05-12', 'team': 'BOS', 'opp': 'BOS', 'is_home': False}, {'date': '2026-05-12', 'team': 'PHI', 'opp': 'BOS', 'is_home': False}]",False
543243,Sonny Gray,2026-05-11,2,"[{'date': '2026-05-13', 'team': 'BOS', 'opp': 'PHI', 'is_home': True}, {'date': '2026-05-13', 'team': 'PHI', 'opp': 'PHI', 'is_home': True}]",False
691725,Andrew Painter,2026-05-11,2,"[{'date': '2026-05-13', 'team': 'BOS', 'opp': 'BOS', 'is_home': False}, {'date': '2026-05-13', 'team': 'PHI', 'opp': 'BOS', 'is_home': False}]",False
624133,Ranger Suarez,2026-05-11,2,"[{'date': '2026-05-14', 'team': 'BOS', 'opp': 'PHI', 'is_home': True}, {'date': '2026-05-14', 'team': 'PHI', 'opp': 'PHI', 'is_home': True}]",False
666200,Jesús Luzardo,2026-05-11,2,"[{'date': '2026-05-14', 'team': 'BOS', 'opp': 'BOS', 'is_home': False}, {'date': '2026-05-14', 'team': 'PHI', 'opp': 'BOS', 'is_home': False}]",False
594798,Jacob deGrom,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'CHC', 'opp': 'CHC', 'is_home': True}, {'date': '2026-05-10', 'team': 'TEX', 'opp': 'CHC', 'is_home': True}]",False
592791,Jameson Taillon,2026-05-04,2,"[{'date': '2026-05-10', 'team': 'CHC', 'opp': 'TEX', 'is_home': False}, {'date': '2026-05-10', 'team': 'TEX', 'opp': 'TEX', 'is_home': False}]",False
656550,Grant Holmes,2026-05-11,2,"[{'date': '2026-05-12', 'team': 'CHC', 'opp': 'CHC', 'is_home': True}, {'date': '2026-05-12', 'team': 'ATL', 'opp': 'CHC', 'is_home': True}]",False
607067,Colin Rea,2026-05-11,2,"[{'date': '2026-05-12', 'team': 'CHC', 'opp': 'ATL', 'is_home': False}, {'date': '2026-05-12', 'team': 'ATL', 'opp': 'ATL', 'is_home': False}]",False
702275,JR Ritchie,2026-05-11,2,"[{'date': '2026-05-13', 'team': 'CHC', 'opp': 'CHC', 'is_home': True}, {'date': '2026-05-13', 'team': 'ATL', 'opp': 'CHC', 'is_home': True}]",False
684007,Shota Imanaga,2026-05-11,2,"[{'date': '2026-05-13', 'team': 'CHC', 'opp': 'ATL', 'is_home': False}, {'date': '2026-05-13', 'team': 'ATL', 'opp': 'ATL', 'is_home': False}]",False
519242,Chris Sale,2026-05-11,2,"[{'date': '2026-05-14', 'team': 'CHC', 'opp': 'CHC', 'is_home': True}, {'date': '2026-05-14', 'team': 'ATL', 'opp': 'CHC', 'is_home': True}]",False
676962,Ben Brown,2026-05-11,2,"[{'date': '2026-05-14', 'team': 'CHC', 'opp': 'ATL', 'is_home': False}, {'date': '2026-05-14', 'team': 'ATL', 'opp': 'ATL', 'is_home': False}]",False
