batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rank_gap,rolling_trend,xwoba_vs_expected,tag,season_stage
Kyle Stowers,669065,217,Tier C,OF,OF,OF,110.0,107.4,88.7,113.0,0.543,0.336,0.292,0.506,warm,0.059,Process+ strong; large rank divergence (process >> results); quality contact,mature
José Siri,642350,458,Tier A,OF,OF,OF,114.5,98.8,85.8,120.4,0.508,0.368,0.302,0.472,cold,0.096,Process+ strong; large rank divergence (process >> results); quality contact,mature
Ceddanne Rafaela,678882,578,Tier A,OF,SS|OF,"SS, OF",103.2,106.8,97.0,103.0,0.619,0.415,0.276,0.462,hot,0.008,Process+ above avg; large rank divergence (process >> results); rolling hot,mature
Ezequiel Tovar,678662,707,Tier A,SS,SS,SS,107.1,119.8,90.5,107.1,0.622,0.422,0.292,0.43,hot,0.028,Process+ above avg; large rank divergence (process >> results); disciplined; quality contact; rolling hot,mature
Josh Jung,673962,195,Tier C,3B,3B,3B,107.8,98.0,104.3,105.8,0.522,0.331,0.296,0.419,cold,0.022,Process+ above avg; large rank divergence (process >> results),mature
Derek Hill,656537,172,Tier C,OF,OF,OF,108.3,98.9,93.6,110.9,0.542,0.33,0.297,0.416,hot,0.048,Process+ strong; large rank divergence (process >> results); quality contact; rolling hot,mature
Gabriel Arias,672356,173,Tier C,SS,3B|SS,"3B, SS",102.7,116.9,85.6,105.7,0.609,0.338,0.279,0.416,hot,0.022,Process+ above avg; large rank divergence (process >> results); disciplined; rolling hot,mature
Luis Robert,673357,423,Tier A,OF,OF,OF,103.3,98.7,93.8,106.2,0.531,0.399,0.284,0.412,hot,0.024,Process+ above avg; large rank divergence (process >> results); rolling hot,mature
Hunter Goodman,696100,225,Tier C,C,C|OF|DH,"C, OF, DH",103.0,111.3,90.4,105.0,0.579,0.357,0.283,0.401,improving,0.018,Process+ above avg; large rank divergence (process >> results); disciplined,mature
Javier Báez,595879,313,Tier B,OF,SS,SS,100.7,75.3,116.9,98.0,0.523,0.453,0.269,0.387,cold,-0.018,Process+ above avg; large rank divergence (process >> results),mature
Noelvi Marte,682622,243,Tier C,OF,3B,3B,100.7,97.6,99.4,101.5,0.541,0.32,0.272,0.374,warm,-0.0,Process+ above avg; large rank divergence (process >> results),mature
Sam Hilliard,656541,164,Tier C,OF,OF,OF,107.6,93.5,84.8,115.3,0.469,0.242,0.299,0.369,improving,0.07,Process+ above avg; large rank divergence (process >> results); quality contact,mature
Junior Caminero,691406,176,Tier C,3B,3B,3B,110.2,85.5,116.1,105.1,0.477,0.329,0.304,0.364,cold,0.019,Process+ strong; large rank divergence (process >> results),mature
Nolan Gorman,669357,419,Tier A,2B,2B,2B,113.2,101.8,80.9,120.7,0.505,0.294,0.308,0.36,warm,0.098,Process+ strong; large rank divergence (process >> results); quality contact,mature
Amed Rosario,642708,358,Tier B,3B,2B|3B|SS|OF|DH,"2B, 3B, SS, OF, DH",102.4,101.2,108.7,98.0,0.553,0.382,0.285,0.345,cold,-0.017,Process+ above avg; large rank divergence (process >> results),mature
Ernie Clement,676391,463,Tier A,3B,3B|SS,"3B, SS",102.3,93.3,127.4,91.1,0.572,0.376,0.285,0.339,cold,-0.053,Process+ above avg; large rank divergence (process >> results),mature
Paul Dejong,657557,485,Tier A,3B,3B|SS,"3B, SS",104.4,126.2,82.1,107.0,0.58,0.308,0.293,0.339,hot,0.028,Process+ above avg; large rank divergence (process >> results); disciplined; quality contact; rolling hot,mature
Josh Lowe,666139,386,Tier B,OF,OF,OF,106.6,98.8,89.8,111.1,0.515,0.319,0.299,0.337,cold,0.049,Process+ above avg; large rank divergence (process >> results); quality contact,mature
Mickey Moniak,666160,425,Tier A,OF,OF,OF,102.0,99.2,98.1,102.9,0.565,0.427,0.286,0.304,cold,0.007,Process+ above avg; large rank divergence (process >> results),mature
Pete Crow-Armstrong,691718,410,Tier A,OF,OF,OF,102.0,110.2,96.9,101.2,0.607,0.378,0.287,0.289,hot,-0.001,Process+ above avg; process ahead of results; disciplined; rolling hot,mature
Jake Cave,595909,362,Tier B,OF,OF,OF,100.0,98.5,94.0,103.0,0.522,0.287,0.282,0.286,cold,0.008,Process+ above avg; process ahead of results,mature
Connor Norby,681393,204,Tier C,3B,2B|3B,"2B, 3B",111.7,127.5,80.3,114.4,0.575,0.361,0.315,0.259,warm,0.066,Process+ strong; process ahead of results; disciplined; quality contact,mature
Addison Barger,680718,229,Tier C,3B,3B|OF,"3B, OF",103.2,78.2,106.6,104.4,0.461,0.33,0.297,0.248,improving,0.015,Process+ above avg; process ahead of results,mature
Bryan De La Cruz,650559,634,Tier A,OF,OF|DH,"OF, DH",107.5,109.6,94.7,107.6,0.532,0.326,0.307,0.248,cold,0.031,Process+ above avg; process ahead of results; disciplined; quality contact,mature
Eloy Jiménez,650391,348,Tier B,OF,DH,DH,104.9,102.6,113.6,97.9,0.503,0.345,0.302,0.246,improving,-0.018,Process+ above avg; process ahead of results,mature
Kyle Higashioka,543309,286,Tier B,C,C,C,105.9,93.9,103.0,105.4,0.458,0.29,0.304,0.245,cold,0.02,Process+ above avg; process ahead of results,mature
Jake Rogers,668670,380,Tier B,C,C,C,105.5,105.4,95.0,106.4,0.473,0.236,0.305,0.214,warm,0.025,Process+ above avg; process ahead of results,mature
Seth Brown,664913,410,Tier A,OF,1B|OF,"1B, OF",102.8,104.9,98.3,102.4,0.519,0.293,0.298,0.212,cold,0.005,Process+ above avg; process ahead of results,mature
Adolis García,666969,642,Tier A,OF,OF|DH,"OF, DH",107.2,106.4,95.1,107.7,0.521,0.342,0.309,0.212,hot,0.031,Process+ above avg; process ahead of results; quality contact; rolling hot,mature
Bo Bichette,666182,358,Tier B,SS,SS,SS,104.7,107.5,110.5,98.1,0.565,0.366,0.304,0.211,hot,-0.017,Process+ above avg; process ahead of results; rolling hot,mature
Ramón Laureano,657656,322,Tier B,OF,OF,OF,107.5,111.5,86.5,110.9,0.524,0.286,0.31,0.207,warm,0.048,Process+ above avg; process ahead of results; disciplined; quality contact,mature
Jhonkensy Noel,678877,222,Tier C,OF,OF,OF,110.8,84.1,95.6,115.4,0.542,0.43,0.319,0.199,cold,0.071,Process+ strong; process ahead of results; quality contact,mature
Austin Hays,669720,260,Tier B,OF,OF,OF,100.4,103.4,103.3,98.2,0.549,0.323,0.29,0.194,cold,-0.017,Process+ above avg; process ahead of results,mature
Lenyn Sosa,672820,368,Tier B,2B,2B|3B,"2B, 3B",111.3,94.8,108.1,108.0,0.527,0.392,0.321,0.191,hot,0.033,Process+ strong; process ahead of results; quality contact; rolling hot,mature
Brendan Rodgers,663898,558,Tier A,2B,2B,2B,102.7,112.5,98.3,100.8,0.492,0.287,0.299,0.189,warm,-0.004,Process+ above avg; process ahead of results; disciplined,mature
Romy Gonzalez,663853,217,Tier C,1B,1B|2B,"1B, 2B",109.1,110.2,96.9,107.9,0.552,0.349,0.318,0.171,hot,0.033,Process+ strong; process ahead of results; disciplined; quality contact; rolling hot,mature
Jarred Kelenic,672284,453,Tier A,OF,OF,OF,106.8,101.7,92.2,109.7,0.5,0.294,0.312,0.163,cold,0.042,Process+ above avg; process ahead of results; quality contact,mature
José Tena,677588,172,Tier C,3B,3B,3B,104.7,93.0,103.2,104.4,0.5,0.261,0.307,0.162,cold,0.015,Process+ above avg; process ahead of results,mature
James Mccann,543510,238,Tier C,C,C,C,106.8,96.9,101.7,106.2,0.522,0.346,0.313,0.155,hot,0.024,Process+ above avg; process ahead of results; rolling hot,mature
Gio Urshela,570482,486,Tier A,3B,1B|3B,"1B, 3B",103.2,110.5,109.0,96.8,0.545,0.362,0.304,0.155,cold,-0.023,Process+ above avg; process ahead of results; disciplined,mature
