pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position
681402,Gus Varland,573,5.431,1.437,-0.04,0.515,0.369,0.51,0.342,0.631,96.7,P
694795,Josh Ekness,127,5.43,1.7,-0.04,0.476,0.402,0.499,0.325,0.598,96.6,P
674444,Steven Cruz,528,5.429,1.363,-0.04,0.503,0.33,0.528,0.34,0.67,96.4,P
547973,Aroldis Chapman,505,5.422,1.321,-0.04,0.51,0.35,0.494,0.335,0.65,96.3,P
691587,Eury Pérez,1489,5.421,1.353,-0.04,0.471,0.368,0.47,0.327,0.632,96.1,P
800311,Didier Fuentes,744,5.421,1.366,-0.04,0.498,0.349,0.511,0.346,0.651,95.9,P
656848,Michael Petersen,696,5.418,1.41,-0.04,0.525,0.37,0.471,0.333,0.63,95.8,P
681911,Alex Vesia,609,5.411,1.292,-0.041,0.498,0.367,0.447,0.315,0.633,95.6,P
656641,Jacob Latz,711,5.405,1.38,-0.041,0.49,0.386,0.486,0.342,0.614,95.4,P
683175,Connor Phillips,577,5.397,1.455,-0.041,0.437,0.399,0.464,0.331,0.601,95.3,P
670280,David Bednar,681,5.396,1.335,-0.041,0.512,0.386,0.458,0.331,0.614,95.1,P
695611,Gage Jump,897,5.384,1.358,-0.042,0.501,0.376,0.505,0.347,0.624,95.0,P
670970,Adrián Morejón,797,5.381,1.387,-0.042,0.519,0.332,0.512,0.308,0.668,94.8,P
676508,Ben Casparius,131,5.378,1.396,-0.042,0.473,0.388,0.433,0.318,0.612,94.6,P
666374,Matt Brash,301,5.377,1.407,-0.042,0.399,0.369,0.454,0.309,0.631,94.5,P
669622,Anthony Bender,556,5.375,1.386,-0.042,0.446,0.322,0.552,0.315,0.678,94.3,P
699823,Tyler Davis,394,5.375,1.446,-0.042,0.482,0.372,0.483,0.334,0.628,94.1,P
682243,Bryce Miller,910,5.372,1.345,-0.042,0.539,0.352,0.513,0.336,0.648,94.0,P
694037,Daniel Palencia,297,5.368,1.358,-0.042,0.516,0.387,0.468,0.332,0.613,93.8,P
696149,Bubba Chandler,1631,5.368,1.424,-0.042,0.511,0.358,0.48,0.33,0.642,93.7,P
689690,Alek Jacob,113,5.364,1.271,-0.042,0.456,0.347,0.411,0.319,0.653,93.5,P
686560,Gavin Collyer,454,5.356,1.557,-0.043,0.425,0.36,0.473,0.323,0.64,93.3,P
656302,Dylan Cease,1694,5.353,1.367,-0.043,0.475,0.385,0.44,0.321,0.615,93.2,P
642547,Freddy Peralta,1893,5.351,1.374,-0.043,0.454,0.379,0.464,0.335,0.621,93.0,P
673929,Jordan Leasure,336,5.348,1.299,-0.043,0.487,0.397,0.443,0.327,0.603,92.8,P
601713,Nick Pivetta,354,5.331,1.152,-0.044,0.503,0.315,0.491,0.329,0.685,92.7,P
691799,Grant Taylor,787,5.323,1.424,-0.044,0.508,0.345,0.506,0.333,0.655,92.5,P
621074,Michael Rucker,250,5.323,1.508,-0.044,0.504,0.381,0.466,0.335,0.619,92.4,P
676604,Tyler Zuber,261,5.322,1.306,-0.044,0.504,0.334,0.548,0.343,0.666,92.2,P
687531,William Kempner,199,5.314,1.383,-0.044,0.445,0.337,0.478,0.326,0.663,92.0,P
554430,Zack Wheeler,1452,5.313,1.26,-0.044,0.486,0.35,0.438,0.323,0.65,91.9,P
669194,Ryne Nelson,1363,5.312,1.281,-0.044,0.532,0.314,0.516,0.331,0.686,91.7,P
694361,Will Klein,672,5.309,1.328,-0.044,0.467,0.36,0.501,0.339,0.64,91.5,P
680704,Nick Sandlin,161,5.309,1.22,-0.044,0.403,0.38,0.466,0.306,0.62,91.4,P
