batter,name,pa_total,ev_p90_first,ev_p90_last,ev_p90_delta,ev_p90_drift_adj,k_pct_first,k_pct_last,k_pct_delta,k_pct_drift_adj,whiff_per_swing_first,whiff_per_swing_last,whiff_per_swing_delta,whiff_per_swing_drift_adj,ev_mean_first,ev_mean_last,ev_mean_delta,ev_mean_drift_adj,hard_hit_pct_first,hard_hit_pct_last,hard_hit_pct_delta,hard_hit_pct_drift_adj,bb_pct_first,bb_pct_last,bb_pct_delta,bb_pct_drift_adj,barrel_pct_first,barrel_pct_last,barrel_pct_delta,barrel_pct_drift_adj
687401,Joey Ortiz,94,97.68,97.6,-0.08,97.638,24.074,17.5,-6.574,20.984,16.842,14.062,-2.78,15.536,79.335,79.365,0.03,79.348,19.444,15.686,-3.758,17.753,5.556,12.5,6.944,8.125,1.389,1.961,0.572,1.48
624428,Adam Frazier,70,96.88,93.8,-3.08,95.248,25.714,31.429,5.714,28.4,27.119,17.045,-10.073,22.384,75.2,76.611,1.411,75.835,16.216,7.937,-8.28,12.49,17.143,0.0,-17.143,10.8,0.0,1.587,1.587,0.254
660271,Shohei Ohtani,180,105.24,102.26,-2.98,103.661,22.989,24.731,1.743,23.808,24.324,23.529,-0.795,23.951,85.306,84.843,-0.463,85.098,29.897,23.301,-6.596,26.929,16.092,13.978,-2.113,15.31,6.186,1.942,-4.244,5.507
643376,Danny Jansen,95,101.81,100.4,-1.41,101.063,30.769,25.581,-5.188,28.331,27.835,20.0,-7.835,24.153,84.097,82.895,-1.202,83.556,25.0,26.316,1.316,25.592,7.692,9.302,1.61,8.288,1.562,0.0,-1.562,1.312
690993,Colt Keith,119,104.4,101.41,-2.99,102.815,23.81,16.071,-7.738,20.173,23.301,19.481,-3.82,21.505,87.14,84.4,-2.74,85.907,37.179,24.138,-13.042,31.311,4.762,5.357,0.595,4.982,1.282,1.724,0.442,1.353
695600,Carter Jensen,138,107.63,103.19,-4.44,105.277,32.258,30.263,-1.995,31.32,34.821,29.496,-5.325,32.319,82.84,81.774,-1.066,82.36,23.529,22.727,-0.802,23.168,8.065,14.474,6.409,10.436,2.941,2.273,-0.668,2.834
800050,Chase DeLauter,157,104.16,103.82,-0.34,103.98,14.474,6.173,-8.301,10.572,16.0,10.169,-5.831,13.26,84.649,84.228,-0.422,84.46,26.263,27.835,1.572,26.97,13.158,11.111,-2.047,12.401,3.03,0.0,-3.03,2.545
680757,Steven Kwan,178,93.86,93.14,-0.72,93.478,10.112,13.483,3.371,11.697,5.645,8.0,2.355,6.752,77.53,77.855,0.325,77.676,8.333,9.091,0.758,8.674,8.989,14.607,5.618,11.067,0.926,0.0,-0.926,0.778
641343,Jake Bauers,134,105.16,105.45,0.29,105.314,21.212,22.059,0.847,21.61,24.348,21.849,-2.499,23.173,85.636,86.345,0.709,85.955,32.051,34.884,2.832,33.326,10.606,10.294,-0.312,10.491,2.564,3.488,0.924,2.712
641857,Ryan McMahon,113,103.84,103.96,0.12,103.904,29.787,28.788,-0.999,29.318,24.706,29.268,4.562,26.85,84.367,83.829,-0.538,84.125,30.909,26.506,-4.403,28.928,14.894,6.061,-8.833,11.625,0.0,2.41,2.41,0.386
701762,Nick Kurtz,181,106.56,106.2,-0.36,106.369,35.294,25.0,-10.294,30.456,36.129,29.63,-6.499,33.074,85.175,85.419,0.244,85.285,30.682,33.663,2.982,32.024,23.529,18.75,-4.779,21.761,4.545,0.0,-4.545,3.818
607043,Brandon Nimmo,173,103.04,103.47,0.43,103.268,20.879,17.073,-3.806,19.09,18.293,17.857,-0.436,18.088,83.044,86.404,3.36,84.556,26.891,35.246,8.355,30.651,9.89,9.756,-0.134,9.841,0.84,0.0,-0.84,0.706
672580,Maikel Garcia,170,102.32,103.92,1.6,103.168,15.909,14.634,-1.275,15.31,14.615,16.19,1.575,15.356,85.542,84.973,-0.569,85.286,30.476,30.588,0.112,30.527,10.227,9.756,-0.471,10.053,1.905,1.176,-0.728,1.788
665926,Andrés Giménez,143,99.4,97.68,-1.72,98.488,14.865,17.391,2.526,16.052,16.34,26.316,9.976,21.029,81.26,80.302,-0.957,80.829,15.126,15.73,0.604,15.398,5.405,0.0,-5.405,3.405,0.0,0.0,0.0,0.0
608070,José Ramírez,189,103.83,102.47,-1.36,103.109,11.957,16.495,4.538,14.09,13.514,14.917,1.404,14.173,84.04,83.746,-0.294,83.908,29.73,26.056,-3.673,28.077,16.304,16.495,0.19,16.375,2.703,2.113,-0.59,2.608
691016,Tyler Soderstrom,164,103.78,104.3,0.52,104.056,22.353,21.519,-0.834,21.961,24.0,20.0,-4.0,22.12,83.652,84.696,1.044,84.122,29.126,31.373,2.246,30.137,11.765,10.127,-1.638,11.159,0.971,1.961,0.99,1.129
514888,Jose Altuve,168,101.7,102.3,0.6,102.018,19.101,18.987,-0.114,19.048,21.429,23.704,2.275,22.498,81.901,81.23,-0.671,81.599,27.723,26.374,-1.349,27.116,15.73,3.797,-11.933,11.315,2.97,0.0,-2.97,2.495
572233,Christian Walker,171,103.24,105.8,2.56,104.597,16.667,20.69,4.023,18.557,28.0,21.118,-6.882,24.765,84.873,86.678,1.806,85.685,29.293,33.621,4.328,31.24,11.905,6.897,-5.008,10.052,4.04,0.0,-4.04,3.394
641355,Cody Bellinger,172,101.98,102.4,0.42,102.203,12.987,11.579,-1.408,12.325,20.769,13.889,-6.88,17.535,82.338,86.041,3.703,84.004,25.263,27.193,1.93,26.132,14.286,17.895,3.609,15.621,1.053,0.877,-0.175,1.025
680776,Jarren Duran,150,106.02,104.28,-1.74,105.098,28.169,22.785,-5.384,25.638,36.434,23.944,-12.49,30.564,82.937,84.498,1.561,83.639,24.286,27.66,3.374,25.804,8.451,5.063,-3.387,7.197,1.429,2.128,0.699,1.54
680777,Ryan Jeffers,125,106.75,104.38,-2.37,105.494,18.644,16.667,-1.977,17.715,18.812,11.404,-7.408,15.33,83.047,85.141,2.094,83.99,21.053,29.787,8.735,24.983,13.559,15.152,1.592,14.148,2.632,2.128,-0.504,2.551
592206,Nick Castellanos,78,100.27,96.18,-4.09,98.102,26.087,25.0,-1.087,25.576,30.303,24.0,-6.303,27.341,82.818,79.015,-3.803,81.107,25.0,13.208,-11.792,19.693,6.522,3.125,-3.397,5.265,1.667,1.887,0.22,1.702
663886,Tyler Stephenson,114,101.08,100.78,-0.3,100.921,27.451,30.159,2.708,28.724,26.667,24.138,-2.529,25.478,84.951,84.016,-0.935,84.53,23.81,28.378,4.569,25.866,15.686,9.524,-6.162,13.406,1.587,2.703,1.115,1.766
670541,Yordan Alvarez,185,108.08,107.99,-0.09,108.032,10.638,20.879,10.241,15.451,15.493,19.88,4.387,17.555,87.768,86.588,-1.18,87.237,31.193,34.167,2.974,32.531,19.149,6.593,-12.556,14.503,3.67,4.167,0.497,3.749
680779,Henry Davis,93,105.6,104.7,-0.9,105.123,19.149,17.391,-1.758,18.323,21.795,19.149,-2.646,20.551,85.396,86.796,1.4,86.026,29.412,29.412,0.0,29.412,10.638,10.87,0.231,10.724,0.0,1.471,1.471,0.235
691023,Jordan Walker,167,110.38,108.86,-1.52,109.574,28.75,27.586,-1.164,28.203,30.405,31.928,1.522,31.121,87.539,86.917,-0.622,87.259,39.08,30.851,-8.229,35.377,8.75,12.644,3.894,10.191,5.747,2.128,-3.619,5.168
682829,Elly De La Cruz,181,107.44,108.78,1.34,108.15,30.682,24.731,-5.951,27.885,31.333,26.087,-5.246,28.868,87.793,86.422,-1.37,87.176,34.146,36.17,2.024,35.057,11.364,7.527,-3.837,9.944,3.659,2.128,-1.531,3.414
691026,Masyn Winn,149,99.1,100.3,1.2,99.736,17.188,22.353,5.165,19.615,19.444,23.077,3.632,21.152,78.84,81.157,2.317,79.882,13.58,18.018,4.438,15.577,14.062,4.706,-9.357,10.601,1.235,0.901,-0.334,1.181
671056,Iván Herrera,182,105.06,104.54,-0.52,104.784,11.364,24.468,13.104,17.523,12.95,25.949,13.0,19.06,85.017,83.237,-1.78,84.216,35.714,24.299,-11.415,30.577,20.455,10.638,-9.816,16.823,5.357,0.0,-5.357,4.5
681297,Colton Cowser,84,102.56,97.7,-4.86,99.984,24.49,42.857,18.367,33.122,35.87,42.424,6.555,38.95,81.453,82.357,0.904,81.86,29.091,11.429,-17.662,21.143,12.245,11.429,-0.816,11.943,0.0,0.0,0.0,0.0
660821,Jesús Sánchez,135,101.48,104.53,3.05,103.097,18.75,21.127,2.377,19.867,22.222,22.695,0.473,22.444,83.496,83.38,-0.116,83.444,26.316,27.551,1.235,26.872,4.688,4.225,-0.462,4.517,0.0,3.061,3.061,0.49
669016,Brandon Marsh,144,102.2,101.05,-1.15,101.591,22.727,16.667,-6.061,19.879,20.661,17.188,-3.474,19.029,83.846,84.601,0.755,84.186,27.473,33.333,5.861,30.11,4.545,5.128,0.583,4.761,2.198,2.083,-0.114,2.179
