pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning
663978,Chris Paddack,1460,5.044,1.393,-0.054,0.507,0.328,0.496,0.341,0.672,55.9,P,False
650644,Aaron Civale,2734,5.044,1.481,-0.054,0.442,0.304,0.477,0.324,0.696,55.8,P,False
680686,Josiah Gray,176,5.043,1.31,-0.054,0.43,0.348,0.46,0.329,0.652,55.7,P,True
663941,Tristan Beck,242,5.043,1.436,-0.054,0.459,0.31,0.521,0.348,0.69,55.5,P,False
656793,Nick Nelson,110,5.042,1.564,-0.054,0.473,0.328,0.379,0.312,0.672,55.4,P,True
628708,Yunior Marte,518,5.041,1.434,-0.054,0.45,0.318,0.479,0.316,0.682,55.2,P,False
640455,Sean Manaea,3475,5.039,1.524,-0.054,0.468,0.311,0.493,0.337,0.689,55.1,P,False
605513,Spencer Turnbull,1009,5.039,1.517,-0.054,0.473,0.369,0.466,0.32,0.631,55.0,P,False
805673,Zebby Matthews,717,5.037,1.399,-0.054,0.505,0.339,0.495,0.339,0.661,54.8,P,False
657024,Erik Swanson,666,5.036,1.444,-0.054,0.504,0.341,0.452,0.333,0.659,54.7,P,False
624522,Keegan Thompson,538,5.035,1.487,-0.054,0.474,0.367,0.473,0.328,0.633,54.6,P,False
621111,Walker Buehler,1595,5.035,1.504,-0.054,0.492,0.327,0.488,0.327,0.673,54.4,P,False
692230,Carlos Rodriguez,233,5.033,1.48,-0.054,0.473,0.319,0.444,0.324,0.681,54.3,P,False
600986,Thyago Vieira,737,5.033,1.551,-0.054,0.463,0.347,0.495,0.324,0.653,54.1,P,False
670167,John Schreiber,969,5.033,1.488,-0.054,0.46,0.333,0.483,0.319,0.667,54.0,P,False
666619,Gregory Santos,112,5.03,1.477,-0.055,0.528,0.304,0.5,0.315,0.696,53.9,P,True
668868,Zack Thompson,390,5.029,1.556,-0.055,0.465,0.348,0.472,0.34,0.652,53.7,P,False
641154,Pablo López,3059,5.028,1.452,-0.055,0.516,0.336,0.495,0.334,0.664,53.6,P,False
