batter,Cold_lift_pct,Cool_lift_pct,Dome_lift_pct,Hot_lift_pct,Warm_lift_pct,Cold_pa,Cool_pa,Dome_pa,Hot_pa,Warm_pa,Cold_rate,Cool_rate,Dome_rate,Hot_rate,Warm_rate,annual_rate,total_pa,player_name,team,rank
405395,-39.8,-1.2,10.5,-4.1,8.6,100.0,403.0,210.0,481.0,496.0,0.21,0.34491315136476425,0.38571428571428573,0.33471933471933474,0.3790322580645161,0.34911242603550297,1690,,,
408234,-10.4,5.8,-70.4,5.7,19.1,349.0,366.0,189.0,508.0,623.0,0.19197707736389685,0.226775956284153,0.06349206349206349,0.2263779527559055,0.2552166934189406,0.21425061425061426,2035,,,
425783,47.2,-3.2,-85.8,10.5,10.6,79.0,182.0,149.0,622.0,293.0,0.4177215189873418,0.27472527472527475,0.040268456375838924,0.3135048231511254,0.31399317406143346,0.2837735849056604,1325,,,
425877,3.1,-12.2,20.9,-13.8,23.1,176.0,248.0,111.0,724.0,439.0,0.2840909090909091,0.24193548387096775,0.3333333333333333,0.23756906077348067,0.33940774487471526,0.2756183745583039,1698,,,
429664,27.2,-30.3,-23.2,-10.7,25.9,166.0,255.0,48.0,169.0,237.0,0.3795180722891566,0.20784313725490197,0.22916666666666666,0.26627218934911245,0.3755274261603376,0.29828571428571427,875,,,
429665,-36.7,17.2,-66.1,21.7,-2.2,168.0,242.0,61.0,306.0,287.0,0.21428571428571427,0.39669421487603307,0.11475409836065574,0.4117647058823529,0.3310104529616725,0.3383458646616541,1064,,,
430945,-43.7,17.5,-16.1,10.9,23.6,121.0,168.0,355.0,288.0,209.0,0.15702479338842976,0.3273809523809524,0.23380281690140844,0.3090277777777778,0.3444976076555024,0.2787028921998247,1141,,,
435079,56.4,-17.9,-42.6,43.8,0.1,16.0,344.0,56.0,174.0,225.0,0.4375,0.22965116279069767,0.16071428571428573,0.40229885057471265,0.28,0.27975460122699386,815,,,
435559,52.0,-24.5,21.2,-6.2,-2.9,94.0,140.0,100.0,414.0,355.0,0.48936170212765956,0.24285714285714285,0.39,0.30193236714975846,0.3126760563380282,0.32184950135992746,1103,,,
435622,-39.7,26.0,-11.9,2.8,1.5,139.0,190.0,77.0,357.0,338.0,0.1510791366906475,0.3157894736842105,0.22077922077922077,0.25770308123249297,0.25443786982248523,0.2506811989100817,1101,,,
443558,-20.9,20.2,-66.1,20.6,7.9,325.0,533.0,307.0,542.0,648.0,0.24307692307692308,0.3696060037523452,0.10423452768729642,0.37084870848708484,0.3317901234567901,0.30743099787685774,2355,,,
444482,-35.5,-16.7,12.2,4.0,-8.1,131.0,431.0,1252.0,342.0,590.0,0.183206106870229,0.23665893271461716,0.31869009584664537,0.2953216374269006,0.26101694915254237,0.28404952658412236,2746,,,
444876,13.2,-46.4,64.1,-21.9,24.8,97.0,145.0,92.0,369.0,308.0,0.24742268041237114,0.11724137931034483,0.358695652173913,0.17073170731707318,0.2727272727272727,0.218595450049456,1011,,,
446334,22.5,5.3,7.0,-60.6,16.2,202.0,674.0,273.0,278.0,419.0,0.30198019801980197,0.2596439169139466,0.26373626373626374,0.09712230215827339,0.2863961813842482,0.24647887323943662,1846,,,
448801,-100.0,6474.3,6996.6,-1650.6,-4796.7,120.0,113.0,117.0,310.0,214.0,0.0,-0.1504424778761062,-0.1623931623931624,0.035483870967741936,0.10747663551401869,-0.002288329519450801,874,,,
451594,-13.3,-6.9,-239.0,-13.5,33.8,101.0,162.0,14.0,343.0,309.0,0.1782178217821782,0.19135802469135801,-0.2857142857142857,0.17784256559766765,0.2750809061488673,0.20559741657696448,929,,,
452678,19.3,11.1,-9.8,-0.8,-5.3,128.0,216.0,254.0,480.0,380.0,0.328125,0.3055555555555556,0.24803149606299213,0.27291666666666664,0.26052631578947366,0.27503429355281206,1458,,,
453568,-10.8,-2.7,-39.2,24.8,-8.2,435.0,561.0,341.0,1106.0,957.0,0.3057471264367816,0.3333333333333333,0.20821114369501467,0.42766726943942135,0.31452455590386624,0.3426470588235294,3400,,,
453943,-53.5,20.3,57.3,18.9,-13.9,113.0,205.0,36.0,272.0,385.0,0.11504424778761062,0.2975609756097561,0.3888888888888889,0.29411764705882354,0.21298701298701297,0.24727992087042533,1011,,,
455117,-33.0,-44.5,24.9,-24.4,15.7,158.0,420.0,941.0,294.0,485.0,0.06329113924050633,0.05238095238095238,0.1179596174282678,0.07142857142857142,0.10927835051546392,0.09442993907745866,2298,,,
455139,-24.5,2.8,96.1,-38.7,-67.0,98.0,166.0,325.0,399.0,207.0,0.1326530612244898,0.18072289156626506,0.3446153846153846,0.10776942355889724,0.057971014492753624,0.17573221757322174,1195,,,
455976,5.9,-15.3,18.2,-3.0,4.1,108.0,119.0,53.0,483.0,411.0,0.3888888888888889,0.31092436974789917,0.4339622641509434,0.35610766045548653,0.3819951338199513,0.36712095400340716,1174,,,
456715,-30.3,24.2,-54.2,21.3,-1.0,163.0,398.0,248.0,432.0,444.0,0.1901840490797546,0.3391959798994975,0.125,0.33101851851851855,0.2702702702702703,0.27299703264094954,1685,,,
456781,-22.0,-22.0,33.2,7.9,3.4,121.0,479.0,228.0,502.0,484.0,0.19008264462809918,0.18997912317327767,0.32456140350877194,0.26294820717131473,0.25206611570247933,0.24366041896361632,1814,,,
457705,-3.0,-3.3,-21.0,11.1,5.8,403.0,723.0,580.0,876.0,1055.0,0.25806451612903225,0.2572614107883817,0.2103448275862069,0.295662100456621,0.28151658767772514,0.2661534231509486,3637,,,
457708,-51.2,36.8,-18.3,-18.8,4.9,53.0,276.0,152.0,363.0,444.0,0.09433962264150944,0.2644927536231884,0.15789473684210525,0.15702479338842976,0.20270270270270271,0.19332298136645962,1288,,,
457759,-20.0,-21.6,4.7,20.1,5.3,306.0,775.0,578.0,710.0,1102.0,0.2777777777777778,0.27225806451612905,0.3633217993079585,0.4169014084507042,0.36569872958257715,0.34716220109478535,3471,,,
457763,36.3,-7.3,-27.0,9.5,-4.4,193.0,517.0,133.0,186.0,318.0,0.43523316062176165,0.29593810444874274,0.23308270676691728,0.34946236559139787,0.3050314465408805,0.3192279138827023,1347,,,
458015,-6.8,4.4,-15.5,12.0,-13.7,213.0,362.0,163.0,969.0,675.0,0.29107981220657275,0.3259668508287293,0.26380368098159507,0.3498452012383901,0.2696296296296296,0.3123425692695214,2382,,,
458731,-39.3,-2.9,1.4,14.9,-0.3,158.0,256.0,259.0,451.0,495.0,0.17088607594936708,0.2734375,0.2857142857142857,0.3237250554323725,0.2808080808080808,0.2816553428042001,1619,,,
460075,-48.8,3.5,7.5,23.3,-7.0,102.0,264.0,20.0,259.0,307.0,0.16666666666666666,0.3371212121212121,0.35,0.4015444015444015,0.30293159609120524,0.32563025210084034,952,,,
460086,22.2,15.8,-17.8,-6.8,-3.4,135.0,179.0,70.0,535.0,282.0,0.31851851851851853,0.3016759776536313,0.21428571428571427,0.24299065420560748,0.25177304964539005,0.26061615320566195,1201,,,
462101,-15.2,-2.9,-28.0,12.6,4.0,218.0,539.0,284.0,772.0,787.0,0.21559633027522937,0.24675324675324675,0.18309859154929578,0.2862694300518135,0.26429479034307496,0.2542307692307692,2600,,,
467092,-56.5,-22.3,39.6,-1.4,18.2,146.0,188.0,182.0,277.0,309.0,0.136986301369863,0.24468085106382978,0.43956043956043955,0.3104693140794224,0.37216828478964403,0.31488203266787657,1102,,,
467793,10.9,-8.2,16.4,-9.5,1.6,561.0,708.0,476.0,1098.0,1374.0,0.3582887700534759,0.2966101694915254,0.3760504201680672,0.2923497267759563,0.3282387190684134,0.32297842067820726,4217,,,
