run_date,baseline_spearman,metric,n,raw_spearman,incr_partial,ci_lo,ci_hi,p_boot,bh_thresh,fdr_pass
2026-07-18,0.37648071221565693,contact_pct,840,0.1580859024385922,0.09214787014245869,0.022839906359627148,0.15436612730336735,0.004,0.008333333333333333,True
2026-07-18,0.37648071221565693,whiff_pct,840,-0.1580859024385922,-0.09214787014245869,-0.16185582907510307,-0.024679986899756493,0.01,0.016666666666666666,True
2026-07-18,0.37648071221565693,swstr_pct,840,-0.16199749878312664,-0.08917155094450192,-0.155241235022314,-0.014648542453120075,0.02,0.025,True
2026-07-18,0.37648071221565693,hardhit_pct,840,0.11680794104205297,0.05704035253912686,-0.014159602950505865,0.13155648417282434,0.102,0.03333333333333333,False
2026-07-18,0.37648071221565693,attack_angle_dev15,840,-0.07148759091177881,-0.04577723603165949,-0.10904874325629521,0.02013814986241961,0.17,0.04166666666666667,False
2026-07-18,0.37648071221565693,xwobacon,840,0.13865754945137737,0.03333667746207585,-0.035240642583526605,0.09955968874018782,0.368,0.05,False
2026-07-18,0.37648071221565693,decision_gap,840,-0.016783816577289744,-0.026029665463652964,-0.1009986863841906,0.05015823117305522,0.514,0.05833333333333334,False
2026-07-18,0.37648071221565693,chase_pct,840,-0.009459486994628168,0.0200696978656407,-0.04623682294917497,0.0873052753149168,0.552,0.06666666666666667,False
2026-07-18,0.37648071221565693,bat_speed,840,0.07845447796454541,0.014902108626333194,-0.05248113886315896,0.08780917811294932,0.648,0.07500000000000001,False
2026-07-18,0.37648071221565693,z_swing_pct,840,-0.03030407686193539,-0.008640131036704775,-0.08020756971111237,0.061346942073199434,0.774,0.08333333333333334,False
2026-07-18,0.37648071221565693,swing_length,840,0.03704082714319664,-0.007584015137670438,-0.07231632921571753,0.06214400200470411,0.866,0.09166666666666667,False
2026-07-18,0.37648071221565693,fast_swing_pct,840,0.051902985148280116,-0.0016882155460913226,-0.06371982580708188,0.06480312101692322,0.982,0.1,False
