pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning,pitcher_role,avg_pitches_per_game,rolling_plv_30d,plv_blended,est_k_per_ip,est_bb_per_ip,est_h_per_ip,est_er_per_ip,est_hb_per_ip,fp_per_ip,fp_per_start,fp_per_app,sv_upside,hd_upside,est_sv_per_162,est_hd_per_162,sv_hd_fp_per_162,pl_plv,pl_pla
650633,Mike King,1238,5.195,1.357,-0.049,0.45,0.323,0.481,0.324,0.677,77.5,P,False,SP,77.375,5.219,5.2021999999999995,0.9477103479301662,0.3315830407001704,0.8117384054872808,0.41713881686905224,0.033,2.2371,12.3,,,,0,0,0.0,5.027726535820396,3.213646052899704
669923,George Kirby,2385,5.233,1.52,-0.047,0.466,0.33,0.467,0.326,0.67,82.4,P,False,SP,88.33333333333333,5.184,5.218299999999999,0.9597316868395066,0.3581120846312379,0.8023456323200308,0.41553241373027683,0.033,2.2352,12.29,,,,0,0,0.0,5.00191371854638,3.390758077417658
690925,Clayton Beeter,465,5.249,1.482,-0.047,0.454,0.369,0.458,0.331,0.631,85.0,P,False,RP,17.884615384615383,5.076,5.1971,0.9672313717187319,0.3777244413888009,0.7732350265981085,0.42493436416147573,0.033,2.2334,,2.23,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,4.8701434193420265,3.921721234903935
686642,Fraser Ellard,373,5.084,1.61,-0.053,0.454,0.354,0.457,0.334,0.646,56.3,P,False,RP,18.65,5.541,5.2211,0.9728452664603651,0.3777667694252618,0.7844840457932782,0.4225575128095651,0.033,2.2325,,2.23,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
676508,Ben Casparius,1279,5.221,1.408,-0.048,0.487,0.353,0.494,0.326,0.647,80.5,P,False,RP,27.804347826086957,4.981,5.148999999999999,0.9336937667411018,0.31005011405782945,0.7972346760347576,0.4306644643189662,0.033,2.2321,,2.23,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.066936724575903,3.0290886682658007
681676,Ryan Fernandez,544,5.064,1.46,-0.053,0.481,0.389,0.466,0.332,0.611,52.5,P,False,RP,16.484848484848484,5.395,5.1633,0.9587808277548036,0.3645594756943592,0.7628622529355937,0.4332693489865564,0.033,2.2318,,2.23,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,4.906932035417302,3.679237172606637
677960,Ryan Weathers,642,5.184,1.529,-0.049,0.513,0.345,0.524,0.347,0.655,75.4,P,False,SP,80.25,5.087,5.1549,0.9329873318654859,0.24992666219118465,0.8211612522310547,0.4494219651792065,0.033,2.2301,12.27,,,,0,0,0.0,5.109751065864274,2.841315924099855
605400,Aaron Nola,1670,5.245,1.373,-0.047,0.474,0.305,0.481,0.329,0.695,83.7,P,False,SP,87.89473684210526,5.184,5.2267,0.9521409054018709,0.3295966603944339,0.8275024932861237,0.4165619114286336,0.033,2.2289,12.26,,,,0,0,0.0,5.186870041606712,2.6402261044098205
676760,Ron Marinaccio,222,5.148,1.457,-0.05,0.474,0.315,0.49,0.331,0.685,69.4,P,False,RP,24.666666666666668,5.338,5.205,0.9453413641530171,0.31346249609058896,0.8247924574277552,0.4232093540655068,0.033,2.2277,,2.23,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
643338,Chad Green,719,5.197,1.308,-0.048,0.509,0.374,0.491,0.332,0.626,78.2,P,False,RP,15.630434782608695,5.004,5.139099999999999,0.9385447686080839,0.31681728376067375,0.7839284428959363,0.43855355712863847,0.033,2.2277,,2.23,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.062964903703288,3.0597240636720304
663969,Tyler Phillips,1131,5.087,1.574,-0.052,0.481,0.382,0.47,0.316,0.618,57.6,P,False,RP,20.563636363636363,5.22,5.126899999999999,0.9358724750709075,0.35955798941701056,0.7657776888821131,0.42594450664517497,0.033,2.2256,,2.23,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.061638914305558,2.9987536375397648
670912,Johan Oviedo,665,5.185,1.422,-0.049,0.439,0.36,0.489,0.334,0.64,75.8,P,False,SP,73.88888888888889,5.102,5.160099999999999,0.943033575164099,0.319091012007264,0.794118722113812,0.4358772110189455,0.033,2.2251,12.24,,,,0,0,0.0,4.87761948337123,3.777756512899291
664747,Alexis Díaz,381,5.198,1.41,-0.048,0.467,0.369,0.466,0.339,0.631,78.4,P,False,RP,20.05263157894737,5.185,5.1941,0.9656224534269257,0.36206231188143334,0.7806671604500411,0.43322592634919715,0.033,2.2234,,2.22,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
607192,Tyler Glasnow,1895,5.137,1.524,-0.051,0.458,0.385,0.492,0.33,0.615,67.2,P,False,SP,75.8,5.072,5.1175,0.9322826880751451,0.31658037153099805,0.7768679369591525,0.4413609166633418,0.033,2.2231,12.23,,,,0,0,0.0,4.889920138560349,3.6735379445099
693645,Cam Schlittler,1505,5.152,1.397,-0.05,0.515,0.3,0.516,0.337,0.7,70.3,P,False,SP,88.52941176470588,5.281,5.1907,0.9304147353692582,0.26292947439128067,0.8483280080981883,0.4320592119919214,0.033,2.222,12.22,,,,0,0,0.0,5.017390695012201,3.266991593128652
650911,Cristopher Sánchez,3085,5.05,1.541,-0.054,0.488,0.323,0.518,0.316,0.677,50.5,P,False,SP,90.73529411764706,5.267,5.1151,0.9009980868580606,0.26508253654033176,0.8273298967435936,0.42852110400371063,0.033,2.2185,12.2,,,,0,0,0.0,5.188805081283608,2.3946099917308734
686993,Justin Sterner,1104,5.243,1.343,-0.047,0.499,0.382,0.455,0.333,0.618,83.2,P,False,RP,18.4,5.03,5.1791,0.9638676533483352,0.38514833274374616,0.766603061655811,0.4307738906774523,0.033,2.2176,,2.22,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,4.972084983792278,3.5457581639843943
678906,Kai-Wei Teng,573,5.152,1.54,-0.05,0.427,0.368,0.47,0.321,0.632,70.5,P,False,SP,71.625,5.125,5.1438999999999995,0.9382160572378477,0.3581796847150708,0.7794896789180619,0.42700526901738517,0.033,2.2135,12.17,,,,0,0,0.0,4.839721501919017,3.917136080571338
676477,Garrett Whitlock,1227,5.197,1.558,-0.048,0.498,0.349,0.499,0.326,0.651,77.9,P,False,RP,19.476190476190474,4.978,5.1312999999999995,0.922265828394695,0.3015443226397361,0.8057262338723219,0.43452936035677003,0.033,2.2129,,2.21,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.138059696453316,2.72860683437737
643377,Griffin Jax,1124,5.302,1.481,-0.045,0.52,0.388,0.472,0.316,0.612,90.0,P,False,RP,14.986666666666666,4.653,5.1072999999999995,0.9282638562015672,0.3571707537243781,0.7648332522228309,0.43022427852884454,0.033,2.2128,,2.21,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.202406892679317,2.5285715256621684
