batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,tag
Freddy Fermin,666023,239,Tier C,109.7,133.7,93.1,105.5,0.547,0.308,0.398,0.09165,Decision+ elite (top 10%); Process+ strong
J. D. Davis,605204,552,Tier A,103.9,132.5,84.2,104.3,0.531,0.257,0.403,0.12956,Decision+ elite (top 10%)
Travis D'Arnaud,518595,307,Tier B,107.7,126.9,91.6,105.6,0.523,0.311,0.394,0.07958,Decision+ elite (top 10%)
Stuart Fairchild,656413,256,Tier B,97.7,125.8,85.5,99.3,0.512,0.222,0.378,0.0745,Decision+ elite (top 10%); low chase rate
Corey Seager,608369,615,Tier A,133.9,125.2,108.9,122.8,0.546,0.289,0.48,0.08569,Decision+ elite (top 10%); Process+ strong
Marcus Semien,543760,840,Tier A,103.0,122.3,111.0,93.3,0.474,0.227,0.346,0.08824,Decision+ elite (top 10%); low chase rate
Chris Taylor,621035,410,Tier A,103.9,121.3,80.9,108.0,0.477,0.224,0.417,0.06499,Decision+ elite (top 10%); low chase rate
Freddie Freeman,518692,749,Tier A,124.5,119.3,100.7,118.8,0.51,0.262,0.455,0.06024,Decision+ elite (top 10%); Process+ strong
Ryan Mckenna,663630,156,Tier C,93.9,118.8,92.7,93.8,0.53,0.247,0.346,0.09881,Decision+ elite (top 10%)
Dansby Swanson,621020,639,Tier A,109.2,118.3,91.1,109.0,0.473,0.251,0.412,0.11772,Decision+ elite (top 10%); Process+ strong
Fernando Tatís,665487,640,Tier A,118.1,118.1,96.9,114.8,0.54,0.3,0.439,0.08305,Decision+ elite (top 10%); Process+ strong
Ronald Acuña,660670,749,Tier A,136.2,118.0,111.9,125.0,0.463,0.231,0.49,0.08709,Decision+ elite (top 10%); low chase rate; Process+ strong
Gabriel Arias,672356,347,Tier B,108.0,117.8,83.3,111.5,0.555,0.297,0.42,0.09341,Decision+ elite (top 10%); Process+ strong
Nelson Velázquez,676369,179,Tier C,121.4,117.4,92.7,119.9,0.501,0.257,0.492,0.03546,Decision+ elite (top 10%); Process+ strong
Matt Thaiss,642136,314,Tier B,105.2,117.4,87.8,106.9,0.462,0.219,0.4,0.10855,Decision+ elite (top 10%); low chase rate
Christian Walker,572233,754,Tier A,107.6,117.3,96.9,105.1,0.485,0.253,0.389,0.09665,Decision+ elite (top 10%)
George Springer,543807,713,Tier A,105.6,117.1,105.7,99.3,0.494,0.247,0.366,0.12075,Decision+ elite (top 10%)
Ezequiel Tovar,678662,637,Tier A,105.1,117.0,93.0,104.5,0.596,0.385,0.377,0.06358,Decision+ elite (top 10%)
Elías Díaz,553869,540,Tier A,99.8,116.1,96.3,98.2,0.55,0.321,0.351,0.09104,Decision+ elite (top 10%)
Kris Bryant,592178,352,Tier B,101.6,115.8,98.6,99.0,0.462,0.257,0.362,0.06603,Decision+ elite (top 10%)
Ozzie Albies,645277,682,Tier A,105.9,115.5,99.2,102.8,0.544,0.364,0.375,0.02447,Decision+ elite (top 10%)
Mike Trout,545361,370,Tier B,126.0,115.5,86.9,127.3,0.444,0.212,0.51,0.00815,Decision+ elite (top 10%); selective swinger; low chase rate; Process+ strong
Matt Wallner,670242,270,Tier B,118.4,115.0,79.5,123.6,0.469,0.264,0.49,0.07399,Decision+ elite (top 10%); Process+ strong
J. D. Martinez,502110,503,Tier A,128.0,114.8,88.6,128.6,0.535,0.324,0.514,0.09432,Decision+ strong (top 25%); Process+ strong
Gleyber Torres,650402,689,Tier A,112.2,114.7,106.4,105.7,0.468,0.259,0.387,0.05775,Decision+ strong (top 25%); Process+ strong
Zack Gelof,680869,299,Tier B,109.6,114.6,87.0,112.0,0.504,0.291,0.421,0.07227,Decision+ strong (top 25%); Process+ strong
Miguel Vargas,678246,315,Tier B,90.7,114.3,95.4,90.4,0.446,0.236,0.318,0.06908,Decision+ strong (top 25%); selective swinger; low chase rate
Ty France,664034,666,Tier A,105.7,114.3,103.0,101.2,0.532,0.315,0.365,0.09515,Decision+ strong (top 25%)
Jeff Mcneil,643446,653,Tier A,97.4,114.3,117.7,86.6,0.531,0.282,0.288,0.04773,Decision+ strong (top 25%)
Tom Murphy,608596,159,Tier C,113.8,114.1,90.5,114.5,0.52,0.253,0.45,0.11443,Decision+ strong (top 25%); Process+ strong
Vladimir Guerrero,665489,711,Tier A,120.4,113.9,113.1,110.5,0.503,0.281,0.41,0.05995,Decision+ strong (top 25%); Process+ strong
Christian Arroyo,624414,205,Tier C,98.0,113.9,101.4,94.7,0.598,0.389,0.332,0.05715,Decision+ strong (top 25%)
