batter_name,batter,pa,confidence,primary_position,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag
Dillon Dingler,693307,94,Signal,C,C,140.3,89.5,118.9,131.5,0.489,0.304,0.529,0.152,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Michael Harris,671739,92,Signal,OF,OF,134.6,100.8,109.1,128.3,0.549,0.355,0.493,0.136,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Shohei Ohtani,660271,114,Signal,TWP,DH,126.9,87.7,100.3,127.7,0.45,0.299,0.502,0.133,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Willson Contreras,575929,105,Signal,1B,1B,125.4,94.2,94.9,127.4,0.442,0.258,0.499,0.132,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Corbin Carroll,682998,91,Signal,OF,OF,122.7,70.5,100.8,126.9,0.452,0.345,0.474,0.129,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Daniel Schneemann,682177,71,Watch,2B,,122.8,85.2,96.3,126.1,0.485,0.333,0.498,0.125,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Owen Caissie,683357,80,Signal,OF,OF,117.6,73.8,91.2,125.8,0.419,0.259,0.515,0.123,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Matt Olson,621566,119,Signal,1B,1B,126.2,86.7,103.7,125.6,0.426,0.294,0.484,0.123,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Freddie Freeman,518692,105,Signal,1B,1B,134.0,120.2,105.4,125.5,0.508,0.304,0.488,0.122,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Bryce Harper,547180,104,Signal,1B,1B,131.8,109.9,106.1,125.2,0.531,0.342,0.465,0.12,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Brice Turang,668930,103,Signal,2B,2B,124.9,83.8,104.7,124.6,0.378,0.245,0.496,0.117,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Dominic Canzone,686527,71,Watch,OF,DH,132.5,83.3,120.8,124.6,0.496,0.324,0.482,0.117,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
