catcher,shadow_pitches,shadow_called_strikes,framing_rate,framing_lift_pct,player_name
669257,4979,1876,0.37678248644306084,-4.35,Will Smith
664731,292,110,0.3767123287671233,-4.37,P.J. Higgins
553869,4476,1684,0.3762287756925827,-4.49,Elias Díaz
608348,3501,1317,0.37617823479005996,-4.5,Carson Kelly
665804,1569,589,0.3753983428935628,-4.7,Miguel Amaya
644433,317,119,0.3753943217665615,-4.7,Chadwick Tromp
606992,2160,808,0.37407407407407406,-5.04,Eric Haase
680728,214,80,0.37383177570093457,-5.1,Adrian Del Castillo
668832,360,134,0.37222222222222223,-5.51,Kyle McCann
592663,5880,2185,0.3715986394557823,-5.66,J.T. Realmuto
542194,1625,603,0.3710769230769231,-5.8,Christian Bethancourt
657136,2642,968,0.3663890991672975,-6.99,Connor Wong
571912,1715,622,0.36268221574344023,-7.93,Luke Maile
521692,4328,1564,0.3613678373382625,-8.26,Salvador Perez
467092,316,114,0.36075949367088606,-8.42,Wilson Ramos
700250,247,89,0.3603238866396761,-8.53,Ben Rice
641470,639,230,0.3599374021909233,-8.62,Zack Collins
596117,1171,420,0.35866780529462,-8.95,Garrett Stubbs
686780,1570,562,0.3579617834394904,-9.13,Pedro Pagés
642136,1521,544,0.3576594345825115,-9.2,Matt Thaiss
686452,370,132,0.3567567567567568,-9.43,Drew Millas
425784,236,84,0.3559322033898305,-9.64,René Rivera
643376,3131,1114,0.3557968700095816,-9.68,Danny Jansen
663886,3492,1241,0.35538373424971365,-9.78,Tyler Stephenson
681351,2620,924,0.3526717557251908,-10.47,Logan O'Hoppe
669127,3633,1272,0.3501238645747316,-11.12,Shea Langeliers
682663,621,217,0.3494363929146538,-11.29,Agustín Ramírez
673237,2395,836,0.34906054279749477,-11.39,Yainer Diaz
455139,777,271,0.3487773487773488,-11.46,Robinson Chirinos
660688,4068,1398,0.34365781710914456,-12.76,Keibert Ruiz
669004,776,261,0.33634020618556704,-14.61,MJ Melendez
696100,1123,377,0.3357079252003562,-14.78,Hunter Goodman
488671,231,77,0.3333333333333333,-15.38,Alex Avila
640902,364,121,0.3324175824175824,-15.61,Jhonny Pereda
687221,324,106,0.3271604938271605,-16.95,Dalton Rushing
676439,231,75,0.3246753246753247,-17.58,Hunter Feduccia
650968,349,112,0.3209169054441261,-18.53,Yohel Pozo
664954,312,100,0.32051282051282054,-18.63,Brett Sullivan
665966,1056,336,0.3181818181818182,-19.22,Carlos Narváez
542208,321,102,0.3177570093457944,-19.33,Carlos Pérez
665561,537,168,0.3128491620111732,-20.58,Rafael Marchán
686948,742,232,0.31266846361185985,-20.62,Drake Baldwin
690924,302,94,0.31125827814569534,-20.98,Braxton Fulford
689414,476,148,0.31092436974789917,-21.07,Liam Hicks
691019,595,181,0.3042016806722689,-22.77,Kyle Teel
656180,2232,674,0.30197132616487454,-23.34,Riley Adams
680779,956,274,0.28661087866108786,-27.24,Henry Davis
680862,264,75,0.2840909090909091,-27.88,Willie MacIver
700337,622,138,0.22186495176848875,-43.68,Edgar Quero
