rank,pitcher,player_name,gs_to,gs_last21,fp_per_start_to,fp_per_start_last21,recency_form_gap,prior_fp_per_start,prior_source,is_on_il_at_split,xfp_rp3_per_start,xfp_rp3_sigma,xfp_rp3_p25,xfp_rp3_p75,next_opp_team,next_opp_bat_index,next2_avg_bat_index,schedule_factor,xfp_rp3_per_start_sched,replacement_xfp_per_start,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,mlb_id,atc,steamer,thebatx,zips,ext_n_systems,ext_mean_fp_per_g,ensemble_fp_per_start
55,592662,"Ray, Robbie",7,4.0,14.385714285714284,12.624999999999998,-1.761,12.29257425016573,mlb_lag,0,11.014538535212798,3.550589473597954,8.619665935270978,13.40941113515462,,,,1.0,11.01,11.285,-0.27,hold,71.1,177.0,67.8,0.7889,0.0861,592662,12.308990999559418,12.031107862248216,12.321402146928218,11.410740740740742,4,12.018060437369149,11.415947296075338
56,676974,"Meyer, Max",7,4.0,14.157142857142857,16.924999999999997,2.768,8.353896800709592,mlb_lag,0,10.887604782192897,3.550589473597954,8.492732182251075,13.282477382134717,BAL,0.9888,0.9888,0.98955661530472,10.77,11.285,-0.397,hold,100.0,19.0,56.2,0.6487,0.0039,676974,10.796666194414431,12.160271604938274,11.298592553238588,8.787647058823529,4,10.760794352853706,10.836880610457222
57,676440,"Bibee, Tanner",7,3.0,9.94285714285714,14.366666666666664,4.424,12.255639975702913,mlb_lag,0,10.87350909228878,3.550589473597954,8.47863649234696,13.2683816922306,MIN,0.9818,0.9818,1.0145805163082555,11.03,11.285,-0.411,hold,28.4,23.0,90.9,0.6872,0.1528,676440,12.685369953788474,11.939269005847956,11.51158964879852,12.910714285714286,4,12.261735723537308,11.42879974478819
58,663554,"Mize, Casey",6,3.0,13.0,15.1,2.1,9.48877667234376,mlb_lag,1,10.78873722763964,3.550589473597954,8.39386462769782,13.18360982758146,,,,1.0,10.79,11.285,-0.496,il,95.1,78.0,51.4,0.6413,0.0071,663554,10.797414977281989,10.842850399419028,10.376528548247101,9.6996,4,10.42909848123703,10.644881729078596
59,665795,"Cabrera, Edward",6,3.0,11.533333333333331,9.1,-2.433,10.51336273191762,mlb_lag,0,10.728873208272772,3.550589473597954,8.334000608330953,13.123745808214592,,,,1.0,10.73,11.285,-0.556,hold,36.6,30.0,85.7,0.7142,0.1346,665795,12.11992955341308,11.723449074074072,12.589860916796967,11.547600000000003,4,11.99520988607103,11.235407879392076
60,677960,"Weathers, Ryan",7,4.0,14.185714285714283,15.4,1.214,8.553092869308053,mlb_lag,0,10.646684139359364,3.550589473597954,8.251811539417544,13.041556739301184,,,,1.0,10.65,11.285,-0.638,hold,98.0,48.0,68.9,0.6911,0.142,677960,12.06420762699832,13.593240740740738,12.093646947468054,9.39941176470588,4,11.787626769978248,11.103061191606917
61,656605,"Keller, Mitch",7,4.0,13.27142857142857,10.875,-2.396,10.792142211109988,mlb_lag,0,10.629320856123918,3.550589473597954,8.234448256182098,13.024193456065738,AZ,0.9477,0.9477,1.0394899422435482,11.05,11.285,-0.655,hold,89.2,140.0,61.3,0.6283,0.0538,656605,11.106426641816405,10.65574074074074,10.08952430613961,10.768965517241378,4,10.655164301484533,10.639658234268165
62,663567,"Lambert, Peter",3,3.0,11.799999999999995,11.799999999999995,0.0,8.97301977045646,mlb_lag,0,10.583507456805616,3.550589473597954,8.188634856863796,12.978380056747437,,,,1.0,10.58,11.285,-0.701,hold,93.9,31.0,69.6,0.3617,0.244,663567,2.022450390135825,67.86591760299622,1.9997370153327443,,3,23.962701669488265,15.935185141878677
63,669432,"Rogers, Trevor",6,3.0,7.833333333333331,-0.2333333333333342,-8.067,11.689101288601773,mlb_lag,0,10.554697234953638,3.550589473597954,8.159824635011818,12.949569834895458,,,,1.0,10.55,11.285,-0.73,hold,28.9,28.0,89.3,0.6183,0.3177,669432,11.360728215001881,10.578278867102396,11.744480803622388,10.412399999999998,4,11.023971971431665,10.742407129544848
64,605400,"Nola, Aaron",6,3.0,7.716666666666665,1.0333333333333314,-6.683,12.0445746895514,mlb_lag,0,10.524615596096307,3.550589473597954,8.129742996154489,12.91948819603813,,,,1.0,10.52,11.285,-0.76,hold,6.1,17.0,100.0,0.7421,0.4226,605400,12.612486915402126,12.489928525016241,11.80755178976649,12.582916666666668,4,12.373220974212883,11.264057747342939
65,701656,Logan Henderson,2,1.0,10.65,20.8,10.15,10.481287630723408,milb_translation,0,10.522883265650613,3.550589473597954,8.128010665708791,12.917755865592431,NYY,1.0964,1.0964,0.9416434903093208,9.91,11.285,-0.762,hold,,,,,,701656,13.037838967779143,14.060586419753085,14.341786924241331,10.26,4,12.925053077943389,11.483751190567723
