pitcher,fp_per_start_5-day,fp_per_start_6-day,fp_per_start_7+ day,fp_per_start_short(<=4),gs_5-day,gs_6-day,gs_7+ day,gs_short(<=4),annual_rate,total_gs,lift_short(<=4)_pct,lift_5-day_pct,lift_6-day_pct,lift_7+ day_pct,player_name,rank
594798,20.54444444444444,19.10408163265306,16.91578947368421,,54.0,49.0,19.0,,19.400819672131146,122,,5.9,-1.5,-12.8,"deGrom, Jacob",5.0
594835,10.428846153846154,11.39259259259259,6.7639999999999985,,52.0,54.0,25.0,,10.126717557251908,131,,3.0,12.5,-33.2,,
594902,9.47142857142857,8.104545454545454,8.587499999999999,,21.0,22.0,8.0,,8.74313725490196,51,,8.3,-7.3,-1.8,,
596001,9.64285714285714,9.294117647058822,11.56315789473684,,35.0,34.0,19.0,,9.92272727272727,88,,-2.8,-6.3,16.5,,
596057,7.022727272727272,10.239999999999998,8.179999999999998,,22.0,10.0,5.0,,8.048648648648648,37,,-12.7,27.2,1.6,,
596133,10.48148148148148,7.56774193548387,7.938461538461538,,27.0,31.0,13.0,,8.743661971830985,71,,19.9,-13.4,-9.2,,
596295,6.244444444444444,8.132653061224488,9.049999999999999,,45.0,49.0,20.0,,7.548245614035086,114,,-17.3,7.7,19.9,,
601713,11.342647058823529,11.884931506849314,10.96060606060606,,68.0,73.0,33.0,,11.497701149425286,174,,-1.3,3.4,-4.7,"Pivetta, Nick",22.0
605135,10.598571428571429,12.304878048780486,14.515999999999998,,70.0,82.0,25.0,,11.942372881355931,177,,-11.3,3.0,21.6,"Bassitt, Chris",151.0
605164,8.761764705882353,8.270454545454543,7.525925925925925,,34.0,44.0,27.0,,8.238095238095237,105,,6.4,0.4,-8.6,,
605182,14.52,11.645238095238094,13.962499999999999,,40.0,42.0,16.0,,13.196938775510203,98,,10.0,-11.8,5.8,,
605200,7.163636363636362,8.42127659574468,2.1499999999999995,,55.0,47.0,14.0,,7.068103448275861,116,,1.4,19.1,-69.6,,
605276,6.224999999999999,4.949999999999998,4.8888888888888875,,12.0,10.0,9.0,,5.425806451612902,31,,14.7,-8.8,-9.9,,
605280,4.859999999999999,11.729999999999999,6.024999999999999,,5.0,20.0,8.0,,9.306060606060605,33,,-47.8,26.0,-35.3,"Holmes, Clay",84.0
605288,8.692592592592591,9.284210526315789,6.125,,27.0,57.0,24.0,,8.434259259259258,108,,3.1,10.1,-27.4,"Houser, Adrian",163.0
605347,5.033333333333331,5.779999999999999,4.966666666666665,,18.0,20.0,9.0,,5.338297872340425,47,,-5.7,8.3,-7.0,,
605397,13.687037037037035,12.241509433962264,11.843749999999998,-5.800000000000001,54.0,53.0,32.0,1.0,12.579285714285712,140,-146.1,8.8,-2.7,-5.8,,
605400,14.503333333333332,15.011,10.712499999999999,,90.0,100.0,16.0,,14.455339805825242,206,,0.3,3.8,-25.9,"Nola, Aaron",64.0
605446,14.511111111111111,8.373333333333331,3.977777777777776,,9.0,15.0,9.0,,8.848484848484846,33,,64.0,-5.4,-55.0,,
605452,10.329411764705881,8.459999999999999,9.459999999999999,,17.0,10.0,10.0,,9.589189189189188,37,,7.7,-11.8,-1.3,,
605483,16.4719298245614,14.814473684210524,11.010714285714284,,57.0,76.0,28.0,,14.739751552795031,161,,11.8,0.5,-25.3,,
