batter,xw_L225,n_L225,pa26_in_L225,pa25_in_L225,L225_from,L225_to,xw_2026,pa_2026,xw_2025,days_since_last_pa,k,name,pos,tm,own,inj,full_225
680664,0.4030512325581395,43,43,0,2026-07-09,2026-08-09,0.4030512325581395,43,,0,eduardo valencia,Eduardo Valencia,1B,Det,4.58,ACTIVE,False
695506,0.37723876,225,225,0,2026-06-02,2026-08-09,0.3597084882629108,426,0.3214546417370683,0,jac caglianone,Jac Caglianone,RF,KC,42.63,ACTIVE,True
804668,0.3715498413461538,48,31,17,2025-09-17,2026-08-09,0.37706138709677417,31,0.36149937556561085,0,rafael flores jr,Rafael Flores Jr.,1B,Pit,0.06,ACTIVE,False
680777,0.36835684888888887,225,225,0,2026-03-28,2026-08-09,0.3654490913043478,230,0.3248983338236418,0,ryan jeffers,Ryan Jeffers,C,Min,40.69,ACTIVE,True
686527,0.3679919111111111,225,225,0,2026-05-20,2026-08-09,0.36331052631578953,342,0.3761265937970871,0,dominic canzone,Dominic Canzone,RF,Sea,12.06,ACTIVE,True
519317,0.3650651389598431,225,96,129,2025-08-11,2026-04-24,0.32618462499999995,96,0.35567934066560425,107,giancarlo stanton,Giancarlo Stanton,DH,NYY,16.56,TEN_DAY_DL,True
669003,0.3639528666666667,225,225,0,2026-05-29,2026-08-09,0.3511960637755102,392,0.2878820343980343,0,garrett mitchell,Garrett Mitchell,CF,Mil,5.37,ACTIVE,True
676369,0.36310637349397584,83,83,0,2026-05-29,2026-08-04,0.36310637349397584,83,,5,nelson velazquez,Nelson Velazquez,RF,Hou,0.11,ACTIVE,False
621043,0.36228150650307167,225,140,85,2025-09-05,2026-05-04,0.3652551285714286,140,0.3382442928764657,97,carlos correa,Carlos Correa,SS,Hou,7.78,SIXTY_DAY_DL,True
677942,0.36216039999999994,225,225,0,2026-04-04,2026-07-12,0.36307120833333334,240,0.30454865216289023,28,blaze alexander,Blaze Alexander,3B,Bal,3.55,TEN_DAY_DL,True
592626,0.36168395555555555,225,225,0,2026-05-17,2026-08-08,0.35298099433427765,353,0.3161607744259348,1,joc pederson,Joc Pederson,DH,Tex,3.8,ACTIVE,True
681082,0.36125661777777773,225,225,0,2026-06-06,2026-08-09,0.3350774839449541,436,0.3127035975762115,0,bryson stott,Bryson Stott,2B,Phi,47.31,ACTIVE,True
663886,0.35785480000000003,225,225,0,2026-05-02,2026-08-09,0.35085598089171977,314,0.3131907456364316,0,tyler stephenson,Tyler Stephenson,C,Cin,4.59,ACTIVE,True
