mlbam_id,player_name,team,proj_ros_pa_per_teamgame,naive_pace,volume_percentile,pa_to,team_games_to,pa_per_teamgame_to,started_pct_to,lineup_spot_to,pa_per_started_game_to,pa_last21,prior1_pa_per_g,is_catcher,is_on_il_at_split,career_stage,split_day
672356,Gabriel Arias,CLE,1.8697,1.0396,45.6,105,101.0,1.0396,0.9062,6.8966,3.5172,42.0,2.9074,0,0.0,4,117
691788,Joe Mack,MIA,1.855,1.802,45.4,182,101.0,1.802,0.8909,8.2245,3.551,41.0,0.0,1,0.0,0,117
682657,Angel Martínez,CLE,1.8407,2.4059,45.2,243,101.0,2.4059,0.9032,4.6964,4.1607,0.0,2.9877,0,1.0,2,117
621043,Carlos Correa,HOU,1.8352,1.3824,45.0,141,102.0,1.3824,1.0,2.7812,4.4062,0.0,3.6049,0,1.0,11,117
672275,Patrick Bailey,CLE,1.832,2.0495,44.8,207,101.0,2.0495,0.9375,8.2833,3.35,38.0,2.7901,1,0.0,3,117
680869,Zack Gelof,ATH,1.8235,2.47,44.6,247,100.0,2.47,0.9524,6.2833,4.0667,19.0,0.6235,0,1.0,3,117
641857,Ryan McMahon,NYY,1.8214,2.36,44.4,236,100.0,2.36,0.7895,7.7,3.55,34.0,3.6173,0,0.0,9,117
596115,Trevor Story,BOS,1.8194,1.7778,44.2,176,99.0,1.7778,1.0,4.3171,4.2927,0.0,4.037,0,1.0,10,117
680779,Henry Davis,PIT,1.7997,1.9703,44.1,199,101.0,1.9703,0.9649,8.9273,3.5818,38.0,1.7469,1,0.0,3,117
805347,Jim Jarvis,ATL,1.7649,0.4848,43.9,48,99.0,0.4848,0.9286,8.6923,3.6154,43.0,0.0,0,0.0,0,117
681297,Colton Cowser,BAL,1.7621,2.4059,43.7,243,101.0,2.4059,0.7229,6.85,3.5,34.0,2.2222,0,0.0,3,117
650859,Luis Rengifo,MIL,1.7617,2.19,43.5,219,100.0,2.19,0.8136,5.9167,4.1667,10.0,3.3395,0,0.0,7,117
655316,Andruw Monasterio,BOS,1.7606,1.7879,43.3,177,99.0,1.7879,0.6667,6.3158,3.8684,42.0,0.8333,0,0.0,3,117
685133,Wade Meckler,LAA,1.7559,1.4158,43.1,143,101.0,1.4158,0.8372,4.9444,3.75,28.0,0.0,0,0.0,3,117
642086,Dominic Smith,ATL,1.7545,2.4444,42.9,242,99.0,2.4444,0.6951,6.2807,3.7895,44.0,1.3889,0,0.0,9,117
573262,Mike Yastrzemski,ATL,1.7394,2.6465,42.7,262,99.0,2.6465,0.7381,7.1452,3.629,37.0,3.4444,0,1.0,7,117
