batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag,season_stage
Logan O'Hoppe,681351,532,Tier A,C,C,C,116.1,107.6,92.8,116.9,0.519,0.329,0.334,0.078,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Triston Casas,671213,252,Tier B,1B,1B,1B,112.8,91.5,93.1,116.9,0.442,0.22,0.329,0.079,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Gunnar Henderson,683002,729,Tier A,SS,SS,SS,118.0,95.6,102.6,116.6,0.444,0.239,0.373,0.077,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Riley Greene,682985,637,Tier A,OF,OF|DH,"OF, DH",114.9,98.7,95.3,116.4,0.442,0.257,0.357,0.076,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Byron Buxton,621439,394,Tier B,OF,OF,OF,118.9,113.4,97.6,116.3,0.541,0.29,0.355,0.075,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Bryce Harper,547180,647,Tier A,1B,1B,1B,117.7,115.9,94.3,116.0,0.526,0.311,0.365,0.074,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Brandon Lowe,664040,435,Tier A,2B,1B|2B|DH,"1B, 2B, DH",117.0,119.1,92.4,115.6,0.552,0.301,0.345,0.072,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Ketel Marte,606466,596,Tier A,2B,2B|DH,"2B, DH",120.8,105.3,107.0,115.4,0.483,0.265,0.396,0.07,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Jhonkensy Noel,678877,222,Tier C,OF,OF,OF,110.8,84.1,95.6,115.4,0.542,0.43,0.319,0.071,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Sam Hilliard,656541,164,Tier C,OF,OF,OF,107.6,93.5,84.8,115.3,0.469,0.242,0.299,0.07,Power+ elite (top 10%); xwOBA above model expectation,mature
Willson Contreras,575929,364,Tier B,1B,C|DH,"C, DH",114.5,113.6,90.7,115.1,0.499,0.3,0.368,0.069,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Colton Cowser,681297,579,Tier A,OF,OF,OF,110.5,92.5,92.2,114.9,0.448,0.241,0.331,0.068,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Elly De La Cruz,682829,695,Tier A,SS,SS,SS,111.1,82.0,98.7,114.7,0.434,0.302,0.331,0.067,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Jake Burger,669394,593,Tier A,1B,1B|3B|DH,"1B, 3B, DH",116.8,95.8,104.6,114.6,0.526,0.38,0.339,0.067,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
