batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag
Aaron Judge,592450,482,Tier A,151.0,105.4,90.3,151.3,0.416,0.23,0.643,0.253,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Shohei Ohtani,660271,587,Tier A,140.3,98.4,98.9,138.7,0.482,0.28,0.545,0.189,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Yordan Álvarez,670541,539,Tier A,137.7,85.6,112.2,132.8,0.442,0.263,0.517,0.159,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
J. D. Martinez,502110,503,Tier A,128.0,114.8,88.6,128.6,0.535,0.324,0.514,0.138,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Mike Trout,545361,370,Tier B,126.0,115.5,86.9,127.3,0.444,0.212,0.51,0.131,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Bryce Harper,547180,592,Tier A,129.2,109.8,97.6,126.6,0.506,0.307,0.483,0.128,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Nolan Jones,666134,437,Tier A,119.5,83.0,91.4,125.7,0.418,0.255,0.478,0.123,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Riley Greene,682985,433,Tier A,124.1,100.2,94.3,125.3,0.468,0.274,0.481,0.121,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Ronald Acuña,660670,749,Tier A,136.2,118.0,111.9,125.0,0.463,0.231,0.49,0.12,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Matt Wallner,670242,270,Tier B,118.4,115.0,79.5,123.6,0.469,0.264,0.49,0.112,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Nolan Gorman,669357,482,Tier A,118.6,109.6,84.0,122.9,0.489,0.295,0.48,0.109,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Adolis García,666969,706,Tier A,122.6,107.9,93.2,122.8,0.49,0.349,0.475,0.108,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Corey Seager,608369,615,Tier A,133.9,125.2,108.9,122.8,0.546,0.289,0.48,0.108,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
