name,team,inj,pl_rank,pl_inj_tier,pl_stream,rp3_rank,rp3_ps,tag,gs_pre,gs_post,pre_fp,post_fp,l8,z_kbb,z_fp,mech,persist,verdict,price,own
David Peterson,ChC,ACTIVE,91.0,,#20 Questionable,151.0,9.65,data_driven_full,11.0,6.0,2.59,14.23,9.88,1.37,2.65,CU-5pp,False,MIRAGE,9.65,9.7
Grant Holmes,Atl,ACTIVE,,,#22 Do Not Start,133.0,9.86,data_driven_full,17.0,7.0,9.41,9.41,10.3,0.66,0.0,"FF-14pp,FC+7pp,K%-4.5",True,DECLINE,9.64,19.8
Blade Tidwell,SF,ACTIVE,,,#24 Do Not Start,152.0,9.63,data_driven_thin,0.0,4.0,,10.3,10.3,,,,,INSUFFICIENT,9.63,1.6
Clarke Schmidt,NYY,SIXTY_DAY_DL,,51-60,,153.0,9.63,marcel_il,0.0,0.0,,,,,,,,INSUFFICIENT,9.63,0.5
Robbie Ray,SD,ACTIVE,47.0,,,154.0,9.63,data_driven_full,18.0,7.0,11.23,10.99,10.67,0.25,0.07,"KC+6pp,SL-9pp,SI+8pp,FF-13pp,CH+8pp",True,VARIANCE,9.63,69.8
Kutter Crawford,Bos,SIXTY_DAY_DL,,81-90,,156.0,9.62,marcel_il,0.0,0.0,,,,,,,,INSUFFICIENT,9.62,0.1
Zach Eflin,Bal,SIXTY_DAY_DL,,61-70,,161.0,9.56,marcel_il,1.0,0.0,11.1,,11.1,,,,,INSUFFICIENT,9.56,0.3
Dean Kremer,Min,ACTIVE,94.0,,#16 Questionable,97.0,10.53,data_driven_full,4.0,7.0,13.65,8.57,8.19,1.48,0.98,"whiff-4.6,FS-12pp,FC+12pp,K%-5.6",True,DECLINE,9.55,4.8
Michael Soroka,Ari,FIFTEEN_DAY_DL,,61-70,,165.0,9.48,data_driven_full,15.0,3.0,13.31,5.67,11.39,1.48,,—,,VARIANCE,9.48,38.3
Quinn Priester,Mil,SIXTY_DAY_DL,,61-70,,167.0,9.46,marcel_il,0.0,0.0,,,,,,,,INSUFFICIENT,9.46,0.9
Landen Roupp,SF,ACTIVE,79.0,,#8 Questionable,132.0,9.89,data_driven_full,18.0,8.0,11.23,8.98,8.98,2.43,0.56,"whiff-4.8,SI-7pp,K%-9.1",True,DECLINE,9.43,22.0
George Klassen,LAA,ACTIVE,64.0,,,169.0,9.42,data_driven_thin,2.0,4.0,-3.8,13.43,7.68,,,,,INSUFFICIENT,9.42,5.5
Zebby Matthews,Min,ACTIVE,89.0,,,170.0,9.4,data_driven_full,11.0,7.0,11.19,7.86,7.35,0.11,0.63,—,True,VARIANCE,9.4,7.4
Anthony Kay,ChW,ACTIVE,87.0,,,173.0,9.37,data_driven_full,17.0,8.0,7.86,10.22,10.22,0.68,0.78,swstr+2.6,True,WATCH,9.37,6.6
Chase Dollander,Col,SIXTY_DAY_DL,,71-80,,175.0,9.33,data_driven_thin,3.0,0.0,8.7,,8.7,,,,,INSUFFICIENT,9.33,2.4
Andrew Painter,Phi,ACTIVE,43.0,,#7 Probably Start,177.0,9.33,data_driven_full,12.0,5.0,3.04,12.64,5.9,0.97,1.78,"whiff+5.5,swstr+2.7,ST+14pp,SL-7pp,SI-6pp,FS-14pp,CH+22pp,CU-7pp,K%+6.9",True,WATCH,9.33,15.0
