batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,rolling_trend,tag
Josh Naylor,647304,493,Tier A,115.5,106.1,116.8,105.8,0.565,0.354,0.381,0.06337,cold,Process+ elite; contact quality; surface stats not yet elite
Wander Franco,677551,498,Tier A,114.9,94.5,116.6,107.6,0.455,0.289,0.395,0.05115,cold,Process+ strong; contact quality; surface stats not yet elite
Luis Campusano,669134,174,Tier C,114.6,109.1,112.6,106.2,0.552,0.376,0.38,0.09104,hot,Process+ strong; strong discipline; contact quality; trending up; surface stats not yet elite
Luis Arráez,650333,632,Tier A,112.7,98.8,124.9,100.9,0.508,0.252,0.359,0.06497,improving,Process+ strong; contact quality; surface stats not yet elite
Gleyber Torres,650402,689,Tier A,112.2,114.7,106.4,105.7,0.468,0.259,0.387,0.05775,cold,Process+ strong; strong discipline; surface stats not yet elite
Alec Bohm,664761,692,Tier A,110.6,100.0,112.6,104.3,0.498,0.295,0.375,0.05045,cold,Process+ strong; contact quality; surface stats not yet elite
José Ramírez,608070,677,Tier A,110.4,98.3,118.9,101.6,0.467,0.269,0.377,0.05228,cold,Process+ strong; contact quality; surface stats not yet elite
