mlb_id,player_name_fg,team,g,pa,avg,obp,slg,woba,wrc_plus,iso,babip,xwoba_fg,xavg,xslg,k_pct,bb_pct,swstr_pct,o_swing_pct,z_contact_pct,contact_pct_fg,barrel_pct,hard_hit_pct,avg_ev,max_ev,avg_bat_speed,blast_swing_pct,blast_contact_pct,squared_up_swing_pct
656555,Rhys Hoskins,CLE,26.0,94.0,0.213333333,0.361702127,0.373333333,0.33859218308266176,112.85179788160666,0.16,0.304347826,0.311781903530689,0.18738666534423828,0.3174000040690104,0.29787234,0.180851063,0.11611374,0.25291829,0.72897196,0.71511628,0.10416667,0.47916667,90.53125,112.3,72.59799479166666,0.1,0.14018692,0.20666667
694376,Shay Whitcomb,HOU,10.0,14.0,0.076923076,0.142857142,0.307692307,0.19898454206330435,18.572122419433217,0.230769231,0.0,0.18103243623461043,0.07453846472960252,0.2685384750366211,0.571428571,0.071428571,0.22641509,0.42424242,0.92857143,0.57142857,0.2,0.2,90.87999877929687,106.0,71.54637654622395,0.04166667,0.07142857,0.125
681481,Kerry Carpenter,DET,32.0,109.0,0.212765957,0.302752293,0.468085106,0.3353621123033926,109.25983678461361,0.255319149,0.264150943,0.30439401555944373,0.19863440400810653,0.40332256850375925,0.339449541,0.100917431,0.15227273,0.34892086,0.77884615,0.66666667,0.11864407,0.50847458,91.95000168372844,110.3,72.20314706920904,0.08474576,0.12295082,0.2259887
666971,Lourdes Gurriel Jr.,ARI,11.0,46.0,0.232558139,0.282608695,0.279069767,0.2587693294753199,58.11342028269173,0.046511628,0.285714285,0.28135569199271826,0.2507209334262582,0.32916279726250225,0.173913043,0.065217391,0.1375,0.44897959,0.92105263,0.73170732,0.05714286,0.28571429,85.92857142857143,105.3,69.81818327356558,0.06557377,0.08333333,0.26229508
666176,Jo Adell,LAA,35.0,151.0,0.267605633,0.304635761,0.366197183,0.30160749037534196,85.69043725801538,0.09859155,0.317757009,0.31127291361490883,0.26744680201753657,0.4074539022242769,0.211920529,0.026490066,0.13171577,0.39880952,0.87113402,0.76829268,0.05405405,0.45045045,90.23908913352273,113.2,76.99487051254326,0.10034602,0.12831858,0.19723183
623168,Tyler Heineman,TOR,21.0,57.0,0.176470588,0.222222222,0.176470588,0.19093303327207212,13.197785929917163,0.0,0.243243243,0.21484932809505822,0.1954199981689453,0.2254199981689453,0.245614035,0.017543859,0.1377551,0.46363636,0.86666667,0.75675676,0.0,0.125,81.87778049045139,103.0,65.19442424368351,0.0212766,0.02777778,0.20212766
602104,Ramon Urias,STL,25.0,68.0,0.157894736,0.279411764,0.315789473,0.2766095855656792,73.36280071515105,0.157894737,0.159090909,0.3072036013883703,0.18564911892539576,0.37440350181178045,0.176470588,0.088235294,0.10548523,0.26717557,0.83544304,0.78070175,0.10869565,0.36956522,89.46521526834239,106.8,70.18632238051471,0.08823529,0.1125,0.28431373
683766,Christian Koss,SFG,7.0,12.0,0.083333333,0.083333333,0.166666666,0.10659910241762798,-41.617286914733505,0.083333333,0.09090909,0.10774999856948853,0.1149999996026357,0.1359999974568685,0.083333333,0.0,0.13793103,0.27272727,0.93333333,0.77777778,0.0,0.18181818,87.80000443892045,100.1,70.21818542480469,0.0625,0.07142857,0.375
688363,Graham Pauley,MIA,26.0,75.0,0.185714285,0.229729729,0.314285714,0.24325283636917938,47.23714301385076,0.128571429,0.24,0.19192994607461467,0.1490142822265625,0.22901428767613002,0.253333333,0.053333333,0.09324759,0.26519337,0.87058824,0.78195489,0.03846154,0.19230769,83.70000382965686,105.1,71.91134617909664,0.06722689,0.08421053,0.21848739
663886,Tyler Stephenson,CIN,27.0,93.0,0.1875,0.29032258,0.3125,0.2784113095652673,67.49836681489421,0.125,0.245283018,0.34271138647328253,0.22491138796263102,0.452202519284019,0.279569892,0.129032258,0.10875332,0.21890547,0.85950413,0.75151515,0.14545455,0.54545455,93.49814633969908,107.0,71.15235694679055,0.14189189,0.18584071,0.27702703
553993,Eugenio Suarez,CIN,25.0,100.0,0.23076923,0.3,0.362637362,0.29982329964637755,82.01070328023032,0.131868132,0.310344827,0.27300089413357764,0.201340913772583,0.3333295475352894,0.3,0.09,0.14141414,0.2907489,0.78571429,0.68539326,0.08196721,0.19672131,84.76896720096983,109.6,70.93886843152866,0.06369427,0.09345794,0.18471338
664238,Dylan Moore,PHI,15.0,15.0,0.0,0.2,0.0,0.14160877466201782,-21.925497048356718,0.0,0.0,0.23489079475402833,0.09608333309491475,0.17766666412353516,0.4,0.2,0.12345679,0.28846154,0.77777778,0.6969697,0.0,0.33333333,91.2999979654948,101.3,73.23655598958334,0.03333333,0.04545455,0.1
680718,Addison Barger,TOR,8.0,23.0,0.052631578,0.173913043,0.105263157,0.14797047169312186,-15.629561061271518,0.052631579,0.071428571,0.23127661580624786,0.12442105694821007,0.1837894791050961,0.260869565,0.130434782,0.10638298,0.41935484,0.89473684,0.77777778,0.0,0.5,90.69285365513393,108.1,73.6556884765625,0.1,0.125,0.2
687401,Joey Ortiz,MIL,28.0,83.0,0.180555555,0.259259259,0.180555555,0.2147935739269963,30.061184045037052,0.0,0.232142857,0.2726250872199918,0.2088194423251682,0.26980553732977974,0.204819277,0.096385542,0.06501548,0.35078534,0.97183099,0.84782609,0.05172414,0.32758621,86.06181640625,107.2,71.35719589359505,0.08264463,0.09803922,0.25619835
668904,Royce Lewis,MIN,22.0,84.0,0.175675675,0.273809523,0.324324324,0.27528925027166096,68.44829806039665,0.148648649,0.217391304,0.2940817333403088,0.21168918867368955,0.3459594571912611,0.297619047,0.107142857,0.15269461,0.33170732,0.82758621,0.67096774,0.12244898,0.42857143,88.57551419005102,111.6,73.20688371178058,0.11510791,0.17021277,0.20143885
692216,C.J. Kayfus,CLE,9.0,25.0,0.181818181,0.28,0.363636363,0.2927064776420593,82.06305754448914,0.181818182,0.23076923,0.30550752639770506,0.1693181883205067,0.42709090492942114,0.32,0.08,0.19444444,0.38235294,0.8125,0.63793103,0.21428571,0.5,92.77857317243304,104.5,70.433212890625,0.08,0.125,0.16
