batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rank_gap,rolling_trend,xwoba_vs_expected,tag
Luis García,671277,487,Tier A,106.3,106.4,119.9,95.6,0.507,0.356,0.33,0.439,cold,-0.03,Process+ above avg; large rank divergence (process >> results)
Luis Arráez,650333,632,Tier A,112.7,98.8,124.9,100.9,0.508,0.252,0.359,0.43,improving,-0.003,Process+ strong; large rank divergence (process >> results)
Mauricio Dubón,643289,524,Tier A,106.5,113.5,110.8,98.5,0.586,0.37,0.339,0.38,warm,-0.015,Process+ above avg; large rank divergence (process >> results); disciplined
Alec Burleson,676475,373,Tier B,109.1,100.6,117.3,100.5,0.529,0.331,0.357,0.369,cold,-0.005,Process+ strong; large rank divergence (process >> results)
Keibert Ruiz,660688,565,Tier A,104.7,84.5,128.8,94.5,0.508,0.325,0.333,0.353,cold,-0.036,Process+ above avg; large rank divergence (process >> results)
Will Brennan,686823,464,Tier A,103.9,99.1,114.7,97.2,0.568,0.405,0.333,0.311,warm,-0.022,Process+ above avg; large rank divergence (process >> results)
Josh Naylor,647304,493,Tier A,115.5,106.1,116.8,105.8,0.565,0.354,0.381,0.302,cold,0.022,Process+ elite; large rank divergence (process >> results)
José Altuve,514888,458,Tier A,109.2,88.9,118.8,102.4,0.457,0.305,0.366,0.301,cold,0.005,Process+ strong; large rank divergence (process >> results)
Luis Campusano,669134,174,Tier C,114.6,109.1,112.6,106.2,0.552,0.376,0.38,0.296,hot,0.024,Process+ strong; process ahead of results; disciplined; rolling hot
Vinnie Pasquantino,686469,263,Tier B,107.9,85.5,117.2,102.5,0.469,0.29,0.36,0.294,cold,0.005,Process+ above avg; process ahead of results
Alec Bohm,664761,692,Tier A,110.6,100.0,112.6,104.3,0.498,0.295,0.375,0.286,cold,0.014,Process+ strong; process ahead of results
Eloy Jiménez,650391,487,Tier A,108.2,97.7,115.1,101.4,0.519,0.349,0.364,0.27,warm,-0.001,Process+ strong; process ahead of results
Gio Urshela,570482,237,Tier C,100.8,110.1,107.3,95.4,0.546,0.361,0.325,0.267,warm,-0.031,Process+ above avg; process ahead of results; disciplined
Pablo Reyes,622569,188,Tier C,100.1,98.2,121.2,90.8,0.421,0.237,0.318,0.261,cold,-0.054,Process+ above avg; process ahead of results
Alex Bregman,608324,775,Tier A,105.7,99.4,122.5,95.2,0.386,0.186,0.35,0.259,cold,-0.032,Process+ above avg; process ahead of results
Kevin Newman,621028,260,Tier B,100.6,96.0,119.2,92.6,0.465,0.28,0.325,0.258,cold,-0.045,Process+ above avg; process ahead of results
