pitcher,year,age,age_residual_28,career_year
112526,2015,42,14,1
112526,2016,43,15,2
112526,2017,44,16,3
112526,2018,45,17,4
115629,2015,43,15,1
136600,2015,38,10,1
150116,2015,39,11,1
150274,2015,41,13,1
150274,2016,42,14,2
150302,2015,37,9,1
150359,2015,38,10,1
217096,2015,37,9,1
218596,2015,40,12,1
234194,2015,38,10,1
276351,2015,39,11,1
276351,2016,40,12,2
276351,2017,41,13,3
276514,2015,37,9,1
276520,2017,40,12,1
276542,2015,38,10,1
276542,2016,39,11,2
276542,2017,40,12,3
279571,2015,35,7,1
279571,2016,36,8,2
279571,2017,37,9,3
279571,2018,38,10,4
279824,2015,36,8,1
282332,2015,35,7,1
282332,2016,36,8,2
282332,2017,37,9,3
282332,2018,38,10,4
282332,2019,39,11,5
285064,2015,38,10,1
285064,2016,39,11,2
285079,2015,41,13,1
285079,2016,42,14,2
285079,2017,43,15,3
329092,2015,40,12,1
346793,2015,36,8,1
346797,2015,38,10,1
346798,2015,37,9,1
346798,2016,38,10,2
346847,2015,38,10,1
400085,2015,42,14,1
400089,2015,36,8,1
405395,2022,42,14,1
407793,2015,37,9,1
407793,2016,38,10,2
407793,2017,39,11,3
407819,2015,39,11,1
407819,2016,40,12,2
407822,2015,34,6,1
407822,2016,35,7,2
407822,2017,36,8,3
407822,2018,37,9,4
407845,2015,38,10,1
407845,2016,39,11,2
407845,2017,40,12,3
407845,2018,41,13,4
407845,2019,42,14,5
407890,2015,36,8,1
407890,2016,37,9,2
407908,2015,39,11,1
407908,2016,40,12,2
408061,2015,33,5,1
408061,2016,34,6,2
408061,2017,35,7,3
408241,2015,34,6,1
408241,2016,35,7,2
408314,2018,35,7,1
421685,2015,37,9,1
424144,2015,34,6,1
424144,2016,35,7,2
424144,2017,36,8,3
424144,2018,37,9,4
424144,2019,38,10,5
424144,2021,40,12,6
424144,2022,41,13,7
424325,2015,38,10,1
425386,2015,36,8,1
425386,2017,38,10,2
425426,2016,36,8,1
425492,2015,35,7,1
425492,2016,36,8,2
425492,2017,37,9,3
425492,2018,38,10,4
425532,2015,34,6,1
425532,2016,35,7,2
425543,2015,34,6,1
425560,2015,36,8,1
425626,2015,37,9,1
425626,2016,38,10,2
425657,2015,38,10,1
425657,2016,39,11,2
425772,2018,35,7,1
425772,2019,36,8,2
425786,2015,39,11,1
425794,2015,34,6,1
425794,2016,35,7,2
425794,2017,36,8,3
425794,2018,37,9,4
425794,2019,38,10,5
425794,2021,40,12,6
425794,2022,41,13,7
425794,2023,42,14,8
425796,2015,31,3,1
425835,2015,34,6,1
425835,2016,35,7,2
425840,2015,35,7,1
425844,2015,32,4,1
425844,2016,33,5,2
425844,2017,34,6,3
425844,2018,35,7,4
425844,2019,36,8,5
425844,2021,38,10,6
425844,2022,39,11,7
425844,2023,40,12,8
425856,2015,32,4,1
425856,2016,33,5,2
425877,2022,40,12,1
429400,2015,31,3,1
429400,2016,32,4,2
429717,2015,35,7,1
429719,2015,32,4,1
429719,2016,33,5,2
429719,2017,34,6,3
429719,2018,35,7,4
429719,2019,36,8,5
429722,2015,33,5,1
429722,2016,34,6,2
429722,2017,35,7,3
429722,2018,36,8,4
429722,2019,37,9,5
429722,2021,39,11,6
429780,2015,34,6,1
429780,2016,35,7,2
429781,2015,35,7,1
429783,2015,40,12,1
430404,2015,35,7,1
430580,2015,34,6,1
430580,2016,35,7,2
430589,2015,37,9,1
430589,2016,38,10,2
430589,2017,39,11,3
430599,2015,35,7,1
430599,2016,36,8,2
430599,2017,37,9,3
430605,2015,34,6,1
430613,2015,33,5,1
430630,2015,38,10,1
430634,2016,34,6,1
430641,2015,34,6,1
430641,2016,35,7,2
430641,2017,36,8,3
430641,2018,37,9,4
430661,2015,33,5,1
430661,2016,34,6,2
430661,2017,35,7,3
430911,2015,34,6,1
430912,2015,31,3,1
