pitcher,year,age,age_residual_28,career_year
430912,2016,32,4,2
430912,2017,33,5,3
430935,2015,32,4,1
430935,2016,33,5,2
430935,2017,34,6,3
430935,2018,35,7,4
430935,2019,36,8,5
430947,2017,33,5,1
431145,2019,36,8,1
431148,2015,31,3,1
431148,2016,32,4,2
431148,2021,37,9,3
431162,2015,33,5,1
432934,2015,36,8,1
432934,2016,37,9,2
432934,2017,38,10,3
433217,2017,33,5,1
433579,2015,30,2,1
433579,2016,31,3,2
433584,2015,35,7,1
433584,2016,36,8,2
433585,2015,34,6,1
433586,2015,35,7,1
433586,2016,36,8,2
433586,2017,37,9,3
433586,2018,38,10,4
433587,2015,29,1,1
433587,2016,30,2,2
433587,2017,31,3,3
433587,2018,32,4,4
433587,2019,33,5,5
433589,2015,31,3,1
433589,2016,32,4,2
433589,2017,33,5,3
433589,2018,34,6,4
433589,2019,35,7,5
433589,2021,37,9,6
434137,2015,33,5,1
434137,2016,34,6,2
434378,2015,32,4,1
434378,2016,33,5,2
434378,2017,34,6,3
434378,2018,35,7,4
434378,2019,36,8,5
434378,2022,39,11,6
434378,2023,40,12,7
434378,2024,41,13,8
434378,2025,42,14,9
434378,2026,43,15,10
434442,2015,32,4,1
434442,2016,33,5,2
434442,2017,34,6,3
434538,2015,32,4,1
434538,2016,33,5,2
434538,2017,34,6,3
434538,2018,35,7,4
434538,2019,36,8,5
434540,2015,34,6,1
434563,2017,38,10,1
434622,2015,31,3,1
434622,2016,32,4,2
434622,2017,33,5,3
434628,2015,33,5,1
434628,2016,34,6,2
434628,2017,35,7,3
434628,2018,36,8,4
434643,2015,36,8,1
434665,2015,33,5,1
434671,2015,31,3,1
434671,2016,32,4,2
434671,2017,33,5,3
434671,2018,34,6,4
434671,2019,35,7,5
434671,2022,38,10,6
434672,2016,35,7,1
434672,2017,36,8,2
434678,2015,32,4,1
434718,2015,32,4,1
434718,2016,33,5,2
434718,2017,34,6,3
434778,2018,35,7,1
434778,2019,36,8,2
435043,2015,32,4,1
435043,2016,33,5,2
435043,2017,34,6,3
435043,2018,35,7,4
435043,2019,36,8,5
435044,2015,34,6,1
435045,2015,32,4,1
435079,2019,37,9,1
435221,2015,32,4,1
435221,2016,33,5,2
435221,2017,34,6,3
435221,2018,35,7,4
435400,2015,33,5,1
435400,2016,34,6,2
435400,2017,35,7,3
435622,2019,34,6,1
444436,2015,29,1,1
444436,2016,30,2,2
444446,2015,29,1,1
444468,2015,27,1,1
444468,2016,28,0,2
444468,2017,29,1,3
444468,2018,30,2,4
444468,2019,31,3,5
444482,2021,34,6,1
444520,2015,35,7,1
444520,2016,36,8,2
444520,2017,37,9,3
444836,2015,30,2,1
444857,2015,32,4,1
444857,2016,33,5,2
444857,2017,34,6,3
444876,2022,36,8,1
444935,2015,29,1,1
445055,2017,32,4,1
445060,2015,33,5,1
445060,2016,34,6,2
445060,2017,35,7,3
445163,2015,34,6,1
445170,2015,30,2,1
445197,2015,30,2,1
445197,2016,31,3,2
445197,2017,32,4,3
445197,2018,33,5,4
445197,2019,34,6,5
445213,2015,31,3,1
445213,2016,32,4,2
445213,2017,33,5,3
445213,2018,34,6,4
445213,2019,35,7,5
445213,2021,37,9,6
445276,2015,28,0,1
445276,2016,29,1,2
445276,2017,30,2,3
445276,2018,31,3,4
445276,2019,32,4,5
445276,2021,34,6,6
445276,2022,35,7,7
445276,2023,36,8,8
445276,2024,37,9,9
445276,2025,38,10,10
445276,2026,39,11,11
445590,2015,36,8,1
445612,2015,35,7,1
445926,2015,32,4,1
445926,2016,33,5,2
445926,2017,34,6,3
445926,2018,35,7,4
445926,2019,36,8,5
445926,2021,38,10,6
445926,2022,39,11,7
445926,2023,40,12,8
445926,2024,41,13,9
445926,2025,42,14,10
445968,2015,32,4,1
445968,2016,33,5,2
446099,2015,32,4,1
446099,2016,33,5,2
446099,2017,34,6,3
446099,2018,35,7,4
446099,2021,38,10,5
446185,2016,31,3,1
446321,2015,29,1,1
446321,2016,30,2,2
446321,2018,32,4,3
446321,2019,33,5,4
446321,2021,35,7,5
446321,2022,36,8,6
446372,2015,29,1,1
446372,2016,30,2,2
446372,2017,31,3,3
446372,2018,32,4,4
446372,2019,33,5,5
446372,2021,35,7,6
446372,2022,36,8,7
446372,2023,37,9,8
446381,2016,31,3,1
446386,2018,32,4,1
446399,2015,29,1,1
446399,2016,30,2,2
446399,2017,31,3,3
446399,2018,32,4,4
446481,2019,34,6,1
446899,2015,36,8,1
446899,2016,37,9,2
446899,2017,38,10,3
446899,2018,39,11,4
447714,2015,30,2,1
447714,2016,31,3,2
447714,2017,32,4,3
447755,2015,32,4,1
447755,2016,33,5,2
448159,2015,33,5,1
448167,2018,34,6,1
448178,2015,31,3,1
448178,2016,32,4,2
448178,2018,34,6,3
448179,2015,35,7,1
448179,2016,36,8,2
448179,2017,37,9,3
448179,2018,38,10,4
448179,2019,39,11,5
448179,2021,41,13,6
448179,2022,42,14,7
448179,2023,43,15,8
448179,2024,44,16,9
448179,2025,45,17,10
448281,2015,29,1,1
448281,2016,30,2,2
448281,2017,31,3,3
448281,2018,32,4,4
448281,2019,33,5,5
448281,2021,35,7,6
448281,2022,36,8,7
448306,2015,34,6,1
448306,2016,35,7,2
448306,2017,36,8,3
448306,2018,37,9,4
448602,2018,35,7,1
448602,2019,36,8,2
448609,2015,32,4,1
448609,2016,33,5,2
448609,2017,34,6,3
448609,2018,35,7,4
448609,2019,36,8,5
448614,2015,33,5,1
448614,2016,34,6,2
448614,2017,35,7,3
448614,2018,36,8,4
448614,2019,37,9,5
448801,2019,33,5,1
448802,2015,29,1,1
448802,2016,30,2,2
448802,2017,31,3,3
448802,2018,32,4,4
448855,2015,30,2,1
448855,2016,31,3,2
448855,2017,32,4,3
448855,2018,33,5,4
448855,2019,34,6,5
448855,2021,36,8,6
449079,2015,30,2,1
449097,2015,35,7,1
449097,2016,36,8,2
449104,2016,34,6,1
449170,2015,29,1,1
449173,2016,31,3,1
449173,2017,32,4,2
450172,2015,32,4,1
450172,2016,33,5,2
450172,2017,34,6,3
450172,2019,36,8,4
450203,2015,32,4,1
450203,2016,33,5,2
450203,2017,34,6,3
450203,2018,35,7,4
450203,2019,36,8,5
450203,2021,38,10,6
450203,2022,39,11,7
450203,2023,40,12,8
450203,2024,41,13,9
450203,2025,42,14,10
450212,2015,35,7,1
450212,2016,36,8,2
450212,2017,37,9,3
450212,2018,38,10,4
450212,2019,39,11,5
450275,2015,32,4,1
450275,2016,33,5,2
450282,2015,32,4,1
450282,2016,33,5,2
450282,2017,34,6,3
450306,2015,32,4,1
450306,2016,33,5,2
450306,2017,34,6,3
450306,2018,35,7,4
450306,2019,36,8,5
450308,2015,33,5,1
450308,2016,34,6,2
450308,2017,35,7,3
450314,2019,38,10,1
450351,2015,35,7,1
450665,2015,30,2,1
450665,2016,31,3,2
450665,2018,33,5,3
450729,2015,31,3,1
450729,2016,32,4,2
450729,2017,33,5,3
450729,2018,34,6,4
451085,2015,28,0,1
451085,2016,29,1,2
451532,2015,31,3,1
451584,2015,30,2,1
451584,2016,31,3,2
451584,2017,32,4,3
451584,2018,33,5,4
451584,2019,34,6,5
451584,2021,36,8,6
451596,2015,29,1,1
451596,2016,30,2,2
451596,2017,31,3,3
451596,2018,32,4,4
451661,2015,30,2,1
451661,2016,31,3,2
451661,2017,32,4,3
451661,2018,33,5,4
451775,2015,31,3,1
451775,2016,32,4,2
451783,2016,32,4,1
451788,2015,34,6,1
452027,2015,30,2,1
452027,2016,31,3,2
452027,2017,32,4,3
452027,2021,36,8,4
452061,2016,30,2,1
452657,2015,31,3,1
452657,2016,32,4,2
452657,2017,33,5,3
452657,2018,34,6,4
452657,2019,35,7,5
452657,2021,37,9,6
452666,2015,32,4,1
452666,2016,33,5,2
452666,2017,34,6,3
452678,2021,36,8,1
452718,2015,31,3,1
452718,2017,33,5,2
452733,2015,33,5,1
452733,2016,34,6,2
453156,2015,30,2,1
453172,2015,30,2,1
453172,2016,31,3,2
453172,2017,32,4,3
453172,2018,33,5,4
453172,2019,34,6,5
453178,2015,31,3,1
453178,2016,32,4,2
453178,2017,33,5,3
453178,2018,34,6,4
453178,2019,35,7,5
453178,2021,37,9,6
453178,2022,38,10,7
453178,2023,39,11,8
453192,2015,30,2,1
453192,2016,31,3,2
453192,2017,32,4,3
453192,2018,33,5,4
453192,2019,34,6,5
453192,2021,36,8,6
453203,2015,31,3,1
453214,2015,31,3,1
453214,2016,32,4,2
453214,2017,33,5,3
453214,2018,34,6,4
453214,2019,35,7,5
453222,2015,31,3,1
453222,2016,32,4,2
453249,2015,30,2,1
453249,2016,31,3,2
453264,2015,31,3,1
453265,2015,30,2,1
453265,2016,31,3,2
453265,2017,32,4,3
453265,2018,33,5,4
453265,2019,34,6,5
453265,2021,36,8,6
453268,2021,36,8,1
453268,2022,37,9,2
453268,2023,38,10,3
453281,2016,32,4,1
453281,2017,33,5,2
453281,2018,34,6,3
453281,2019,35,7,4
453281,2021,37,9,5
453284,2016,31,3,1
453284,2017,32,4,2
453284,2018,33,5,3
453284,2019,34,6,4
453284,2021,36,8,5
453286,2015,31,3,1
453286,2016,32,4,2
453286,2017,33,5,3
453286,2018,34,6,4
453286,2019,35,7,5
453286,2021,37,9,6
453286,2022,38,10,7
453286,2023,39,11,8
453286,2024,40,12,9
453286,2025,41,13,10
453286,2026,42,14,11
453307,2015,31,3,1
453307,2016,32,4,2
453311,2015,31,3,1
453311,2016,32,4,2
453329,2015,31,3,1
453329,2016,32,4,2
453329,2017,33,5,3
453329,2018,34,6,4
453329,2019,35,7,5
453343,2015,30,2,1
453343,2016,31,3,2
453343,2017,32,4,3
453343,2018,33,5,4
453343,2019,34,6,5
453343,2021,36,8,6
453343,2022,37,9,7
453344,2015,31,3,1
453344,2016,32,4,2
453344,2017,33,5,3
453344,2018,34,6,4
453385,2015,32,4,1
453385,2016,33,5,2
453385,2017,34,6,3
453385,2018,35,7,4
453385,2019,36,8,5
453562,2015,29,1,1
453562,2016,30,2,2
453562,2017,31,3,3
453562,2018,32,4,4
453562,2019,33,5,5
453562,2021,35,7,6
453646,2015,32,4,1
453646,2016,33,5,2
453895,2015,33,5,1
455009,2015,31,3,1
455009,2016,32,4,2
455009,2017,33,5,3
455117,2023,37,9,1
455119,2015,29,1,1
455119,2018,32,4,2
455119,2019,33,5,3
455119,2021,35,7,4
455119,2022,36,8,5
455119,2023,37,9,6
455119,2024,38,10,7
455119,2025,39,11,8
455119,2026,40,12,9
455374,2015,30,2,1
455374,2016,31,3,2
455374,2017,32,4,3
455376,2017,31,3,1
456027,2015,33,5,1
456027,2016,34,6,2
456034,2015,30,2,1
456034,2016,31,3,2
456034,2017,32,4,3
456034,2018,33,5,4
456034,2019,34,6,5
456034,2021,36,8,6
456034,2022,37,9,7
456051,2015,28,0,1
456051,2019,32,4,2
456068,2015,31,3,1
456068,2016,32,4,2
456068,2017,33,5,3
456068,2018,34,6,4
456071,2015,29,1,1
456071,2016,30,2,2
456121,2015,35,7,1
456124,2016,36,8,1
456124,2018,38,10,2
456167,2016,28,0,1
456167,2017,29,1,2
456379,2015,29,1,1
456379,2016,30,2,2
456379,2017,31,3,3
456387,2019,34,6,1
456488,2019,32,4,1
456496,2015,31,3,1
456501,2015,29,1,1
456501,2016,30,2,2
456501,2017,31,3,3
456501,2018,32,4,4
456501,2019,33,5,5
456501,2021,35,7,6
456501,2022,36,8,7
456501,2023,37,9,8
456501,2024,38,10,9
456696,2015,30,2,1
456696,2016,31,3,2
456696,2017,32,4,3
456696,2018,33,5,4
456696,2019,34,6,5
456701,2015,29,1,1
456701,2016,30,2,2
456701,2017,31,3,3
456701,2018,32,4,4
456701,2019,33,5,5
456713,2016,30,2,1
456713,2017,31,3,2
456713,2018,32,4,3
456713,2021,35,7,4
456713,2022,36,8,5
456713,2023,37,9,6
456776,2015,28,0,1
457117,2015,30,2,1
457117,2017,32,4,2
457429,2015,31,3,1
457429,2016,32,4,2
457429,2017,33,5,3
457429,2018,34,6,4
457435,2015,33,5,1
457435,2016,34,6,2
457448,2015,30,2,1
457456,2015,31,3,1
457456,2016,32,4,2
457711,2015,28,0,1
457711,2016,29,1,2
457732,2015,31,3,1
457732,2016,32,4,2
457732,2017,33,5,3
457744,2015,28,0,1
457754,2015,27,1,1
457754,2018,30,2,2
457754,2019,31,3,3
457759,2021,37,9,1
457768,2015,28,0,1
457768,2016,29,1,2
457768,2017,30,2,3
457779,2016,30,2,1
457915,2015,30,2,1
457915,2016,31,3,2
457915,2017,32,4,3
457915,2018,33,5,4
457915,2019,34,6,5
457915,2021,36,8,6
457918,2015,33,5,1
457918,2016,34,6,2
457918,2017,35,7,3
457918,2018,36,8,4
457918,2019,37,9,5
457918,2021,39,11,6
458006,2015,32,4,1
458006,2016,33,5,2
458006,2017,34,6,3
458006,2018,35,7,4
458006,2019,36,8,5
458537,2016,31,3,1
458584,2015,29,1,1
458584,2016,30,2,2
458584,2017,31,3,3
458584,2018,32,4,4
458584,2019,33,5,5
458676,2017,30,2,1
458676,2021,34,6,2
458677,2015,28,0,1
458677,2016,29,1,2
458677,2017,30,2,3
458677,2018,31,3,4
458677,2019,32,4,5
458677,2021,34,6,6
458677,2022,35,7,7
458677,2024,37,9,8
458677,2025,38,10,9
458678,2015,28,0,1
458678,2016,29,1,2
458681,2015,28,0,1
458681,2017,30,2,2
458681,2018,31,3,3
458681,2019,32,4,4
458681,2021,34,6,5
458681,2022,35,7,6
458681,2023,36,8,7
458681,2024,37,9,8
458690,2015,29,1,1
458690,2017,31,3,2
458690,2018,32,4,3
458708,2015,31,3,1
458708,2016,32,4,2
458708,2017,33,5,3
458708,2018,34,6,4
458708,2019,35,7,5
458708,2021,37,9,6
458730,2015,31,3,1
458730,2016,32,4,2
458919,2015,32,4,1
458924,2018,33,5,1
458924,2019,34,6,2
459429,2015,29,1,1
459429,2016,30,2,2
459429,2017,31,3,3
459429,2018,32,4,4
459429,2019,33,5,5
459429,2021,35,7,6
459429,2022,36,8,7
459967,2015,31,3,1
459987,2015,31,3,1
459987,2016,32,4,2
460008,2015,31,3,1
460024,2015,32,4,1
460024,2016,33,5,2
460059,2015,31,3,1
460059,2016,32,4,2
460059,2017,33,5,3
460060,2018,34,6,1
460077,2016,33,5,1
460077,2018,35,7,2
460086,2019,35,7,1
460156,2015,31,3,1
460269,2016,34,6,1
460269,2017,35,7,2
460269,2018,36,8,3
460283,2015,32,4,1
460283,2016,33,5,2
460283,2017,34,6,3
460283,2018,35,7,4
460283,2019,36,8,5
460576,2018,33,5,1
460701,2015,29,1,1
460701,2016,30,2,2
461325,2015,30,2,1
461325,2016,31,3,2
461325,2017,32,4,3
461325,2018,33,5,4
461325,2019,34,6,5
461325,2021,36,8,6
461325,2022,37,9,7
461815,2015,34,6,1
461829,2015,30,2,1
461829,2016,31,3,2
461829,2017,32,4,3
461829,2018,33,5,4
461829,2019,34,6,5
461833,2015,29,1,1
461833,2016,30,2,2
461833,2017,31,3,3
461833,2018,32,4,4
461865,2016,31,3,1
461865,2017,32,4,2
461865,2018,33,5,3
461865,2021,36,8,4
461872,2015,30,2,1
461872,2016,31,3,2
461872,2017,32,4,3
461872,2018,33,5,4
461872,2019,34,6,5
461872,2021,36,8,6
462089,2015,28,0,1
462136,2015,32,4,1
462136,2016,33,5,2
462136,2017,34,6,3
462136,2018,35,7,4
462136,2019,36,8,5
462382,2015,32,4,1
462382,2016,33,5,2
462382,2017,34,6,3
462382,2018,35,7,4
462480,2018,32,4,1
462515,2015,29,1,1
462515,2016,30,2,2
462515,2017,31,3,3
462515,2018,32,4,4
462945,2015,31,3,1
462985,2015,29,1,1
462985,2016,30,2,2
464416,2015,32,4,1
465629,2015,31,3,1
465629,2017,33,5,2
465657,2015,31,3,1
465657,2016,32,4,2
465657,2017,33,5,3
465657,2018,34,6,4
465657,2019,35,7,5
465657,2021,37,9,6
465679,2015,32,4,1
465753,2018,32,4,1
466948,2015,33,5,1
466948,2017,35,7,2
467008,2015,30,2,1
467008,2016,31,3,2
467008,2017,32,4,3
467008,2018,33,5,4
467008,2019,34,6,5
467008,2021,36,8,6
467055,2018,32,4,1
467055,2019,33,5,2
467094,2015,28,0,1
467100,2015,28,0,1
467100,2016,29,1,2
467100,2017,30,2,3
467100,2018,31,3,4
467100,2019,32,4,5
467785,2015,32,4,1
467827,2019,32,4,1
468396,2015,32,4,1
468396,2016,33,5,2
468396,2018,35,7,3
468504,2015,27,1,1
468504,2016,28,0,2
468504,2017,29,1,3
468504,2018,30,2,4
468504,2019,31,3,5
468504,2021,33,5,6
468504,2022,34,6,7
469134,2015,30,2,1
471083,2016,33,5,1
471083,2017,34,6,2
471822,2015,31,3,1
471822,2016,32,4,2
471822,2017,33,5,3
471911,2015,28,0,1
471911,2016,29,1,2
471911,2017,30,2,3
471911,2018,31,3,4
471911,2019,32,4,5
471911,2021,34,6,6
471911,2022,35,7,7
471911,2023,36,8,8
471911,2024,37,9,9
471911,2025,38,10,10
471911,2026,39,11,11
472551,2015,30,2,1
472551,2016,31,3,2
472551,2017,32,4,3
472551,2019,34,6,4
472551,2021,36,8,5
472551,2023,38,10,6
472610,2015,28,0,1
472610,2016,29,1,2
472610,2017,30,2,3
472610,2018,31,3,4
472610,2019,32,4,5
472610,2021,34,6,6
472610,2022,35,7,7
472610,2023,36,8,8
472610,2024,37,9,9
472610,2025,38,10,10
472610,2026,39,11,11
473879,2015,27,1,1
473879,2016,28,0,2
473879,2017,29,1,3
473879,2018,30,2,4
473879,2019,31,3,5
474029,2015,28,0,1
474029,2016,29,1,2
474029,2017,30,2,3
474039,2017,31,3,1
474284,2015,28,0,1
474284,2016,29,1,2
474463,2015,27,1,1
474463,2016,28,0,2
474463,2017,29,1,3
474463,2018,30,2,4
474463,2019,31,3,5
474463,2021,33,5,6
474521,2015,27,1,1
474521,2016,28,0,2
474668,2015,28,0,1
474668,2016,29,1,2
474699,2015,28,0,1
474699,2016,29,1,2
474699,2017,30,2,3
475054,2015,29,1,1
475054,2016,30,2,2
475054,2017,31,3,3
475054,2018,32,4,4
475054,2019,33,5,5
475054,2021,35,7,6
475115,2015,28,0,1
475115,2016,29,1,2
475115,2017,30,2,3
475115,2018,31,3,4
475115,2019,32,4,5
475138,2015,28,0,1
475138,2016,29,1,2
475243,2015,28,0,1
475243,2016,29,1,2
475243,2017,30,2,3
475247,2016,30,2,1
475416,2015,30,2,1
475479,2015,29,1,1
475479,2016,30,2,2
475479,2017,31,3,3
475479,2019,33,5,4
475479,2021,35,7,5
475479,2022,36,8,6
475857,2015,28,0,1
475857,2018,31,3,2
476123,2016,28,0,1
476123,2017,29,1,2
476451,2015,28,0,1
476451,2016,29,1,2
476451,2017,30,2,3
476451,2018,31,3,4
476451,2019,32,4,5
476454,2015,27,1,1
476454,2016,28,0,2
476454,2017,29,1,3
476454,2018,30,2,4
476454,2019,31,3,5
476454,2021,33,5,6
476570,2015,29,1,1
476570,2016,30,2,2
476589,2015,28,0,1
476589,2016,29,1,2
476589,2017,30,2,3
476589,2018,31,3,4
476589,2019,32,4,5
476594,2018,29,1,1
476594,2019,30,2,2
476594,2021,32,4,3
476594,2025,36,8,4
476595,2015,28,0,1
476595,2021,34,6,2
476595,2022,35,7,3
476595,2023,36,8,4
477003,2015,29,1,1
477003,2016,30,2,2
477132,2015,27,1,1
477132,2016,28,0,2
477132,2017,29,1,3
477132,2018,30,2,4
477132,2019,31,3,5
477132,2021,33,5,6
477132,2022,34,6,7
477132,2023,35,7,8
477132,2024,36,8,9
477132,2025,37,9,10
477195,2015,28,0,1
477229,2015,28,0,1
477569,2015,30,2,1
477569,2016,31,3,2
477569,2017,32,4,3
477569,2018,33,5,4
477569,2019,34,6,5
487675,2017,31,3,1
487675,2018,32,4,2
488671,2018,31,3,1
488671,2019,32,4,2
488674,2015,32,4,1
488748,2016,29,1,1
488748,2017,30,2,2
488748,2018,31,3,3
488748,2019,32,4,4
488748,2021,34,6,5
488768,2015,29,1,1
488768,2016,30,2,2
488768,2017,31,3,3
488768,2018,32,4,4
488768,2019,33,5,5
488786,2015,29,1,1
488786,2016,30,2,2
488786,2018,32,4,3
488818,2018,31,3,1
488846,2015,32,4,1
488846,2016,33,5,2
488846,2017,34,6,3
488846,2018,35,7,4
488984,2015,29,1,1
488984,2016,30,2,2
488984,2017,31,3,3
488984,2018,32,4,4
488984,2019,33,5,5
488984,2021,35,7,6
488984,2022,36,8,7
488984,2023,37,9,8
489002,2015,28,0,1
489002,2016,29,1,2
489039,2015,29,1,1
489119,2015,29,1,1
489119,2016,30,2,2
489119,2017,31,3,3
489119,2018,32,4,4
489119,2019,33,5,5
489119,2021,35,7,6
489119,2022,36,8,7
489119,2023,37,9,8
489119,2024,38,10,9
489119,2025,39,11,10
489138,2015,28,0,1
489197,2016,29,1,1
489265,2015,32,4,1
489265,2016,33,5,2
489265,2017,34,6,3
489265,2018,35,7,4
489265,2019,36,8,5
489265,2021,38,10,6
489265,2022,39,11,7
489267,2015,32,4,1
489294,2015,28,0,1
489294,2016,29,1,2
489294,2017,30,2,3
489295,2015,30,2,1
489295,2019,34,6,2
489334,2015,31,3,1
489334,2017,33,5,2
489334,2018,34,6,3
489334,2019,35,7,4
489334,2021,37,9,5
489334,2022,38,10,6
489446,2015,28,0,1
489446,2016,29,1,2
489446,2017,30,2,3
489446,2018,31,3,4
489446,2019,32,4,5
489446,2022,35,7,6
489446,2023,36,8,7
489446,2024,37,9,8
489446,2025,38,10,9
489448,2018,35,7,1
490063,2015,32,4,1
490063,2016,33,5,2
490063,2017,34,6,3
491159,2015,34,6,1
491624,2017,32,4,1
491624,2021,36,8,2
491624,2022,37,9,3
491646,2015,27,1,1
491646,2016,28,0,2
491646,2017,29,1,3
491646,2018,30,2,4
491646,2019,31,3,5
491696,2015,27,1,1
491696,2017,29,1,2
491696,2018,30,2,3
491696,2019,31,3,4
491703,2015,27,1,1
491703,2016,28,0,2
491703,2017,29,1,3
491703,2021,33,5,4
491708,2015,28,0,1
491708,2016,29,1,2
492841,2017,35,7,1
493114,2017,35,7,1
493117,2015,35,7,1
493157,2015,40,12,1
493157,2016,41,13,2
493157,2017,42,14,3
493159,2015,34,6,1
493200,2016,34,6,1
493200,2017,35,7,2
493200,2018,36,8,3
493200,2019,37,9,4
493247,2015,37,9,1
493247,2016,38,10,2
493247,2017,39,11,3
493247,2018,40,12,4
493351,2015,34,6,1
493603,2015,30,2,1
493603,2016,31,3,2
493603,2017,32,4,3
493603,2018,33,5,4
493603,2019,34,6,5
493603,2021,36,8,6
493603,2022,37,9,7
493603,2023,38,10,8
493603,2024,39,11,9
493603,2025,40,12,10
497807,2016,32,4,1
500610,2015,26,2,1
500610,2016,27,1,2
500610,2017,28,0,3
500610,2019,30,2,4
500610,2021,32,4,5
500721,2015,27,1,1
500724,2015,27,1,1
500724,2016,28,0,2
500724,2017,29,1,3
500724,2018,30,2,4
500724,2019,31,3,5
500743,2023,34,6,1
500743,2024,35,7,2
500743,2025,36,8,3
500743,2026,37,9,4
500765,2016,27,1,1
500765,2017,28,0,2
500779,2015,26,2,1
500779,2016,27,1,2
500779,2017,28,0,3
500779,2018,29,1,4
500779,2019,30,2,5
500779,2021,32,4,6
500779,2022,33,5,7
500779,2023,34,6,8
500779,2024,35,7,9
500779,2025,36,8,10
500779,2026,37,9,11
500871,2016,27,1,1
500871,2023,34,6,2
500872,2017,30,2,1
500872,2018,31,3,2
500891,2015,26,2,1
501303,2019,30,2,1
501303,2022,33,5,2
501381,2015,26,2,1
501381,2016,27,1,2
501381,2017,28,0,3
501381,2019,30,2,4
501381,2021,32,4,5
501381,2022,33,5,6
501563,2015,27,1,1
501563,2017,29,1,2
501593,2015,26,2,1
501593,2016,27,1,2
501593,2017,28,0,3
501593,2018,29,1,4
501593,2019,30,2,5
501593,2021,32,4,6
501625,2015,26,2,1
501625,2016,27,1,2
501625,2017,28,0,3
