player_name,pitcher,pitches,confidence,plv,plv_pctile,swing_pct,whiff_pct,cs_pct,xwoba_model,rolling_plv_30d,rolling_pitches_30d,rolling_trend_pitcher,tag
Garrett Cleavinger,664076,686,Tier B,5.282,88.9,0.457,0.383,0.45,0.318,5.194,148,hot,PLV strong (top 25%); rolling also strong; recent form improving
Joe Ryan,657746,2148,Tier A,5.281,88.7,0.496,0.334,0.521,0.343,5.104,192,flat,PLV strong (top 25%)
Mason Fluharty,689254,854,Tier B,5.279,88.6,0.481,0.381,0.469,0.318,5.223,150,hot,PLV strong (top 25%); rolling also strong; recent form improving
Bryce Miller,682243,1360,Tier A,5.277,88.4,0.535,0.345,0.506,0.335,5.085,450,flat,PLV strong (top 25%)
Brandon Eisert,685126,640,Tier B,5.275,88.3,0.429,0.418,0.433,0.331,5.262,73,hot,PLV strong (top 25%); elite whiff rate; rolling also strong; recent form improving
Jonathan Bowlan,680742,811,Tier B,5.268,88.1,0.518,0.369,0.458,0.326,5.258,232,hot,PLV strong (top 25%); rolling also strong; recent form improving
Chris Sale,519242,2163,Tier A,5.266,88.0,0.491,0.315,0.496,0.331,5.362,403,hot,PLV strong (top 25%); rolling also strong; recent form improving
Reid Detmers,672282,2374,Tier A,5.265,87.8,0.506,0.336,0.513,0.349,5.203,430,hot,PLV strong (top 25%); rolling also strong; recent form improving
Hogan Harris,663687,1098,Tier A,5.264,87.7,0.463,0.31,0.511,0.346,5.223,230,hot,PLV strong (top 25%); rolling also strong; recent form improving
Braydon Fisher,680755,1028,Tier A,5.262,87.5,0.456,0.394,0.476,0.327,5.322,231,hot,PLV strong (top 25%); elite whiff rate; rolling also strong; recent form improving
Bryan Woo,693433,2191,Tier A,5.261,87.4,0.519,0.318,0.522,0.34,5.228,444,hot,PLV strong (top 25%); rolling also strong; recent form improving
Brandan Bidois,684049,325,Tier C,5.261,87.2,0.497,0.391,0.451,0.33,5.653,31,hot,PLV strong (top 25%); elite whiff rate; rolling also strong; recent form improving
Will Vest,676684,506,Tier B,5.258,87.1,0.51,0.363,0.465,0.33,4.78,25,flat,PLV strong (top 25%)
Max Meyer,676974,1789,Tier A,5.257,86.9,0.482,0.379,0.474,0.329,5.223,74,hot,PLV strong (top 25%); rolling also strong; recent form improving
Roki Sasaki,808963,2052,Tier A,5.253,86.8,0.513,0.387,0.469,0.33,5.445,470,hot,PLV strong (top 25%); rolling also strong; recent form improving
Lake Bachar,669199,1146,Tier A,5.253,86.6,0.478,0.403,0.463,0.328,5.261,261,hot,PLV strong (top 25%); elite whiff rate; rolling also strong; recent form improving
Cade Gibson,806188,679,Tier B,5.252,86.5,0.457,0.352,0.48,0.308,5.294,177,hot,PLV strong (top 25%); rolling also strong; recent form improving
Kevin Gausman,592332,2492,Tier A,5.249,86.3,0.508,0.364,0.473,0.339,5.235,557,hot,PLV strong (top 25%); rolling also strong; recent form improving
Caleb Thielbar,573204,684,Tier B,5.247,86.2,0.501,0.337,0.484,0.332,5.209,158,hot,PLV strong (top 25%); rolling also strong; recent form improving
Jeff Hoffman,656546,1025,Tier A,5.245,86.0,0.482,0.414,0.441,0.317,5.125,250,flat,PLV strong (top 25%); elite whiff rate
Gavin Williams,668909,2394,Tier A,5.242,85.9,0.477,0.351,0.49,0.333,5.432,480,hot,PLV strong (top 25%); rolling also strong; recent form improving
Yohan Ramírez,670990,1151,Tier A,5.241,85.7,0.44,0.353,0.475,0.318,5.139,270,flat,PLV strong (top 25%)
Kyle Hart,606996,847,Tier B,5.24,85.6,0.465,0.373,0.491,0.317,5.206,249,hot,PLV strong (top 25%); rolling also strong; recent form improving
Orion Kerkering,689147,923,Tier B,5.24,85.4,0.469,0.334,0.486,0.326,5.18,223,hot,PLV strong (top 25%); rolling also strong; recent form improving
Juan Morillo,666661,834,Tier B,5.238,85.3,0.497,0.346,0.479,0.325,5.321,180,hot,PLV strong (top 25%); rolling also strong; recent form improving
Hunter Bigge,685801,352,Tier C,5.235,85.1,0.42,0.399,0.43,0.325,5.298,23,hot,PLV strong (top 25%); elite whiff rate; rolling also strong; recent form improving
Anthony Banda,607455,631,Tier B,5.234,85.0,0.43,0.387,0.448,0.325,5.168,25,flat,PLV strong (top 25%)
Edwin Díaz,621242,337,Tier C,5.23,84.8,0.475,0.382,0.474,0.336,5.242,180,hot,PLV strong (top 25%); rolling also strong; recent form improving
Emmet Sheehan,686218,1778,Tier A,5.229,84.7,0.487,0.373,0.466,0.331,5.284,145,hot,PLV strong (top 25%); rolling also strong; recent form improving
Enmanuel De Jesus,646241,694,Tier B,5.227,84.5,0.488,0.317,0.517,0.336,5.08,158,flat,PLV strong (top 25%)
Fernando Cruz,518585,907,Tier B,5.226,84.4,0.446,0.434,0.432,0.33,5.177,178,hot,PLV strong (top 25%); elite whiff rate; rolling also strong; recent form improving
Ryne Stanek,592773,873,Tier B,5.224,84.2,0.496,0.377,0.459,0.327,5.244,166,hot,PLV strong (top 25%); rolling also strong; recent form improving
Luis Gil,661563,406,Tier B,5.221,84.1,0.466,0.366,0.459,0.328,5.216,83,hot,PLV strong (top 25%); rolling also strong; recent form improving
Brendon Little,663893,341,Tier C,5.221,84.0,0.426,0.495,0.382,0.298,5.301,186,hot,PLV strong (top 25%); elite whiff rate; rolling also strong; recent form improving
Cam Sanders,676742,350,Tier C,5.221,83.8,0.476,0.369,0.44,0.325,5.151,115,flat,PLV strong (top 25%)
José Ferrer,678606,862,Tier B,5.219,83.7,0.469,0.293,0.538,0.291,5.119,154,flat,PLV strong (top 25%)
Jackson Jobe,695549,231,Tier C,5.219,83.5,0.5,0.346,0.487,0.328,5.219,231,hot,PLV strong (top 25%); rolling also strong; recent form improving
Drew Pomeranz,519141,467,Tier B,5.218,83.4,0.482,0.297,0.523,0.347,5.168,20,flat,PLV strong (top 25%)
Edgardo Henriquez,683618,791,Tier B,5.218,83.2,0.482,0.351,0.447,0.313,5.051,196,flat,PLV strong (top 25%)
Joey Gerber,680702,129,Tier C,5.218,83.1,0.44,0.299,0.503,0.342,5.006,22,improving,PLV strong (top 25%)
Griffin Jax,643377,1404,Tier A,5.218,82.9,0.489,0.384,0.462,0.321,5.233,258,hot,PLV strong (top 25%); rolling also strong; recent form improving
Tyron Guerrero,594027,499,Tier B,5.217,82.8,0.526,0.289,0.586,0.327,5.292,162,hot,PLV strong (top 25%); rolling also strong; recent form improving
Zack Kelly,677161,308,Tier C,5.214,82.6,0.477,0.358,0.489,0.32,5.534,34,hot,PLV strong (top 25%); rolling also strong; recent form improving
José Alvarado,621237,907,Tier B,5.212,82.5,0.46,0.36,0.431,0.304,5.109,173,improving,PLV strong (top 25%)
Logan Gilbert,669302,2357,Tier A,5.21,82.3,0.519,0.368,0.493,0.338,5.183,479,hot,PLV strong (top 25%); rolling also strong; recent form improving
Yilber Díaz,700270,113,Tier C,5.208,82.2,0.507,0.357,0.48,0.337,5.487,30,hot,PLV strong (top 25%); rolling also strong; recent form improving
Casey Legumina,668984,868,Tier B,5.207,82.0,0.494,0.317,0.529,0.335,5.073,210,flat,PLV strong (top 25%)
Anthony Molina,683627,123,Tier C,5.205,81.9,0.471,0.384,0.395,0.323,5.37,62,hot,PLV strong (top 25%); rolling also strong; recent form improving
Hunter Greene,668881,456,Tier B,5.205,81.7,0.522,0.343,0.523,0.341,5.31,180,hot,PLV strong (top 25%); rolling also strong; recent form improving
David Morgan,688158,422,Tier B,5.204,81.6,0.448,0.358,0.463,0.32,5.662,33,hot,PLV strong (top 25%); rolling also strong; recent form improving
Cole Ragans,666142,724,Tier B,5.203,81.4,0.45,0.354,0.468,0.34,5.307,58,hot,PLV strong (top 25%); rolling also strong; recent form improving
Brandyn Garcia,805299,516,Tier B,5.203,81.3,0.472,0.329,0.532,0.3,5.25,166,hot,PLV strong (top 25%); rolling also strong; recent form improving
Gerrit Cole,543037,1331,Tier A,5.2,81.1,0.492,0.303,0.537,0.345,5.189,460,hot,PLV strong (top 25%); rolling also strong; recent form improving
