player_id,injury_type,injury_detail,injury_side,return_date,days_until_return,status_code,short_comment,long_comment,name,team,own,k,per_start,src,rp3_rank,playoff_ready,thru_playoffs_starts,xfp_po,xfp_ros
31313,Shoulder,Strain,Left,2026-09-01,8.0,IL60,Toronto transferred Corbin (shoulder) from the 15-day injured list to the 60-day IL on Wednesday.,"The transaction opens up a spot on the 40-man roster for right-hander Matt Waldron, who was claimed off waivers from the Padres. Corbin was already expected to be shut down from throwing for multiple weeks after being deactivated due to a left teres major strain, and his move to the 60-day IL ensures that he'll remain on the shelf through Sept. 19. The Blue Jays will have just seven games left on the schedule once Corbin is eligible for reinstatement, so his season is effectively over. The veteran southpaw turned in a 5.51 ERA and 1.54 WHIP across 80 innings over 19 appearances (15 starts).",Patrick Corbin,Tor,0.42,patrick corbin,6.9,rp3_dd,329.0,Round 2 (9/1-9/14),2.8588235294117648,19.7,31.7
4415836,Forearm,Soreness,Right,2026-09-06,13.0,IL15,The Cardinals placed Dobbins on the 15-day injured list Saturday with right forearm tightness.,"Dobbins' forearm forced him to make an early exit from his start Friday against Philadelphia, and although he hasn't been diagnosed with any sort of structural issue, the Cardinals will give him time to recover on the injured list. Quinn Mathews was recalled from Triple-A in a corresponding move to start Saturday's game.",Hunter Dobbins,StL,1.15,hunter dobbins,8.38,rp3_dd,242.0,Round 2 (9/1-9/14),2.3294117647058825,19.5,31.3
41201,Shoulder,Soreness,Left,2026-09-11,18.0,IL60,"Bubic (shoulder/elbow) is hoping to begin a minor-league rehab assignment around early September, MLB.com reports.","Bubic resumed a throwing progression while still with Kansas City in late July and was traded to the Dodgers on Aug. 3. The veteran hurler is continuing to try to work his way back from left shoulder discomfort and left elbow soreness, which has kept him on the IL since mid-May. Given the length of his absence, Bubic will almost certainly need to make several rehab appearances when he's ready to get into game action, which means that activation from the IL is unlikely to happen before mid-September. With that in mind, and given the Dodgers' deep rotation when healthy, the likeliest scenario for the left-hander to contribute to his new team this season is as a long-relief and/or emergency-starter option down the stretch and into the playoffs.",Kris Bubic,LAD,21.87,kris bubic,10.57,rp3_dd,96.0,Round 3 (9/15-9/28),1.8,19.0,30.5
6341,Hamstring,Strain,Left,2026-09-08,15.0,IL60,"Verlander (hamstring/hip) threw off the front of the bullpen mound Wednesday, Jason Beck of MLB.com reports.","Verlander has yet to log a true bullpen session since suffering a setback during his last mound session June 17, but Wednesday's round of throwing still marks progress from playing catch. It's unclear how far he is from getting back to throwing traditional bullpen sessions, but he'll likely have to do so within the next couple of weeks to have a chance to build up his workload and make a few more starts in what will be his final season in Major League Baseball.",Justin Verlander,Det,1.39,justin verlander,8.68,talent_prior,222.0,Round 3 (9/15-9/28),2.1176470588235294,18.4,29.5
32697,Elbow,Inflammation,Right,2026-09-04,11.0,IL60,"Giolito (elbow) has been throwing at the Padres' team complex in Arizona, but his timeline to return is unclear, MLB.com reports.","Giolito landed on the injured list June 23 due to right elbow inflammation but was able to resume light throwing within a week. However, the veteran pitcher hasn't yet progressed to facing hitters, and it's unclear how far away a minor-league rehab assignment may be. By the time Giolito is ready to rejoin the Padres, both Joe Musgrove (elbow) and Nick Pivetta (forearm) may have returned to action, which could impact Giolito's place in the rotation following the trade-deadline acquisitions of Robbie Ray and Casey Mize.",Lucas Giolito,SD,0.95,lucas giolito,7.02,rp3_dd,323.0,Round 2 (9/1-9/14),2.5411764705882356,17.8,28.6
4863321,Elbow,Inflammation,Left,2026-09-11,18.0,IL60,"Early (elbow) threw a 25-pitch bullpen session Saturday, Danielle Allentuck of The Washington Post reports.","Early encountered a setback in early August when he experienced minor left forearm tightness during a live batting practice session. The left-hander has now resumed mound work as he looks to join the Nationals' rotation sometime in September. Early has not pitched in a game since late June, and he went from the Red Sox to the Nationals in a late-July trade that sent Curtis Mead (wrist) to Boston.",Connelly Early,Wsh,16.61,connelly early,9.74,rp3_dd,143.0,Round 3 (9/15-9/28),1.8,17.5,28.1
36071,Forearm,Strain,Right,2026-09-15,22.0,IL60,"Pivetta (forearm) will resume a rehab assignment with Single-A Lake Elsinore this week, Annie Heilbrunn of The San Diego Union-Tribune reports.","Pivetta had to exit his first rehab appearance earlier this month when he felt tightness in his right elbow, but he's bounce back quickly and is ready to test things out in a game again. The veteran right-hander has been sidelined since mid-April with a flexor strain and, given the length of his absence, is going to require multiple rehab starts.",Nick Pivetta,SD,49.82,nick pivetta,12.6,rp3_dd,37.0,Round 3 (9/15-9/28),1.3764705882352943,17.3,27.8
32106,Elbow,Sprain,Left,2026-09-18,25.0,IL60,"Quintana (elbow) threw 45 pitches in a bullpen session Tuesday, MLB.com reports.","Quintana has been building up his workload, with Tuesday's session being his most extensive since being sidelined. He's expected to throw live batting practice Aug. 22, with the goal of reaching 60 pitches.",Jose Quintana,Col,0.16,jose quintana,6.99,rp3_dd,324.0,Round 3 (9/15-9/28),1.0588235294117647,7.4,11.9
41178,Forearm,Strain,Left,2026-09-22,29.0,IL15,"Yankees manager Aaron Boone said that Weathers (forearm) will be shut down from throwing for 2-to-4 weeks but has a ""great chance"" to pitch again before the end of the season, Bryan Hoch of MLB.com reports.","As expected, Weathers will need to miss more than the minimum 15 days after he sustained a left forearm flexor strain during his start in Saturday's 4-3 loss to the Blue Jays before landing on the injured list a day later. Boone noted that he anticipates Weathers returning this season ""in some capacity,"" which points to the southpaw coming back as a reliever once he eventually completes his throwing progression. Weathers had enjoyed a strong run of form in the second half before hitting the shelf, going 2-1 with a 2.27 ERA, 1.18 WHIP and 33:11 K:BB in 39.2 innings over his seven starts since the All-Star break.",Ryan Weathers,NYY,32.85,ryan weathers,10.72,rp3_dd,91.0,too late,0.6352941176470589,6.8,10.9
4718970,Elbow,Surgery,Right,2026-09-25,32.0,IL60,"The Twins plan to re-evaluate Abel (elbow) on Sept. 1, Dan Hayes of The Athletic reports.","Abel was placed on the shelf April 20 due to right elbow inflammation and appeared to be on the cusp of a return in late June before suffering a setback and ultimately requiring arthroscopic surgery July 1. Given that he won't even be cleared to throw until he's re-evaluated and will required an extended ramp-up period, Abel appears likely to remain out until the end of the regular season Sept. 27. Even if Abel avoids any further snags when he's eventually cleared to throw and makes it back from the injured list before the end of the season, he won't have enough time to get built back up as a starter and will be ticketed for a relief role.",Mick Abel,Min,1.37,mick abel,10.07,rp3_dd,124.0,too late,0.31764705882352945,3.2,5.1
4710478,Elbow,Strain,Right,2026-09-19,26.0,IL60,"The Rangers placed Corniell on the 15-day injured list Tuesday with an elbow injury, Jeff Wilson of AllDLLS.com reports.","Corniell gave up five earned runs in just one inning out of the bullpen during Monday's game against the White Sox, and he'll now have to remain on the sidelines until at least Aug. 5 due to his latest injury. The severity of his injury remains unknown, though it's worth noting that the 23-year-old righty underwent Tommy John surgery back in 2024. Marco Gonzales was promoted from Triple-A Round Rock in a corresponding move.",Jose Corniell,Tex,0.05,jose corniell,,,,Round 3 (9/15-9/28),0.9529411764705883,,
39681,Shoulder,Inflammation,Right,2026-08-25,1.0,IL15,The Angels placed Anderson on the 15-day injured list Monday due to right shoulder inflammation.,"The injury may have cropped during his last outing against the Marlins on Sunday, when he allowed six runs on six hits and one walk while striking out two in one inning. A minimum stint on the IL would have Anderson back in action in late August, though he'll undergo more tests on his throwing shoulder to help shape a recovery timeline. Sammy Peralta's contract was selected by the Angels from Triple-A Salt Lake in a corresponding move.",Shaun Anderson,LAA,0.01,shaun anderson,,,,Round 2 (9/1-9/14),3.6,,
