player_type,mlbam_id,player_name,team,position,own,proj_vol,naive_pace,gap,volume_percentile,recent_raw,rate,rate_source,impact,flags,unit,direction
H,670242,Matt Wallner,MIN,OF,FA,1.5713,1.1538,0.4175,35.7,0.0,0.3597460856775156,rh3,0.15019399077036275,,PA/tg,RISER
SP,650911,Cristopher Sánchez,PHI,SP,Team Solomon,0.1955,0.2051,-0.009599999999999997,99.3,4.0,15.635231849176815,rp3,-0.1500982257520974,,GS/tg,FADER
H,681807,David Fry,CLE,OF,FA,1.0727,1.4359,-0.36319999999999997,16.3,19.0,0.4111227377658506,rh3,-0.14931977835655694,,PA/tg,FADER
H,668885,Austin Martin,MIN,OF,FA,2.3953,2.735,-0.33969999999999967,59.3,45.0,0.4373594315338468,rh3,-0.1485709988920476,,PA/tg,FADER
H,681508,Mickey Gasper,BOS,C,FA,1.3777,1.0348,0.3429,28.5,0.0,0.4328340190865673,rh3,0.14841878514478393,,PA/tg,RISER
H,682668,Luisangel Acuña,CWS,SS,FA,1.2727,1.6261,-0.35340000000000016,25.5,24.0,0.4179464040286477,rh3,-0.14770225918372415,,PA/tg,FADER
H,694362,Blake Dunn,CIN,OF,FA,1.755,1.3478,0.4071999999999998,41.1,0.0,0.3589810258969541,rh3,0.1461770737452396,IL@split,PA/tg,RISER
H,681393,Connor Norby,MIA,1B,FA,1.5915,1.9915,-0.40000000000000013,36.3,0.0,0.3642253520507004,rh3,-0.1456901408202802,,PA/tg,FADER
SP,519242,Chris Sale,ATL,SP,Team Solomon,0.1635,0.1724,-0.008899999999999991,81.0,2.0,16.357099577318827,rp3,-0.14557818623813742,,GS/tg,FADER
H,608348,Carson Kelly,CHC,C,FA,2.2887,2.6325,-0.3437999999999999,56.3,53.0,0.4215916883838604,rh3,-0.14494322246637115,,PA/tg,FADER
H,678577,Junior Perez,CWS,?,FA,0.6272,0.313,0.3142,4.6,3.0,0.4589797855457472,median_fallback,0.14421144861847376,med-rate,PA/tg,RISER
H,676572,Eric Wagaman,NYM,?,FA,0.722,0.4103,0.3117,6.1,8.0,0.4589797855457472,median_fallback,0.14306399915460938,med-rate,PA/tg,RISER
H,703607,Henry Bolte,ATH,OF,FA,2.6291,2.2931,0.3360000000000003,66.2,60.0,0.4248609149993217,rh3,0.14275326743977224,,PA/tg,RISER
SP,669467,Andre Pallante,STL,SP,FA,0.1748,0.1897,-0.014899999999999997,90.5,4.0,9.577384446666333,rp3,-0.14270302825532832,,GS/tg,FADER
SP,543135,Nathan Eovaldi,TEX,SP,Team Solomon,0.179,0.1897,-0.010700000000000015,92.3,4.0,13.306539870756676,rp3,-0.14237997661709664,,GS/tg,FADER
H,686452,Drew Millas,WSH,C,FA,0.9124,1.2881,-0.37570000000000003,10.3,0.0,0.3786102064925479,rh3,-0.14224385457925026,IL@split,PA/tg,FADER
H,683679,Jesus Rodriguez,SF,C,FA,0.8149,0.5,0.31489999999999996,8.0,12.0,0.4513769405675426,rh3,0.14213859858471914,IL@split,PA/tg,RISER
H,642201,Eli White,ATL,OF,FA,0.9251,1.2672,-0.34210000000000007,11.0,22.0,0.4138900690458866,rh3,-0.14159179262059784,,PA/tg,FADER
SP,676571,PJ Poulin,WSH,SP,FA,0.0622,0.0847,-0.0225,6.2,0.0,6.256788292198687,rp3_marcel_prior,-0.14077773657447046,IL@split+IL-return+marcel-rate,GS/tg,FADER
SP,676083,Janson Junk,MIA,SP,FA,0.1535,0.1368,0.016699999999999993,73.0,4.0,8.428313646088492,rp3,0.14075283788967777,IL-return,GS/tg,RISER
H,668904,Royce Lewis,MIN,1B,2015 Draft First Round,3.1262,2.8547,0.2715000000000001,76.6,74.0,0.5177616631700693,rh3,0.14057229155067386,,PA/tg,RISER
