date,team_id,team_name,action,player,role,ros_fp,still_held
2026-05-01 14:19:28.361,8,New York Ligers,DROPPED,Kris Bubic,pitcher,284.2358612965589,False
2026-05-01 14:19:28.361,8,New York Ligers,FA ADDED,Eury Perez,pitcher,275.8838625554857,False
2026-05-01 13:55:45.105,7,2015 Draft First Round,FA ADDED,Josh Jung,hitter,195.6,True
2026-05-01 13:55:45.105,7,2015 Draft First Round,DROPPED,Austin Riley,hitter,186.9,False
2026-05-01 13:54:03.545,7,2015 Draft First Round,DROPPED,Lance McCullers Jr.,pitcher,195.08882742244765,False
2026-05-01 13:54:03.545,7,2015 Draft First Round,FA ADDED,Bryce Elder,pitcher,238.3042792147566,True
2026-05-01 13:53:02.277,7,2015 Draft First Round,DROPPED,Jordan Romano,pitcher,149.4,False
2026-05-01 13:53:02.277,7,2015 Draft First Round,FA ADDED,Bryan Baker,pitcher,184.5,True
2026-04-29 12:40:05.566,5,U Just Lost To Edwin Diaz,DROPPED,Corbin Burnes,pitcher,289.44,False
2026-04-29 12:40:05.566,5,U Just Lost To Edwin Diaz,FA ADDED,Trey Yesavage,pitcher,237.57494611486914,True
2026-04-29 05:10:56.372,1,Boone's Bad Bullpen,FA ADDED,Jason Adam,pitcher,132.1,False
2026-04-29 05:10:56.372,1,Boone's Bad Bullpen,DROPPED,Matthew Boyd,pitcher,273.84573475006243,False
2026-04-29 05:10:28.435,1,Boone's Bad Bullpen,FA ADDED,Garrett Whitlock,pitcher,132.2,True
2026-04-29 05:10:28.435,1,Boone's Bad Bullpen,DROPPED,Eury Perez,pitcher,275.8838625554857,False
2026-04-29 04:25:55.347,10,Treasure Island Mashers,DROPPED,Caleb Durbin,hitter,175.5,False
2026-04-29 04:25:55.347,10,Treasure Island Mashers,WAIVER ADDED,Jacob Wilson,hitter,232.4,True
2026-04-28 20:05:24.125,2,Team Solomon,DROPPED,Jeff Hoffman,pitcher,153.6,False
2026-04-28 20:05:24.125,2,Team Solomon,FA ADDED,Louis Varland,pitcher,194.9,True
2026-04-28 04:42:14.715,8,New York Ligers,WAIVER ADDED,Jordan Walker,hitter,219.2,True
2026-04-28 04:42:14.715,8,New York Ligers,DROPPED,Eugenio Suarez,hitter,119.4,False
2026-04-28 04:42:14.715,4,Late Night Bettsing,WAIVER ADDED,Paul Sewald,pitcher,186.3,True
2026-04-28 04:42:14.715,4,Late Night Bettsing,DROPPED,Griffin Jax,pitcher,230.4065650075006,False
2026-04-28 04:25:53.604,9,Frendy's Fantastic Team,FA ADDED,Payton Tolle,pitcher,287.6256014300841,True
2026-04-28 04:25:53.604,9,Frendy's Fantastic Team,DROPPED,Colt Keith,hitter,137.8,False
2026-04-28 04:09:56.017,9,Frendy's Fantastic Team,DROPPED,Giancarlo Stanton,hitter,119.9,False
2026-04-28 04:09:56.017,9,Frendy's Fantastic Team,FA ADDED,Miguel Vargas,hitter,226.0,True
2026-04-27 10:33:01.088,4,Late Night Bettsing,FA ADDED,Carlos Correa,hitter,206.9,False
2026-04-27 10:33:01.088,4,Late Night Bettsing,DROPPED,Jacob Wilson,hitter,232.4,False
2026-04-26 16:22:19.347,2,Team Solomon,FA ADDED,Jeremy Pena,,0.0,False
2026-04-26 15:48:36.459,2,Team Solomon,FA ADDED,Nick Pivetta,pitcher,305.57085717863504,True
2026-04-26 15:48:36.459,2,Team Solomon,DROPPED,Willy Adames,hitter,181.0,False
2026-04-26 15:45:49.454,2,Team Solomon,DROPPED,Jordan Walker,hitter,219.2,False
2026-04-26 08:28:13.417,1,Boone's Bad Bullpen,FA ADDED,Keider Montero,pitcher,230.24668220108907,True
2026-04-26 08:28:13.417,1,Boone's Bad Bullpen,DROPPED,Paul Sewald,pitcher,186.3,False
2026-04-26 08:27:03.062,1,Boone's Bad Bullpen,FA ADDED,Landen Roupp,pitcher,242.51331001777208,True
2026-04-26 08:27:03.062,1,Boone's Bad Bullpen,DROPPED,Bryce Elder,pitcher,238.3042792147566,False
2026-04-25 09:39:53.337,1,Boone's Bad Bullpen,FA ADDED,Bryce Elder,pitcher,238.3042792147566,False
2026-04-25 09:39:53.337,1,Boone's Bad Bullpen,DROPPED,Alex Vesia,pitcher,143.9,False
2026-04-24 07:46:10.537,7,2015 Draft First Round,FA ADDED,Jakob Junis,pitcher,140.8,True
2026-04-23 19:38:04.550,8,New York Ligers,DROPPED,Michael Soroka,pitcher,234.22190138582764,False
2026-04-23 19:38:04.550,8,New York Ligers,FA ADDED,Will Warren,pitcher,270.20984434270196,True
2026-04-23 04:36:50.344,1,Boone's Bad Bullpen,WAIVER ADDED,Alex Vesia,pitcher,143.9,False
2026-04-23 04:36:50.344,1,Boone's Bad Bullpen,DROPPED,Kodai Senga,pitcher,234.8515061566481,False
2026-04-22 16:35:25.026,8,New York Ligers,DROPPED,Jeffrey Springs,pitcher,241.1234286916393,False
