date,pitcher,team_abbr,opp_team_abbr,is_home,gamePk,xfp_per_start,xfp_per_start_sched,rank,count_toward_cap,decision
2026-07-11,Freddy Peralta,NYM,BOS,True,823603,11.303349564171429,12.39,2,True,START
2026-07-11,Eury Perez,MIA,CLE,True,823844,11.963486918720358,12.5,1,True,START
2026-07-12,Jose Soriano,LAA,MIN,False,823681,11.944073452048071,11.9,3,True,START
