pitcher,tto1_delta_vs_overall,tto2_delta_vs_overall,tto3_delta_vs_overall,tto4_delta_vs_overall,tto1_pa,tto2_pa,tto3_pa,tto4_pa,tto1_rate,tto2_rate,tto3_rate,tto4_rate,overall_rate,total_pa,tto3_minus_tto1,player_name
458681,0.0419,0.0313,-0.1089,,1512.0,1489.0,1009.0,,-0.16137566137566137,-0.17192746809939558,-0.3121902874132805,,-0.20324189526184538,4010,-0.1508,Lance Lynn
458708,0.0197,-0.0943,,,676.0,141.0,,,-0.3683431952662722,-0.48226950354609927,,,-0.3880048959608323,817,,
459429,0.0,,,,809.0,,,,-0.2978986402966625,,,,-0.2978986402966625,809,,Jake McGee
461325,0.0,,,,665.0,,,,-0.19548872180451127,,,,-0.19548872180451127,665,,
461829,0.0415,-0.0347,-0.0191,,459.0,431.0,215.0,,-0.20915032679738563,-0.2853828306264501,-0.26976744186046514,,-0.2506787330316742,1105,-0.0606,
462136,0.0107,0.0924,-0.1911,,291.0,287.0,155.0,,-0.3917525773195876,-0.31010452961672474,-0.5935483870967742,,-0.4024556616643929,733,-0.2018,
465657,0.0,,,,692.0,,,,-0.13872832369942195,,,,-0.13872832369942195,692,,
467100,0.0251,0.0307,-0.0879,,563.0,551.0,353.0,,-0.32326820603907636,-0.3176043557168784,-0.43626062322946174,,-0.3483299250170416,1467,-0.113,Iván Nova
468504,0.0082,-0.011,-0.01,,993.0,527.0,232.0,,-0.27492447129909364,-0.29411764705882354,-0.29310344827586204,,-0.2831050228310502,1752,-0.0182,Jhoulys Chacín
471911,0.0253,-0.0163,-0.0236,,1295.0,1143.0,602.0,,-0.24015444015444015,-0.28171478565179353,-0.28903654485049834,,-0.2654605263157895,3040,-0.0489,Carlos Carrasco
472610,0.0,,,,1665.0,,,,-0.22402402402402402,,,,-0.22402402402402402,1665,,Luis García
474463,0.0499,-0.0291,-0.0525,,631.0,564.0,287.0,,-0.277337559429477,-0.35638297872340424,-0.3797909407665505,,-0.3272604588394062,1482,-0.1025,
475115,0.086,-0.0024,-0.1537,,335.0,278.0,183.0,,-0.20298507462686566,-0.29136690647482016,-0.4426229508196721,,-0.2889447236180904,796,-0.2396,
477132,0.0095,0.0078,-0.0297,,1356.0,1298.0,775.0,,-0.140117994100295,-0.14175654853620956,-0.17935483870967742,,-0.14960629921259844,3429,-0.0392,Clayton Kershaw
488768,0.0725,-0.0082,-0.1175,,549.0,449.0,307.0,,-0.28233151183970856,-0.36302895322939865,-0.4723127035830619,,-0.35478927203065136,1305,-0.19,
489119,0.0349,0.0043,-0.0776,,1013.0,948.0,508.0,,-0.23000987166831194,-0.26054852320675104,-0.3425196850393701,,-0.2648845686512758,2469,-0.1125,Wade Miley
489265,0.0,,,,869.0,,,,-0.21634062140391255,,,,-0.21634062140391255,869,,Sergio Romo
489334,0.0,,,,1166.0,,,,-0.18010291595197256,,,,-0.18010291595197256,1166,,Craig Stammen
489446,0.0,,,,1192.0,,,,-0.037751677852348994,,,,-0.037751677852348994,1192,,Kirby Yates
493603,0.0,,,,1633.0,,,,-0.1132884262094305,,,,-0.1132884262094305,1633,,Adam Ottavino
500779,0.0419,-0.0099,-0.0678,,1722.0,1591.0,833.0,,-0.20963995354239257,-0.26147077309868005,-0.31932773109243695,,-0.2515677761698022,4146,-0.1097,Jose Quintana
501381,0.0807,-0.1029,0.0364,,526.0,496.0,236.0,,-0.20152091254752852,-0.3850806451612903,-0.2457627118644068,,-0.2821939586645469,1258,-0.0442,Michael Pineda
501625,0.0,,,,855.0,,,,-0.21052631578947367,,,,-0.21052631578947367,855,,Jose Alvarez
501985,0.0998,-0.0501,-0.0733,,963.0,959.0,656.0,,-0.17757009345794392,-0.32742440041710114,-0.35060975609756095,,-0.2773467804499612,2578,-0.173,Mike Minor
502042,0.0306,-0.026,-0.017,,724.0,661.0,292.0,,-0.212707182320442,-0.2692889561270802,-0.2602739726027397,,-0.24329159212880144,1677,-0.0476,Chris Archer
502043,0.0405,-0.0187,-0.0334,,1731.0,1672.0,1163.0,,-0.2218370883882149,-0.2811004784688995,-0.29578675838349094,,-0.26237406920718354,4566,-0.0739,Kyle Gibson
502085,0.0,,,,1272.0,,,,-0.0959119496855346,,,,-0.0959119496855346,1272,,David Robertson
502171,0.0967,-0.0588,-0.0712,,962.0,928.0,540.0,,-0.158004158004158,-0.3135775862068966,-0.32592592592592595,,-0.2547325102880658,2430,-0.1679,Alex Cobb
502179,0.052,-0.0697,-0.0704,,581.0,349.0,84.0,,-0.2822719449225473,-0.4040114613180516,-0.40476190476190477,,-0.3343195266272189,1014,-0.1225,Paolo Espino
502188,-0.0063,0.0812,-0.1415,,375.0,369.0,195.0,,-0.2853333333333333,-0.1978319783197832,-0.4205128205128205,,-0.2790202342917998,939,-0.1352,
502190,0.0298,-0.018,-0.0146,,566.0,555.0,470.0,,-0.3215547703180212,-0.36936936936936937,-0.3659574468085106,,-0.35135135135135137,1591,-0.0444,
502202,0.0,,,,974.0,,,,-0.16632443531827515,,,,-0.16632443531827515,974,,Brad Boxberger
502239,0.0245,-0.0317,-0.0104,,548.0,375.0,146.0,,-0.2664233576642336,-0.32266666666666666,-0.3013698630136986,,-0.2909260991580917,1069,-0.0349,
502327,0.0287,-0.0815,,,512.0,180.0,,,-0.267578125,-0.37777777777777777,,,-0.29624277456647397,692,,
502624,-0.0089,0.0477,-0.127,,1107.0,837.0,237.0,,-0.3206865401987353,-0.2640382317801673,-0.4388185654008439,,-0.31178358551123336,2181,-0.1181,Chase Anderson
502706,0.0132,0.0119,-0.0849,,784.0,368.0,173.0,,-0.24872448979591838,-0.25,-0.3468208092485549,,-0.2618867924528302,1325,-0.0981,
502748,-0.002,-0.03,0.0803,,466.0,148.0,67.0,,-0.2017167381974249,-0.22972972972972974,-0.11940298507462686,,-0.19970631424375918,681,0.0823,
503449,0.0146,-0.1092,0.0912,,658.0,154.0,79.0,,-0.2917933130699088,-0.4155844155844156,-0.21518987341772153,,-0.3063973063973064,891,0.0766,Wily Peralta
506433,0.0224,0.0184,-0.0706,,1377.0,1349.0,788.0,,-0.1532316630355846,-0.15715344699777614,-0.24619289340101522,,-0.17558338076266364,3514,-0.093,Yu Darvish
517008,0.0,,,,1050.0,,,,-0.24,,,,-0.24,1050,,Alex Colomé
518397,0.0,,,,923.0,,,,-0.26543878656554715,,,,-0.26543878656554715,923,,Scott Alexander
518452,0.023,-0.0785,0.0479,,462.0,213.0,127.0,,-0.3398268398268398,-0.4413145539906103,-0.31496062992125984,,-0.3628428927680798,802,0.0249,
518489,0.0,,,,1119.0,,,,-0.18230563002680966,,,,-0.18230563002680966,1119,,Ryan Brasier
518516,0.0565,-0.0067,-0.0713,,1030.0,1009.0,722.0,,-0.22815533980582525,-0.29137760158572845,-0.3559556786703601,,-0.2846794639623325,2761,-0.1278,Madison Bumgarner
518553,0.0,,,,1148.0,,,,-0.18292682926829268,,,,-0.18292682926829268,1148,,Steve Cishek
518585,0.0,,,,884.0,,,,-0.0746606334841629,,,,-0.0746606334841629,884,,Fernando Cruz
518617,0.0,,,,1442.0,,,,-0.1754507628294036,,,,-0.1754507628294036,1442,,Jake Diekman
518633,0.0554,-0.0252,-0.0475,,568.0,533.0,381.0,,-0.198943661971831,-0.2795497185741088,-0.30183727034120733,,-0.2543859649122807,1482,-0.1029,Danny Duffy
518774,0.0576,-0.0156,-0.0991,,638.0,594.0,277.0,,-0.2836990595611285,-0.3569023569023569,-0.4404332129963899,,-0.3412856196156395,1509,-0.1567,
518813,0.0,,,,627.0,,,,-0.23444976076555024,,,,-0.23444976076555024,627,,
518876,0.0061,0.0088,-0.0223,,1539.0,1522.0,1028.0,,-0.22742040285899934,-0.22470433639947437,-0.25583657587548636,,-0.2335534360479335,4089,-0.0284,Merrill Kelly
518886,0.0,,,,1422.0,,,,-0.08579465541490858,,,,-0.08579465541490858,1422,,Craig Kimbrel
519008,0.0055,-0.0942,,,1083.0,63.0,,,-0.31301939058171746,-0.4126984126984127,,,-0.31849912739965097,1146,,T.J. McFarland
519043,0.0436,-0.2071,0.0318,,1201.0,268.0,99.0,,-0.23064113238967526,-0.48134328358208955,-0.24242424242424243,,-0.274234693877551,1568,-0.0118,Matt Moore
519141,0.0629,-0.2011,0.0098,,818.0,260.0,85.0,,-0.1821515892420538,-0.4461538461538462,-0.23529411764705882,,-0.24505588993981084,1163,-0.0531,Drew Pomeranz
519144,0.0423,0.0135,-0.0797,,581.0,566.0,404.0,,-0.22203098106712565,-0.2508833922261484,-0.34405940594059403,,-0.26434558349451964,1551,-0.122,
519151,0.0,,,,1621.0,,,,-0.09068476249228871,,,,-0.09068476249228871,1621,,Ryan Pressly
519242,0.0588,-0.0483,-0.0201,,1253.0,1218.0,737.0,,-0.011971268954509178,-0.11904761904761904,-0.09090909090909091,,-0.07076059850374065,3208,-0.0789,Chris Sale
519293,0.0,,,,1423.0,,,,-0.151791988756149,,,,-0.151791988756149,1423,,Will Smith
519326,0.0,,,,1216.0,,,,-0.2680921052631579,,,,-0.2680921052631579,1216,,Hunter Strickland
519455,0.0138,-0.017,0.0052,,441.0,423.0,215.0,,-0.3356009070294785,-0.3664302600472813,-0.34418604651162793,,-0.3493975903614458,1079,-0.0086,
521230,0.0,,,,1016.0,,,,-0.023622047244094488,,,,-0.023622047244094488,1016,,Liam Hendriks
523260,0.0,,,,1168.0,,,,-0.14554794520547945,,,,-0.14554794520547945,1168,,Joe Kelly
527048,0.0505,-0.0289,-0.0517,,1686.0,1434.0,844.0,,-0.24970344009489917,-0.3291492329149233,-0.3518957345971564,,-0.3002018163471241,3964,-0.1022,Martín Pérez
527054,0.026,-0.0043,-0.04,,717.0,687.0,392.0,,-0.22733612273361228,-0.2576419213973799,-0.29336734693877553,,-0.25334075723830735,1796,-0.066,Julio Teheran
541640,0.0009,-0.0048,,,876.0,171.0,,,-0.3276255707762557,-0.3333333333333333,,,-0.32855778414517667,1047,,Erasmo Ramírez
542585,0.0,,,,871.0,,,,-0.22732491389207807,,,,-0.22732491389207807,871,,José Cisnero
542881,-0.0055,0.0197,-0.0226,,1634.0,1593.0,987.0,,-0.28886168910648713,-0.263653483992467,-0.3059777102330294,,-0.28334124347413386,4214,-0.0171,Tyler Anderson
542882,0.0152,-0.1489,,,815.0,83.0,,,-0.25766871165644173,-0.42168674698795183,,,-0.2728285077951002,898,,Matt Andriese
542888,0.0,,,,1580.0,,,,-0.1981012658227848,,,,-0.1981012658227848,1580,,Shawn Armstrong
