rank,batter,player_name,team,primary_position,pa_to,lineup_spot_to,prior_fp_per_pa,xfp_rh3_april_per_pa,xfp_rh3_april_per_game,xfp_rh3_april_sigma,xfp_rh3_april_p25,xfp_rh3_april_p75,expected_pa_remaining,expected_total_fp_remaining
1,670541,Yordan Alvarez,HOU,OF,125,2.0,0.7213123153700332,0.7435767446556204,2.6,0.10530860949063112,0.6725460875541898,0.814607401757051,550.0,409.0
2,608070,José Ramírez,CLE,3B,122,3.0,0.7792749489813152,0.6900312155102704,2.42,0.10530860949063112,0.6190005584088397,0.761061872611701,537.0,370.5
3,592450,Aaron Judge,NYY,OF,114,2.1153846153846154,0.8608110755526889,0.6897474326786581,2.41,0.10530860949063112,0.6187167755772275,0.7607780897800888,502.0,346.3
4,660271,Shohei Ohtani,LAD,TWP,125,1.0,0.8299945903069822,0.6753777477023679,2.36,0.10530860949063112,0.6043470906009373,0.7464084048037986,550.0,371.5
5,518692,Freddie Freeman,LAD,1B,110,3.72,0.6837325165397024,0.6320557758019765,2.21,0.10530860949063112,0.5610251187005458,0.7030864329034071,484.0,305.9
6,677951,Bobby Witt Jr.,KC,SS,120,2.0,0.7337167492319367,0.6311507848901464,2.21,0.10530860949063112,0.5601201277887158,0.7021814419915771,528.0,333.2
7,686948,Drake Baldwin,ATL,C,130,2.0,0.6544914498673593,0.6264184354716988,2.19,0.10530860949063112,0.5553877783702682,0.6974490925731295,572.0,358.3
8,691406,Junior Caminero,TB,3B,118,3.0,0.6389681819261163,0.6211612428674115,2.17,0.10530860949063112,0.5501305857659808,0.6921918999688421,519.0,322.4
9,701762,Nick Kurtz,ATH,1B,120,1.6923076923076923,0.7001563106330879,0.6163191994324937,2.16,0.10530860949063112,0.545288542331063,0.6873498565339243,528.0,325.4
10,665489,Vladimir Guerrero Jr.,TOR,1B,111,3.0,0.6760035834927298,0.6144761179725001,2.15,0.10530860949063112,0.5434454608710695,0.6855067750739308,488.0,299.9
11,700250,Ben Rice,NYY,1B,102,3.6666666666666665,0.5723056414851929,0.610560212984694,2.14,0.10530860949063112,0.5395295558832633,0.6815908700861246,449.0,274.1
12,621566,Matt Olson,ATL,1B,127,3.2857142857142856,0.6148923156706194,0.6085695875924183,2.13,0.10530860949063112,0.5375389304909877,0.6796002446938489,559.0,340.2
13,701398,Sal Stewart,CIN,1B,119,4.0,0.5722739248524144,0.6003840709238301,2.1,0.10530860949063112,0.5293534138223994,0.6714147280252607,524.0,314.6
14,682829,Elly De La Cruz,CIN,SS,123,3.0,0.5428552986089568,0.6001106251404027,2.1,0.10530860949063112,0.5290799680389721,0.6711412822418333,541.0,324.7
15,671739,Michael Harris II,ATL,OF,96,7.434782608695652,0.5091564871456387,0.5989685345969807,2.1,0.10530860949063112,0.5279378774955501,0.6699991916984114,422.0,252.8
16,660670,Ronald Acuña Jr.,ATL,OF,128,1.0,0.759838263250081,0.5976688793848987,2.09,0.10530860949063112,0.526638222283468,0.6686995364863293,563.0,336.5
17,641355,Cody Bellinger,NYY,OF,108,3.208333333333333,0.6720105166950368,0.5971113052934598,2.09,0.10530860949063112,0.5260806481920292,0.6681419623948904,475.0,283.6
18,606466,Ketel Marte,AZ,2B,109,1.0833333333333333,0.7082469680905277,0.5970768805802726,2.09,0.10530860949063112,0.526046223478842,0.6681075376817033,480.0,286.6
19,666126,Carlos Cortes,ATH,OF,63,6.0625,0.5617470837088964,0.596233302053393,2.09,0.10530860949063112,0.5252026449519623,0.6672639591548236,277.0,165.2
20,695578,James Wood,WSH,OF,137,1.0,0.5001827349945398,0.5961831149431547,2.09,0.10530860949063112,0.525152457841724,0.6672137720445853,603.0,359.5
21,663538,Nico Hoerner,CHC,2B,126,1.8888888888888888,0.608859856882059,0.5921058811456091,2.07,0.10530860949063112,0.5210752240441785,0.6631365382470398,554.0,328.0
22,694208,Moisés Ballesteros,CHC,C,65,6.111111111111111,0.6234230625994018,0.5906315609602945,2.07,0.10530860949063112,0.5196009038588638,0.6616622180617251,286.0,168.9
23,682998,Corbin Carroll,AZ,OF,100,2.083333333333333,0.6805055220616969,0.5846954816748946,2.05,0.10530860949063112,0.513664824573464,0.6557261387763252,440.0,257.3
24,671056,Iván Herrera,STL,C,120,2.0,0.5912612066221952,0.582023628944073,2.04,0.10530860949063112,0.5109929718426424,0.6530542860455036,528.0,307.3
25,683002,Gunnar Henderson,BAL,SS,128,1.5925925925925926,0.6091758232496869,0.5817691532582862,2.04,0.10530860949063112,0.5107384961568555,0.6527998103597168,563.0,327.5
26,650490,Yandy Díaz,TB,1B,116,2.269230769230769,0.6075928509137211,0.581734490832889,2.04,0.10530860949063112,0.5107038337314583,0.6527651479343196,510.0,296.7
27,682928,CJ Abrams,WSH,SS,114,4.769230769230769,0.5614529848855127,0.5812617674790782,2.03,0.10530860949063112,0.5102311103776476,0.6522924245805088,502.0,291.8
28,547180,Bryce Harper,PHI,1B,115,3.0,0.6334913554361998,0.5811738950982074,2.03,0.10530860949063112,0.5101432379967767,0.652204552199638,506.0,294.1
29,571970,Max Muncy,LAD,3B,104,5.6,0.6445234132106533,0.580767280887699,2.03,0.10530860949063112,0.5097366237862684,0.6517979379891297,458.0,266.0
30,668930,Brice Turang,MIL,2B,114,1.4583333333333333,0.5145414352524847,0.5789149384832903,2.03,0.10530860949063112,0.5078842813818597,0.649945595584721,502.0,290.6
31,608324,Alex Bregman,CHC,3B,126,2.4444444444444446,0.6331640842132005,0.5784759720691326,2.02,0.10530860949063112,0.507445314967702,0.6495066291705632,554.0,320.5
