board_rank,name,team,own,per_start,src,rp3_rank,inj,mlbam,k,player_id,avail,ret_source,xfp_ros,xfp_po
1,Bryce Miller,Sea,39.5,12.54,rp3_dd,38,,,bryce miller,4654313,2026-08-24,heuristic,74.6,45.1
2,Emmet Sheehan,LAD,39.1,12.39,rp3_dd,43,,,emmet sheehan,4417806,2026-08-24,heuristic,73.7,44.6
3,Walbert Urena,LAA,21.2,12.19,rp3_dd,47,,,walbert urena,5197476,2026-08-24,heuristic,72.5,43.9
4,Aaron Nola,Phi,43.0,11.98,rp3_dd,52,,,aaron nola,33709,2026-08-24,heuristic,71.3,43.1
5,Roki Sasaki,LAD,31.1,11.56,rp3_dd,62,,,roki sasaki,5134638,2026-08-24,heuristic,68.8,41.6
6,Kyle Bradish,Bal,65.5,11.44,rp3_dd,67,,,kyle bradish,4311625,2026-08-24,heuristic,68.1,41.2
7,Carlos Rodon,NYY,60.1,11.39,rp3_dd,69,,,carlos rodon,33696,2026-08-24,heuristic,67.8,41.0
8,Luis Castillo,ChW,47.0,11.25,rp3_dd,78,,,luis castillo,35124,2026-08-24,heuristic,66.9,40.5
9,Tyler Mahle,Atl,17.7,11.11,rp3_dd,80,,,tyler mahle,34973,2026-08-24,heuristic,66.1,40.0
10,Shane Drohan,Mil,8.7,11.05,rp3_dd,81,,,shane drohan,4315203,2026-08-24,heuristic,65.7,39.8
11,Christian Scott,NYM,10.8,11.0,rp3_dd,83,,,christian scott,4414215,2026-08-24,heuristic,65.4,39.6
12,Tatsuya Imai,Hou,14.5,10.93,rp3_dd,84,,,tatsuya imai,5330833,2026-08-24,heuristic,65.0,39.3
13,Emerson Hancock,Sea,65.0,10.85,rp3_dd,87,,,emerson hancock,4297897,2026-08-24,heuristic,64.6,39.1
14,Drew Anderson,Det,0.9,10.86,rp3_dd,86,,,drew anderson,41125,2026-08-24,heuristic,64.6,39.1
15,Chad Patrick,Mil,4.7,10.71,rp3_dd,92,,,chad patrick,5131708,2026-08-24,heuristic,63.7,38.6
16,Bubba Chandler,Pit,20.9,10.7,rp3_dd,93,,,bubba chandler,4683325,2026-08-24,heuristic,63.7,38.5
17,Jake Bennett,Bos,26.0,10.68,rp3_dd,94,,,jake bennett,4654024,2026-08-24,heuristic,63.5,38.4
18,Michael Wacha,KC,61.0,10.59,rp3_dd,95,,,michael wacha,32640,2026-08-24,heuristic,63.0,38.1
19,Kai-Wei Teng,Hou,0.6,10.49,rp3_dd,97,,,kai wei teng,42242,2026-08-24,heuristic,62.4,37.8
20,Dean Kremer,Min,3.5,10.48,rp3_dd,98,,,dean kremer,38295,2026-08-24,heuristic,62.4,37.7
21,Sean Manaea,NYM,9.8,10.47,rp3_dd,99,,,sean manaea,33244,2026-08-24,heuristic,62.3,37.7
22,Kodai Senga,NYM,10.3,10.46,rp3_dd,100,,,kodai senga,4142421,2026-08-24,heuristic,62.2,37.7
23,Dustin May,Mil,15.8,10.45,rp3_dd,102,,,dustin may,40937,2026-08-24,heuristic,62.2,37.6
24,Andrew Morris,Min,1.1,10.41,rp3_dd,104,,,andrew morris,5007765,2026-08-24,heuristic,61.9,37.5
25,Tyler Wells,TB,2.4,10.41,talent_prior,103,,,tyler wells,4717904,2026-08-24,heuristic,61.9,37.5
26,Kendry Rojas,Min,0.1,10.38,rp3_dd,105,,,kendry rojas,5296012,2026-08-24,heuristic,61.8,37.4
27,Connor Prielipp,Min,1.7,10.24,rp3_dd,113,,,connor prielipp,4620001,2026-08-24,heuristic,60.9,36.9
28,Andrew Abbott,Cin,40.8,10.2,rp3_dd,116,,,andrew abbott,4414528,2026-08-24,heuristic,60.7,36.7
