board_rank,name,team,own,per_start,src,rp3_rank,inj,mlbam,k,player_id,avail,ret_source,xfp_ros,xfp_po
29,Brandon Sproat,Mil,1.7,10.2,rp3_dd,117,,,brandon sproat,4621041,2026-08-24,heuristic,60.7,36.7
30,Nestor Cortes,Phi,0.1,10.14,talent_prior,120,,,nestor cortes,36480,2026-08-24,heuristic,60.3,36.5
31,Landen Roupp,SF,20.6,9.96,rp3_dd,127,,,landen roupp,4345404,2026-08-24,heuristic,59.3,35.9
32,Clayton Kershaw,FA,0.1,9.94,talent_prior,128,,,clayton kershaw,28963,2026-08-24,heuristic,59.1,35.8
33,Grant Holmes,Atl,10.7,9.93,rp3_dd,131,,,grant holmes,33840,2026-08-24,heuristic,59.1,35.7
34,Brady Singer,Cin,8.4,9.91,rp3_dd,133,,,brady singer,41172,2026-08-24,heuristic,59.0,35.7
35,Yusei Kikuchi,LAA,7.2,9.92,rp3_dd,132,,,yusei kikuchi,41415,2026-08-24,heuristic,59.0,35.7
36,Will Warren,NYY,36.1,9.86,rp3_dd,134,,,will warren,5132011,2026-08-24,heuristic,58.7,35.5
37,George Klassen,LAA,13.9,9.85,rp3_dd,136,,,george klassen,5134517,2026-08-24,heuristic,58.6,35.5
38,J.T. Ginn,Oak,16.4,9.83,rp3_dd,138,,,jt ginn,4414002,2026-08-24,heuristic,58.5,35.4
39,Matthew Liberatore,StL,4.3,9.8,rp3_dd,139,,,matthew liberatore,41173,2026-08-24,heuristic,58.3,35.3
40,Ronel Blanco,Hou,0.5,9.78,rp3_dd,140,,,ronel blanco,41829,2026-08-24,heuristic,58.2,35.2
41,Keider Montero,Det,16.6,9.72,rp3_dd,145,,,keider montero,5182933,2026-08-24,heuristic,57.8,35.0
42,Grayson Rodriguez,LAA,2.4,9.72,rp3_dd,148,,,grayson rodriguez,41196,2026-08-24,heuristic,57.8,35.0
43,Robbie Ray,SD,73.2,9.68,rp3_dd,151,,,robbie ray,32175,2026-08-24,heuristic,57.6,34.8
44,Griffin Canning,SD,0.3,9.65,rp3_dd,152,,,griffin canning,41065,2026-08-24,heuristic,57.4,34.7
45,Blade Tidwell,SF,0.8,9.6,rp3_dd,156,,,blade tidwell,4719088,2026-08-24,heuristic,57.1,34.6
46,Jacob Lopez,Oak,10.0,9.58,rp3_dd,158,,,jacob lopez,42239,2026-08-24,heuristic,57.0,34.5
47,Joe Boyle,TB,0.4,9.55,rp3_dd,161,,,joe boyle,4298087,2026-08-24,heuristic,56.8,34.4
48,Robert Stock,NYM,0.3,9.51,rp3_dd,163,,,robert stock,30577,2026-08-24,heuristic,56.6,34.2
49,Robert Gasser,Mil,3.5,9.49,rp3_dd,165,,,robert gasser,4918251,2026-08-24,heuristic,56.5,34.2
50,Matthew Boyd,ChC,52.7,9.48,rp3_dd,167,,,matthew boyd,34401,2026-08-24,heuristic,56.4,34.1
51,Cody Bradford,Tex,2.3,9.44,rp3_dd,170,,,cody bradford,4142539,2026-08-24,heuristic,56.2,34.0
52,David Peterson,ChC,5.9,9.42,rp3_dd,172,,,david peterson,40921,2026-08-24,heuristic,56.0,33.9
53,Julio Urias,FA,0.0,9.4,talent_prior,174,,,julio urias,33223,2026-08-24,heuristic,55.9,33.8
54,Anthony Kay,ChW,6.9,9.37,rp3_dd,176,,,anthony kay,40947,2026-08-24,heuristic,55.8,33.7
55,Ty Madden,Det,0.4,9.35,rp3_dd,179,,,ty madden,4414347,2026-08-24,heuristic,55.6,33.7
56,Ryan Gusto,Mia,0.4,9.25,rp3_dd,183,,,ryan gusto,5131986,2026-08-24,heuristic,55.0,33.3
57,Andrew Painter,Phi,8.7,9.25,rp3_dd,182,,,andrew painter,4872683,2026-08-24,heuristic,55.0,33.3
58,Brayan Bello,Bos,5.5,9.19,rp3_dd,185,,,brayan bello,4720856,2026-08-24,heuristic,54.7,33.1
59,Shane Smith,ChW,1.6,9.19,rp3_dd,187,,,shane smith,5201814,2026-08-24,heuristic,54.7,33.1
60,Spencer Miles,Tor,0.9,9.18,rp3_dd,188,,,spencer miles,4833671,2026-08-24,heuristic,54.6,33.0
61,Wade Miley,FA,0.0,9.16,talent_prior,192,,,wade miley,31094,2026-08-24,heuristic,54.5,33.0
62,Jake Irvin,Wsh,0.7,9.14,rp3_dd,193,,,jake irvin,41290,2026-08-24,heuristic,54.4,32.9
63,Cristian Javier,Hou,2.6,9.12,rp3_dd,194,,,cristian javier,41261,2026-08-24,heuristic,54.3,32.8
64,Eduardo Rivera,Bos,0.0,9.1,rp3_dd,195,,,eduardo rivera,5265014,2026-08-24,heuristic,54.1,32.8
65,Ryan Bergert,KC,0.0,9.08,talent_prior,196,,,ryan bergert,5196249,2026-08-24,heuristic,54.0,32.7
66,Andrew Alvarez,Wsh,2.6,9.06,rp3_dd,197,,,andrew alvarez,4300668,2026-08-24,heuristic,53.9,32.6
67,Aaron Civale,ChC,1.5,9.03,rp3_dd,199,,,aaron civale,40934,2026-08-24,heuristic,53.7,32.5
68,Spencer Arrighetti,Tor,11.7,8.99,rp3_dd,201,,,spencer arrighetti,4726080,2026-08-24,heuristic,53.5,32.4
69,Walker Buehler,SD,10.5,8.93,rp3_dd,204,,,walker buehler,39251,2026-08-24,heuristic,53.1,32.1
70,Zebby Matthews,Min,8.4,8.93,rp3_dd,206,,,zebby matthews,4791597,2026-08-24,heuristic,53.1,32.1
71,Quinn Mathews,StL,1.3,8.93,rp3_dd,205,,,quinn mathews,4837405,2026-08-24,heuristic,53.1,32.1
72,Adrian Houser,SF,1.5,8.9,rp3_dd,207,,,adrian houser,32157,2026-08-24,heuristic,53.0,32.0
73,Patrick Sandoval,Bos,2.1,8.85,rp3_dd,211,,,patrick sandoval,40975,2026-08-24,heuristic,52.7,31.9
74,Hayden Wesneski,Hou,4.8,8.84,rp3_dd,213,,,hayden wesneski,42996,2026-08-24,heuristic,52.6,31.8
75,J.P. France,Hou,0.0,8.81,talent_prior,215,,,jp france,3662290,2026-08-24,heuristic,52.4,31.7
76,Kumar Rocker,Tex,5.5,8.76,rp3_dd,217,,,kumar rocker,4414525,2026-08-24,heuristic,52.1,31.5
77,Kyle Gibson,FA,0.0,8.71,talent_prior,219,,,kyle gibson,31053,2026-08-24,heuristic,51.8,31.4
78,Jack Leiter,Tex,10.9,10.45,rp3_dd,101,SIXTY_DAY_DL,,jack leiter,4622181,2026-08-30,explicit,51.5,32.1
79,Bailey Ober,Min,15.6,8.61,rp3_dd,226,,,bailey ober,3107919,2026-08-24,heuristic,51.2,31.0
80,Gabriel Hughes,Col,0.3,8.61,rp3_dd,225,,,gabriel hughes,4634930,2026-08-24,heuristic,51.2,31.0
81,Reynaldo Lopez,Atl,4.7,9.7,rp3_dd,149,FIFTEEN_DAY_DL,,reynaldo lopez,33860,2026-08-28,explicit,51.1,31.8
82,Noah Schultz,ChW,2.1,8.57,rp3_dd,227,,,noah schultz,5080754,2026-08-24,heuristic,51.0,30.9
83,Cal Quantrill,Tex,16.7,8.53,rp3_dd,228,,,cal quantrill,39875,2026-08-24,heuristic,50.8,30.7
84,JP Sears,SD,0.4,8.45,rp3_dd,236,,,jp sears,39818,2026-08-24,heuristic,50.3,30.4
85,Colin Rea,ChC,2.9,8.46,rp3_dd,234,,,colin rea,33950,2026-08-24,heuristic,50.3,30.5
86,Eric Lauer,LAD,4.5,8.44,rp3_dd,237,,,eric lauer,39915,2026-08-24,heuristic,50.2,30.4
87,Jackson Jobe,Det,9.6,8.38,rp3_dd,243,,,jackson jobe,4872647,2026-08-24,heuristic,49.9,30.2
88,Jackson Kent,Wsh,0.4,8.35,rp3_dd,249,,,jackson kent,5007807,2026-08-24,heuristic,49.7,30.1
89,Merrill Kelly,Ari,20.5,8.36,rp3_dd,247,,,merrill kelly,32968,2026-08-24,heuristic,49.7,30.1
90,Brandon Young,Bal,15.5,8.36,rp3_dd,246,,,brandon young,4414339,2026-08-24,heuristic,49.7,30.1
91,Alan Rangel,Phi,0.1,8.35,rp3_dd,250,,,alan rangel,4917631,2026-08-24,heuristic,49.7,30.1
92,Tanner Gordon,Col,0.1,8.31,rp3_dd,252,,,tanner gordon,4415658,2026-08-24,heuristic,49.4,29.9
93,Ben Lively,Cle,0.0,8.3,talent_prior,253,,,ben lively,33194,2026-08-24,heuristic,49.4,29.9
94,Randy Vasquez,SD,13.1,8.24,rp3_dd,256,,,randy vasquez,4722847,2026-08-24,heuristic,49.0,29.7
95,Max Scherzer,Tor,2.6,8.22,rp3_dd,258,,,max scherzer,28976,2026-08-24,heuristic,48.9,29.6
96,Ryan Feltner,Col,0.6,8.22,rp3_dd,257,,,ryan feltner,4019484,2026-08-24,heuristic,48.9,29.6
97,AJ Smith-Shawver,Atl,2.1,8.2,rp3_dd,259,,,aj smith shawver,4917640,2026-08-24,heuristic,48.8,29.5
98,Luis Gil,NYY,0.9,8.17,rp3_dd,262,,,luis gil,40626,2026-08-24,heuristic,48.6,29.4
99,Martin Perez,Atl,9.2,8.11,rp3_dd,264,,,martin perez,31098,2026-08-24,heuristic,48.3,29.2
100,Rhett Lowder,Cin,2.8,8.1,rp3_dd,265,,,rhett lowder,4758873,2026-08-24,heuristic,48.2,29.2
101,JR Ritchie,Atl,1.4,8.07,rp3_dd,267,,,jr ritchie,5080757,2026-08-24,heuristic,48.0,29.1
102,Trey Gibson,Bal,0.1,8.06,rp3_dd,269,,,trey gibson,4867802,2026-08-24,heuristic,48.0,29.0
103,Chris Bassitt,Bal,2.9,8.04,rp3_dd,271,,,chris bassitt,33148,2026-08-24,heuristic,47.8,28.9
104,Javier Assad,ChC,2.0,8.02,rp3_dd,275,,,javier assad,5002950,2026-08-24,heuristic,47.7,28.9
105,Jose Cabrera,Ari,0.1,8.0,rp3_dd,276,,,jose cabrera,5270084,2026-08-24,heuristic,47.6,28.8
106,Cade Povich,Bal,0.5,8.0,rp3_dd,277,,,cade povich,5085743,2026-08-24,heuristic,47.6,28.8
107,Gavin Stone,LAD,0.2,10.35,talent_prior,109,SIXTY_DAY_DL,,gavin stone,4417230,2026-09-01,explicit,47.5,29.6
108,Lance Lynn,FA,0.0,7.98,talent_prior,278,,,lance lynn,30820,2026-08-24,heuristic,47.5,28.7
109,Hurston Waldrep,Atl,0.6,7.91,rp3_dd,280,,,hurston waldrep,4740117,2026-08-24,heuristic,47.1,28.5
110,Braxton Garrett,ChC,0.5,7.89,rp3_dd,281,,,braxton garrett,40971,2026-08-24,heuristic,46.9,28.4
111,Elmer Rodriguez,NYY,0.5,7.86,rp3_dd,282,,,elmer rodriguez,5194637,2026-08-24,heuristic,46.8,28.3
112,Jason Alexander,Hou,0.0,7.84,rp3_dd,283,,,jason alexander,41849,2026-08-24,heuristic,46.6,28.2
113,Tyler Anderson,LAA,0.1,7.79,talent_prior,284,,,tyler anderson,32151,2026-08-24,heuristic,46.4,28.0
114,Carson Whisenhunt,SF,0.7,7.79,rp3_dd,285,,,carson whisenhunt,4626232,2026-08-24,heuristic,46.4,28.0
115,Jordan Montgomery,Tex,0.1,7.78,talent_prior,288,,,jordan montgomery,38173,2026-08-24,heuristic,46.3,28.0
116,Andrew Heaney,FA,0.0,7.78,talent_prior,287,,,andrew heaney,32672,2026-08-24,heuristic,46.3,28.0
117,Edward Cabrera,ChC,18.9,10.08,rp3_dd,123,FIFTEEN_DAY_DL,,edward cabrera,40944,2026-09-01,explicit,46.3,28.8
118,Matt Wilkinson,SF,0.3,7.78,rp3_dd,289,,,matt wilkinson,5339226,2026-08-24,heuristic,46.3,28.0
119,Davis Martin,ChW,33.2,9.37,rp3_dd,175,FIFTEEN_DAY_DL,,davis martin,42823,2026-08-30,explicit,46.2,28.8
120,Randy Dobnak,KC,3.8,7.77,rp3_dd,291,,,randy dobnak,42214,2026-08-24,heuristic,46.2,28.0
121,Lance McCullers Jr.,FA,1.7,7.7,rp3_dd,294,,,lance mccullers,32764,2026-08-24,heuristic,45.8,27.7
122,Janson Junk,Mia,2.9,7.68,rp3_dd,295,,,janson junk,4881980,2026-08-24,heuristic,45.7,27.6
123,Erick Fedde,ChW,1.1,7.65,rp3_dd,298,,,erick fedde,33793,2026-08-24,heuristic,45.5,27.5
124,Jameson Taillon,Tor,2.4,9.52,rp3_dd,162,FIFTEEN_DAY_DL,,jameson taillon,31258,2026-08-31,explicit,45.3,28.2
125,Michael McGreevy,StL,17.9,7.6,rp3_dd,299,,,michael mcgreevy,4424141,2026-08-24,heuristic,45.2,27.4
126,Charlie Morton,FA,0.1,7.53,talent_prior,301,,,charlie morton,29155,2026-08-24,heuristic,44.8,27.1
127,Jeffrey Springs,Oak,7.9,7.48,rp3_dd,304,,,jeffrey springs,35397,2026-08-24,heuristic,44.5,26.9
128,Ryne Nelson,Ari,3.4,9.68,rp3_dd,150,SIXTY_DAY_DL,,ryne nelson,4916269,2026-09-01,explicit,44.4,27.7
129,Joey Estes,Oak,0.0,7.37,talent_prior,305,,,joey estes,4917636,2026-08-24,heuristic,43.9,26.5
130,Chris Paddack,Tex,0.1,7.36,rp3_dd,307,,,chris paddack,35999,2026-08-24,heuristic,43.8,26.5
131,Marcus Stroman,FA,0.1,7.33,talent_prior,308,,,marcus stroman,32815,2026-08-24,heuristic,43.6,26.4
132,Coleman Crow,Mil,0.1,7.28,rp3_dd,311,,,coleman crow,5127100,2026-08-24,heuristic,43.3,26.2
133,Mason Barnett,Oak,0.1,7.26,rp3_dd,313,,,mason barnett,4620704,2026-08-24,heuristic,43.2,26.1
134,Michael Lorenzen,FA,0.4,7.25,rp3_dd,314,,,michael lorenzen,33252,2026-08-24,heuristic,43.1,26.1
135,Slade Cecconi,Cle,1.4,9.36,rp3_dd,177,FIFTEEN_DAY_DL,,slade cecconi,41462,2026-09-01,explicit,43.0,26.8
136,Mitch Bratt,Ari,1.7,7.18,rp3_dd,317,,,mitch bratt,5123768,2026-08-24,heuristic,42.7,25.8
137,Chase Petty,Cin,0.1,7.11,rp3_dd,319,,,chase petty,4872687,2026-08-24,heuristic,42.3,25.6
138,Jose Suarez,Oak,0.1,7.52,rp3_dd,303,FIFTEEN_DAY_DL,,jose suarez,40981,2026-08-26,explicit,42.2,26.3
139,Cole Irvin,LAD,0.0,7.08,talent_prior,321,,,cole irvin,39869,2026-08-24,heuristic,42.1,25.5
140,Matt Waldron,Wsh,0.1,7.08,rp3_dd,322,,,matt waldron,4020158,2026-08-24,heuristic,42.1,25.5
141,Mike Burrows,Hou,1.6,8.48,rp3_dd,233,FIFTEEN_DAY_DL,,mike burrows,4918155,2026-08-30,explicit,41.8,26.0
142,Sam Aldegheri,LAA,0.1,6.96,rp3_dd,326,,,sam aldegheri,5221123,2026-08-24,heuristic,41.4,25.1
143,Logan Allen,Cle,0.2,6.92,talent_prior,327,,,logan allen,4683350,2026-08-24,heuristic,41.2,24.9
144,Kyle Hendricks,FA,0.0,6.9,talent_prior,328,,,kyle hendricks,33173,2026-08-24,heuristic,41.1,24.8
145,Zack Littell,Ari,1.4,6.89,rp3_dd,330,,,zack littell,36052,2026-08-24,heuristic,41.0,24.8
146,Bailey Falter,Atl,0.0,6.82,rp3_dd,331,,,bailey falter,4705677,2026-08-24,heuristic,40.6,24.6
147,Andre Pallante,StL,15.0,9.19,rp3_dd,186,FIFTEEN_DAY_DL,,andre pallante,4109034,2026-09-02,explicit,40.6,25.3
148,Cooper Criswell,Sea,0.1,7.68,talent_prior,296,SIXTY_DAY_DL,,cooper criswell,4326801,2026-08-28,explicit,40.5,25.2
149,Jesse Scholtens,TB,0.2,6.64,rp3_dd,336,,,jesse scholtens,41452,2026-08-24,heuristic,39.5,23.9
150,Trevor Williams,Wsh,0.1,6.6,talent_prior,338,,,trevor williams,33305,2026-08-24,heuristic,39.3,23.8
151,Kohl Drake,Ari,0.2,6.6,rp3_dd,339,,,kohl drake,5264737,2026-08-24,heuristic,39.3,23.8
152,Colton Gordon,Hou,0.0,6.58,talent_prior,340,,,colton gordon,5133837,2026-08-24,heuristic,39.2,23.7
153,Luis Morales,Oak,0.1,6.58,rp3_dd,341,,,luis morales,5150939,2026-08-24,heuristic,39.2,23.7
154,Carson Palmquist,Wsh,0.0,6.56,rp3_dd,344,,,carson palmquist,4621424,2026-08-24,heuristic,39.0,23.6
155,Jonathan Cannon,ChW,0.0,6.35,talent_prior,348,,,jonathan cannon,4620398,2026-08-24,heuristic,37.8,22.9
156,Simeon Woods Richardson,Tor,0.3,6.32,rp3_dd,349,,,simeon woods richardson,41383,2026-08-24,heuristic,37.6,22.8
157,Jack Flaherty,Det,30.0,11.02,rp3_dd,82,FIFTEEN_DAY_DL,,jack flaherty,33837,2026-09-08,explicit,37.5,23.3
158,Sean Sullivan,Col,0.0,6.21,rp3_dd,351,,,sean sullivan,5128694,2026-08-24,heuristic,36.9,22.4
159,Zac Gallen,Ari,33.1,8.02,rp3_dd,274,SIXTY_DAY_DL,,zac gallen,39910,2026-09-01,explicit,36.8,22.9
160,Miles Mikolas,FA,0.3,6.19,rp3_dd,353,,,miles mikolas,32116,2026-08-24,heuristic,36.8,22.3
161,Josiah Gray,Wsh,0.1,8.02,talent_prior,273,SIXTY_DAY_DL,,josiah gray,41165,2026-09-01,explicit,36.8,22.9
162,Tomoyuki Sugano,Col,4.0,6.19,rp3_dd,352,,,tomoyuki sugano,4142423,2026-08-24,heuristic,36.8,22.3
163,Kenta Maeda,FA,0.0,6.13,talent_prior,354,,,kenta maeda,34892,2026-08-24,heuristic,36.5,22.1
164,German Marquez,FA,0.2,6.11,rp3_dd,355,,,german marquez,34874,2026-08-24,heuristic,36.4,22.0
165,Taijuan Walker,LAA,0.1,5.96,rp3_dd,356,,,taijuan walker,31864,2026-08-24,heuristic,35.5,21.5
166,Kyle Freeland,Col,0.8,9.06,rp3_dd,198,FIFTEEN_DAY_DL,,kyle freeland,33839,2026-09-05,explicit,35.4,22.1
167,Brandon Williamson,Cin,0.1,6.51,rp3_dd,345,SIXTY_DAY_DL,,brandon williamson,42431,2026-08-28,explicit,34.3,21.4
168,Rich Hill,FA,0.0,5.62,talent_prior,358,,,rich hill,6321,2026-08-24,heuristic,33.4,20.2
169,Johan Oviedo,Bos,0.2,8.51,talent_prior,229,SIXTY_DAY_DL,,johan oviedo,41405,2026-09-05,explicit,33.3,20.7
170,Austin Gomber,Tex,0.0,5.57,talent_prior,359,,,austin gomber,34897,2026-08-24,heuristic,33.1,20.1
171,Spencer Strider,Atl,41.4,11.37,rp3_dd,70,SIXTY_DAY_DL,,spencer strider,4307825,2026-09-11,explicit,32.9,20.5
172,Michael Soroka,Ari,41.3,9.51,rp3_dd,164,FIFTEEN_DAY_DL,,michael soroka,34984,2026-09-08,explicit,32.3,20.1
173,Yu Darvish,SD,0.1,8.95,talent_prior,202,OUT,,yu darvish,32055,2026-09-07,heuristic,32.0,19.9
174,Alex Cobb,FA,0.0,8.94,talent_prior,203,OUT,,alex cobb,31086,2026-09-07,heuristic,31.9,19.9
175,Patrick Corbin,Tor,0.4,6.9,rp3_dd,329,SIXTY_DAY_DL,,patrick corbin,31313,2026-09-01,explicit,31.7,19.7
176,Luis Ortiz,Cle,0.0,8.83,talent_prior,214,OUT,,luis ortiz,5101355,2026-09-07,heuristic,31.5,19.6
177,Hunter Dobbins,StL,1.1,8.38,rp3_dd,242,FIFTEEN_DAY_DL,,hunter dobbins,4415836,2026-09-06,explicit,31.3,19.5
178,Kris Bubic,LAD,21.9,10.57,rp3_dd,96,SIXTY_DAY_DL,,kris bubic,41201,2026-09-11,explicit,30.5,19.0
179,Justin Verlander,Det,1.4,8.68,talent_prior,222,SIXTY_DAY_DL,,justin verlander,6341,2026-09-08,explicit,29.5,18.4
180,Lucas Giolito,SD,0.9,7.02,rp3_dd,323,SIXTY_DAY_DL,,lucas giolito,32697,2026-09-04,explicit,28.6,17.8
181,Carlos Carrasco,Atl,0.0,4.79,talent_prior,363,,,carlos carrasco,28968,2026-08-24,heuristic,28.5,17.2
182,Connelly Early,Wsh,16.6,9.74,rp3_dd,143,SIXTY_DAY_DL,,connelly early,4863321,2026-09-11,explicit,28.1,17.5
183,Nick Pivetta,SD,49.8,12.6,rp3_dd,37,SIXTY_DAY_DL,,nick pivetta,36071,2026-09-15,explicit,27.8,17.3
184,Frankie Montas,FA,0.0,7.36,talent_prior,306,OUT,,frankie montas,33249,2026-09-07,heuristic,26.3,16.4
185,Tony Gonsolin,KC,0.0,7.32,talent_prior,309,FIFTEEN_DAY_DL,,tony gonsolin,38958,2026-09-08,heuristic,24.9,15.5
186,Dakota Hudson,LAA,0.0,4.07,talent_prior,366,,,dakota hudson,38680,2026-08-24,heuristic,24.2,14.7
187,Antonio Senzatela,Mil,2.6,2.32,talent_prior,369,,,antonio senzatela,33750,2026-08-24,heuristic,13.8,8.4
188,Jose Quintana,Col,0.2,6.99,rp3_dd,324,SIXTY_DAY_DL,,jose quintana,32106,2026-09-18,explicit,11.9,7.4
189,Ryan Weathers,NYY,32.9,10.72,rp3_dd,91,FIFTEEN_DAY_DL,,ryan weathers,41178,2026-09-22,explicit,10.9,6.8
190,Mick Abel,Min,1.4,10.07,rp3_dd,124,SIXTY_DAY_DL,,mick abel,4718970,2026-09-25,explicit,5.1,3.2
191,Bradley Blalock,Mia,0.0,0.5,talent_prior,371,,,bradley blalock,4720860,2026-08-24,heuristic,3.0,1.8
192,Justin Steele,ChC,2.6,11.34,talent_prior,71,SIXTY_DAY_DL,,justin steele,41022,2026-10-23,heuristic,0.0,0.0
193,Pablo Lopez,Min,2.9,11.46,talent_prior,66,SIXTY_DAY_DL,,pablo lopez,39671,2026-10-23,heuristic,0.0,0.0
194,Corbin Burnes,Ari,6.0,12.06,talent_prior,50,SIXTY_DAY_DL,,corbin burnes,39878,2026-10-23,heuristic,0.0,0.0
195,Chase Dollander,Col,2.4,9.36,rp3_dd,178,SIXTY_DAY_DL,,chase dollander,4719068,2027-04-01,explicit,0.0,0.0
196,Mitch Keller,Pit,13.3,8.86,rp3_dd,209,SIXTY_DAY_DL,,mitch keller,33722,2027-02-01,explicit,0.0,0.0
197,Spencer Schwellenbach,Atl,9.2,12.75,talent_prior,34,SIXTY_DAY_DL,,spencer schwellenbach,4424862,2026-10-23,heuristic,0.0,0.0
198,Joe Musgrove,SD,9.3,10.8,talent_prior,88,SIXTY_DAY_DL,,joe musgrove,34848,2026-10-23,heuristic,0.0,0.0
199,Brandon Woodruff,Mil,41.3,12.93,rp3_dd,30,SIXTY_DAY_DL,,brandon woodruff,37515,2026-09-30,explicit,0.0,0.0
200,Cole Ragans,KC,45.3,11.81,rp3_dd,54,SIXTY_DAY_DL,,cole ragans,41054,2027-06-01,explicit,0.0,0.0
201,Ryan Pepiot,TB,30.4,9.85,talent_prior,135,SIXTY_DAY_DL,,ryan pepiot,4208281,2027-02-01,explicit,0.0,0.0
202,Hunter Greene,Cin,25.3,12.5,rp3_dd,40,SIXTY_DAY_DL,,hunter greene,39635,2028-02-01,explicit,0.0,0.0
203,Cade Horton,ChC,6.9,9.98,rp3_dd,125,SIXTY_DAY_DL,,cade horton,4692526,2027-08-01,explicit,0.0,0.0
204,Stephen Kolek,KC,1.9,8.84,rp3_dd,212,SIXTY_DAY_DL,,stephen kolek,5190073,2028-02-01,explicit,0.0,0.0
205,Trevor McDonald,SF,0.9,8.79,rp3_dd,216,SIXTY_DAY_DL,,trevor mcdonald,5185136,2027-09-01,explicit,0.0,0.0
206,Jose Berrios,Tor,0.9,9.58,talent_prior,159,SIXTY_DAY_DL,,jose berrios,32811,2027-08-01,explicit,0.0,0.0
207,Reese Olson,Det,0.3,9.72,talent_prior,147,SIXTY_DAY_DL,,reese olson,4734319,2026-10-23,heuristic,0.0,0.0
208,Zach Eflin,Bal,0.3,9.56,talent_prior,160,SIXTY_DAY_DL,,zach eflin,32804,2027-07-01,explicit,0.0,0.0
209,Clarke Schmidt,NYY,0.5,9.63,talent_prior,154,SIXTY_DAY_DL,,clarke schmidt,41085,2026-10-23,heuristic,0.0,0.0
210,Jack Kochanowicz,LAA,0.6,6.98,rp3_dd,325,SIXTY_DAY_DL,,jack kochanowicz,4917819,2027-09-01,explicit,0.0,0.0
