cohort,name,regime,fp_prior,fp_win,fp_gap,support,oppose,xc_yoy,n_pa,pos,slot,ev
FA (>=1 HR since ASG),Patrick Bailey,SUSTAINED,0.3,0.46,0.16,1,0,0.0169,50,C,C,1
FA (>=1 HR since ASG),Nathaniel Lowe,SUSTAINED,0.426,0.723,0.297,1,0,0.0727,65,1B,1B,1
FA (>=1 HR since ASG),Kody Clemens,RECOVERING,0.504,0.386,-0.118,3,2,-0.0192,83,1B,1B,5
FA (>=1 HR since ASG),Jose Trevino,OVEREXTENDED,0.421,0.583,0.163,0,0,-0.0358,24,C,C,0
FA (>=1 HR since ASG),Tyler O'Neill,SUSTAINED,0.464,0.81,0.345,1,0,-0.0639,42,RF,OF,1
FA (>=1 HR since ASG),Teoscar Hernández,AT-LEVEL,0.533,0.507,-0.026,1,1,-0.0176,71,RF,OF,2
FA (>=1 HR since ASG),Coby Mayo,OVEREXTENDED,0.374,0.574,0.2,0,1,0.0691,47,1B,1B,1
FA (>=1 HR since ASG),Heriberto Hernández,STALLED,0.524,0.253,-0.271,0,4,0.0245,83,LF,OF,4
FA (>=1 HR since ASG),Ryan Jeffers,OVEREXTENDED,0.476,0.535,0.059,1,2,0.027,71,C,C,3
FA (>=1 HR since ASG),Kyle Manzardo,OVEREXTENDED,0.477,0.522,0.044,0,1,0.0064,46,DH,DH,1
FA (>=1 HR since ASG),Cole Young,SUSTAINED,0.389,0.607,0.218,5,1,0.0513,89,2B,2B,6
FA (>=1 HR since ASG),Tim Tawa,SUSTAINED,0.36,0.482,0.122,4,0,-0.0184,85,CF,OF,4
FA (>=1 HR since ASG),Cam Smith,OVEREXTENDED,0.374,0.478,0.104,0,2,0.0219,67,RF,OF,2
FA (>=1 HR since ASG),Bryce Eldridge,SUSTAINED,0.135,0.286,0.151,3,2,-0.0595,84,DH,DH,5
FA (>=1 HR since ASG),Carter Jensen,STALLED,0.797,0.374,-0.423,0,6,-0.1586,91,C,C,6
FA (>=1 HR since ASG),Dominic Canzone,STALLED,0.543,0.442,-0.101,1,4,-0.0309,86,RF,OF,5
FA (>=1 HR since ASG),Jarren Duran,RECOVERING,0.532,0.489,-0.043,2,2,-0.0024,90,LF,OF,4
FA (>=1 HR since ASG),Francisco Alvarez,STALLED,0.477,0.356,-0.121,1,1,0.0291,59,C,C,2
FA (>=1 HR since ASG),Brett Baty,STALLED,0.484,0.184,-0.3,0,0,-0.0377,38,3B,3B,0
FA (>=1 HR since ASG),Andrew Vaughn,OVEREXTENDED,0.494,0.567,0.072,1,1,-0.0388,60,1B,1B,2
FA (>=1 HR since ASG),Jo Adell,STALLED,0.546,0.275,-0.271,1,3,-0.0813,80,CF,OF,4
FA (>=1 HR since ASG),Jake Burger,STALLED,0.451,0.32,-0.131,0,2,-0.0425,75,1B,1B,2
FA (>=1 HR since ASG),Trevor Larnach,SUSTAINED,0.466,0.5,0.034,1,0,-0.0037,58,DH,DH,1
FA (>=1 HR since ASG),Lane Thomas,OVEREXTENDED,0.211,0.362,0.151,1,1,0.0665,69,CF,OF,2
FA (>=1 HR since ASG),Christian Encarnacion-Strand,OVEREXTENDED,0.394,0.542,0.148,0,0,0.1409,59,1B,1B,0
FA (>=1 HR since ASG),Dylan Crews,OVEREXTENDED,0.444,0.477,0.033,1,1,0.0191,86,RF,OF,2
FA (>=1 HR since ASG),Jose Altuve,RECOVERING,0.576,0.47,-0.107,2,1,-0.0118,83,2B,2B,3
FA (>=1 HR since ASG),Mike Yastrzemski,STALLED,0.5,0.457,-0.043,0,1,-0.005,35,RF,OF,1
FA (>=1 HR since ASG),Jonah Heim,AT-LEVEL,0.368,0.37,0.003,2,2,0.0331,81,C,C,4
FA (>=1 HR since ASG),Dominic Smith,SUSTAINED,0.538,0.833,0.296,1,0,-0.0169,36,1B,1B,1
FA (>=1 HR since ASG),James McCann,SUSTAINED,0.489,0.9,0.411,1,0,-0.0266,40,C,C,1
FA (>=1 HR since ASG),Nick Gonzales,SUSTAINED,0.384,0.543,0.159,3,2,0.0217,94,2B,2B,5
FA (>=1 HR since ASG),Richie Palacios,STALLED,0.667,0.531,-0.136,0,0,-0.0877,49,LF,OF,0
FA (>=1 HR since ASG),Endy Rodríguez,OVEREXTENDED,0.19,0.514,0.324,0,0,0.1133,37,1B,1B,0
FA (>=1 HR since ASG),James Outman,OVEREXTENDED,0.168,0.364,0.196,0,0,-0.0778,33,CF,OF,0
FA (>=1 HR since ASG),Michael Massey,SUSTAINED,0.329,0.473,0.144,1,0,0.0329,74,2B,2B,1
FA (>=1 HR since ASG),Josh Bell,STALLED,0.534,0.475,-0.059,1,3,-0.0102,80,DH,DH,4
FA (>=1 HR since ASG),Luis Torrens,OVEREXTENDED,0.371,0.921,0.55,0,0,-0.0801,38,C,C,0
FA (>=1 HR since ASG),Masataka Yoshida,SUSTAINED,0.522,0.718,0.196,2,1,-0.0087,71,DH,DH,3
