metric,min_tbf,z_gate,trigger,n_fired,seasons,cond_gain,season_gain,t
k_minus_bb,100,1.5,absence,39,20,0.6300807478889813,0.23956389691671998,0.4494089347661574
k_minus_bb,40,1.5,absence,97,38,0.14722606952167935,0.08105599251307281,0.17744288301301614
k_pct,40,1.5,absence,30,15,-0.17073447492146118,0.012426908189722762,0.019274730666610965
k_minus_bb,60,1.5,absence,77,34,0.1509429966094604,-0.0018356709422898882,-0.004032205146053095
k_minus_bb,80,1.5,absence,48,23,0.47706832632954493,-0.09436003814432987,-0.18312404567415239
k_minus_bb,40,2.5,absence,33,19,0.19006565090354421,-0.0966064146834728,-0.16775201621304142
k_minus_bb,80,1.5,search,1689,364,-0.07041609414946666,-0.09926919687578806,-1.1548275074648484
k_pct,150,1.5,search,542,217,-0.11202766482036457,-0.10627724185063211,-0.8543222676852936
k_minus_bb,150,1.5,search,897,306,-0.11981535787058932,-0.11477214654970766,-1.2293741186973346
k_minus_bb,100,1.5,search,1532,355,-0.07342219815529005,-0.12292072838311373,-1.3817432814521928
k_minus_bb,60,1.5,search,1831,372,-0.09137812685112069,-0.12806584106817903,-1.4934630600657024
k_pct,100,3.0,search,48,25,-0.4922120746970184,-0.1330861946610614,-0.2491548794950536
k_minus_bb,40,1.5,search,1934,380,-0.11228543369201102,-0.15404472454439613,-1.815388367410823
k_minus_bb,60,2.0,absence,52,25,0.19505665333777394,-0.16171626567822273,-0.30483396690752557
k_minus_bb,60,2.0,search,1414,343,-0.12387351193959209,-0.16283301144747692,-1.6731852284723387
k_pct,60,1.5,search,1209,327,-0.1313253274748989,-0.1754798360697372,-1.641820288842359
k_pct,100,1.5,search,904,285,-0.09305463670582448,-0.18483361417446942,-1.6059667942136209
k_minus_bb,150,3.5,search,118,59,0.02273625460292887,-0.18737988760251356,-0.5444792775226035
k_minus_bb,100,2.0,search,1099,310,-0.15236779165164854,-0.20370267962877506,-1.9005726626660127
k_pct,80,1.5,search,1040,306,-0.09492074974729599,-0.2070969268438564,-1.8289058105767324
k_minus_bb,40,2.0,absence,64,26,0.036911450310848457,-0.21282899062976415,-0.4120836127098919
k_minus_bb,40,2.0,search,1575,358,-0.1442224283425134,-0.2260857370205488,-2.3607130615271683
k_pct,40,1.5,search,1352,347,-0.13564042835874426,-0.2289434969387149,-2.1064636880045016
k_minus_bb,80,2.0,search,1259,332,-0.14376612497485639,-0.23041603331931904,-2.281322079874345
k_minus_bb,100,2.5,search,702,254,-0.25312794762056345,-0.24674642156929716,-1.8938606435472527
k_pct,100,2.0,search,458,173,-0.19531958430660337,-0.2635817741060953,-1.65240775148161
k_pct,150,2.5,search,111,58,-0.17804004221748304,-0.26964972867462367,-0.9222748461709005
k_minus_bb,150,2.0,search,631,247,-0.21284029856138031,-0.27290385582880516,-2.364490563224901
k_pct,60,2.0,search,629,223,-0.1392999615945871,-0.2753426732464718,-1.9353136212721622
k_pct,80,2.0,search,538,199,-0.15971862283074148,-0.27847703327558976,-1.8250623549611698
k_pct,150,3.0,search,33,19,-0.08425067423765698,-0.2824986693257089,-0.5826847580954981
k_minus_bb,80,2.5,search,839,278,-0.20998787588863124,-0.29012973763030114,-2.365784553700435
k_minus_bb,60,2.5,search,981,297,-0.22373775168526022,-0.29242952024300456,-2.470508486135419
k_pct,150,2.0,search,273,122,-0.20885983053344082,-0.3129104359259828,-1.6604655630474445
k_minus_bb,40,2.5,search,1135,320,-0.23441229720302062,-0.31408890111494225,-2.719098580785228
k_pct,40,2.0,search,729,243,-0.17408836172245218,-0.33739831212383486,-2.3821944989442065
k_pct,60,2.5,search,246,111,-0.23998865677517758,-0.3531342573389401,-1.7110442329453122
k_pct,80,2.5,search,217,101,-0.3170182774046372,-0.3907791221284471,-1.737355784399209
k_pct,100,2.5,search,178,85,-0.3765685765499853,-0.3933599454273932,-1.6761132310174356
k_minus_bb,150,2.5,search,374,184,-0.25554780095308177,-0.4018084271185873,-2.5822951761889126
k_pct,60,3.0,search,77,41,-0.5268205089882985,-0.4252082372482801,-1.027890633708551
k_pct,40,2.5,search,315,127,-0.2250532096270564,-0.442908601344586,-2.292054080124276
k_minus_bb,150,3.0,search,206,99,-0.23898961419125345,-0.4547212212635171,-1.9798596927535843
k_minus_bb,40,3.0,search,734,237,-0.3309208039958822,-0.4711719192926149,-3.145252719602361
k_minus_bb,60,3.0,search,617,217,-0.3513589065459007,-0.47894640381212583,-3.093134972110902
k_minus_bb,100,3.5,search,203,93,-0.4382700326025218,-0.4903359213409789,-1.8451908518024267
k_minus_bb,80,3.5,search,252,113,-0.40462123099368663,-0.4983314953902172,-1.9752009280530165
k_minus_bb,60,3.5,search,322,132,-0.44391820157704487,-0.5056248686155432,-2.3171593106342345
k_minus_bb,100,3.0,search,396,164,-0.41378647750225606,-0.5259062145009487,-2.888343160588251
k_minus_bb,80,3.0,search,500,195,-0.3907410666095575,-0.561448155450897,-3.370895759432863
k_pct,80,3.0,search,65,36,-0.7111209052052244,-0.5751567772197836,-1.2092250163860103
fp,60,1.5,absence,40,14,0.3761906113004917,-0.5931743161446804,-0.7043436891178352
k_minus_bb,40,3.5,search,394,154,-0.493423163448348,-0.6019621779012709,-2.9825135340329805
